
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.0001"	"0.2853"	"0.2894"	"0.4739"	"1.0004"	"2.8404"	"9.9987"	"8.5745"	"1.3616"	"1.7424"	"0.209"	"1.0001"
"1902"	"1.0001"	"0"	"0"	"0"	"0.1896"	"4.6663"	"6.3302"	"8.4875"	"4.9335"	"1.0659"	"1.5089"	"0.9021"
"1903"	"0.2728"	"0"	"0.7092"	"0"	"1.3823"	"1.187"	"11.4718"	"11.1694"	"6.5146"	"0.996"	"0.209"	"0"
"1904"	"0.2142"	"1.0001"	"1.0001"	"0"	"1.0333"	"3.6167"	"7.3285"	"6.9669"	"4.9124"	"1.1493"	"0.9376"	"1.0001"
"1905"	"1.0001"	"1.0001"	"1.0001"	"1.0001"	"1.0004"	"2.0094"	"8.0167"	"2.8666"	"4.3543"	"0.0332"	"0.2919"	"0.115"
"1906"	"0"	"1.0001"	"0.5406"	"0"	"0.7295"	"4.4082"	"10.3956"	"7.7083"	"6.618"	"0.3884"	"0.209"	"1.0001"
"1907"	"1.0001"	"1.0001"	"0.5527"	"1.0001"	"1.0004"	"2.0887"	"7.8705"	"13.5378"	"1.0943"	"0.0332"	"1.0287"	"0"
"1908"	"1.0001"	"0"	"0"	"0.3444"	"1.0004"	"2.9533"	"14.424"	"14.811"	"8.7375"	"0.573"	"1.0839"	"0.115"
"1909"	"1.0001"	"0.0602"	"0"	"1.0001"	"1.1709"	"3.6979"	"12.13"	"6.9079"	"8.0481"	"0.0332"	"0.209"	"1.0001"
"1910"	"1.0001"	"0.3947"	"0"	"1.0001"	"1.0004"	"5.6608"	"6.761"	"12.261"	"3.8487"	"1.0608"	"1.0595"	"0"
"1911"	"1.0001"	"0"	"1.0001"	"0"	"0"	"3.9144"	"2.2361"	"5.3811"	"5.859"	"0.0332"	"2.1726"	"0.6098"
"1912"	"0.6507"	"0"	"0"	"0.4964"	"0.7295"	"3.921"	"10.0096"	"12.4344"	"3.8646"	"1.3506"	"1.9668"	"0.2514"
"1913"	"0"	"0.8569"	"0.9631"	"0"	"1.3106"	"4.1727"	"7.0122"	"6.6502"	"5.5234"	"0.0332"	"0.209"	"0.928"
"1914"	"0"	"1.0001"	"0.0076"	"1.0001"	"1.3502"	"5.2569"	"8.6416"	"8.6323"	"5.9402"	"1.0674"	"1.0921"	"0.8476"
