
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"13.213"	"15.528"	"24.056"	"28.969"	"34.104"	"36.726"	"34.325"	"31.907"	"31.454"	"29.367"	"21.381"	"16.907"
"1902"	"16.142"	"18.15"	"25.605"	"30.449"	"34.351"	"33.948"	"33.993"	"33.073"	"30.916"	"27.416"	"21.275"	"15.587"
"1903"	"13.965"	"16.691"	"21.028"	"27.361"	"33.478"	"36.942"	"33.656"	"31.947"	"31.875"	"28.039"	"19.674"	"14.784"
"1904"	"13.491"	"17.958"	"22.223"	"30.466"	"34.431"	"35.032"	"33.094"	"32.055"	"31.502"	"27.856"	"21.274"	"15.96"
"1905"	"12.262"	"12.826"	"19.685"	"27.488"	"36.038"	"35.116"	"33.86"	"33.186"	"31.64"	"28.012"	"22.471"	"15.879"
"1906"	"12.723"	"14.646"	"20.819"	"28.354"	"35.416"	"34.663"	"34.184"	"32.468"	"30.695"	"28.006"	"22.596"	"17.142"
"1907"	"17.11"	"15.867"	"21.126"	"27.864"	"32.247"	"34.848"	"34.643"	"30.425"	"29.955"	"27.003"	"21.323"	"15.107"
"1908"	"14.867"	"18.057"	"22.435"	"29.717"	"33.361"	"35.249"	"31.408"	"29.858"	"29.176"	"26.241"	"19.993"	"14.775"
"1909"	"13.313"	"16.296"	"22.871"	"27.807"	"32.9"	"35.459"	"31.264"	"30.481"	"28.87"	"27.021"	"22.072"	"14.538"
"1910"	"14.034"	"17.975"	"22.814"	"27.491"	"33.98"	"35.344"	"31.255"	"30.301"	"30.502"	"26.541"	"19.944"	"15.148"
"1911"	"14.778"	"18.493"	"20.829"	"28.535"	"34.671"	"35.246"	"34.123"	"32.673"	"31.244"	"27.985"	"18.225"	"15.456"
"1912"	"15.372"	"15.933"	"22.162"	"29.176"	"34.264"	"36.536"	"33.264"	"31.102"	"30.331"	"27.459"	"19.286"	"15.735"
"1913"	"15.5"	"16.848"	"20.711"	"30.051"	"33.038"	"34.641"	"32.043"	"31.308"	"31.04"	"27.89"	"20.388"	"15.193"
"1914"	"16.225"	"15.749"	"21.512"	"28.698"	"35.026"	"34.683"	"31.657"	"31.339"	"30.967"	"26.45"	"21.235"	"14.354"
"1915"	"13.979"	"15.927"	"23.592"	"28.761"	"35.24"	"36.234"	"34.212"	"32.801"	"32.622"	"28.623"	"20.713"	"16.002"
"1916"	"15.976"	"15.96"	"25.688"	"29.508"	"32.358"	"34.631"	"33.413"	"31.154"	"30.205"	"25.52"	"18.307"	"14.905"
"1917"	"15.128"	"18.664"	"22.75"	"26.439"	"30.646"	"34.515"	"32.035"	"29.626"	"28.727"	"25.358"	"19.249"	"16.063"
"1918"	"13.707"	"17.956"	"22.054"	"26.328"	"34.726"	"34.32"	"33.463"	"32.24"	"30.625"	"27.395"	"20.586"	"14.643"
"1919"	"13.811"	"16.984"	"22.964"	"27.914"	"33.17"	"36.316"	"33.28"	"30.95"	"29.657"	"27.014"	"19.462"	"14.761"
"1920"	"14.229"	"16.864"	"23.046"	"27.783"	"30.282"	"32.774"	"32.646"	"30.545"	"32.102"	"28.683"	"21.697"	"15.445"
"1921"	"15.013"	"18.104"	"26.124"	"31.743"	"34.656"	"35.855"	"33.496"	"30.538"	"30.565"	"26.803"	"21.197"	"17.09"
"1922"	"13.87"	"18.174"	"23.628"	"29.914"	"33.109"	"34.667"	"33.894"	"31.367"	"30.128"	"26.578"	"20.495"	"15.848"
"1923"	"14.373"	"16.501"	"23.905"	"29.558"	"32.303"	"35.423"	"32.845"	"30.045"	"30.377"	"26.785"	"19.719"	"14.872"
"1924"	"13.553"	"17.712"	"25.072"	"29.453"	"30.635"	"35.843"	"34.351"	"31.603"	"29.271"	"27.211"	"19.958"	"16.089"
"1925"	"13.286"	"15.285"	"24.89"	"32.419"	"33.368"	"33.645"	"31.776"	"32.131"	"32.125"	"28.577"	"19.588"	"15.726"
"1926"	"15.047"	"20.116"	"22.02"	"26.76"	"31.256"	"35.759"	"33.517"	"30.955"	"29.468"	"26.821"	"18.232"	"15.102"
"1927"	"12.609"	"15.212"	"22.024"	"28.302"	"32.542"	"34.303"	"31.996"	"30.337"	"29.759"	"27.52"	"20.811"	"16.128"
"1928"	"13.945"	"18.317"	"23.409"	"29.07"	"34.261"	"34.519"	"32.772"	"31.008"	"29.523"	"27.435"	"21.634"	"14.549"
"1929"	"13.847"	"16.127"	"25.432"	"29.608"	"33.461"	"35.033"	"31.154"	"30.152"	"30.503"	"26.69"	"21.353"	"13.428"
"1930"	"13.364"	"17.624"	"23.334"	"27.575"	"32.428"	"33.497"	"30.809"	"30.261"	"31.345"	"27.231"	"19.399"	"14.859"
"1931"	"14.928"	"13.824"	"22.024"	"30.173"	"32.941"	"34.647"	"32.489"	"31.671"	"30.123"	"26.209"	"20.397"	"16.301"
"1932"	"16.967"	"17.706"	"23.832"	"29.691"	"33.147"	"35.7"	"32.816"	"30.294"	"31.505"	"27.009"	"20.45"	"15.696"
"1933"	"12.735"	"17.659"	"22.628"	"27.681"	"32.164"	"34.671"	"32.595"	"29.141"	"29.482"	"26.691"	"20.651"	"16.701"
"1934"	"11.683"	"19.502"	"22.075"	"29.071"	"32.699"	"34.711"	"32.641"	"30.994"	"30.646"	"26.401"	"20.693"	"16.851"
"1935"	"12.338"	"17.654"	"23.368"	"26.177"	"33.268"	"35.62"	"32.196"	"30.688"	"29.962"	"26.354"	"21.223"	"15.713"
"1936"	"13.177"	"18.217"	"21.584"	"28.863"	"35.957"	"33.367"	"32.009"	"30.556"	"30.58"	"27.687"	"20.463"	"15.641"
"1937"	"14.159"	"17.528"	"21.363"	"28.032"	"34.023"	"36.024"	"31.895"	"31.449"	"30.996"	"25.897"	"20.109"	"13.279"
"1938"	"13.217"	"15.728"	"24.22"	"29.742"	"35.101"	"34.155"	"33.511"	"31.92"	"31.497"	"28.242"	"19.14"	"15.39"
"1939"	"15.117"	"17.844"	"20.366"	"26.841"	"33.718"	"33.753"	"32.921"	"32.744"	"31.77"	"27.947"	"21.183"	"17.353"
"1940"	"15.825"	"17.964"	"21.759"	"27.748"	"34.359"	"34.485"	"33.296"	"30.958"	"30.122"	"27.995"	"22.14"	"15.791"
"1941"	"13.783"	"19.117"	"25.534"	"31.184"	"34.789"	"34.03"	"32.578"	"32.254"	"30.846"	"29.668"	"21.41"	"16.625"
"1942"	"13.872"	"18.079"	"24.393"	"31.224"	"33.606"	"35.744"	"32.175"	"30.746"	"29.526"	"27.136"	"21.867"	"14.356"
"1943"	"13.338"	"17.608"	"24.128"	"27.98"	"33.702"	"34.572"	"32.17"	"30.313"	"30.918"	"27.123"	"21.07"	"17.48"
"1944"	"14.116"	"16.891"	"22.256"	"28.982"	"34.024"	"34.81"	"32.408"	"29.907"	"29.896"	"25.891"	"21.619"	"16.023"
"1945"	"12.363"	"16.486"	"23.442"	"27.686"	"33.227"	"34.367"	"31.549"	"31.289"	"30.343"	"26.874"	"20.749"	"14.176"
"1946"	"14.699"	"18.847"	"22.515"	"32.56"	"34.475"	"36.052"	"32.922"	"30.988"	"30.07"	"28.356"	"19.788"	"13.981"
"1947"	"13.463"	"17.68"	"24.159"	"30.211"	"34.943"	"35.736"	"34.379"	"32.113"	"29.951"	"25.879"	"22.481"	"15.807"
"1948"	"14.588"	"16.806"	"22.886"	"30.168"	"35.234"	"35.193"	"33.285"	"30.96"	"31.426"	"28.326"	"19.446"	"15.899"
"1949"	"15.407"	"17.049"	"23.505"	"30.867"	"36.001"	"34.099"	"32.181"	"30.43"	"32.388"	"26.251"	"18.868"	"14.919"
"1950"	"14.93"	"14.332"	"21.851"	"27.49"	"34.241"	"34.619"	"31.59"	"29.906"	"29.81"	"26.505"	"19.22"	"13.303"
"1951"	"13.632"	"16.307"	"22.388"	"26.881"	"33.204"	"34.47"	"34.03"	"31.24"	"31.56"	"30.125"	"22.064"	"16.685"
"1952"	"15.243"	"18.823"	"23.159"	"30.958"	"34.332"	"34.928"	"32.573"	"30.789"	"30.263"	"26.729"	"20.509"	"15.276"
"1953"	"14.257"	"19.547"	"26.12"	"29.846"	"33.747"	"35.262"	"33.078"	"30.427"	"30.095"	"26.736"	"20.853"	"18.502"
"1954"	"13.867"	"18.165"	"23.505"	"29.551"	"34.973"	"35.63"	"33.172"	"32.175"	"30.932"	"25.61"	"21.43"	"15.87"
"1955"	"14.326"	"18.627"	"25.183"	"27.181"	"32.263"	"35.231"	"33.269"	"31.001"	"30.053"	"26.038"	"19.779"	"16.451"
"1956"	"14.107"	"17.591"	"23.159"	"29.392"	"35.721"	"34.6"	"30.63"	"29.582"	"30.892"	"25.591"	"19.508"	"16.107"
"1957"	"13.65"	"16.111"	"22.411"	"27.427"	"31.074"	"34.404"	"33.026"	"31.444"	"30.034"	"27.178"	"21.507"	"15.544"
"1958"	"16.485"	"18.219"	"24.47"	"31.769"	"33.502"	"35.96"	"32.781"	"33.087"	"29.12"	"27.063"	"20.91"	"17.149"
