
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"18.627"	"19.576"	"25.966"	"22.815"	"18.398"	"24.553"	"47.914"	"44.525"	"23.649"	"8.4"	"10.158"	"15.874"
"1902"	"19.107"	"20.422"	"26.836"	"22.966"	"17.726"	"23.31"	"47.619"	"44.597"	"23.219"	"8.197"	"10.158"	"15.874"
"1903"	"19.062"	"20.422"	"27.048"	"22.956"	"18.755"	"24.093"	"47.886"	"45.377"	"24.259"	"7.314"	"10.158"	"15.874"
"1904"	"18.965"	"20.364"	"27.069"	"23.351"	"18.676"	"24.553"	"47.564"	"44.596"	"23.785"	"8.197"	"10.766"	"15.874"
"1905"	"19.062"	"20.422"	"26.836"	"22.965"	"18.347"	"24.553"	"48.559"	"45.424"	"23.641"	"7.747"	"10.149"	"15.897"
"1906"	"18.988"	"20.422"	"25.916"	"22.966"	"18.331"	"25.004"	"48.045"	"44.657"	"24.259"	"7.314"	"10.14"	"16.028"
"1907"	"19.061"	"20.668"	"26.318"	"22.966"	"18.398"	"25.151"	"48.703"	"45.01"	"24.259"	"8.825"	"11.042"	"15.88"
"1908"	"19.062"	"20.422"	"26.931"	"23.446"	"18.88"	"23.908"	"47.568"	"44.871"	"23.575"	"8.197"	"9.971"	"15.901"
"1909"	"18.452"	"20.422"	"26.836"	"22.643"	"17.544"	"23.436"	"47.714"	"44.594"	"23.298"	"7.392"	"9.817"	"15.612"
"1910"	"19.062"	"20.422"	"26.541"	"22.546"	"17.834"	"24.408"	"47.842"	"44.596"	"24.259"	"8.197"	"10.158"	"15.874"
"1911"	"19.062"	"20.422"	"26.785"	"22.966"	"18.398"	"24.053"	"47.433"	"44.689"	"24.259"	"8.196"	"9.276"	"15.874"
"1912"	"19.062"	"20.422"	"25.97"	"22.145"	"17.929"	"24.118"	"46.55"	"44.539"	"23.252"	"7.103"	"9.224"	"16.008"
"1913"	"19.313"	"20.502"	"26.058"	"22.966"	"17.367"	"23.236"	"47.185"	"44.991"	"23.285"	"8.525"	"10.276"	"15.901"
"1914"	"18.863"	"20.422"	"25.875"	"22.264"	"17.562"	"23.529"	"46.896"	"45.067"	"22.644"	"7.313"	"10.99"	"16.29"
"1915"	"18.557"	"20.439"	"25.514"	"23.329"	"17.017"	"22.824"	"47.407"	"44.202"	"22.882"	"7.287"	"9.42"	"15.874"
"1916"	"19.576"	"20.408"	"26.836"	"22.544"	"18.398"	"24.269"	"47.295"	"44.946"	"23.905"	"7.219"	"9.711"	"15.873"
"1917"	"18.452"	"19.657"	"25.259"	"21.826"	"17.016"	"23.48"	"46.745"	"44.616"	"23.273"	"7.604"	"9.411"	"15.593"
"1918"	"19.062"	"20.408"	"26.836"	"22.76"	"16.935"	"23.816"	"47.461"	"44.111"	"22.777"	"7.51"	"10.158"	"16.417"
