
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"17.264"	"16.969"	"16.982"	"16.716"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.118"	"18.442"	"18.015"
"1902"	"17.264"	"16.969"	"16.999"	"16.716"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.118"	"18.442"	"18.015"
"1903"	"17.264"	"16.969"	"16.982"	"16.716"	"15.674"	"13.172"	"10.474"	"10.09"	"12.15"	"17.118"	"18.442"	"18.015"
"1904"	"17.264"	"16.969"	"16.982"	"16.716"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.118"	"18.442"	"18.015"
"1905"	"17.264"	"16.969"	"16.982"	"16.716"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.118"	"18.442"	"18.015"
"1906"	"17.262"	"16.969"	"16.982"	"16.716"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.118"	"18.442"	"18.015"
"1907"	"17.334"	"16.969"	"16.982"	"16.716"	"15.674"	"13.172"	"10.474"	"9.929"	"12.15"	"16.826"	"18.442"	"18.015"
"1908"	"17.264"	"16.969"	"17.045"	"16.704"	"15.674"	"13.172"	"10.474"	"9.911"	"12.36"	"17.118"	"18.442"	"18.011"
"1909"	"17.264"	"16.969"	"16.982"	"16.716"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.118"	"18.442"	"18.015"
"1910"	"17.264"	"16.969"	"16.982"	"16.716"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.118"	"18.442"	"18.015"
"1911"	"17.264"	"16.969"	"16.982"	"16.716"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.118"	"18.442"	"18.015"
"1912"	"17.264"	"16.969"	"16.982"	"16.716"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.118"	"18.442"	"17.835"
"1913"	"17.264"	"16.969"	"16.982"	"16.716"	"15.751"	"13.172"	"10.474"	"9.911"	"12.15"	"17.118"	"18.442"	"18.015"
"1914"	"17.264"	"16.969"	"16.982"	"16.716"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.118"	"17.081"	"18.015"
"1915"	"17.264"	"16.969"	"16.982"	"16.504"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.118"	"18.528"	"18.015"
"1916"	"17.264"	"16.969"	"17.089"	"16.761"	"15.674"	"13.172"	"11.093"	"9.911"	"12.15"	"17.118"	"18.442"	"18.015"
"1917"	"17.288"	"16.969"	"16.982"	"16.716"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.118"	"18.442"	"18.015"
"1918"	"17.264"	"16.969"	"16.982"	"16.716"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.118"	"18.442"	"18.015"
"1919"	"18.007"	"16.969"	"16.982"	"16.716"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.118"	"18.442"	"18.217"
"1920"	"17.129"	"16.914"	"17.045"	"16.487"	"15.674"	"13.172"	"10.474"	"9.968"	"12.03"	"17.118"	"18.442"	"18.015"
"1921"	"17.264"	"16.969"	"16.883"	"16.716"	"15.674"	"13.172"	"10.476"	"9.911"	"12.15"	"17.29"	"18.442"	"18.014"
"1922"	"17.264"	"16.969"	"16.982"	"16.716"	"15.674"	"13.223"	"10.547"	"9.911"	"12.15"	"17.538"	"18.442"	"18.015"
"1923"	"17.264"	"16.969"	"16.982"	"16.716"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.118"	"18.442"	"18.015"
"1924"	"17.532"	"16.969"	"16.982"	"16.716"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.518"	"18.442"	"18.015"
"1925"	"17.262"	"16.969"	"16.982"	"16.727"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.118"	"18.442"	"18.015"
"1926"	"17.264"	"16.969"	"16.982"	"16.716"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.37"	"18.638"	"17.997"
"1927"	"17.261"	"16.969"	"17.026"	"16.716"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.118"	"18.442"	"18.015"
"1928"	"17.264"	"17.034"	"16.982"	"16.716"	"15.674"	"13.172"	"10.474"	"9.911"	"12.09"	"17.118"	"18.633"	"17.858"
"1929"	"17.264"	"16.874"	"16.982"	"16.716"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.118"	"18.474"	"18.015"
"1930"	"17.264"	"16.871"	"16.982"	"16.716"	"15.665"	"13.091"	"10.474"	"9.911"	"12.15"	"17.118"	"18.442"	"18.014"
"1931"	"17.264"	"16.49"	"16.982"	"16.733"	"15.628"	"12.977"	"10.474"	"9.911"	"12.343"	"17.118"	"18.442"	"18.015"
"1932"	"17.242"	"16.969"	"17.24"	"16.885"	"15.674"	"13.172"	"10.474"	"9.911"	"12.15"	"17.118"	"18.442"	"17.89"
"1933"	"17.679"	"16.825"	"16.904"	"16.716"	"15.674"	"13.172"	"10.474"	"9.911"	"12.151"	"17.118"	"18.257"	"17.653"
"1934"	"17.327"	"17.134"	"16.999"	"16.716"	"15.674"	"13.172"	"10.51"	"9.911"	"12.15"	"17.403"	"18.442"	"18.015"
"1935"	"17.264"	"16.969"	"16.982"	"16.716"	"15.674"	"12.933"	"10.474"	"10.105"	"12.349"	"17.085"	"18.442"	"18.014"
"1936"	"17.264"	"17.776"	"17.159"	"16.916"	"15.871"	"13.188"	"10.476"	"9.911"	"12.15"	"17.434"	"18.553"	"18.015"
"1937"	"17.264"	"17.087"	"16.982"	"16.716"	"15.663"	"13.172"	"10.474"	"10.269"	"12.15"	"16.96"	"18.51"	"18.582"
"1938"	"17.264"	"16.982"	"16.982"	"16.716"	"15.674"	"13.169"	"10.308"	"9.911"	"12.15"	"17.118"	"18.442"	"18.015"
