
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"9.6143"	"4.9702"	"0"	"0.4612"	"0.0142"	"0"	"0"	"0"	"0"	"0"	"0.146"	"2.6656"
"1902"	"1.7099"	"0.4675"	"0"	"0"	"0"	"0.2099"	"0"	"0"	"0"	"0.0107"	"0.1143"	"4.814"
"1903"	"6.1358"	"2.5139"	"1.5003"	"0.8734"	"0.074"	"0"	"0"	"0"	"0"	"0"	"1.4523"	"7.3422"
"1904"	"8.2075"	"0.3648"	"0.7797"	"0"	"0"	"0.0096"	"0.0053"	"0"	"0"	"0"	"0.0549"	"4.242"
"1905"	"10.4401"	"6.4878"	"1.8954"	"0.8202"	"0"	"0.0002"	"0"	"0"	"0"	"0"	"0"	"4.0809"
"1906"	"9.8208"	"4.971"	"1.4942"	"0.5888"	"0"	"0.0396"	"0"	"0"	"0"	"0"	"0"	"1.2281"
"1907"	"0.294"	"4.2586"	"1.4058"	"0.7618"	"0.407"	"0.0541"	"0"	"0.1349"	"0.1529"	"0.1918"	"0.0823"	"6.4421"
"1908"	"5.3751"	"1.1015"	"0.9668"	"0.0088"	"0.092"	"0"	"0.1979"	"0.2592"	"0.3616"	"0.6505"	"1.1467"	"6.6837"
"1909"	"8.7049"	"3.122"	"0.3703"	"0.7603"	"0.2738"	"0"	"0.2252"	"0.1706"	"0.463"	"0.1756"	"0.0173"	"7.566"
"1910"	"7.2228"	"0.808"	"0.5944"	"0.8461"	"0.0001"	"0"	"0.225"	"0.1886"	"0.0048"	"0.4735"	"1.4972"	"7.1298"
"1911"	"5.246"	"0.2158"	"1.6079"	"0.5039"	"0"	"0"	"0"	"0"	"0"	"0"	"2.2042"	"5.2053"
"1912"	"3.5223"	"1.6279"	"0.8697"	"0.1694"	"0"	"0"	"0"	"0.0543"	"0.2153"	"0.0032"	"1.6851"	"5.307"
"1913"	"2.6721"	"2.2753"	"1.6506"	"0.0001"	"0.1713"	"0.0575"	"0.0982"	"0.0191"	"0.0193"	"0"	"0.6741"	"5.4079"
"1914"	"1.5304"	"3.779"	"1.2385"	"0.3367"	"0"	"0.0452"	"0.1184"	"0.0083"	"0"	"0.3162"	"0"	"7.8091"
"1915"	"6.2465"	"4.0259"	"0.0045"	"0.3245"	"0"	"0"	"0"	"0"	"0"	"0"	"0.4515"	"4.4847"
"1916"	"2.117"	"3.9836"	"0"	"0.0112"	"0.1531"	"0.0385"	"0"	"0.0036"	"0.1323"	"0.8408"	"2.1808"	"6.5643"
"1917"	"4.0813"	"0"	"0.6505"	"1.0331"	"0.5905"	"0.1782"	"0.1411"	"0.3041"	"0.5707"	"1.1413"	"1.8482"	"4.7437"
"1918"	"7.6028"	"1.011"	"0.8738"	"1.0945"	"0"	"0.1095"	"0"	"0"	"0.0581"	"0.0167"	"0.8286"	"7.5557"
"1919"	"7.411"	"2.4137"	"0.3006"	"0.5852"	"0.0686"	"0"	"0"	"0.1001"	"0.2276"	"0.2361"	"1.2635"	"7.5"
"1920"	"5.4375"	"2.4721"	"0.1974"	"0.6727"	"0.69"	"0.2928"	"0.0717"	"0.0584"	"0"	"0"	"0"	"5.8892"
"1921"	"4.5123"	"0.6426"	"0"	"0"	"0"	"0"	"0"	"0.1068"	"0.0004"	"0.3598"	"0.3856"	"2.1431"
"1922"	"7.1857"	"0.3644"	"0"	"0"	"0.1563"	"0.0523"	"0"	"0"	"0.0861"	"0.5068"	"0.6866"	"4.9432"
"1923"	"6.4305"	"2.7954"	"0.0292"	"0.1778"	"0.3304"	"0"	"0.0008"	"0.2478"	"0.0093"	"0.4539"	"1.4711"	"6.5171"
"1924"	"7.3599"	"1.4854"	"0"	"0.0023"	"0.6038"	"0"	"0"	"0"	"0.4025"	"0.1815"	"1.2677"	"4.2346"
"1925"	"9.0418"	"5.0249"	"0"	"0"	"0.0191"	"0.3333"	"0.1308"	"0"	"0"	"0"	"1.348"	"4.9315"
"1926"	"4.8089"	"0"	"0.9208"	"1.0564"	"0.5102"	"0"	"0"	"0.0642"	"0.1903"	"0.3192"	"2.2206"	"5.6612"
"1927"	"9.7993"	"4.3845"	"1.0257"	"0.6228"	"0.2563"	"0.0067"	"0.0759"	"0.2085"	"0.1785"	"0"	"0.9037"	"3.6499"
"1928"	"7.346"	"0.3187"	"0.0791"	"0.0252"	"0"	"0.0348"	"0"	"0"	"0.203"	"0"	"0.1023"	"7.5981"
"1929"	"7.5407"	"3.5378"	"0"	"0.0002"	"0.0332"	"0"	"0.1408"	"0.1844"	"0.0004"	"0.3623"	"0.1578"	"9.7887"
"1930"	"8.692"	"1.6025"	"0.1298"	"0.7401"	"0.236"	"0.1639"	"0.2396"	"0.1242"	"0"	"0"	"1.4286"	"7.0929"
"1931"	"3.7209"	"5.5588"	"0.6772"	"0"	"0.098"	"0.0109"	"0"	"0"	"0.0065"	"0.3266"	"0.6262"	"2.818"
"1932"	"0.3339"	"1.152"	"0"	"0.076"	"0.1078"	"0"	"0"	"0.1814"	"0"	"0.0889"	"0.8215"	"4.0605"
"1933"	"9.5048"	"0.4906"	"0.468"	"0.778"	"0.3442"	"0.0131"	"0.0012"	"0.4431"	"0.3143"	"0.1771"	"0.4099"	"2.0173"
"1934"	"10.6913"	"0"	"0.8608"	"0.2597"	"0.2194"	"0.0238"	"0"	"0.0357"	"0.0007"	"0.5867"	"0.6443"	"2.162"
"1935"	"10.6805"	"1.1641"	"0.1395"	"1.1401"	"0.0473"	"0.003"	"0.0266"	"0.0462"	"0.0393"	"0.5171"	"0.0454"	"4.1634"
"1936"	"9.0394"	"0.045"	"1.2419"	"0.2563"	"0"	"0.3431"	"0.0916"	"0.1047"	"0"	"0.2989"	"0.5137"	"4.876"
"1937"	"7.8579"	"0.8528"	"1.2569"	"0.5861"	"0"	"0"	"0.0637"	"0"	"0"	"0.5322"	"0.4725"	"9.1711"
"1938"	"8.3139"	"3.6569"	"0"	"0.0148"	"0"	"0.115"	"0"	"0"	"0"	"0"	"1.5086"	"4.2884"
"1939"	"4.4074"	"0.5401"	"1.6138"	"1.0291"	"0.0004"	"0.1778"	"0"	"0"	"0"	"0"	"0.0628"	"0.6899"
