
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"21.874"	"24.03"	"32.56"	"37.346"	"41.964"	"43.325"	"39.59"	"36.892"	"37.558"	"37.95"	"30.618"	"25.937"
"1902"	"24.784"	"26.658"	"34.111"	"38.825"	"42.199"	"40.552"	"39.265"	"38.054"	"37.012"	"36.009"	"30.511"	"24.601"
"1903"	"22.623"	"25.198"	"29.532"	"35.74"	"41.343"	"43.535"	"38.919"	"37.006"	"37.968"	"36.628"	"28.907"	"23.818"
"1904"	"22.151"	"26.463"	"30.726"	"38.835"	"42.295"	"41.621"	"38.343"	"37.047"	"37.589"	"36.443"	"30.509"	"24.979"
"1905"	"20.924"	"21.326"	"28.189"	"35.856"	"43.888"	"41.697"	"39.122"	"38.172"	"37.736"	"36.601"	"31.708"	"24.909"
"1906"	"21.385"	"23.135"	"29.322"	"36.731"	"43.277"	"41.267"	"39.457"	"37.456"	"36.796"	"36.597"	"31.832"	"26.179"
"1907"	"25.801"	"24.377"	"29.63"	"36.241"	"40.108"	"41.447"	"39.91"	"35.397"	"36.052"	"35.438"	"30.561"	"24.14"
"1908"	"23.528"	"26.57"	"30.976"	"38.093"	"41.219"	"41.852"	"36.68"	"34.844"	"35.377"	"34.826"	"29.229"	"23.815"
"1909"	"21.977"	"24.776"	"31.372"	"36.174"	"40.76"	"42.051"	"36.527"	"35.449"	"34.97"	"35.611"	"31.31"	"23.568"
"1910"	"22.682"	"26.481"	"31.32"	"35.861"	"41.842"	"41.95"	"36.525"	"35.277"	"36.606"	"35.127"	"29.181"	"24.188"
"1911"	"23.44"	"27.003"	"29.328"	"36.914"	"42.526"	"41.849"	"39.395"	"37.662"	"37.35"	"36.567"	"27.458"	"24.489"
"1912"	"24.035"	"24.425"	"30.664"	"37.553"	"42.118"	"43.122"	"38.526"	"36.071"	"36.422"	"36.045"	"28.521"	"24.683"
"1913"	"24.157"	"25.349"	"29.214"	"38.425"	"40.936"	"41.243"	"37.306"	"36.261"	"37.133"	"36.475"	"29.625"	"24.233"
"1914"	"24.876"	"24.259"	"30.018"	"37.079"	"42.886"	"41.289"	"36.922"	"36.318"	"37.062"	"35.034"	"29.809"	"23.381"
"1915"	"22.635"	"24.434"	"32.096"	"37.045"	"43.09"	"42.836"	"39.467"	"37.792"	"38.729"	"37.204"	"29.99"	"25.025"
"1916"	"24.637"	"24.468"	"34.271"	"37.908"	"40.208"	"41.219"	"38.973"	"36.106"	"36.304"	"34.111"	"27.54"	"23.923"
"1917"	"23.796"	"27.17"	"31.248"	"34.816"	"38.504"	"41.119"	"37.304"	"34.595"	"34.827"	"33.947"	"28.485"	"25.092"
"1918"	"22.367"	"26.468"	"30.557"	"34.705"	"42.574"	"40.921"	"38.716"	"37.232"	"36.715"	"35.982"	"29.824"	"23.676"
"1919"	"22.843"	"25.483"	"31.469"	"36.278"	"41.012"	"42.917"	"38.536"	"35.931"	"35.755"	"35.594"	"28.695"	"23.902"
"1920"	"22.819"	"25.332"	"31.588"	"36.046"	"38.131"	"39.374"	"37.904"	"35.55"	"38.14"	"37.277"	"30.933"	"24.468"
"1921"	"23.656"	"26.609"	"34.569"	"40.113"	"42.506"	"42.461"	"38.749"	"35.518"	"36.652"	"35.476"	"30.434"	"26.113"
"1922"	"22.525"	"26.67"	"32.133"	"38.293"	"40.965"	"41.298"	"39.188"	"36.346"	"36.225"	"35.357"	"29.732"	"24.878"
"1923"	"23.033"	"25.009"	"32.405"	"37.934"	"40.157"	"42.027"	"38.093"	"35.021"	"36.479"	"35.375"	"28.952"	"23.908"
"1924"	"22.339"	"26.209"	"33.576"	"37.829"	"38.494"	"42.444"	"39.605"	"36.577"	"35.364"	"35.983"	"29.194"	"25.118"
"1925"	"21.945"	"23.785"	"33.394"	"40.789"	"41.224"	"40.238"	"37.037"	"37.115"	"38.215"	"37.167"	"28.821"	"24.757"
"1926"	"23.687"	"28.626"	"30.526"	"35.138"	"39.107"	"42.364"	"38.781"	"35.944"	"35.572"	"35.525"	"27.56"	"24.119"
"1927"	"21.27"	"23.705"	"30.57"	"36.678"	"40.402"	"40.906"	"37.272"	"35.326"	"35.862"	"36.112"	"30.045"	"25.158"
"1928"	"22.598"	"26.853"	"31.906"	"37.448"	"42.117"	"41.111"	"38.026"	"35.979"	"35.583"	"36.016"	"30.957"	"23.504"
"1929"	"22.51"	"24.574"	"33.929"	"37.984"	"41.324"	"41.616"	"36.414"	"35.131"	"36.607"	"35.257"	"30.609"	"22.456"
"1930"	"22.026"	"26.079"	"31.842"	"35.952"	"40.286"	"40.061"	"36.073"	"35.241"	"37.423"	"35.817"	"28.635"	"23.9"
"1931"	"23.584"	"22.082"	"30.528"	"38.552"	"40.786"	"41.16"	"37.76"	"36.656"	"36.317"	"34.798"	"29.634"	"25.317"
"1932"	"25.609"	"26.215"	"32.468"	"38.136"	"41.002"	"42.293"	"38.079"	"35.272"	"37.588"	"35.578"	"29.687"	"24.653"
"1933"	"21.607"	"26.096"	"31.106"	"36.06"	"40.015"	"41.271"	"37.863"	"34.113"	"35.581"	"35.275"	"29.799"	"25.563"
"1934"	"20.372"	"28.093"	"30.576"	"37.438"	"40.548"	"41.313"	"37.911"	"35.946"	"36.74"	"35.119"	"29.928"	"25.891"
"1935"	"20.999"	"26.164"	"31.865"	"34.545"	"41.126"	"42.095"	"37.458"	"35.765"	"36.153"	"34.912"	"30.46"	"24.754"
"1936"	"21.838"	"27.134"	"30.186"	"37.346"	"43.919"	"39.973"	"37.283"	"35.529"	"36.682"	"36.41"	"29.758"	"24.665"
"1937"	"22.817"	"26.085"	"29.868"	"36.404"	"41.871"	"42.608"	"37.167"	"36.608"	"37.091"	"34.405"	"29.38"	"22.598"
"1938"	"21.881"	"24.24"	"32.729"	"38.111"	"42.947"	"40.747"	"38.694"	"36.901"	"37.604"	"36.825"	"28.375"	"24.429"
"1939"	"23.763"	"26.355"	"28.872"	"35.22"	"41.656"	"40.401"	"38.179"	"37.727"	"37.878"	"36.537"	"30.419"	"26.397"
"1940"	"24.475"	"26.5"	"30.26"	"36.114"	"42.209"	"41.085"	"38.542"	"35.878"	"36.212"	"36.583"	"31.375"	"24.915"
