
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.582"	"7.058"	"15.583"	"20.624"	"26.277"	"30.137"	"29.111"	"26.979"	"25.394"	"20.83"	"12.163"	"7.915"
"1902"	"7.506"	"9.666"	"17.114"	"22.107"	"26.521"	"27.382"	"28.794"	"28.137"	"24.837"	"18.883"	"12.068"	"6.583"
"1903"	"5.342"	"8.22"	"12.546"	"19.022"	"25.663"	"30.366"	"28.437"	"26.904"	"25.805"	"19.504"	"10.453"	"5.777"
"1904"	"4.879"	"9.479"	"13.738"	"22.122"	"26.616"	"28.451"	"27.865"	"27.132"	"25.435"	"19.311"	"12.059"	"6.956"
"1905"	"3.628"	"4.348"	"11.182"	"19.142"	"28.215"	"28.528"	"28.65"	"28.249"	"25.569"	"19.455"	"13.266"	"6.876"
"1906"	"4.097"	"6.161"	"12.338"	"20.011"	"27.601"	"28.096"	"28.985"	"27.53"	"24.612"	"19.462"	"13.392"	"8.142"
"1907"	"8.449"	"7.397"	"12.63"	"19.511"	"24.429"	"28.28"	"29.425"	"25.445"	"23.886"	"18.6"	"12.115"	"6.114"
"1908"	"6.255"	"9.6"	"13.924"	"21.388"	"25.536"	"28.659"	"26.196"	"24.912"	"22.998"	"17.708"	"10.772"	"5.789"
"1909"	"4.674"	"7.794"	"14.385"	"19.445"	"25.075"	"28.883"	"26.046"	"25.521"	"22.802"	"18.491"	"12.869"	"5.54"
"1910"	"5.393"	"9.486"	"14.333"	"19.145"	"26.155"	"28.779"	"26.03"	"25.329"	"24.446"	"18.002"	"10.722"	"6.162"
"1911"	"6.156"	"10.005"	"12.334"	"20.2"	"26.853"	"28.679"	"28.907"	"27.748"	"25.184"	"19.442"	"9.004"	"6.47"
"1912"	"6.74"	"7.445"	"13.664"	"20.84"	"26.438"	"29.952"	"28.039"	"26.155"	"24.268"	"18.911"	"10.072"	"6.831"
"1913"	"6.868"	"8.353"	"12.223"	"21.692"	"25.174"	"28.074"	"26.816"	"26.338"	"24.958"	"19.356"	"11.174"	"6.201"
"1914"	"7.603"	"7.283"	"13.03"	"20.365"	"27.205"	"28.117"	"26.427"	"26.383"	"24.899"	"17.905"	"12.707"	"5.353"
"1915"	"5.352"	"7.453"	"15.115"	"20.533"	"27.41"	"29.646"	"28.993"	"27.864"	"26.566"	"20.077"	"11.451"	"7.006"
"1916"	"7.356"	"7.492"	"17.163"	"21.14"	"24.534"	"28.054"	"27.877"	"26.183"	"24.13"	"16.974"	"9.091"	"5.899"
"1917"	"6.482"	"10.184"	"14.258"	"18.094"	"22.815"	"27.948"	"26.827"	"24.671"	"22.652"	"16.797"	"10.045"	"7.057"
"1918"	"5.076"	"9.473"	"13.578"	"17.981"	"26.896"	"27.744"	"28.241"	"27.294"	"24.533"	"18.852"	"11.367"	"5.65"
"1919"	"4.819"	"8.504"	"14.491"	"19.548"	"25.339"	"29.749"	"28.052"	"26.006"	"23.594"	"18.473"	"10.253"	"5.645"
"1920"	"5.673"	"8.411"	"14.546"	"19.532"	"22.456"	"26.194"	"27.421"	"25.572"	"26.101"	"20.133"	"12.482"	"6.44"
"1921"	"6.373"	"9.612"	"17.681"	"23.4"	"26.833"	"29.288"	"28.262"	"25.607"	"24.482"	"18.169"	"11.973"	"8.074"
"1922"	"5.23"	"9.7"	"15.133"	"21.559"	"25.281"	"28.067"	"28.626"	"26.419"	"24.051"	"17.817"	"11.285"	"6.856"
"1923"	"5.744"	"8.015"	"15.42"	"21.218"	"24.474"	"28.857"	"27.622"	"25.097"	"24.308"	"18.237"	"10.504"	"5.876"
"1924"	"4.794"	"9.223"	"16.6"	"21.094"	"22.806"	"29.272"	"29.12"	"26.66"	"23.183"	"18.457"	"10.738"	"7.08"
"1925"	"4.678"	"6.807"	"16.404"	"24.064"	"25.54"	"27.066"	"26.556"	"27.201"	"26.052"	"20.035"	"10.381"	"6.738"
"1926"	"6.397"	"11.635"	"13.543"	"18.408"	"23.431"	"29.184"	"28.298"	"26.003"	"23.392"	"18.149"	"8.907"	"6.112"
"1927"	"3.988"	"6.737"	"13.523"	"19.958"	"24.709"	"27.738"	"26.784"	"25.394"	"23.682"	"18.99"	"11.606"	"7.121"
"1928"	"5.307"	"9.799"	"14.919"	"20.711"	"26.43"	"27.943"	"27.547"	"26.056"	"23.474"	"18.883"	"12.316"	"5.635"
"1929"	"5.229"	"7.692"	"16.948"	"21.256"	"25.647"	"28.445"	"25.92"	"25.199"	"24.441"	"18.131"	"12.115"	"4.425"
"1930"	"4.74"	"9.212"	"14.85"	"19.218"	"24.62"	"26.97"	"25.584"	"25.325"	"25.275"	"18.695"	"10.191"	"5.864"
"1931"	"6.302"	"5.588"	"13.549"	"21.812"	"25.157"	"28.184"	"27.276"	"26.736"	"23.951"	"17.662"	"11.193"	"7.284"
"1932"	"8.349"	"9.224"	"15.213"	"21.242"	"25.319"	"29.109"	"27.601"	"25.335"	"25.428"	"18.451"	"11.241"	"6.763"
"1933"	"3.926"	"9.27"	"14.205"	"19.324"	"24.333"	"28.104"	"27.385"	"24.185"	"23.425"	"18.143"	"11.534"	"7.886"
"1934"	"3.026"	"10.924"	"13.577"	"20.71"	"24.875"	"28.142"	"27.395"	"26.016"	"24.569"	"17.711"	"11.484"	"7.854"
