
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.89"	"5.5"	"6.99"	"8.36"	"9.13"	"8.91"	"7.66"	"7.01"	"7.2"	"7.52"	"6.28"	"5.18"
"1902"	"5.07"	"5.71"	"7.08"	"8.46"	"9.31"	"8.85"	"7.54"	"7.05"	"7.27"	"7.44"	"6.25"	"5.16"
"1903"	"4.91"	"5.67"	"6.82"	"8.21"	"9.07"	"8.91"	"7.63"	"7.03"	"7.23"	"7.53"	"6.18"	"5.07"
"1904"	"4.84"	"5.72"	"6.86"	"8.37"	"9.24"	"8.9"	"7.58"	"6.97"	"7.24"	"7.46"	"6.23"	"5.2"
"1905"	"4.88"	"5.36"	"6.62"	"8.1"	"9.22"	"8.91"	"7.55"	"7.03"	"7.27"	"7.46"	"6.32"	"5.21"
"1906"	"4.86"	"5.46"	"6.74"	"8.21"	"9.23"	"8.88"	"7.57"	"7.05"	"7.23"	"7.43"	"6.3"	"5.2"
"1907"	"5.2"	"5.66"	"6.79"	"8.27"	"9.09"	"8.79"	"7.64"	"7.01"	"7.18"	"7.33"	"6.25"	"5.09"
"1908"	"4.94"	"5.74"	"6.9"	"8.37"	"9.18"	"8.93"	"7.58"	"6.93"	"7.2"	"7.38"	"6.14"	"5.07"
"1909"	"4.86"	"5.56"	"6.92"	"8.31"	"9.12"	"8.93"	"7.55"	"6.95"	"7.17"	"7.36"	"6.33"	"5.08"
"1910"	"4.87"	"5.7"	"6.99"	"8.25"	"9.14"	"8.93"	"7.54"	"6.9"	"7.19"	"7.43"	"6.13"	"5.07"
"1911"	"4.92"	"5.81"	"6.81"	"8.23"	"9.2"	"8.9"	"7.62"	"7.03"	"7.25"	"7.54"	"6.1"	"5.06"
"1912"	"5.05"	"5.58"	"6.86"	"8.35"	"9.18"	"8.93"	"7.66"	"6.98"	"7.19"	"7.49"	"6.13"	"5.07"
"1913"	"5.02"	"5.72"	"6.74"	"8.36"	"9.23"	"8.9"	"7.54"	"6.94"	"7.22"	"7.48"	"6.23"	"5.06"
