
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.66"	"0.231"	"0.911"	"0.114"	"13.3"	"5.099"	"60.695"	"58.874"	"1.223"	"0.18"	"0"	"0.897"
"1902"	"0"	"0"	"0.073"	"0.251"	"9.183"	"38.818"	"22.888"	"47.366"	"30.573"	"1.974"	"0"	"0.036"
"1903"	"2.291"	"0"	"2.269"	"0.123"	"4.472"	"6.908"	"118.927"	"59.237"	"47.679"	"0.072"	"0"	"3.065"
"1904"	"6.23"	"1.149"	"24.411"	"2.602"	"1.963"	"21.652"	"13.195"	"31.162"	"48.473"	"2.146"	"5.486"	"6.235"
"1905"	"11.729"	"6.966"	"1.535"	"9.175"	"0.589"	"5.544"	"11.633"	"0.698"	"33.02"	"0.024"	"0"	"2.151"
"1906"	"0"	"76.107"	"15.615"	"0.118"	"0.366"	"17.122"	"38.305"	"84.986"	"42.449"	"0.05"	"0"	"11.016"
"1907"	"0.511"	"12.559"	"3.978"	"21.067"	"5.539"	"31.338"	"105.894"	"99.74"	"0.315"	"0.034"	"0"	"0"
"1908"	"8.388"	"0.225"	"0.005"	"30.448"	"3.392"	"10.108"	"161.946"	"163.295"	"61.146"	"0.034"	"0.236"	"0.068"
"1909"	"3.038"	"5.31"	"0.005"	"55.342"	"0.854"	"40.436"	"170.704"	"134.023"	"91.215"	"0"	"0"	"8.33"
"1910"	"2.154"	"0.238"	"0.025"	"13.29"	"0.394"	"44.483"	"62.239"	"191.307"	"11.503"	"1.983"	"0"	"0.001"
"1911"	"4.151"	"0.027"	"50.678"	"7.046"	"0.386"	"18.517"	"7.787"	"21.609"	"11.397"	"3.991"	"1.79"	"0.043"
"1912"	"1.838"	"0.296"	"0.633"	"10.718"	"2.345"	"22.198"	"43.437"	"72.592"	"4.76"	"4.904"	"1.86"	"0.005"
"1913"	"0"	"5.572"	"2.823"	"7.036"	"12.02"	"38.766"	"43.289"	"15.777"	"35.787"	"0"	"4.233"	"3.218"
"1914"	"8.596"	"4.847"	"2.195"	"12.466"	"1.578"	"63.792"	"113.928"	"34.943"	"43.115"	"1.891"	"2.726"	"0.126"
"1915"	"6.105"	"27.339"	"8.298"	"1.895"	"0.164"	"7.033"	"29.353"	"20.16"	"4.508"	"18.332"	"0"	"0.001"
"1916"	"0.586"	"0.975"	"1.252"	"32.228"	"33.854"	"47.974"	"119.495"	"150.378"	"59.211"	"19.416"	"0"	"0"
"1917"	"3.981"	"2.493"	"0.842"	"73.465"	"67.347"	"22.219"	"41.571"	"162.964"	"159.041"	"8.267"	"0"	"5.655"
"1918"	"0.57"	"0"	"3.79"	"3.052"	"0.153"	"4.935"	"1.654"	"30.238"	"7.284"	"0"	"0.001"	"6.108"
"1919"	"14.522"	"3.945"	"0.243"	"48.69"	"9.01"	"0.355"	"46.562"	"165.348"	"127.149"	"0"	"2.749"	"2.156"
"1920"	"1.001"	"2.366"	"0.39"	"52.532"	"21.194"	"97.396"	"103.23"	"18.038"	"0.341"	"0"	"0"	"0"
"1921"	"0.177"	"0.017"	"0.005"	"2.429"	"0.11"	"8.291"	"189.89"	"112.64"	"40.651"	"0.097"	"0"	"2.015"
"1922"	"1.199"	"1.36"	"0.671"	"16.551"	"3.601"	"6.188"	"93.224"	"16.611"	"59.214"	"4.33"	"0"	"4.738"
"1923"	"4.336"	"4.219"	"0.884"	"2.677"	"19.241"	"24.516"	"98.43"	"91.315"	"3.926"	"0.218"	"0"	"13.657"
"1924"	"12.525"	"1.536"	"1.287"	"4.803"	"7.67"	"9.9"	"37.47"	"54.787"	"73.674"	"0.184"	"0.019"	"14.584"
