
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.2265"	"0.2228"	"0.7812"	"0.1144"	"1.6641"	"1.1154"	"4.2154"	"3.1951"	"0.5863"	"0.1805"	"0"	"0.5746"
"1902"	"0"	"0"	"0.0722"	"0.2343"	"1.4912"	"2.6241"	"2.7082"	"3.6546"	"2.0823"	"0.9964"	"0"	"0.0368"
"1903"	"1.0366"	"0"	"1.1273"	"0.1222"	"1.3507"	"1.1224"	"5.3847"	"3.4406"	"2.8749"	"0.0718"	"0"	"0.9925"
"1904"	"1.1922"	"0.8585"	"2.4854"	"1.1839"	"0.8665"	"1.8247"	"2.043"	"2.4869"	"2.442"	"0.9912"	"0.9998"	"1.0004"
"1905"	"1.4178"	"1.4443"	"1.0828"	"1.1849"	"0.438"	"1.1682"	"2.191"	"0.6995"	"2.3981"	"0.0243"	"0"	"0.9754"
"1906"	"0"	"3.3342"	"2.2744"	"0.118"	"0.366"	"1.7649"	"3.92"	"3.8117"	"2.8511"	"0.0492"	"0"	"1.0012"
"1907"	"0.4399"	"1.5926"	"1.2091"	"1.7307"	"1.0289"	"1.5396"	"3.8046"	"4.5354"	"0.314"	"0.0339"	"0"	"0"
"1908"	"1.277"	"0.2187"	"0.0047"	"1.8722"	"1.0289"	"1.3658"	"6.2928"	"6.0987"	"2.9227"	"0.0334"	"0.1927"	"0.0681"
"1909"	"1.0325"	"1.2039"	"0.0047"	"2.0969"	"0.5409"	"2.3891"	"6.8094"	"4.4304"	"3.6876"	"0"	"0"	"1.0044"
"1910"	"1.0376"	"0.2361"	"0.0251"	"1.2756"	"0.3652"	"2.8051"	"3.9264"	"5.7951"	"1.2328"	"0.9885"	"0"	"0.0009"
"1911"	"1.2798"	"0.0269"	"3.1811"	"1.1858"	"0.3839"	"1.7424"	"1.3523"	"1.7429"	"1.7745"	"0.9997"	"0.9452"	"0.0431"
"1912"	"1.0698"	"0.2739"	"0.6359"	"1.4349"	"1.0285"	"1.8813"	"3.6328"	"4.2512"	"1.0711"	"0.9857"	"0.4715"	"0.005"
"1913"	"0"	"1.2211"	"1.2372"	"1.1849"	"1.4214"	"2.5492"	"4.1708"	"2.7235"	"2.8129"	"0"	"0.9998"	"0.9897"
"1914"	"1.3175"	"1.375"	"1.2284"	"1.3608"	"1.0009"	"3.3067"	"5.3597"	"2.6304"	"2.7385"	"0.9475"	"0.9359"	"0.1259"
"1915"	"1.138"	"2.1296"	"2.0726"	"0.9714"	"0.1651"	"1.3993"	"2.6098"	"1.7469"	"1.3178"	"0.9997"	"0"	"0.0009"
"1916"	"0.5883"	"0.7403"	"1.045"	"1.9279"	"2.162"	"2.7025"	"4.7989"	"6.1887"	"2.9778"	"0.9997"	"0"	"0"
"1917"	"1.0628"	"0.5711"	"0.8118"	"2.7568"	"3.0528"	"2.649"	"3.9202"	"6.1509"	"4.9632"	"0.9997"	"0"	"1.0005"
"1918"	"0.5688"	"0.0005"	"1.3322"	"1.1859"	"0.1538"	"1.5161"	"1.0697"	"2.7233"	"1.1236"	"0"	"0.0009"	"1.0014"
"1919"	"1.5033"	"1.1754"	"0.2429"	"2.1139"	"1.2185"	"0.3569"	"3.9784"	"5.1138"	"2.9787"	"0"	"0.9764"	"0.9605"
"1920"	"0.7515"	"1.1444"	"0.3582"	"2.2201"	"1.9199"	"3.6988"	"4.2022"	"2.1894"	"0.3408"	"0"	"0"	"0"
"1921"	"0.1632"	"0.0168"	"0.0046"	"1.1819"	"0.1104"	"1.2041"	"6.6195"	"4.6468"	"2.4943"	"0.0964"	"0"	"0.9607"
"1922"	"0.9234"	"1.0594"	"0.6716"	"1.4031"	"1.0289"	"1.4057"	"4.3345"	"2.4952"	"2.9305"	"0.9997"	"0"	"1.0025"
"1923"	"1.1155"	"1.2752"	"0.8787"	"1.1824"	"1.5469"	"1.4507"	"4.6034"	"4.4705"	"1.1383"	"0.2161"	"0"	"1.0029"
"1924"	"1.452"	"0.9743"	"1.0461"	"1.1849"	"1.4555"	"1.2525"	"3.6909"	"3.2048"	"3.1751"	"0.17"	"0.0198"	"1.0036"
"1925"	"0.0617"	"0.1523"	"0.0012"	"0.0616"	"1.1423"	"3.324"	"4.1321"	"2.018"	"1.0392"	"0.2237"	"1.0001"	"0"
"1926"	"0.874"	"0.1044"	"2.1581"	"0.9568"	"1.7638"	"0.4731"	"4.9658"	"5.0588"	"3.064"	"0.0334"	"0.022"	"1.0007"
"1927"	"0.0998"	"1.7472"	"0.1645"	"0.31"	"1.391"	"1.2772"	"5.8177"	"4.8664"	"1.4829"	"0.9935"	"0"	"1.0023"
"1928"	"0.2599"	"0.7115"	"1.0551"	"1.1934"	"1.0234"	"1.2078"	"4.2355"	"4.717"	"2.0073"	"0.9987"	"0.9249"	"0.292"
"1929"	"1.0964"	"0.0269"	"0.0983"	"1.2026"	"1.1325"	"1.4977"	"5.8323"	"4.304"	"1.0444"	"0"	"0.7109"	"1.0015"
"1930"	"1.0523"	"1.1161"	"0.0642"	"2.0447"	"1.6049"	"3.0676"	"4.7992"	"2.1173"	"0.9055"	"0.4289"	"0.9998"	"0.019"
"1931"	"0.2073"	"1.1627"	"1.3157"	"0.458"	"1.1173"	"1.3639"	"3.9382"	"4.8878"	"1.0077"	"0.9997"	"0.1015"	"0.1261"
"1932"	"0.1953"	"0.4"	"1.3286"	"1.1942"	"1.0319"	"1.1227"	"4.5166"	"4.586"	"0.9525"	"0.1202"	"0.0129"	"0.1326"
