
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.063"	"17.715"	"25.134"	"29.768"	"34.722"	"35.167"	"31.339"	"27.042"	"29.011"	"28.969"	"22.16"	"18.467"
"1902"	"17.87"	"20.039"	"27.627"	"31.429"	"34.52"	"33.91"	"29.606"	"29.195"	"27.357"	"26.548"	"21.062"	"16.951"
"1903"	"16.797"	"18.307"	"23.621"	"28.552"	"32.913"	"35.524"	"30.668"	"27.352"	"27.42"	"26.324"	"20.197"	"16.49"
"1904"	"16.605"	"19.136"	"24.029"	"31.515"	"34.027"	"32.726"	"27.735"	"26.524"	"28.077"	"26.758"	"21.356"	"17.478"
"1905"	"15.445"	"14.387"	"22.191"	"27.96"	"35.539"	"35.098"	"30.034"	"28.743"	"29.781"	"28.483"	"23.654"	"18.205"
"1906"	"15.661"	"17.378"	"23.759"	"30.292"	"35.977"	"32.97"	"28.518"	"28.555"	"26.92"	"26.498"	"22.101"	"18.042"
"1907"	"18.187"	"18.066"	"23.273"	"28.553"	"32.258"	"34.077"	"32.102"	"26.918"	"28.212"	"27.805"	"22.139"	"16.425"
"1908"	"16.451"	"19.351"	"23.962"	"31.139"	"34.086"	"33.779"	"27.385"	"26.552"	"27.094"	"26.278"	"21.162"	"16.712"
"1909"	"16.649"	"18.967"	"26.579"	"28.524"	"33.183"	"32.109"	"27.638"	"26.653"	"27.005"	"26.888"	"22.767"	"16.58"
"1910"	"16.059"	"19.62"	"25.014"	"29.108"	"34.035"	"30.684"	"28.067"	"27.55"	"27.373"	"25.196"	"20.291"	"17.582"
"1911"	"18.481"	"19.568"	"22.924"	"29.842"	"35.167"	"32.622"	"31.265"	"29.453"	"27.13"	"27.806"	"20.46"	"17.874"
"1912"	"17.946"	"20.869"	"24.281"	"30.626"	"34.56"	"34.825"	"29.238"	"27.08"	"26.88"	"26.672"	"20.29"	"17.219"
"1913"	"17.089"	"19.175"	"23.072"	"31.584"	"32.79"	"31.455"	"29.07"	"27.968"	"28.864"	"28.668"	"21.675"	"17.433"
"1914"	"18.572"	"19.174"	"24.272"	"30.432"	"34.692"	"31.974"	"28.484"	"27.649"	"28.347"	"26.911"	"22.996"	"17.102"
"1915"	"16.663"	"17.196"	"24.83"	"30.126"	"35.235"	"34.665"	"32.086"	"28.673"	"30.727"	"28.488"	"22.086"	"18.621"
"1916"	"17.851"	"18.758"	"27.271"	"31.513"	"33.729"	"30.951"	"30.12"	"27.002"	"27.783"	"25.683"	"19.599"	"16.585"
"1917"	"17.588"	"19.427"	"24.369"	"27.879"	"30.906"	"30.76"	"27.345"	"26.524"	"26.23"	"24.374"	"18.488"	"17.018"
"1918"	"15.159"	"19.655"	"24.63"	"28.122"	"35.067"	"32.411"	"30.812"	"28.75"	"28.521"	"27.913"	"21.995"	"16.222"
"1919"	"16.76"	"18.3"	"25.498"	"29.35"	"33.264"	"33.44"	"28.051"	"26.759"	"27.023"	"26.413"	"21.105"	"16.595"
"1920"	"16.803"	"18.97"	"25.475"	"29.602"	"30.728"	"31.177"	"27.358"	"27.167"	"29.47"	"28.464"	"22.776"	"18.06"
"1921"	"17.248"	"19.577"	"27.477"	"32.1"	"35.115"	"34.091"	"31.625"	"27.391"	"26.258"	"26.442"	"21.591"	"19.2"
"1922"	"16.168"	"20.619"	"25.936"	"30.848"	"33.878"	"32.521"	"28.679"	"27.032"	"26.694"	"26.292"	"21.16"	"17.095"
"1923"	"16.63"	"18.662"	"25.306"	"30.633"	"32.975"	"35.139"	"28.96"	"26.128"	"27.383"	"26.037"	"21.148"	"17.388"
"1924"	"15.705"	"19.316"	"26.533"	"31.1"	"31.828"	"33.763"	"29.128"	"26.936"	"26.524"	"24.976"	"19.93"	"17.016"
"1925"	"14.791"	"17.13"	"25.31"	"32.091"	"32.992"	"29.883"	"27.045"	"28.86"	"29.88"	"28.476"	"21.408"	"17.613"
"1926"	"17.483"	"21.646"	"23.562"	"26.827"	"31.994"	"34.929"	"29.484"	"27.263"	"26.337"	"25.882"	"18.935"	"15.888"
"1927"	"14.426"	"17.038"	"23.189"	"29.158"	"32.965"	"33.313"	"28.59"	"26.599"	"27.014"	"26.464"	"19.087"	"17.384"
"1928"	"16.073"	"19.22"	"25.105"	"29.844"	"34.413"	"33.151"	"28.652"	"27.866"	"27.759"	"26.644"	"21.692"	"16.468"
"1929"	"15.675"	"17.357"	"26.432"	"30.471"	"34.175"	"33.307"	"28.42"	"27.244"	"28.387"	"27.217"	"22.578"	"16.456"
"1930"	"16.749"	"19.091"	"25.825"	"29.462"	"32.985"	"32.861"	"27.906"	"27.539"	"29.693"	"28.491"	"21.048"	"17.978"
"1931"	"18.448"	"17.835"	"24.428"	"31.642"	"34.43"	"35.012"	"29.732"	"27.513"	"27.584"	"25.558"	"21.3"	"18.029"
"1932"	"19.926"	"18.715"	"24.917"	"29.45"	"33.444"	"33.767"	"29.335"	"27.31"	"28.659"	"27.558"	"20.416"	"17.806"
"1933"	"15.192"	"19.559"	"24.787"	"28.25"	"31.262"	"31.839"	"28.542"	"26.775"	"26.227"	"25.607"	"20.98"	"17.493"
"1934"	"15.291"	"20.568"	"23.823"	"30.104"	"33.41"	"32.449"	"28.258"	"26.992"	"26.638"	"25.609"	"20.944"	"17.863"
