
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"16.888"	"13.522"	"25.528"	"22.378"	"24.831"	"44.35"	"67.789"	"66.668"	"45.253"	"17.484"	"11.301"	"12.58"
"1902"	"16.888"	"13.668"	"25.559"	"22.378"	"24.831"	"44.494"	"67.681"	"66.871"	"45.167"	"17.531"	"11.301"	"12.58"
"1903"	"16.888"	"13.668"	"25.559"	"22.378"	"24.749"	"44.35"	"67.681"	"66.965"	"45.253"	"17.39"	"11.301"	"12.58"
"1904"	"16.888"	"13.668"	"25.559"	"22.378"	"24.831"	"44.35"	"67.552"	"66.774"	"45.253"	"17.531"	"11.301"	"12.58"
"1905"	"16.888"	"13.668"	"25.559"	"22.378"	"24.831"	"44.35"	"67.681"	"66.965"	"45.253"	"17.531"	"11.301"	"12.58"
"1906"	"16.888"	"13.668"	"25.513"	"22.378"	"24.831"	"44.35"	"67.681"	"66.965"	"45.253"	"17.191"	"11.301"	"12.58"
"1907"	"16.888"	"13.668"	"25.559"	"22.378"	"24.831"	"44.35"	"67.704"	"66.965"	"45.253"	"17.975"	"11.868"	"12.564"
"1908"	"16.888"	"13.668"	"25.559"	"22.378"	"24.749"	"44.34"	"67.681"	"66.934"	"45.253"	"17.531"	"11.301"	"12.58"
"1909"	"16.752"	"13.668"	"25.559"	"22.378"	"24.603"	"44.393"	"67.681"	"66.682"	"45.159"	"17.531"	"11.301"	"12.58"
"1910"	"16.888"	"13.668"	"25.559"	"22.378"	"24.73"	"44.35"	"67.975"	"66.774"	"45.253"	"17.531"	"11.301"	"12.58"
"1911"	"16.888"	"13.668"	"25.559"	"22.378"	"24.831"	"44.35"	"67.681"	"66.965"	"45.253"	"17.531"	"11.079"	"12.58"
"1912"	"16.888"	"13.668"	"25.513"	"22.004"	"24.831"	"44.35"	"66.842"	"66.71"	"45.022"	"17.531"	"10.968"	"12.58"
"1913"	"16.888"	"13.668"	"25.559"	"22.378"	"24.233"	"44.266"	"67.759"	"66.965"	"45.062"	"17.531"	"11.301"	"12.58"
"1914"	"16.888"	"13.668"	"25.462"	"22.284"	"24.384"	"44.039"	"67.307"	"66.965"	"44.842"	"17.245"	"11.301"	"12.58"
"1915"	"16.888"	"13.668"	"25.117"	"22.378"	"24.004"	"44.293"	"67.349"	"66.324"	"44.754"	"17.39"	"11.016"	"12.58"
"1916"	"16.888"	"13.668"	"25.559"	"22.378"	"24.831"	"44.35"	"67.25"	"66.965"	"45.253"	"17.14"	"11.301"	"12.58"
"1917"	"16.752"	"13.367"	"25.528"	"21.819"	"24.071"	"44.036"	"66.87"	"66.55"	"45.034"	"17.531"	"11.222"	"12.58"
"1918"	"16.888"	"13.668"	"25.559"	"22.378"	"24.275"	"44.504"	"67.601"	"66.84"	"45.002"	"17.402"	"11.301"	"12.676"
"1919"	"16.888"	"13.668"	"25.559"	"21.943"	"24.831"	"44.35"	"67.681"	"66.72"	"44.907"	"16.806"	"10.674"	"12.58"
"1920"	"17.13"	"13.668"	"25.559"	"22.378"	"24.831"	"44.35"	"67.638"	"66.232"	"45.253"	"16.959"	"11.301"	"12.58"
"1921"	"16.888"	"13.668"	"25.559"	"22.378"	"24.831"	"44.35"	"66.711"	"66.705"	"45.253"	"17.12"	"11.222"	"12.58"
"1922"	"16.888"	"13.668"	"25.559"	"22.378"	"24.831"	"44.354"	"67.681"	"66.682"	"45.253"	"17.531"	"11.293"	"12.58"
"1923"	"16.888"	"13.668"	"25.559"	"22.378"	"24.831"	"44.597"	"67.895"	"66.965"	"45.253"	"17.106"	"10.575"	"11.916"
"1924"	"16.603"	"13.171"	"25.559"	"22.378"	"24.831"	"44.35"	"67.681"	"66.965"	"45.253"	"17.02"	"11.222"	"12.58"
"1925"	"16.888"	"13.067"	"24.912"	"21.943"	"23.944"	"44.503"	"67.349"	"66.334"	"45.112"	"17.531"	"10.678"	"11.701"
"1926"	"16.752"	"13.668"	"25.418"	"22.814"	"24.399"	"44.35"	"67.681"	"66.965"	"45.253"	"17.191"	"11.301"	"12.58"
"1927"	"17.024"	"13.668"	"25.313"	"22.378"	"24.831"	"44.393"	"67.681"	"66.882"	"45.253"	"17.531"	"11.301"	"12.58"
"1928"	"16.888"	"13.668"	"25.559"	"22.378"	"24.831"	"44.35"	"67.681"	"66.965"	"45.253"	"17.531"	"11.301"	"12.56"
"1929"	"16.845"	"13.668"	"25.313"	"21.642"	"24.831"	"44.35"	"67.844"	"66.965"	"45.253"	"17.191"	"11.301"	"13.026"
"1930"	"16.888"	"13.668"	"25.09"	"22.329"	"24.62"	"44.696"	"67.838"	"66.965"	"45.801"	"17.588"	"10.478"	"12.58"
"1931"	"14.453"	"16.802"	"21.965"	"15.654"	"19.804"	"31.339"	"62.572"	"64.37"	"42.029"	"19.921"	"2.219"	"8.496"
"1932"	"14.177"	"9.627"	"23.244"	"18.57"	"19.785"	"39.59"	"63.696"	"66.546"	"38.273"	"8.743"	"0"	"9.637"
"1933"	"15.016"	"12.982"	"22.958"	"22.482"	"28.564"	"42.63"	"66.755"	"71.169"	"48.883"	"15.597"	"5.869"	"9.855"
