
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"14.985"	"15.406"	"15.845"	"14.923"	"13.659"	"11.576"	"8.129"	"6.77"	"9.363"	"14.039"	"15.363"	"15.239"
"1902"	"14.985"	"15.406"	"15.845"	"14.923"	"13.659"	"11.576"	"8.129"	"6.77"	"9.363"	"14.039"	"15.363"	"15.239"
"1903"	"14.985"	"15.406"	"15.845"	"14.923"	"13.659"	"11.576"	"8.129"	"6.77"	"9.363"	"14.039"	"15.363"	"15.239"
"1904"	"14.985"	"15.406"	"15.845"	"14.923"	"13.659"	"11.576"	"8.129"	"6.77"	"9.363"	"14.039"	"15.363"	"15.239"
"1905"	"14.985"	"15.406"	"15.845"	"14.923"	"13.659"	"11.576"	"8.129"	"6.77"	"9.363"	"14.039"	"15.363"	"15.239"
"1906"	"14.985"	"15.406"	"15.845"	"14.923"	"13.659"	"11.576"	"8.129"	"6.77"	"9.363"	"14.039"	"15.363"	"15.239"
"1907"	"14.985"	"15.406"	"15.845"	"14.923"	"13.659"	"11.576"	"8.129"	"6.77"	"9.363"	"14.039"	"15.363"	"15.239"
"1908"	"14.985"	"15.406"	"15.845"	"14.923"	"13.659"	"11.576"	"8.129"	"6.77"	"9.363"	"14.039"	"15.363"	"15.239"
"1909"	"14.985"	"15.406"	"15.845"	"14.923"	"13.659"	"11.576"	"8.129"	"6.77"	"9.363"	"14.039"	"15.363"	"15.239"
"1910"	"14.985"	"15.406"	"15.845"	"14.923"	"13.659"	"11.576"	"8.129"	"6.77"	"9.363"	"14.039"	"15.363"	"15.239"
"1911"	"14.985"	"15.406"	"15.845"	"14.923"	"13.659"	"11.576"	"8.129"	"6.77"	"9.363"	"14.039"	"15.363"	"15.239"
"1912"	"14.985"	"15.406"	"15.845"	"14.923"	"13.659"	"11.576"	"8.129"	"6.77"	"9.363"	"14.039"	"15.363"	"15.239"
"1913"	"14.985"	"15.406"	"15.845"	"14.923"	"13.659"	"11.576"	"8.129"	"6.77"	"9.363"	"14.039"	"15.363"	"15.239"
"1914"	"14.985"	"15.406"	"15.845"	"14.923"	"13.659"	"11.576"	"8.129"	"6.77"	"9.363"	"14.039"	"15.026"	"15.239"
"1915"	"14.985"	"15.406"	"15.845"	"14.923"	"13.659"	"11.576"	"8.129"	"6.77"	"9.363"	"14.039"	"15.363"	"15.239"
"1916"	"14.985"	"15.406"	"15.845"	"14.923"	"13.659"	"11.576"	"8.29"	"6.77"	"9.363"	"14.039"	"15.363"	"15.239"
"1917"	"14.985"	"15.406"	"15.845"	"14.923"	"13.659"	"11.576"	"8.129"	"6.77"	"9.363"	"14.039"	"15.363"	"15.239"
"1918"	"14.985"	"15.406"	"15.845"	"14.923"	"13.659"	"11.576"	"8.129"	"6.77"	"9.363"	"14.039"	"15.363"	"15.239"
"1919"	"15.127"	"15.406"	"15.845"	"14.923"	"13.659"	"11.576"	"8.129"	"6.77"	"9.363"	"14.039"	"15.363"	"15.239"
