
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.5604"	"0.8032"	"0.0207"	"0.207"	"0"	"0"	"0"	"0.0141"	"0"	"0"	"0.0165"	"0"
"1902"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0024"	"0.0306"	"0.1865"	"1.8924"
"1903"	"0.0055"	"0.4408"	"0.4621"	"0.4822"	"0.0403"	"0"	"0"	"0"	"0"	"0.06"	"0.4653"	"2.3299"
"1904"	"0.3587"	"0.0428"	"0.3266"	"0"	"0"	"0"	"0.0145"	"0.0484"	"0.0018"	"0.0012"	"0.2326"	"0.5973"
"1905"	"2.7626"	"1.2231"	"0.6652"	"0.592"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2714"
"1906"	"2.527"	"0.7711"	"0.5234"	"0.0937"	"0"	"0"	"0.0012"	"0"	"0.0538"	"0.0215"	"0"	"0"
"1907"	"0"	"0.5969"	"0.5123"	"0.5908"	"0.1426"	"0"	"0"	"0.0742"	"0"	"0"	"0"	"2.5603"
"1908"	"0.9629"	"0.141"	"0.3352"	"0"	"0.0037"	"0"	"0.0181"	"0.084"	"0.0281"	"0.1779"	"0.3258"	"2.172"
"1909"	"1.5178"	"0.3624"	"0"	"0.5297"	"0.0582"	"0.0355"	"0.0175"	"0.0742"	"0.1004"	"0.1235"	"0.0454"	"1.7519"
"1910"	"1.31"	"0.003"	"0.0355"	"0.4494"	"0.0111"	"0.0809"	"0.0072"	"0"	"0.0006"	"0.4928"	"0.4193"	"1.0251"
"1911"	"0"	"0.0042"	"0.5545"	"0.181"	"0"	"0.0154"	"0"	"0"	"0.0507"	"0"	"0.3628"	"0.5162"
"1912"	"0"	"0"	"0.3043"	"0.0092"	"0"	"0"	"0"	"0"	"0.0808"	"0.0634"	"0.5081"	"1.5653"
"1913"	"0"	"0.089"	"0.5818"	"0"	"0.1077"	"0.1355"	"0"	"0"	"0"	"0"	"0.1261"	"0.8356"
"1914"	"0"	"0.2838"	"0.3437"	"0.0904"	"0"	"0"	"0.0036"	"0"	"0"	"0.0578"	"0"	"1.6461"
"1915"	"0.315"	"0.6836"	"0.1011"	"0.1575"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0603"	"0"
"1916"	"0"	"0.5178"	"0"	"0"	"0"	"0.1128"	"0"	"0"	"0"	"0.3671"	"0.566"	"2.8207"
"1917"	"0"	"0.1457"	"0.2945"	"0.6231"	"0.2511"	"0.1288"	"0.0175"	"0.0914"	"0.1419"	"0.544"	"0.5679"	"0.9607"
"1918"	"2.6172"	"0"	"0.2593"	"0.5899"	"0"	"0.0275"	"0"	"0"	"0"	"0"	"0.0205"	"2.0499"
"1919"	"0.5041"	"0.3626"	"0.0248"	"0.3029"	"0.036"	"0"	"0.009"	"0.0417"	"0.044"	"0.1504"	"0.134"	"2.0537"
"1920"	"0.0385"	"0.2688"	"0.0042"	"0.2407"	"0.2695"	"0.1325"	"0.0181"	"0"	"0"	"0"	"0"	"0.4141"
"1921"	"0"	"0.0299"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1345"	"0.1598"	"0.2931"	"0"
"1922"	"1.3118"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0074"	"0.0991"	"0.203"	"0.2952"	"1.7194"
"1923"	"0.2036"	"0.3151"	"0"	"0.0037"	"0.0613"	"0"	"0"	"0.1202"	"0"	"0.2483"	"0.3333"	"0.5015"
"1924"	"1.6208"	"0.0851"	"0"	"0"	"0.164"	"0"	"0"	"0"	"0.0948"	"0.4653"	"0.5094"	"1.3919"
"1925"	"3.3488"	"0.8027"	"0.0042"	"0"	"0.085"	"0.1772"	"0.034"	"0"	"0"	"0"	"0.2312"	"0.8563"
"1926"	"0"	"0"	"0.3153"	"0.6835"	"0.1242"	"0"	"0"	"0"	"0.0905"	"0.2936"	"0.5862"	"1.9607"
"1927"	"3.1866"	"0.8749"	"0.5429"	"0.3786"	"0.0711"	"0"	"0.0006"	"0.054"	"0.06"	"0.1262"	"0.5382"	"0.6369"
"1928"	"1.048"	"0.0201"	"0.0048"	"0.1948"	"0"	"0"	"0"	"0"	"0"	"0.041"	"0.0735"	"2.1512"
"1929"	"1.4581"	"0.683"	"0"	"0.0471"	"0"	"0"	"0.0096"	"0.0656"	"0"	"0.1121"	"0"	"2.8901"
"1930"	"0.6595"	"0.2521"	"0"	"0.2538"	"0.0202"	"0"	"0.0181"	"0.0111"	"0"	"0"	"0.3256"	"0.1607"
"1931"	"0"	"0.663"	"0.2566"	"0"	"0"	"0"	"0"	"0"	"0.0263"	"0.3114"	"0.3166"	"0.5096"
"1932"	"0"	"0.2454"	"0.1401"	"0.2717"	"0.0147"	"0"	"0"	"0.0331"	"0"	"0"	"0.3962"	"0.2404"
"1933"	"2.3448"	"0"	"0.064"	"0.4398"	"0.2378"	"0.0564"	"0.0006"	"0.0816"	"0.1168"	"0.3909"	"0.2115"	"0.5861"
"1934"	"2.7776"	"0"	"0.3768"	"0.1498"	"0.0098"	"0"	"0.0072"	"0.0368"	"0.1205"	"0.4772"	"0.3738"	"0.1977"
"1935"	"3.3082"	"0.0073"	"0.1505"	"0.6774"	"0"	"0"	"0.0084"	"0.0233"	"0.0838"	"0.3626"	"0.0874"	"1.2085"
"1936"	"2.9324"	"0.0923"	"0.2779"	"0.3226"	"0"	"0.1558"	"0.0048"	"0"	"0.003"	"0.1531"	"0.2133"	"1.1683"
"1937"	"1.7717"	"0.0042"	"0.5386"	"0.3472"	"0"	"0"	"0.0133"	"0"	"0"	"0.2237"	"0"	"2.9082"
"1938"	"0.9911"	"0.663"	"0"	"0"	"0"	"0.2133"	"0"	"0"	"0"	"0"	"0.4171"	"0.8279"
"1939"	"0"	"0.113"	"0.6444"	"0.531"	"0.0037"	"0.0349"	"0"	"0"	"0"	"0"	"0.1332"	"0.192"
"1940"	"0"	"0.1432"	"0.5882"	"0.4496"	"0"	"0"	"0"	"0.0263"	"0.0141"	"0.0327"	"0"	"1.1574"
"1941"	"1.294"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1942"	"2.6376"	"0"	"0"	"0"	"0"	"0"	"0.0181"	"0.0472"	"0.1083"	"0.1382"	"0.1149"	"2.3232"
"1943"	"0.5501"	"0.1386"	"0"	"0.3635"	"0"	"0.03"	"0.009"	"0.0945"	"0.0086"	"0.1925"	"0"	"0.0048"
"1944"	"1.341"	"0.3621"	"0.4536"	"0.3222"	"0"	"0"	"0.0157"	"0.046"	"0"	"0.4459"	"0.1729"	"0"
"1945"	"3.6885"	"0.3877"	"0"	"0.441"	"0.0343"	"0"	"0.0096"	"0"	"0.0844"	"0.3527"	"0.3662"	"3.2162"
"1946"	"0"	"0"	"0.2204"	"0"	"0"	"0.0287"	"0.0078"	"0.0963"	"0.0772"	"0"	"0.3153"	"0.5842"
"1947"	"2.8411"	"0.1244"	"0"	"0.0344"	"0"	"0"	"0"	"0"	"0.1199"	"0.5299"	"0.0631"	"0.1898"
"1948"	"1.162"	"0.3943"	"0.205"	"0"	"0"	"0"	"0"	"0"	"0.06"	"0"	"0.2366"	"0.0274"
"1949"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0818"	"0.4128"	"2.0239"
"1950"	"0"	"0.7872"	"0.3061"	"0.4122"	"0"	"0"	"0.009"	"0"	"0.06"	"0.2613"	"0.5195"	"2.9715"
"1951"	"2.1847"	"0.3951"	"0.1402"	"0.6043"	"0.0135"	"0.0074"	"0"	"0"	"0"	"0"	"0"	"0.9404"
"1952"	"0"	"0"	"0.067"	"0"	"0"	"0.0509"	"0.0096"	"0.0988"	"0"	"0"	"0.1218"	"0.0318"
"1953"	"1.6393"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0484"	"0.1734"	"0"
"1954"	"1.2588"	"0"	"0.0036"	"0"	"0"	"0"	"0"	"0"	"0.0753"	"0.5235"	"0.1168"	"1.1911"
"1955"	"0.3581"	"0.0055"	"0"	"0.5628"	"0.0263"	"0"	"0"	"0"	"0.0312"	"0.4598"	"0.4382"	"0.544"
"1956"	"0.3751"	"0.1117"	"0"	"0"	"0"	"0.0705"	"0.0398"	"0.1178"	"0.0171"	"0.4773"	"0.5066"	"0.4372"
"1957"	"1.3574"	"0.7273"	"0.5052"	"0.3752"	"0.1102"	"0"	"0"	"0"	"0.0679"	"0.0006"	"0"	"0.1246"
"1958"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0096"	"0"	"0.1432"	"0.3819"	"0.0006"	"0"
"1959"	"0.1919"	"0.2735"	"0"	"0"	"0"	"0"	"0.0102"	"0.0589"	"0.0955"	"0.0263"	"0.1656"	"0.0016"
"1960"	"1.5747"	"0"	"0.2893"	"0.3617"	"0.0123"	"0"	"0"	"0.1202"	"0"	"0.2229"	"0.2651"	"0"
"1961"	"1.3657"	"0.7846"	"0"	"0.2822"	"0"	"0.0257"	"0.0012"	"0"	"0.0876"	"0.401"	"0.2061"	"2.8577"
"1962"	"2.7335"	"0"	"0.1468"	"0.0678"	"0.0299"	"0.0185"	"0.0024"	"0.0963"	"0.1769"	"0.5774"	"0.1681"	"0"
"1963"	"2.1511"	"0"	"0"	"0"	"0.0576"	"0"	"0"	"0.0699"	"0.0342"	"0"	"0"	"0"
"1964"	"2.4471"	"0"	"0"	"0"	"0.0539"	"0.1166"	"0"	"0"	"0.0159"	"0"	"0.327"	"0.0776"
"1965"	"0"	"0"	"0.0885"	"0.2023"	"0.0185"	"0"	"0"	"0"	"0"	"0"	"0"	"1.1576"
"1966"	"0.0018"	"0"	"0.0233"	"0.0391"	"0"	"0.0012"	"0"	"0.0141"	"0"	"0"	"0"	"1.4583"
"1967"	"2.811"	"0"	"0.4298"	"0.4919"	"0.0576"	"0.0687"	"0.0042"	"0.1441"	"0.208"	"0.1535"	"0"	"0.001"
"1968"	"1.3973"	"0.4791"	"0.0595"	"0.2656"	"0.1077"	"0"	"0.0072"	"0.0895"	"0"	"0.1169"	"0.003"	"0.2289"
"1969"	"0.2338"	"0"	"0"	"0.0006"	"0.0784"	"0"	"0"	"0.057"	"0.0116"	"0"	"0"	"0.3793"
"1970"	"0"	"0.2439"	"0.0953"	"0"	"0"	"0.0982"	"0"	"0.0074"	"0.0874"	"0.0499"	"0.4144"	"0.9012"
"1971"	"1.3416"	"0.0677"	"0.1588"	"0"	"0.1303"	"0.2132"	"0.0265"	"0.0595"	"0.0643"	"0.2971"	"0.249"	"1.1697"
"1972"	"0.5033"	"0.8861"	"0"	"0.3247"	"0"	"0"	"0"	"0"	"0.0648"	"0"	"0"	"0"
"1973"	"0.758"	"0"	"0.0235"	"0"	"0"	"0"	"0.0084"	"0.0239"	"0.0906"	"0.294"	"0.2455"	"1.9428"
"1974"	"1.7972"	"0.4942"	"0"	"0"	"0.0287"	"0"	"0.0048"	"0"	"0"	"0.1378"	"0.3422"	"1.9621"
"1975"	"2.8762"	"0.4827"	"0.4283"	"0"	"0"	"0.0864"	"0.0187"	"0"	"0.1163"	"0.2757"	"0.4912"	"0.1187"
"1976"	"0"	"0"	"0.0113"	"0.2303"	"0.0072"	"0.1613"	"0"	"0.1313"	"0.1426"	"0"	"0"	"0"
"1977"	"0.484"	"0.0207"	"0"	"0.1753"	"0.0893"	"0.0858"	"0.0155"	"0.038"	"0.1383"	"0"	"0"	"0"
"1978"	"1.4596"	"0.4949"	"0.5212"	"0.1597"	"0"	"0.1552"	"0.0395"	"0.1545"	"0.0588"	"0.0397"	"0"	"1.1965"
"1979"	"0"	"0.5355"	"0.4883"	"0.0529"	"0.2197"	"0"	"0.0006"	"0.0803"	"0"	"0"	"0"	"0"
"1980"	"0.3116"	"0"	"0.1141"	"0"	"0.0054"	"0.1571"	"0.012"	"0"	"0"	"0"	"0"	"0.8035"
"1981"	"0.0188"	"0"	"0.1935"	"0.0085"	"0.0073"	"0"	"0.0205"	"0.0472"	"0"	"0.0006"	"0.3794"	"1.4142"
"1982"	"0.0239"	"0.5946"	"0.6505"	"0.3809"	"0.2332"	"0"	"0"	"0"	"0"	"0"	"0.1206"	"0"
"1983"	"2.0158"	"0.5865"	"0.3913"	"0.6379"	"0.0918"	"0.0165"	"0"	"0"	"0.0006"	"0.26"	"0.4428"	"0.5054"
"1984"	"2.0115"	"0.9078"	"0"	"0"	"0"	"0"	"0"	"0.1405"	"0.1158"	"0.3133"	"0.1515"	"0.2324"
"1985"	"0.8188"	"0.015"	"0"	"0"	"0"	"0"	"0"	"0.0858"	"0.006"	"0.5574"	"0.0018"	"0"
"1986"	"0.5504"	"0.3054"	"0.0302"	"0"	"0.0778"	"0"	"0.0078"	"0.0148"	"0"	"0.0036"	"0"	"2.9205"
"1987"	"0.7359"	"0"	"0"	"0"	"0.1579"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0126"
"1988"	"0"	"0"	"0"	"0"	"0"	"0"	"0.009"	"0"	"0"	"0.0285"	"0.0372"	"0"
"1989"	"1.934"	"0.0879"	"0.1661"	"0.2748"	"0"	"0.0864"	"0.0006"	"0.0343"	"0"	"0"	"0"	"0.2809"
"1990"	"0"	"0.1362"	"0.3853"	"0"	"0.0275"	"0"	"0.012"	"0"	"0.0477"	"0.0845"	"0"	"0.0794"
"1991"	"1.3251"	"0"	"0"	"0.2121"	"0.0074"	"0"	"0"	"0.0269"	"0"	"0.0396"	"0.1433"	"0"
"1992"	"0.1035"	"0.486"	"0"	"0.1398"	"0.0049"	"0"	"0"	"0"	"0.1041"	"0.2003"	"0.1136"	"0"
"1993"	"0"	"0"	"0.4059"	"0.0395"	"0"	"0"	"0.0072"	"0"	"0.0544"	"0"	"0"	"0"
"1994"	"0"	"0.0716"	"0"	"0.4061"	"0"	"0"	"0.0223"	"0.0239"	"0.0594"	"0.0569"	"0.0024"	"1.4534"
"1995"	"2.0344"	"0.021"	"0.386"	"0.2083"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1996"	"0.0495"	"0"	"0"	"0"	"0.0098"	"0.0834"	"0"	"0.0945"	"0.0079"	"0.0962"	"0.0983"	"0.7803"
"1997"	"1.4332"	"0.0293"	"0.0636"	"0.5761"	"0.2149"	"0.1589"	"0"	"0"	"0"	"0.5411"	"0.0639"	"2.3871"
"1998"	"0.5198"	"0"	"0.3857"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1999"	"0.5831"	"0"	"0"	"0"	"0"	"0.0386"	"0"	"0"	"0"	"0.0496"	"0"	"0.2826"
"2000"	"0"	"0.3802"	"0.0048"	"0"	"0.0073"	"0.0245"	"0.0108"	"0"	"0"	"0"	"0"	"0"
"2001"	"0.5074"	"0"	"0"	"0.112"	"0.0129"	"0.2248"	"0.0211"	"0"	"0"	"0"	"0"	"0"
"2002"	"0.1479"	"0.0767"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
