
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.581"	"10.014"	"17.225"	"22.299"	"27.868"	"29.396"	"27.283"	"23.668"	"24.353"	"21.976"	"14.49"	"10.879"
"1902"	"10.385"	"12.339"	"19.71"	"23.934"	"27.667"	"28.139"	"25.552"	"25.836"	"22.694"	"19.537"	"13.399"	"9.355"
"1903"	"9.311"	"10.607"	"15.714"	"21.068"	"26.097"	"29.762"	"26.608"	"23.98"	"22.756"	"19.291"	"12.526"	"8.865"
"1904"	"9.123"	"11.437"	"16.11"	"24.015"	"27.173"	"26.954"	"23.679"	"23.152"	"23.42"	"19.727"	"13.694"	"9.853"
"1905"	"7.962"	"6.689"	"14.283"	"20.469"	"28.698"	"29.327"	"25.959"	"25.384"	"25.123"	"21.49"	"15.993"	"10.574"
"1906"	"8.177"	"9.679"	"15.852"	"22.796"	"29.125"	"27.198"	"24.449"	"25.17"	"22.226"	"19.457"	"14.431"	"10.416"
"1907"	"10.705"	"10.364"	"15.365"	"21.052"	"25.407"	"28.312"	"28.042"	"23.545"	"23.553"	"20.781"	"14.469"	"8.837"
"1908"	"8.969"	"11.645"	"16.039"	"23.651"	"27.28"	"28.013"	"23.332"	"23.194"	"22.4"	"19.245"	"13.493"	"9.067"
"1909"	"9.167"	"11.267"	"18.657"	"21.023"	"26.34"	"26.308"	"23.579"	"23.28"	"22.349"	"19.858"	"15.098"	"8.97"
"1910"	"8.576"	"11.921"	"17.091"	"21.622"	"27.182"	"24.913"	"24.013"	"24.193"	"22.709"	"18.2"	"12.596"	"9.988"
"1911"	"10.999"	"11.869"	"15.016"	"22.378"	"28.361"	"26.857"	"27.209"	"26.068"	"22.436"	"20.775"	"12.769"	"10.27"
"1912"	"10.463"	"13.169"	"16.36"	"23.13"	"27.705"	"29.062"	"25.185"	"23.706"	"22.177"	"19.639"	"12.628"	"9.572"
"1913"	"9.607"	"11.475"	"15.148"	"24.099"	"25.973"	"25.69"	"25.017"	"24.611"	"24.205"	"21.635"	"14.007"	"9.845"
