
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.05"	"5.79"	"7.03"	"8.09"	"8.56"	"8.08"	"6.46"	"5.37"	"5.98"	"6.9"	"6.14"	"5.28"
"1902"	"5.18"	"5.95"	"7.17"	"8.23"	"8.63"	"8.07"	"6.28"	"5.45"	"6.05"	"6.81"	"6.03"	"5.19"
"1903"	"5.13"	"5.9"	"6.98"	"8.04"	"8.46"	"8.06"	"6.43"	"5.41"	"6.02"	"6.82"	"6.01"	"5.15"
"1904"	"5.09"	"5.95"	"6.95"	"8.14"	"8.65"	"8.07"	"6.23"	"5.3"	"6"	"6.82"	"6.04"	"5.26"
"1905"	"5.14"	"5.61"	"6.8"	"7.89"	"8.52"	"8.14"	"6.35"	"5.37"	"6.08"	"6.87"	"6.2"	"5.35"
"1906"	"5.11"	"5.79"	"6.91"	"8.04"	"8.68"	"8.11"	"6.21"	"5.4"	"6.03"	"6.76"	"6.09"	"5.25"
"1907"	"5.26"	"5.94"	"6.95"	"8.04"	"8.48"	"7.96"	"6.46"	"5.41"	"5.98"	"6.84"	"6.14"	"5.18"
"1908"	"5.07"	"5.95"	"6.96"	"8.13"	"8.62"	"8.13"	"6.25"	"5.31"	"5.99"	"6.78"	"6.05"	"5.18"
"1909"	"5.1"	"5.88"	"7.16"	"8.1"	"8.55"	"8.02"	"6.21"	"5.32"	"5.97"	"6.77"	"6.16"	"5.21"
"1910"	"5.05"	"5.95"	"7.08"	"8.07"	"8.64"	"7.96"	"6.16"	"5.34"	"6.04"	"6.76"	"5.95"	"5.17"
"1911"	"5.21"	"6.05"	"6.94"	"8.03"	"8.64"	"8"	"6.33"	"5.52"	"6.03"	"6.88"	"6.02"	"5.2"
"1912"	"5.16"	"6.08"	"7.03"	"8.12"	"8.59"	"8.13"	"6.35"	"5.37"	"5.99"	"6.81"	"6.01"	"5.18"
"1913"	"5.13"	"5.98"	"6.89"	"8.16"	"8.66"	"7.95"	"6.21"	"5.34"	"6.02"	"6.9"	"6.13"	"5.19"
"1914"	"5.22"	"5.98"	"6.99"	"8.09"	"8.68"	"8.03"	"6.22"	"5.34"	"6.04"	"6.81"	"6.13"	"5.26"
"1915"	"5.14"	"5.79"	"6.97"	"8.09"	"8.61"	"8.06"	"6.43"	"5.41"	"6.12"	"6.96"	"6.11"	"5.28"
"1916"	"5.22"	"5.88"	"7.11"	"8.25"	"8.7"	"7.92"	"6.34"	"5.37"	"6.03"	"6.81"	"5.95"	"5.11"
"1917"	"5.15"	"5.98"	"7.07"	"8.1"	"8.51"	"7.92"	"6.17"	"5.32"	"5.98"	"6.72"	"5.83"	"5.16"
"1918"	"4.99"	"5.94"	"7.08"	"8"	"8.61"	"7.99"	"6.32"	"5.44"	"6.04"	"6.87"	"6.15"	"5.17"
"1919"	"5.13"	"5.87"	"7.06"	"8.12"	"8.55"	"8.07"	"6.26"	"5.33"	"5.98"	"6.81"	"6.07"	"5.17"
"1920"	"5.09"	"5.9"	"7.08"	"8.21"	"8.51"	"7.93"	"6.15"	"5.28"	"6.02"	"6.9"	"6.16"	"5.28"
"1921"	"5.15"	"5.9"	"7.14"	"8.23"	"8.66"	"8.04"	"6.45"	"5.48"	"5.96"	"6.75"	"6.01"	"5.35"
"1922"	"5.09"	"5.97"	"7.11"	"8.2"	"8.62"	"8.02"	"6.26"	"5.37"	"5.97"	"6.78"	"6.02"	"5.19"
