
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.76"	"3.61"	"5.29"	"6.54"	"7.42"	"7.08"	"5.44"	"4.3"	"4.73"	"4.89"	"3.63"	"2.91"
"1902"	"3.01"	"3.83"	"5.6"	"6.77"	"7.39"	"6.9"	"5.25"	"4.52"	"4.59"	"4.65"	"3.52"	"2.8"
"1903"	"2.91"	"3.65"	"5.12"	"6.36"	"7.17"	"7.11"	"5.38"	"4.34"	"4.59"	"4.63"	"3.45"	"2.76"
"1904"	"2.89"	"3.73"	"5.17"	"6.78"	"7.32"	"6.74"	"5.04"	"4.28"	"4.66"	"4.67"	"3.56"	"2.84"
"1905"	"2.8"	"3.25"	"4.95"	"6.3"	"7.54"	"7.08"	"5.31"	"4.46"	"4.83"	"4.85"	"3.76"	"2.9"
"1906"	"2.82"	"3.58"	"5.13"	"6.62"	"7.62"	"6.78"	"5.13"	"4.46"	"4.53"	"4.65"	"3.62"	"2.88"
"1907"	"3.03"	"3.62"	"5.07"	"6.37"	"7.08"	"6.93"	"5.52"	"4.3"	"4.66"	"4.78"	"3.63"	"2.75"
"1908"	"2.88"	"3.76"	"5.15"	"6.74"	"7.33"	"6.89"	"5"	"4.26"	"4.55"	"4.64"	"3.54"	"2.78"
"1909"	"2.89"	"3.73"	"5.49"	"6.37"	"7.21"	"6.66"	"5.03"	"4.26"	"4.54"	"4.69"	"3.68"	"2.76"
"1910"	"2.85"	"3.79"	"5.28"	"6.45"	"7.32"	"6.48"	"5.09"	"4.36"	"4.59"	"4.51"	"3.47"	"2.84"
"1911"	"3.04"	"3.79"	"5.03"	"6.55"	"7.48"	"6.74"	"5.44"	"4.54"	"4.56"	"4.78"	"3.48"	"2.87"
"1912"	"3.01"	"3.92"	"5.21"	"6.64"	"7.4"	"7.04"	"5.2"	"4.3"	"4.53"	"4.66"	"3.46"	"2.82"
"1913"	"2.94"	"3.73"	"5.06"	"6.79"	"7.14"	"6.57"	"5.19"	"4.39"	"4.72"	"4.87"	"3.58"	"2.83"
"1914"	"3.04"	"3.73"	"5.21"	"6.62"	"7.42"	"6.64"	"5.13"	"4.37"	"4.68"	"4.67"	"3.66"	"2.81"
"1915"	"2.89"	"3.55"	"5.27"	"6.6"	"7.49"	"7.02"	"5.52"	"4.46"	"4.9"	"4.86"	"3.62"	"2.92"
"1916"	"3.01"	"3.7"	"5.56"	"6.77"	"7.29"	"6.51"	"5.37"	"4.3"	"4.63"	"4.56"	"3.38"	"2.77"
"1917"	"2.97"	"3.77"	"5.22"	"6.29"	"6.89"	"6.48"	"4.99"	"4.26"	"4.46"	"4.42"	"3.31"	"2.8"
"1918"	"2.78"	"3.8"	"5.24"	"6.32"	"7.48"	"6.71"	"5.38"	"4.47"	"4.69"	"4.8"	"3.62"	"2.73"
"1919"	"2.93"	"3.65"	"5.34"	"6.5"	"7.23"	"6.82"	"5.08"	"4.28"	"4.55"	"4.64"	"3.53"	"2.76"
"1920"	"2.91"	"3.73"	"5.33"	"6.53"	"6.85"	"6.55"	"4.99"	"4.32"	"4.79"	"4.85"	"3.67"	"2.89"
"1921"	"2.94"	"3.79"	"5.59"	"6.85"	"7.48"	"6.94"	"5.48"	"4.34"	"4.47"	"4.64"	"3.57"	"2.97"
"1922"	"2.85"	"3.9"	"5.41"	"6.7"	"7.3"	"6.73"	"5.15"	"4.3"	"4.51"	"4.64"	"3.54"	"2.82"
"1923"	"2.89"	"3.69"	"5.32"	"6.65"	"7.19"	"7.08"	"5.17"	"4.22"	"4.59"	"4.59"	"3.54"	"2.82"
"1924"	"2.82"	"3.75"	"5.48"	"6.73"	"7.02"	"6.88"	"5.2"	"4.3"	"4.49"	"4.47"	"3.41"	"2.8"
"1925"	"2.75"	"3.55"	"5.31"	"6.86"	"7.19"	"6.36"	"4.96"	"4.48"	"4.83"	"4.85"	"3.56"	"2.84"
"1926"	"2.96"	"3.99"	"5.12"	"6.14"	"7.06"	"7.05"	"5.23"	"4.33"	"4.48"	"4.58"	"3.34"	"2.7"
"1927"	"2.7"	"3.53"	"5.07"	"6.46"	"7.2"	"6.82"	"5.13"	"4.26"	"4.55"	"4.65"	"3.35"	"2.83"
"1928"	"2.84"	"3.74"	"5.29"	"6.55"	"7.38"	"6.79"	"5.15"	"4.39"	"4.63"	"4.66"	"3.59"	"2.77"
"1929"	"2.82"	"3.57"	"5.47"	"6.64"	"7.35"	"6.82"	"5.13"	"4.32"	"4.69"	"4.71"	"3.67"	"2.76"
"1930"	"2.91"	"3.73"	"5.39"	"6.51"	"7.18"	"6.76"	"5.06"	"4.36"	"4.81"	"4.86"	"3.54"	"2.87"
"1931"	"3.04"	"3.62"	"5.23"	"6.8"	"7.39"	"7.05"	"5.27"	"4.36"	"4.6"	"4.55"	"3.55"	"2.88"
"1932"	"3.16"	"3.69"	"5.28"	"6.51"	"7.25"	"6.88"	"5.22"	"4.31"	"4.71"	"4.74"	"3.48"	"2.85"
"1933"	"2.79"	"3.75"	"5.27"	"6.32"	"6.94"	"6.63"	"5.14"	"4.28"	"4.46"	"4.56"	"3.52"	"2.84"
"1934"	"2.78"	"3.88"	"5.15"	"6.59"	"7.25"	"6.72"	"5.1"	"4.3"	"4.5"	"4.55"	"3.52"	"2.86"
"1935"	"2.7"	"3.75"	"5.22"	"6.17"	"7.32"	"6.88"	"5.06"	"4.27"	"4.51"	"4.53"	"3.58"	"2.79"
"1936"	"2.74"	"3.73"	"5.15"	"6.41"	"7.48"	"6.47"	"5.1"	"4.31"	"4.59"	"4.66"	"3.52"	"2.8"
"1937"	"2.83"	"3.82"	"5.05"	"6.45"	"7.3"	"6.87"	"5.03"	"4.38"	"4.63"	"4.64"	"3.63"	"2.7"
"1938"	"2.85"	"3.59"	"5.48"	"6.66"	"7.48"	"6.31"	"5.12"	"4.39"	"4.79"	"4.78"	"3.45"	"2.84"
