
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"7.098"	"6.553"	"7.213"	"8.483"	"14.643"	"26.349"	"30.435"	"26.804"	"24.845"	"14.605"	"9.234"	"8.696"
"1902"	"8.297"	"7.764"	"8.312"	"9.019"	"14.521"	"24.222"	"27.921"	"28.684"	"23.908"	"12.996"	"8.607"	"7.832"
"1903"	"7.699"	"7.188"	"6.721"	"7.902"	"13.685"	"26.795"	"30.169"	"26.721"	"24.893"	"12.574"	"8.328"	"7.798"
"1904"	"7.699"	"7.538"	"6.714"	"8.548"	"14.052"	"23.914"	"26.775"	"26.915"	"23.904"	"13"	"8.624"	"8.398"
"1905"	"7.145"	"5.337"	"5.981"	"7.339"	"15.53"	"25.077"	"28.748"	"28.568"	"26.442"	"13.826"	"9.56"	"8.398"
"1906"	"7.22"	"6.457"	"6.714"	"8.295"	"16.003"	"23.736"	"27.655"	"28.582"	"22.672"	"12.931"	"9.224"	"8.398"
"1907"	"8.244"	"6.853"	"6.813"	"7.63"	"13.239"	"24.697"	"31.655"	"26.763"	"24.021"	"13.351"	"9.234"	"7.794"
"1908"	"7.587"	"7.491"	"6.813"	"8.559"	"14.052"	"24.814"	"26.017"	"26.738"	"23.924"	"12.625"	"8.513"	"7.965"
"1909"	"7.695"	"7.246"	"7.755"	"7.437"	"13.412"	"23.819"	"25.875"	"26.399"	"23.318"	"12.657"	"8.593"	"7.798"
"1910"	"7.699"	"7.491"	"7.213"	"7.741"	"14.052"	"23.427"	"27.239"	"26.809"	"23.908"	"12.189"	"8.004"	"8.12"
"1911"	"8.113"	"7.517"	"6.312"	"8.608"	"15.042"	"23.384"	"30.317"	"28.705"	"23.919"	"13.01"	"8.43"	"8.398"
"1912"	"8.225"	"8.053"	"6.956"	"8.637"	"14.643"	"26.778"	"28.038"	"26.819"	"23.904"	"13.095"	"8.283"	"8.247"
"1913"	"7.656"	"7.505"	"6.212"	"8.93"	"13.795"	"22.709"	"27.581"	"27.696"	"25.388"	"13.902"	"9.234"	"8.398"
"1914"	"8.684"	"7.36"	"6.862"	"8.339"	"15.07"	"23.898"	"27.566"	"26.819"	"23.904"	"13.053"	"9.234"	"7.863"
"1915"	"7.699"	"6.867"	"7.013"	"8.559"	"15.799"	"26.202"	"31.505"	"28.371"	"26.976"	"13.995"	"9.218"	"8.398"
"1916"	"8.141"	"6.853"	"8.16"	"8.649"	"14.052"	"22.639"	"28.425"	"26.804"	"23.904"	"12.137"	"7.935"	"7.798"
"1917"	"7.699"	"7.563"	"6.913"	"7.198"	"12.217"	"22.436"	"25.966"	"26.804"	"23.386"	"11.466"	"7.628"	"8.295"
"1918"	"7.141"	"7.553"	"7.213"	"7.691"	"14.665"	"23.799"	"30.47"	"29.474"	"24.499"	"13.304"	"9.188"	"7.798"
"1919"	"7.652"	"7.219"	"7.313"	"8.314"	"14.052"	"25.182"	"27.515"	"26.819"	"23.975"	"12.642"	"8.632"	"7.798"
"1920"	"7.699"	"7.553"	"7.265"	"8.309"	"12.097"	"23.147"	"26.636"	"27.534"	"26.697"	"14.064"	"9.234"	"8.392"
"1921"	"7.699"	"7.543"	"8.698"	"9.526"	"15.313"	"24.333"	"30.264"	"26.819"	"23.934"	"12.921"	"8.913"	"8.92"
"1922"	"7.699"	"8.075"	"7.299"	"8.637"	"14.052"	"23.867"	"27.988"	"26.819"	"23.904"	"13.01"	"8.874"	"8.034"
"1923"	"7.699"	"7.491"	"7.213"	"8.637"	"14.052"	"26.115"	"28.095"	"26.742"	"23.908"	"12.302"	"8.517"	"8.394"
"1924"	"7.444"	"7.543"	"7.955"	"8.622"	"12.756"	"25.284"	"27.65"	"26.809"	"23.401"	"12.148"	"8.234"	"8.187"
"1925"	"6.593"	"6.687"	"7.548"	"9.283"	"13.723"	"20.73"	"26.237"	"28.605"	"25.729"	"13.995"	"8.7"	"8.099"
"1926"	"7.699"	"8.355"	"6.813"	"7.07"	"13.3"	"26.899"	"28.642"	"26.804"	"23.904"	"12.073"	"7.469"	"7.755"
"1927"	"6.591"	"6.548"	"6.721"	"7.923"	"14.052"	"24.594"	"27.566"	"26.742"	"23.904"	"12.996"	"8.181"	"8.398"
"1928"	"7.699"	"7.538"	"7.213"	"8.637"	"14.799"	"23.85"	"27.699"	"27.575"	"24.415"	"13"	"9.218"	"7.952"
"1929"	"7.45"	"6.789"	"7.913"	"8.627"	"14.36"	"23.842"	"27.556"	"26.804"	"24.049"	"12.98"	"9.224"	"7.701"
"1930"	"7.699"	"7.543"	"7.299"	"8.039"	"14.052"	"23.852"	"25.823"	"26.798"	"25.678"	"13.694"	"8.432"	"8.394"
"1931"	"8.262"	"6.807"	"7.103"	"9.169"	"14.07"	"26.131"	"29.367"	"27.486"	"23.904"	"12.11"	"8.517"	"8.398"
"1932"	"9.187"	"7.23"	"6.966"	"8.006"	"14.052"	"24.635"	"27.657"	"26.819"	"24.744"	"12.996"	"8.513"	"8.398"
"1933"	"7.098"	"7.563"	"7.309"	"7.494"	"12.812"	"23.873"	"27.671"	"26.721"	"23.496"	"12.189"	"8.62"	"8.412"
"1934"	"6.816"	"7.745"	"6.76"	"8.637"	"14.052"	"23.85"	"27.655"	"26.798"	"23.442"	"11.745"	"8.434"	"8.398"
"1935"	"6.663"	"7.538"	"6.925"	"6.883"	"14.052"	"25.212"	"27.651"	"26.819"	"24.101"	"12.274"	"9.173"	"8.205"
"1936"	"7.045"	"7.505"	"6.803"	"7.896"	"15.414"	"22.435"	"27.619"	"26.742"	"24.105"	"13.01"	"8.835"	"8.002"
"1937"	"7.149"	"7.538"	"6.656"	"7.777"	"14.052"	"24.74"	"27.544"	"27.554"	"23.904"	"12.935"	"9.218"	"7.798"
