
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1"	"0.8518"	"0.6296"	"0.4833"	"1"	"2.9391"	"10.4929"	"10.0844"	"1.9246"	"1.5488"	"0.1792"	"1"
"1902"	"1"	"0"	"0"	"0"	"0.1058"	"4.5673"	"8.3052"	"8.2817"	"5.0518"	"1.0889"	"1.9734"	"0.9845"
"1903"	"0.7505"	"0.1872"	"0.2552"	"0"	"1.3613"	"1.4242"	"11.046"	"11.7806"	"5.7039"	"1.0539"	"0.1792"	"0"
"1904"	"0.8559"	"1"	"1"	"0"	"1.2764"	"4.0638"	"9.4097"	"8.4556"	"4.8028"	"1.1713"	"1.0817"	"1"
"1905"	"1"	"1"	"1"	"0.8522"	"1"	"1.9422"	"9.1729"	"3.7684"	"5.0157"	"0.1371"	"0.3105"	"0.3234"
"1906"	"0.0429"	"1"	"0.5417"	"0"	"0.4535"	"5.2742"	"9.9053"	"8.019"	"6.7321"	"0.6199"	"0.1792"	"1"
"1907"	"1"	"1"	"0.2166"	"1"	"1"	"2.4279"	"8.1695"	"14.1288"	"1.14"	"0.1371"	"1.0631"	"0"
"1908"	"1"	"0"	"0.4912"	"0.4418"	"1"	"3.6296"	"14.9894"	"14.0092"	"6.0202"	"1.0465"	"1.0817"	"0.3234"
"1909"	"1"	"0.3228"	"0"	"1"	"1.1909"	"4.3169"	"12.4458"	"6.925"	"6.9689"	"0.1371"	"0.1792"	"1"
"1910"	"1"	"0.4153"	"0"	"0.9262"	"1"	"5.5635"	"7.4111"	"12.2396"	"4.7216"	"1.2687"	"1.0817"	"0"
"1911"	"1"	"0"	"1"	"0"	"0"	"4.247"	"4.2135"	"6.5501"	"6.2243"	"0.2137"	"2.5848"	"1"
"1912"	"1"	"0.1872"	"0.2888"	"0.2575"	"0.4535"	"3.2823"	"10.8006"	"12.1259"	"4.3723"	"1.2877"	"2.2157"	"0.7081"
"1913"	"0"	"1"	"0.9415"	"0"	"1.2231"	"4.4962"	"7.8321"	"6.6665"	"5.1924"	"0.1371"	"0.1792"	"1"
"1914"	"0"	"1"	"0.553"	"0.8893"	"1.6742"	"5.3523"	"10.6967"	"8.9839"	"6.2394"	"1.0465"	"1.0817"	"0.9536"
"1915"	"1"	"1"	"1"	"1"	"1"	"3.5829"	"8.0911"	"6.5119"	"4.8018"	"2.5075"	"0.8055"	"0.9344"
"1916"	"0"	"0.8887"	"0"	"0.1134"	"1.3512"	"4.3431"	"9.2955"	"12.9295"	"6.3777"	"1.6104"	"1.1463"	"0"
"1917"	"0.8612"	"1"	"0.4478"	"1"	"2.3637"	"5.1873"	"10.1528"	"15.0895"	"8.5538"	"2.164"	"0.1792"	"1"
"1918"	"1"	"0"	"1"	"0"	"1.3178"	"3.002"	"5.0884"	"7.8368"	"2.6216"	"0.1861"	"1.285"	"0"
"1919"	"1"	"0"	"0.0309"	"1"	"1"	"3.0004"	"10.4541"	"13.2631"	"4.2719"	"1.0771"	"1.5705"	"1"
"1920"	"1"	"1"	"1"	"0"	"1.3724"	"6.4092"	"9.7487"	"5.8166"	"2.6582"	"0.1371"	"0.1792"	"0"
"1921"	"1"	"0"	"0"	"0"	"0"	"3.5482"	"8.3008"	"9.0956"	"6.1632"	"0.1371"	"0.1792"	"0"
"1922"	"1"	"0.9372"	"0"	"0.2039"	"0.397"	"3.7941"	"10.2223"	"8.0215"	"7.2312"	"1.0465"	"1.5277"	"1"
"1923"	"1"	"1"	"1"	"0.7897"	"0.994"	"1.0503"	"11.4835"	"11.9865"	"4.4561"	"1.0465"	"0.1792"	"1"
"1924"	"0.9962"	"1"	"0"	"0"	"1.203"	"2.94"	"9.4198"	"9.5019"	"7.0041"	"1.4569"	"1.0786"	"1"
"1925"	"0"	"0"	"0"	"0"	"1.2866"	"5.7991"	"10.8303"	"7.1079"	"2.0015"	"0.2137"	"2.5223"	"0.4184"
"1926"	"1"	"0.9608"	"1"	"1"	"1.421"	"2.1161"	"9.1879"	"13.5617"	"8.6143"	"0.1371"	"1.0817"	"0"
"1927"	"0"	"1"	"0.6201"	"0.2039"	"1"	"2.2384"	"12.3292"	"14.3711"	"5.0343"	"1.4049"	"2.3187"	"1"
"1928"	"1"	"1"	"0.2268"	"0"	"0.6796"	"2.4119"	"10.1374"	"9.0259"	"5.0004"	"2.5483"	"1.3174"	"1"
"1929"	"0.9962"	"1"	"0"	"1"	"0.6991"	"4.1773"	"10.0046"	"9.5356"	"2.3765"	"1.0465"	"0.1792"	"1"
"1930"	"1"	"0.618"	"0"	"0.6601"	"1.3323"	"5.2352"	"10.2493"	"8.3081"	"4.3371"	"1.4984"	"0.9603"	"0"
"1931"	"0"	"0.5952"	"0.0117"	"0"	"0.982"	"2.6866"	"7.5885"	"16.3267"	"6.0877"	"2.7294"	"1.0007"	"0"
"1932"	"0"	"1"	"1"	"0.7503"	"0.7319"	"3.1173"	"8.7793"	"12.4488"	"5.4661"	"1.0465"	"0.1792"	"0"
"1933"	"0"	"1"	"1"	"1"	"1.7301"	"6.8539"	"7.3296"	"14.9843"	"7.0823"	"1.0465"	"1.0817"	"1"
"1934"	"1"	"0"	"1"	"0"	"0"	"6.4231"	"8.1756"	"15.1417"	"4.5816"	"0.1371"	"1.9137"	"1"
"1935"	"1"	"0.5195"	"0.0233"	"1"	"0.9665"	"2.7407"	"11.4994"	"7.6484"	"6.6734"	"1.393"	"0.1792"	"1"
"1936"	"0"	"1"	"1"	"0.4993"	"1.2167"	"6.9649"	"7.9122"	"7.8134"	"4.9782"	"0.1371"	"2.5762"	"1"
"1937"	"0"	"1"	"0"	"0.4837"	"1"	"3.9877"	"9.8572"	"5.1482"	"7.3103"	"1.0465"	"1.0817"	"0.9382"
"1938"	"0.9782"	"0"	"1"	"0.1399"	"1.6366"	"6.7902"	"10.8959"	"8.3248"	"4.4793"	"1.4444"	"0.3105"	"0"
"1939"	"1"	"1"	"1"	"0.1456"	"0"	"3.236"	"9.5102"	"10.6902"	"4.386"	"1.0441"	"1.0817"	"1"
"1940"	"1"	"1"	"1"	"0.73"	"1.4119"	"4.5235"	"9.3031"	"10.9144"	"2.2299"	"1.4305"	"1.0966"	"0.8552"
"1941"	"1"	"1"	"0.5221"	"0.4833"	"1"	"2.1452"	"9.3466"	"10.1037"	"4.3"	"1.0465"	"0.1792"	"0.9181"
"1942"	"1"	"1"	"0"	"1"	"1.0031"	"2.9261"	"12.635"	"13.2212"	"5.0359"	"0.1371"	"0.1792"	"1"
"1943"	"1"	"0"	"0.0309"	"1"	"1.0368"	"4.3737"	"12.0232"	"9.8003"	"7.2003"	"1.0465"	"0.1792"	"0"
"1944"	"1"	"1"	"1"	"1"	"0.5519"	"3.2345"	"12.1586"	"13.1049"	"4.524"	"1.0613"	"0.1792"	"0"
