
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"16.019"	"17.947"	"25.534"	"29.66"	"33.371"	"33.12"	"29.519"	"26.33"	"27.778"	"28.108"	"22.327"	"19.486"
"1902"	"18.854"	"20.711"	"27.408"	"31.016"	"32.909"	"31.826"	"29.31"	"28.068"	"26.748"	"26.289"	"21.319"	"17.8"
"1903"	"17.57"	"18.458"	"23.037"	"28.364"	"32.206"	"32.999"	"29.202"	"26.645"	"26.801"	"26.137"	"19.813"	"17.218"
"1904"	"17.492"	"19.715"	"23.774"	"30.668"	"32.781"	"30.809"	"27.209"	"26.395"	"27.404"	"26.581"	"21.611"	"18.426"
"1905"	"16.17"	"15.265"	"22.451"	"27.71"	"34.454"	"32.15"	"28.088"	"27.565"	"27.766"	"27.103"	"23.134"	"18.544"
"1906"	"15.975"	"17.578"	"23.777"	"29.48"	"33.899"	"30.891"	"27.691"	"27.078"	"26.001"	"26.006"	"22.347"	"18.597"
"1907"	"18.61"	"18.805"	"23.639"	"28.401"	"31.11"	"31.873"	"30.268"	"25.33"	"26.322"	"26.716"	"22.531"	"17.231"
"1908"	"17.159"	"19.182"	"23.569"	"30.285"	"32.344"	"31.622"	"26.367"	"25.473"	"26.025"	"25.608"	"21.199"	"17.214"
"1909"	"17.134"	"19.193"	"25.64"	"28.399"	"31.779"	"30.742"	"26.727"	"25.41"	"25.612"	"25.583"	"21.767"	"17.424"
"1910"	"17.032"	"19.772"	"24.732"	"28.555"	"32.151"	"29.856"	"26.581"	"26.158"	"26.62"	"24.796"	"19.879"	"17.974"
"1911"	"18.778"	"19.755"	"22.843"	"29.076"	"33.455"	"30.402"	"29.277"	"27.424"	"26.44"	"27.029"	"21.021"	"19.349"
"1912"	"18.677"	"21.389"	"24.238"	"30.042"	"33.314"	"32.789"	"28.13"	"25.924"	"25.923"	"26.054"	"20.558"	"17.932"
"1913"	"17.546"	"19.697"	"22.914"	"30.806"	"31.795"	"30.462"	"27.642"	"26.036"	"26.955"	"27.34"	"22.078"	"18.273"
"1914"	"19.436"	"19.291"	"23.963"	"29.822"	"33.792"	"30.694"	"27.493"	"26.51"	"27.446"	"26.539"	"23.151"	"17.746"
"1915"	"17.504"	"18.311"	"25.205"	"29.389"	"33.499"	"33.126"	"29.985"	"27.528"	"29.217"	"27.71"	"22.394"	"18.872"
"1916"	"18.498"	"18.683"	"26.891"	"30.631"	"32.77"	"29.714"	"28.974"	"26.337"	"27.041"	"25.188"	"19.914"	"17.404"
"1917"	"18.483"	"19.827"	"24.485"	"27.659"	"30.256"	"29.511"	"26.419"	"25.884"	"25.706"	"24.258"	"19.794"	"17.78"
"1918"	"16.101"	"20.247"	"24.476"	"27.874"	"33.048"	"30.445"	"29.042"	"27.293"	"26.908"	"26.895"	"22.852"	"17.463"
"1919"	"17.816"	"19.369"	"25.24"	"29.059"	"32.499"	"31.285"	"27.316"	"26.06"	"26.272"	"25.756"	"22.021"	"17.755"
"1920"	"17.974"	"19.206"	"25.42"	"29.133"	"29.718"	"29.808"	"26.666"	"25.932"	"28.112"	"27.448"	"22.774"	"18.624"
"1921"	"18.205"	"19.775"	"27.078"	"31.449"	"33.312"	"31.861"	"29.68"	"26.353"	"25.907"	"25.988"	"21.457"	"19.617"
"1922"	"16.896"	"21.287"	"25.674"	"30.514"	"32.594"	"31.087"	"27.797"	"26.228"	"26.144"	"25.799"	"21.351"	"17.496"
"1923"	"17.867"	"18.802"	"25.656"	"29.792"	"31.845"	"32.825"	"27.91"	"25.354"	"26.937"	"25.638"	"21.084"	"18.821"
"1924"	"17.319"	"20.261"	"26.837"	"30.627"	"31.256"	"32.046"	"28.369"	"26.612"	"26.019"	"24.706"	"19.937"	"18.06"
"1925"	"15.279"	"17.807"	"25.639"	"31.717"	"31.962"	"29.443"	"26.748"	"27.496"	"28.304"	"28.29"	"22.297"	"18.644"
"1926"	"18.391"	"22.141"	"24.49"	"27.145"	"31.661"	"33.507"	"28.472"	"26.459"	"26.251"	"25.849"	"19.923"	"17.417"
"1927"	"15.912"	"18.091"	"23.513"	"28.931"	"31.791"	"31.422"	"27.194"	"25.345"	"26.264"	"25.876"	"19.45"	"18.422"
"1928"	"17.213"	"19.87"	"25.076"	"29.419"	"32.736"	"31.109"	"27.607"	"26.274"	"26.263"	"26.125"	"21.951"	"17.292"
"1929"	"16.545"	"18.477"	"26.436"	"30.041"	"32.917"	"31.161"	"27.328"	"25.795"	"26.998"	"25.976"	"22.607"	"16.995"
"1930"	"17.425"	"19.066"	"25.418"	"29.025"	"32.362"	"31.396"	"26.592"	"26.046"	"28.352"	"27.53"	"20.956"	"18.795"
"1931"	"19.176"	"18.612"	"24.413"	"30.91"	"32.934"	"33.018"	"28.581"	"26.416"	"26.648"	"25.374"	"21.297"	"18.544"
"1932"	"20.17"	"19.129"	"24.838"	"29.086"	"32.38"	"31.554"	"27.846"	"26.21"	"27.51"	"27.165"	"20.77"	"18.662"
"1933"	"16.852"	"20.178"	"24.95"	"28.668"	"30.609"	"30.321"	"27.498"	"25.357"	"25.855"	"25.473"	"21.49"	"18.088"
"1934"	"15.763"	"20.943"	"24.024"	"29.795"	"32.232"	"31.409"	"27.187"	"25.851"	"25.749"	"25.159"	"20.957"	"18.805"
"1935"	"15.433"	"19.741"	"24.363"	"27.044"	"32.602"	"31.987"	"27.001"	"25.891"	"25.95"	"25.42"	"21.81"	"18.341"
"1936"	"16.378"	"19.69"	"24.087"	"28.783"	"33.752"	"29.518"	"27.416"	"26.402"	"26.798"	"26.514"	"21.778"	"17.619"
"1937"	"16.521"	"20.357"	"23.405"	"29.07"	"32.5"	"31.877"	"26.737"	"26.45"	"26.937"	"25.759"	"22.419"	"16.969"
"1938"	"17.698"	"18.073"	"26.496"	"30.386"	"32.943"	"28.65"	"27.192"	"26.794"	"27.988"	"27.057"	"20.458"	"18.491"
"1939"	"18.629"	"19.924"	"22.648"	"28.084"	"32.128"	"30.672"	"27.842"	"28.044"	"26.795"	"27.035"	"21.682"	"18.788"
"1940"	"18.236"	"19.984"	"23.075"	"28.685"	"33.096"	"31.244"	"27.904"	"25.894"	"26.712"	"26.549"	"22.035"	"17.843"
"1941"	"16.911"	"20.648"	"26.43"	"30.842"	"32.989"	"31.747"	"27.848"	"26.799"	"27.876"	"28.602"	"22.491"	"19.81"
"1942"	"16.236"	"20.24"	"26.175"	"31.347"	"32.767"	"32.553"	"26.299"	"25.505"	"25.997"	"26.047"	"21.637"	"16.921"
"1943"	"17.349"	"19.704"	"25.676"	"29.115"	"33.224"	"30.376"	"26.721"	"25.54"	"26.258"	"25.687"	"22.242"	"18.709"
"1944"	"16.989"	"19.108"	"24.003"	"28.719"	"32.604"	"30.325"	"26.276"	"25.544"	"26.71"	"24.906"	"21.493"	"18.997"
"1945"	"15.335"	"18.974"	"25.489"	"28.613"	"31.713"	"31.334"	"26.308"	"26.265"	"25.953"	"25.126"	"20.692"	"16.531"
"1946"	"17.522"	"21.162"	"24.241"	"31.249"	"32.356"	"30.542"	"27.076"	"25.232"	"26.223"	"26.485"	"19.84"	"18.165"
"1947"	"16.223"	"19.508"	"25.597"	"29.668"	"33.139"	"32.208"	"27.993"	"27.032"	"25.672"	"24.823"	"21.953"	"18.513"
"1948"	"16.966"	"18.981"	"24.923"	"30.872"	"34.053"	"31.819"	"28.254"	"26.236"	"26.348"	"27.079"	"21.405"	"18.422"
"1949"	"19.522"	"20.016"	"25.678"	"31.193"	"34.122"	"31.145"	"27.876"	"27.006"	"27.291"	"26.509"	"20.779"	"17.597"
"1950"	"18.535"	"17.594"	"24.119"	"28.793"	"32.68"	"31.511"	"26.735"	"26.1"	"26.212"	"25.949"	"20.202"	"16.899"
"1951"	"16.384"	"18.992"	"24.81"	"27.94"	"32.309"	"30.604"	"29.219"	"26.619"	"29.012"	"29.324"	"23.452"	"18.204"
"1952"	"18.88"	"21.472"	"25.062"	"31.025"	"33.843"	"30.481"	"27.036"	"25.512"	"27.361"	"26.674"	"21.924"	"18.805"
"1953"	"17.096"	"22.109"	"27.349"	"30.188"	"32.677"	"31.639"	"28.263"	"26.261"	"27.081"	"26.111"	"21.81"	"20.416"
"1954"	"17.201"	"21.209"	"25.462"	"30.387"	"33.869"	"32.079"	"27.833"	"27.44"	"25.621"	"24.272"	"21.929"	"18.084"
"1955"	"17.608"	"20.151"	"27.164"	"27.918"	"32.09"	"31.139"	"28.617"	"26.181"	"26.066"	"24.813"	"20.123"	"18.197"
