
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"13.879"	"11.309"	"23.486"	"20.877"	"22.801"	"43.03"	"69.977"	"69.06"	"46.669"	"17.313"	"10.652"	"10.965"
"1902"	"13.879"	"11.446"	"23.498"	"20.877"	"22.801"	"43.432"	"69.672"	"69.194"	"46.545"	"17.313"	"10.652"	"10.965"
"1903"	"13.879"	"11.446"	"23.498"	"20.877"	"22.755"	"43.03"	"69.672"	"69.201"	"46.669"	"17.265"	"10.652"	"10.965"
"1904"	"13.879"	"11.446"	"23.498"	"20.873"	"22.801"	"43.03"	"69.886"	"69.172"	"46.669"	"17.313"	"10.649"	"10.965"
"1905"	"13.879"	"11.446"	"23.498"	"20.877"	"22.801"	"43.03"	"69.672"	"69.201"	"46.669"	"17.313"	"10.652"	"10.965"
"1906"	"13.879"	"11.446"	"23.498"	"20.877"	"22.801"	"43.07"	"69.672"	"69.194"	"46.669"	"17.256"	"10.652"	"10.965"
"1907"	"13.879"	"11.446"	"23.498"	"20.877"	"22.801"	"43.03"	"69.815"	"69.201"	"46.669"	"17.606"	"11.027"	"10.965"
"1908"	"13.879"	"11.446"	"23.498"	"20.877"	"22.738"	"42.997"	"69.672"	"69.201"	"46.669"	"17.313"	"10.652"	"10.965"
"1909"	"13.879"	"11.446"	"23.498"	"20.877"	"22.754"	"43.022"	"69.672"	"69.148"	"46.669"	"17.313"	"10.652"	"10.965"
"1910"	"13.879"	"11.446"	"23.498"	"20.877"	"22.905"	"43.03"	"70.177"	"69.172"	"46.669"	"17.313"	"10.652"	"10.965"
"1911"	"13.879"	"11.446"	"23.498"	"20.877"	"22.801"	"43.03"	"69.672"	"69.201"	"46.669"	"17.313"	"10.424"	"10.965"
"1912"	"13.879"	"11.446"	"23.486"	"20.687"	"22.801"	"43.03"	"68.967"	"69.037"	"46.495"	"17.313"	"10.506"	"10.965"
"1913"	"13.879"	"11.446"	"23.498"	"20.877"	"22.365"	"42.878"	"70.15"	"69.201"	"46.587"	"17.273"	"10.652"	"10.965"
"1914"	"13.879"	"11.446"	"23.401"	"20.866"	"22.753"	"42.711"	"69.761"	"69.201"	"46.255"	"17.256"	"10.649"	"10.965"
"1915"	"13.879"	"11.446"	"23.127"	"20.877"	"22.291"	"43.03"	"69.643"	"68.67"	"46.533"	"17.313"	"10.612"	"10.965"
"1916"	"13.879"	"11.446"	"23.498"	"20.877"	"22.801"	"43.03"	"69.422"	"69.201"	"46.669"	"17.092"	"10.652"	"10.965"
"1917"	"13.879"	"11.335"	"23.474"	"20.859"	"22.159"	"42.695"	"69.135"	"69.004"	"46.637"	"17.313"	"10.625"	"10.965"
"1918"	"13.879"	"11.446"	"23.498"	"20.877"	"22.738"	"43.508"	"69.968"	"69.177"	"46.637"	"17.313"	"10.652"	"10.941"
"1919"	"13.879"	"11.446"	"23.498"	"20.726"	"22.801"	"43.03"	"69.672"	"69.196"	"46.4"	"16.826"	"10.14"	"10.965"
"1920"	"14.071"	"11.446"	"23.498"	"20.877"	"22.801"	"43.03"	"69.672"	"68.753"	"46.669"	"17.078"	"10.652"	"10.965"
"1921"	"13.879"	"11.446"	"23.498"	"20.877"	"22.801"	"43.03"	"69.193"	"69.172"	"46.669"	"17.232"	"10.652"	"10.965"
"1922"	"13.879"	"11.446"	"23.498"	"20.877"	"22.801"	"43.03"	"69.672"	"69.157"	"46.669"	"17.313"	"10.642"	"10.965"
"1923"	"13.879"	"11.446"	"23.498"	"20.877"	"22.801"	"43.064"	"70.164"	"69.201"	"46.669"	"17.092"	"10.039"	"10.781"
"1924"	"13.864"	"11.143"	"23.498"	"20.877"	"22.801"	"43.03"	"69.672"	"69.201"	"46.669"	"17.039"	"10.642"	"10.965"
"1925"	"13.879"	"10.906"	"22.947"	"20.565"	"22.343"	"43.459"	"69.643"	"68.69"	"46.659"	"17.313"	"10.267"	"10.266"
"1926"	"13.875"	"11.446"	"23.422"	"21.165"	"22.599"	"43.03"	"69.672"	"69.201"	"46.669"	"17.256"	"10.652"	"10.965"
"1927"	"13.901"	"11.446"	"23.414"	"20.877"	"22.801"	"43.018"	"69.672"	"69.098"	"46.666"	"17.313"	"10.652"	"10.965"
"1928"	"13.879"	"11.446"	"23.502"	"20.877"	"22.801"	"43.03"	"69.675"	"69.201"	"46.669"	"17.313"	"10.652"	"10.962"
"1929"	"13.879"	"11.446"	"23.435"	"20.331"	"22.801"	"43.03"	"69.848"	"69.201"	"46.669"	"17.207"	"10.652"	"11.236"
