
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1902"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1903"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1904"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1905"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1906"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1907"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1908"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1909"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1910"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1911"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1912"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1913"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1914"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"14.89"	"15.4"
"1915"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1916"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.711"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1917"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1918"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1919"	"15.702"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1920"	"15.411"	"15.78"	"15.961"	"15.085"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1921"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1922"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.102"	"15.287"	"15.4"
"1923"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1924"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1925"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1926"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1927"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1928"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1929"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1930"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1931"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.287"	"15.4"
"1932"	"15.411"	"15.78"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.469"	"9.109"	"14.099"	"15.287"	"15.4"
"1933"	"15.521"	"15.656"	"15.961"	"15.092"	"13.979"	"11.279"	"7.648"	"6.476"	"9.109"	"14.099"	"15.283"	"15.4"
