
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.7685"	"0.0024"	"0.0015"	"0.0127"	"0"	"0"	"0"	"0.0001"	"0"	"0"	"0.0031"	"0"
"1902"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0008"	"0.0164"	"0.5987"
"1903"	"0.0609"	"0.0013"	"0.0274"	"0.0338"	"0.0002"	"0"	"0"	"0"	"0"	"0.0054"	"0.0359"	"0.8818"
"1904"	"0.1829"	"0.0002"	"0.0233"	"0"	"0"	"0"	"0"	"0.0002"	"0"	"0"	"0.0165"	"0.165"
"1905"	"1.376"	"0.0135"	"0.0405"	"0.0508"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1838"
"1906"	"1.5051"	"0.0023"	"0.0275"	"0.0025"	"0"	"0"	"0"	"0"	"0.0002"	"0.0053"	"0"	"0.0461"
"1907"	"0"	"0.0017"	"0.0275"	"0.0392"	"0.0007"	"0"	"0"	"0.0004"	"0"	"0"	"0"	"0.9353"
"1908"	"0.4257"	"0.0005"	"0.0218"	"0"	"0"	"0"	"0"	"0.0005"	"0.0001"	"0.0096"	"0.0212"	"0.7687"
"1909"	"0.7977"	"0.001"	"0"	"0.0353"	"0.0003"	"0.0002"	"0"	"0.0004"	"0.0005"	"0.0079"	"0.0076"	"0.7054"
"1910"	"0.6709"	"0"	"0.0032"	"0.0269"	"0.0001"	"0.0004"	"0"	"0"	"0"	"0.0345"	"0.0275"	"0.4767"
"1911"	"0"	"0"	"0.0321"	"0.0111"	"0"	"0.0001"	"0"	"0"	"0.0002"	"0"	"0.0228"	"0.0101"
"1912"	"0"	"0"	"0.015"	"0.0015"	"0"	"0"	"0"	"0"	"0.0004"	"0.0055"	"0.033"	"0.4513"
"1913"	"0"	"0.0003"	"0.0322"	"0"	"0.0005"	"0.0007"	"0"	"0"	"0"	"0"	"0.0079"	"0.3615"
"1914"	"0"	"0.0009"	"0.0204"	"0.0071"	"0"	"0"	"0"	"0"	"0"	"0.0017"	"0"	"0.5767"
"1915"	"0.1632"	"0.002"	"0.0032"	"0.0132"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0046"	"0"
"1916"	"0"	"0.0015"	"0"	"0"	"0"	"0.0006"	"0"	"0"	"0"	"0.0221"	"0.0347"	"0.8295"
"1917"	"0"	"0.0005"	"0.0173"	"0.0461"	"0.0111"	"0.0007"	"0"	"0.0005"	"0.0007"	"0.0353"	"0.0354"	"0.3687"
"1918"	"1.5053"	"0"	"0.0142"	"0.0451"	"0"	"0.0001"	"0"	"0"	"0"	"0"	"0.0001"	"0.6358"
"1919"	"0.099"	"0.001"	"0.0008"	"0.0174"	"0.0002"	"0"	"0"	"0.0002"	"0.0002"	"0.011"	"0.0064"	"0.6213"
"1920"	"0"	"0.0007"	"0"	"0.0135"	"0.0111"	"0.0007"	"0"	"0"	"0"	"0"	"0"	"0.2179"
"1921"	"0"	"0.0001"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0006"	"0.011"	"0.0211"	"0"
"1922"	"0.7095"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0005"	"0.0134"	"0.0204"	"0.7039"
"1923"	"0.0553"	"0.001"	"0"	"0"	"0.0003"	"0"	"0"	"0.0006"	"0"	"0.0173"	"0.022"	"0.0441"
"1924"	"0.5867"	"0.0002"	"0"	"0"	"0.0008"	"0"	"0"	"0"	"0.0004"	"0.0329"	"0.0338"	"0.4562"
"1925"	"1.8914"	"0.0023"	"0"	"0"	"0.0004"	"0.0009"	"0"	"0"	"0"	"0"	"0.0127"	"0.2227"
"1926"	"0"	"0"	"0.0166"	"0.0574"	"0.0006"	"0"	"0"	"0"	"0.0004"	"0.0211"	"0.037"	"0.5322"
"1927"	"1.5119"	"0.0026"	"0.0306"	"0.0251"	"0.0003"	"0"	"0"	"0.0003"	"0.0003"	"0.0116"	"0.0368"	"0.1384"
"1928"	"0.374"	"0.0001"	"0.0015"	"0.0149"	"0"	"0"	"0"	"0"	"0"	"0.0054"	"0.0077"	"0.9145"
"1929"	"0.897"	"0.002"	"0"	"0.0039"	"0"	"0"	"0"	"0.0003"	"0"	"0.0086"	"0"	"0.9717"
"1930"	"0.2917"	"0.0007"	"0"	"0.0195"	"0.0001"	"0"	"0"	"0.0001"	"0"	"0"	"0.022"	"0.0047"
"1931"	"0"	"0.0019"	"0.0149"	"0"	"0"	"0"	"0"	"0"	"0.0001"	"0.0234"	"0.0212"	"0.2404"
"1932"	"0"	"0.0008"	"0.0101"	"0.0173"	"0.0001"	"0"	"0"	"0.0002"	"0"	"0"	"0.0259"	"0.018"
"1933"	"0.8448"	"0"	"0.0046"	"0.0276"	"0.0097"	"0.0003"	"0"	"0.0005"	"0.0005"	"0.0236"	"0.0149"	"0.2172"
"1934"	"1.6319"	"0"	"0.0197"	"0.008"	"0"	"0"	"0"	"0.0002"	"0.0005"	"0.0307"	"0.0251"	"0.0409"
"1935"	"1.6938"	"0"	"0.0086"	"0.0557"	"0"	"0"	"0"	"0.0001"	"0.0004"	"0.0213"	"0.0071"	"0.2771"
"1936"	"1.3734"	"0.0003"	"0.0165"	"0.0243"	"0"	"0.0008"	"0"	"0"	"0"	"0.011"	"0.0187"	"0.4968"
"1937"	"0.947"	"0"	"0.0306"	"0.0235"	"0"	"0"	"0"	"0"	"0"	"0.0165"	"0"	"0.9733"
"1938"	"0.2535"	"0.002"	"0"	"0"	"0"	"0.0018"	"0"	"0"	"0"	"0"	"0.0268"	"0.226"
"1939"	"0"	"0.0004"	"0.0353"	"0.0353"	"0"	"0.0002"	"0"	"0"	"0"	"0"	"0.0109"	"0.0041"
"1940"	"0"	"0.0004"	"0.0349"	"0.0298"	"0"	"0"	"0"	"0.0001"	"0.0001"	"0.0023"	"0.0007"	"0.5115"
"1941"	"0.6517"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1942"	"1.1621"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0002"	"0.0005"	"0.0094"	"0.0101"	"0.8964"
"1943"	"0.2384"	"0.0005"	"0"	"0.0236"	"0"	"0.0002"	"0"	"0.0005"	"0"	"0.014"	"0"	"0.0565"
"1944"	"0.7191"	"0.0011"	"0.0251"	"0.0234"	"0"	"0"	"0"	"0.0002"	"0"	"0.0313"	"0.0133"	"0"
"1945"	"1.8737"	"0.0012"	"0"	"0.0313"	"0.0002"	"0"	"0"	"0"	"0.0004"	"0.0258"	"0.0251"	"1.1199"
"1946"	"0.0263"	"0"	"0.0126"	"0"	"0"	"0.0001"	"0"	"0.0005"	"0.0004"	"0"	"0.0301"	"0.3867"
"1947"	"1.1921"	"0.0004"	"0"	"0.0069"	"0"	"0"	"0"	"0"	"0.0005"	"0.0353"	"0.0084"	"0.1712"
"1948"	"0.6321"	"0.0012"	"0.0086"	"0"	"0"	"0"	"0"	"0"	"0.0003"	"0"	"0.0165"	"0.0931"
"1949"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.004"	"0.0259"	"0.7305"
"1950"	"0"	"0.0023"	"0.0172"	"0.0252"	"0"	"0"	"0"	"0"	"0.0003"	"0.0188"	"0.0339"	"0.9751"
"1951"	"1.1211"	"0.0012"	"0.0071"	"0.0461"	"0.0001"	"0"	"0"	"0"	"0"	"0"	"0"	"0.3801"
"1952"	"0"	"0"	"0.0054"	"0"	"0"	"0.0003"	"0"	"0.0005"	"0"	"0"	"0.0094"	"0"
"1953"	"0.6985"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0009"	"0.0111"	"0"
"1954"	"0.6948"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0003"	"0.0353"	"0.0086"	"0.3801"
"1955"	"0.0708"	"0"	"0"	"0.042"	"0.0001"	"0"	"0"	"0"	"0.0002"	"0.0329"	"0.0306"	"0.2322"
