
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"23.737"	"25.847"	"33.544"	"37.229"	"40.385"	"38.79"	"33.363"	"29.581"	"32.35"	"35.182"	"29.993"	"27.223"
"1902"	"26.572"	"28.615"	"35.391"	"38.586"	"39.919"	"37.495"	"33.137"	"31.32"	"31.323"	"33.365"	"28.984"	"25.526"
"1903"	"25.268"	"26.361"	"31.05"	"35.932"	"39.217"	"38.671"	"33.036"	"29.895"	"31.376"	"33.204"	"27.479"	"24.941"
"1904"	"25.209"	"27.618"	"31.784"	"38.226"	"39.78"	"36.474"	"31.053"	"29.648"	"31.979"	"33.641"	"29.276"	"26.155"
"1905"	"23.885"	"23.167"	"30.459"	"35.279"	"41.465"	"37.819"	"31.912"	"30.816"	"32.338"	"34.182"	"30.798"	"26.28"
"1906"	"23.696"	"25.482"	"31.768"	"37.048"	"40.903"	"36.564"	"31.531"	"30.329"	"30.576"	"33.081"	"30.012"	"26.334"
"1907"	"26.326"	"26.709"	"31.649"	"35.968"	"38.123"	"37.546"	"34.117"	"28.578"	"30.896"	"33.793"	"30.195"	"24.971"
"1908"	"24.879"	"27.084"	"31.577"	"37.855"	"39.356"	"37.292"	"30.211"	"28.724"	"30.6"	"32.684"	"28.862"	"24.944"
"1909"	"24.83"	"27.097"	"33.653"	"35.955"	"38.79"	"36.414"	"30.571"	"28.66"	"30.188"	"32.66"	"29.432"	"25.146"
"1910"	"24.751"	"27.676"	"32.733"	"36.124"	"39.155"	"35.529"	"30.422"	"29.409"	"31.195"	"31.872"	"27.544"	"25.695"
"1911"	"26.496"	"27.658"	"30.835"	"36.641"	"40.459"	"36.075"	"33.118"	"30.674"	"31.016"	"34.107"	"28.687"	"27.087"
"1912"	"26.392"	"29.294"	"32.247"	"37.602"	"40.323"	"38.458"	"31.975"	"29.177"	"30.498"	"33.129"	"28.223"	"25.663"
"1913"	"25.245"	"27.6"	"30.924"	"38.375"	"38.795"	"36.125"	"31.485"	"29.287"	"31.53"	"34.418"	"29.742"	"26.011"
"1914"	"27.153"	"27.197"	"31.973"	"37.391"	"40.801"	"36.361"	"31.337"	"29.762"	"32.021"	"33.604"	"30.633"	"25.475"
"1915"	"25.223"	"26.214"	"33.214"	"36.961"	"40.501"	"38.797"	"33.831"	"30.779"	"33.791"	"34.785"	"30.058"	"26.595"
"1916"	"26.214"	"26.589"	"34.882"	"38.2"	"39.776"	"35.389"	"32.81"	"29.59"	"31.616"	"32.265"	"27.579"	"25.141"
"1917"	"26.202"	"27.731"	"32.495"	"35.23"	"37.266"	"35.186"	"30.263"	"29.134"	"30.279"	"31.335"	"27.463"	"25.519"
"1918"	"23.818"	"28.153"	"32.483"	"35.443"	"40.059"	"36.121"	"32.877"	"30.543"	"31.482"	"33.971"	"30.518"	"25.2"
"1919"	"25.686"	"27.271"	"33.252"	"36.627"	"39.502"	"36.957"	"31.139"	"29.311"	"30.845"	"32.823"	"29.686"	"25.495"
"1920"	"25.693"	"27.11"	"33.421"	"36.698"	"36.729"	"35.48"	"30.508"	"29.184"	"32.686"	"34.519"	"30.438"	"26.36"
"1921"	"25.92"	"27.677"	"35.089"	"39.019"	"40.318"	"37.536"	"33.525"	"29.601"	"30.482"	"33.056"	"29.122"	"27.353"
"1922"	"24.615"	"29.191"	"33.683"	"38.072"	"39.606"	"36.751"	"31.639"	"29.478"	"30.718"	"32.881"	"29.016"	"25.215"
"1923"	"25.585"	"26.707"	"33.659"	"37.361"	"38.85"	"38.497"	"31.736"	"28.606"	"31.513"	"32.716"	"28.747"	"26.542"
"1924"	"25.037"	"28.164"	"34.847"	"38.195"	"38.268"	"37.719"	"32.193"	"29.863"	"30.593"	"31.781"	"27.603"	"25.769"
"1925"	"22.996"	"25.709"	"33.64"	"39.286"	"38.973"	"35.118"	"30.591"	"30.746"	"32.877"	"35.368"	"29.961"	"26.367"
"1926"	"26.11"	"30.043"	"32.499"	"34.715"	"38.663"	"39.178"	"32.302"	"29.711"	"30.824"	"32.927"	"27.592"	"25.157"
"1927"	"23.628"	"25.994"	"31.523"	"36.497"	"38.798"	"37.094"	"31.04"	"28.599"	"30.837"	"32.936"	"27.116"	"26.149"
"1928"	"24.93"	"27.775"	"33.083"	"36.99"	"39.751"	"36.782"	"31.449"	"29.525"	"30.835"	"33.198"	"29.616"	"25.013"
"1929"	"24.244"	"26.38"	"34.446"	"37.612"	"39.93"	"36.833"	"31.174"	"29.044"	"31.571"	"33.052"	"30.274"	"24.71"
"1930"	"25.144"	"26.971"	"33.431"	"36.592"	"39.374"	"37.069"	"30.437"	"29.297"	"32.928"	"34.601"	"28.624"	"26.517"
"1931"	"26.896"	"26.515"	"32.412"	"38.479"	"39.947"	"38.692"	"32.415"	"29.67"	"31.223"	"32.453"	"28.962"	"26.275"
"1932"	"27.888"	"27.031"	"32.848"	"36.641"	"39.384"	"37.225"	"31.691"	"29.451"	"32.087"	"34.246"	"28.435"	"26.401"
"1933"	"24.626"	"28.043"	"32.95"	"36.227"	"37.622"	"35.992"	"31.342"	"28.61"	"30.428"	"32.551"	"29.155"	"25.822"
"1934"	"23.479"	"28.848"	"32.037"	"37.362"	"39.236"	"37.076"	"31.03"	"29.106"	"30.323"	"32.234"	"28.623"	"26.54"
"1935"	"23.151"	"27.646"	"32.353"	"34.613"	"39.615"	"37.659"	"30.847"	"29.145"	"30.561"	"32.494"	"29.474"	"26.069"
"1936"	"24.095"	"27.745"	"32.099"	"36.353"	"40.76"	"35.192"	"31.26"	"29.655"	"31.373"	"33.591"	"29.442"	"25.357"
"1937"	"24.22"	"28.259"	"31.413"	"36.625"	"39.498"	"37.553"	"30.58"	"29.702"	"31.511"	"32.836"	"30.083"	"24.7"
"1938"	"25.397"	"25.976"	"34.508"	"37.955"	"39.945"	"34.319"	"31.038"	"30.046"	"32.561"	"34.136"	"28.124"	"26.221"
"1939"	"26.345"	"27.827"	"30.641"	"35.65"	"39.141"	"36.344"	"31.667"	"31.295"	"31.371"	"34.113"	"29.347"	"26.522"
"1940"	"25.953"	"27.886"	"31.084"	"36.255"	"40.106"	"36.915"	"31.747"	"29.148"	"31.285"	"33.627"	"29.7"	"25.565"
"1941"	"24.631"	"28.55"	"34.423"	"38.411"	"39.992"	"37.417"	"31.69"	"30.05"	"32.451"	"35.672"	"30.158"	"27.547"
"1942"	"23.952"	"28.142"	"34.185"	"38.918"	"39.763"	"38.227"	"30.143"	"28.757"	"30.573"	"33.124"	"29.302"	"24.633"
"1943"	"25.068"	"27.608"	"33.687"	"36.682"	"40.231"	"36.049"	"30.565"	"28.793"	"30.835"	"32.764"	"29.906"	"26.445"
"1944"	"24.708"	"27.013"	"32.015"	"36.286"	"39.616"	"35.999"	"30.135"	"28.794"	"31.287"	"31.983"	"29.158"	"26.735"
"1945"	"23.054"	"26.88"	"33.487"	"36.183"	"38.721"	"37.006"	"30.151"	"29.515"	"30.527"	"32.203"	"28.358"	"24.241"
"1946"	"25.221"	"29.065"	"32.231"	"38.819"	"39.359"	"36.214"	"30.921"	"28.483"	"30.799"	"33.564"	"27.506"	"25.852"
"1947"	"23.939"	"27.41"	"33.61"	"37.237"	"40.139"	"37.88"	"31.816"	"30.283"	"30.247"	"31.9"	"29.617"	"26.233"
"1948"	"24.684"	"26.885"	"32.929"	"38.442"	"41.06"	"37.491"	"32.089"	"29.488"	"30.921"	"34.157"	"29.071"	"26.15"
"1949"	"27.239"	"27.918"	"33.689"	"38.762"	"41.135"	"36.809"	"31.698"	"30.258"	"31.918"	"33.584"	"28.444"	"25.335"
"1950"	"26.253"	"25.497"	"32.129"	"36.362"	"39.684"	"37.183"	"30.579"	"29.35"	"30.786"	"33.025"	"27.868"	"24.634"
"1951"	"24.102"	"26.895"	"32.8"	"35.499"	"39.313"	"36.272"	"33.051"	"29.869"	"33.587"	"36.394"	"31.106"	"25.93"
"1952"	"26.596"	"29.376"	"33.06"	"38.594"	"40.902"	"36.144"	"30.881"	"28.764"	"31.936"	"34.042"	"29.589"	"26.544"
"1953"	"24.795"	"30.012"	"35.359"	"37.693"	"39.691"	"37.309"	"32.096"	"29.511"	"31.656"	"33.19"	"29.414"	"28.153"
"1954"	"24.919"	"29.11"	"33.473"	"37.957"	"40.877"	"37.749"	"31.679"	"30.594"	"30.193"	"31.337"	"29.594"	"25.8"
"1955"	"25.356"	"28.052"	"35.175"	"35.49"	"39.096"	"36.811"	"32.44"	"29.432"	"30.639"	"31.892"	"27.791"	"25.927"
"1956"	"25.347"	"27.324"	"33.785"	"37.326"	"40.446"	"36.106"	"29.582"	"28.826"	"31.229"	"31.277"	"27.883"	"26.16"
"1957"	"24.459"	"26.062"	"31.598"	"36.509"	"38.325"	"37.579"	"31.722"	"30.292"	"31.314"	"33.676"	"31.336"	"26.651"
"1958"	"26.927"	"28.194"	"34.217"	"39.049"	"40.113"	"37.923"	"30.634"	"30.65"	"30.135"	"32.45"	"30.311"	"27.112"
"1959"	"25.239"	"27.337"	"34.61"	"37.608"	"39.604"	"37.012"	"30.44"	"28.842"	"30.421"	"33.01"	"29.258"	"26.594"
"1960"	"24.376"	"29.786"	"32.056"	"36.231"	"38.919"	"36.962"	"32.033"	"28.508"	"32.034"	"32.806"	"28.669"	"26.284"
"1961"	"24.273"	"25.446"	"33.558"	"36.697"	"39.578"	"36.235"	"31.121"	"29.889"	"30.031"	"31.776"	"29.258"	"24.738"
"1962"	"23.901"	"28.263"	"33.135"	"37.149"	"38.581"	"36.162"	"30.576"	"28.585"	"29.476"	"31.039"	"28.49"	"26.679"
"1963"	"25.746"	"30.264"	"33.732"	"37.421"	"39.56"	"37.245"	"32.513"	"28.722"	"31.03"	"33.529"	"31.562"	"27.063"
"1964"	"24.126"	"28.02"	"34.643"	"39.389"	"39.116"	"35.285"	"30.89"	"29.716"	"31.287"	"33.793"	"28.809"	"25.995"
"1965"	"27.354"	"28.645"	"33.214"	"36.895"	"39.199"	"37.908"	"31.987"	"30.633"	"31.402"	"34.68"	"31.396"	"26.455"
"1966"	"26.676"	"31.174"	"33.236"	"37.776"	"39.909"	"36.71"	"32.867"	"29.134"	"30.826"	"34.208"	"30.387"	"25.723"
"1967"	"23.488"	"29.742"	"31.852"	"35.83"	"38.443"	"35.705"	"31.048"	"28.016"	"29.423"	"32.35"	"30.165"	"27.235"
"1968"	"24.666"	"26.292"	"32.956"	"36.872"	"38.135"	"38.137"	"31.577"	"28.515"	"32.83"	"33.064"	"29.763"	"26.159"
"1969"	"25.263"	"28.333"	"35.641"	"37.505"	"38.807"	"37.401"	"31.843"	"29.203"	"31.582"	"34.338"	"31.517"	"27.231"
"1970"	"26.145"	"27.432"	"32.719"	"38.247"	"40.475"	"35.703"	"31.912"	"29.535"	"30.306"	"33.67"	"28.856"	"26.1"
