
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"8.324"	"10.069"	"17.559"	"22.122"	"26.394"	"27.507"	"25.705"	"23.089"	"23.242"	"21.078"	"14.699"	"11.792"
"1902"	"11.16"	"12.815"	"19.427"	"23.474"	"25.923"	"26.217"	"25.482"	"24.827"	"22.205"	"19.249"	"13.699"	"10.111"
"1903"	"9.858"	"10.583"	"15.089"	"20.831"	"25.228"	"27.39"	"25.368"	"23.418"	"22.258"	"19.098"	"12.178"	"9.539"
"1904"	"9.794"	"11.837"	"15.791"	"23.123"	"25.781"	"25.194"	"23.37"	"23.17"	"22.869"	"19.54"	"13.981"	"10.74"
"1905"	"8.455"	"7.37"	"14.488"	"20.176"	"27.476"	"26.54"	"24.244"	"24.326"	"23.233"	"20.071"	"15.513"	"10.846"
"1906"	"8.279"	"9.685"	"15.779"	"21.944"	"26.921"	"25.285"	"23.865"	"23.853"	"21.436"	"18.965"	"14.719"	"10.902"
"1907"	"10.897"	"10.93"	"15.661"	"20.877"	"24.122"	"26.265"	"26.449"	"22.086"	"21.775"	"19.678"	"14.909"	"9.568"
"1908"	"9.441"	"11.285"	"15.614"	"22.753"	"25.343"	"26.013"	"22.565"	"22.247"	"21.491"	"18.576"	"13.57"	"9.543"
"1909"	"9.415"	"11.316"	"17.665"	"20.863"	"24.803"	"25.132"	"22.892"	"22.185"	"21.045"	"18.544"	"14.137"	"9.744"
"1910"	"9.334"	"11.895"	"16.756"	"21.022"	"25.173"	"24.25"	"22.776"	"22.916"	"22.085"	"17.772"	"12.251"	"10.284"
"1911"	"11.083"	"11.878"	"14.872"	"21.539"	"26.471"	"24.794"	"25.434"	"24.181"	"21.906"	"19.999"	"13.394"	"11.662"
"1912"	"10.962"	"13.515"	"16.248"	"22.506"	"26.319"	"27.175"	"24.317"	"22.699"	"21.379"	"19.021"	"12.929"	"10.247"
"1913"	"9.835"	"11.801"	"14.943"	"23.272"	"24.797"	"24.844"	"23.836"	"22.811"	"22.421"	"20.309"	"14.455"	"10.611"
"1914"	"11.741"	"11.399"	"16.002"	"22.278"	"26.803"	"25.08"	"23.678"	"23.269"	"22.913"	"19.497"	"15.734"	"10.072"
"1915"	"9.809"	"10.414"	"17.217"	"21.864"	"26.519"	"27.518"	"26.183"	"24.288"	"24.675"	"20.668"	"14.773"	"11.192"
"1916"	"10.784"	"10.79"	"18.911"	"23.086"	"25.794"	"24.107"	"25.096"	"23.113"	"22.479"	"18.159"	"12.295"	"9.74"
"1917"	"10.788"	"11.932"	"16.511"	"20.124"	"23.279"	"23.901"	"22.616"	"22.643"	"21.163"	"17.225"	"12.174"	"10.118"
