
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.29"	"5.97"	"7.17"	"8.22"	"8.69"	"7.94"	"6.09"	"5.19"	"5.88"	"6.91"	"6.17"	"5.46"
"1902"	"5.43"	"6.18"	"7.3"	"8.34"	"8.74"	"7.86"	"6.02"	"5.29"	"5.93"	"6.84"	"6.11"	"5.36"
"1903"	"5.39"	"6.11"	"7.06"	"8.11"	"8.59"	"7.88"	"6.07"	"5.21"	"5.91"	"6.88"	"6.01"	"5.3"
"1904"	"5.34"	"6.17"	"7.08"	"8.23"	"8.75"	"7.88"	"5.95"	"5.14"	"5.91"	"6.87"	"6.13"	"5.43"
"1905"	"5.39"	"5.85"	"6.94"	"8"	"8.7"	"7.96"	"5.98"	"5.2"	"5.93"	"6.86"	"6.21"	"5.48"
"1906"	"5.32"	"5.98"	"7.05"	"8.13"	"8.76"	"7.89"	"5.96"	"5.21"	"5.89"	"6.78"	"6.14"	"5.39"
"1907"	"5.45"	"6.14"	"7.1"	"8.18"	"8.6"	"7.78"	"6.12"	"5.2"	"5.81"	"6.81"	"6.19"	"5.36"
"1908"	"5.33"	"6.11"	"7.06"	"8.2"	"8.71"	"7.94"	"5.95"	"5.12"	"5.85"	"6.78"	"6.08"	"5.34"
"1909"	"5.33"	"6.08"	"7.24"	"8.19"	"8.63"	"7.87"	"5.95"	"5.13"	"5.83"	"6.76"	"6.13"	"5.36"
"1910"	"5.31"	"6.14"	"7.18"	"8.16"	"8.69"	"7.82"	"5.86"	"5.14"	"5.91"	"6.8"	"5.98"	"5.33"
"1911"	"5.45"	"6.23"	"7.06"	"8.1"	"8.74"	"7.8"	"6.02"	"5.26"	"5.89"	"6.88"	"6.08"	"5.4"
"1912"	"5.41"	"6.3"	"7.16"	"8.19"	"8.71"	"7.94"	"6.06"	"5.18"	"5.85"	"6.83"	"6.05"	"5.36"
"1913"	"5.36"	"6.21"	"7.01"	"8.24"	"8.73"	"7.82"	"5.96"	"5.13"	"5.85"	"6.87"	"6.16"	"5.36"
"1914"	"5.49"	"6.18"	"7.11"	"8.17"	"8.77"	"7.88"	"5.96"	"5.14"	"5.91"	"6.82"	"6.16"	"5.38"
