
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.687"	"0.098"	"0.357"	"0.564"	"13.181"	"52.045"	"317.478"	"204.459"	"27.724"	"32.234"	"0.242"	"3.891"
"1902"	"2.897"	"0"	"0"	"0"	"2.627"	"70.938"	"169.327"	"155.507"	"132.18"	"14.353"	"51.919"	"2.686"
"1903"	"0.246"	"0"	"0.254"	"0"	"11.188"	"17.281"	"433.84"	"267.529"	"189.838"	"2.27"	"0.242"	"0"
"1904"	"0.077"	"1.84"	"16.017"	"0"	"24.973"	"57.388"	"142.06"	"90.174"	"120.095"	"18.324"	"2.617"	"7.247"
"1905"	"1.531"	"2.856"	"2.004"	"2.065"	"6.904"	"20.161"	"331.813"	"39.013"	"164.424"	"0.114"	"0.546"	"0.028"
"1906"	"0"	"16.095"	"0.018"	"0"	"0.345"	"104.244"	"321.218"	"178.68"	"205.192"	"0.717"	"0.242"	"13.713"
"1907"	"7.029"	"7.92"	"0.312"	"5.98"	"1.267"	"41.845"	"202.206"	"363.418"	"9.922"	"0.114"	"3.167"	"0"
"1908"	"6.392"	"0"	"1.057"	"0.363"	"0.775"	"89.463"	"516.564"	"414.304"	"258.152"	"0.368"	"6.832"	"0.028"
"1909"	"7.151"	"0.021"	"0"	"8.622"	"4.228"	"75.872"	"390.257"	"191.803"	"353.756"	"0.136"	"0.242"	"4.649"
"1910"	"4.335"	"0.156"	"0"	"6.118"	"8.113"	"181.831"	"130.38"	"315.811"	"106.462"	"19.81"	"5.529"	"0"
"1911"	"3.203"	"0"	"22.26"	"0"	"0"	"100.482"	"82.487"	"120.31"	"107.996"	"0.114"	"50.204"	"0.305"
"1912"	"0.302"	"0"	"0"	"0.228"	"0.345"	"82.952"	"317.949"	"288.765"	"59.37"	"19.666"	"107.781"	"0.103"
"1913"	"0"	"0.486"	"0.707"	"0"	"4.826"	"92.993"	"296.021"	"116.763"	"175.86"	"0.114"	"0.707"	"2.617"
"1914"	"0"	"1.356"	"0.077"	"0.869"	"34.898"	"151.921"	"313.049"	"154.947"	"262.931"	"3.269"	"49.248"	"2.071"
"1915"	"3.9"	"6.555"	"28.6"	"2.407"	"6.531"	"82.494"	"165.233"	"75.747"	"121.592"	"83.549"	"1.35"	"1.803"
"1916"	"0"	"0.098"	"0"	"0"	"17.468"	"68.619"	"258.247"	"343.335"	"222.828"	"22.704"	"17.366"	"0"
"1917"	"0.426"	"5.651"	"0.083"	"3.66"	"47.18"	"189.775"	"203.706"	"359.734"	"376.172"	"41.738"	"0.242"	"10.914"
"1918"	"0.218"	"0"	"2.089"	"0"	"26.993"	"54.941"	"78.647"	"124.855"	"25.71"	"0.242"	"24.472"	"0"
"1919"	"12.149"	"0"	"0.011"	"7.785"	"6.191"	"105.501"	"264.557"	"256.601"	"99.995"	"20.894"	"53.371"	"0.411"
"1920"	"1.763"	"1.47"	"1.393"	"0"	"17.904"	"148.656"	"223.363"	"56.191"	"37.585"	"0.114"	"0.242"	"0"
"1921"	"1.5"	"0"	"0"	"0"	"0"	"84.904"	"272.423"	"150.657"	"190.228"	"0.114"	"0.242"	"0"
"1922"	"2.085"	"1.002"	"0"	"0"	"0.478"	"64.17"	"248.629"	"62.577"	"263.284"	"2.87"	"36.352"	"2.486"
"1923"	"0.847"	"1.734"	"2.231"	"1.022"	"3.921"	"10.192"	"456.047"	"227.666"	"153.573"	"1.162"	"0.242"	"0.521"
"1924"	"2.254"	"0.526"	"0"	"0"	"17.577"	"58.226"	"241.323"	"159.37"	"219.163"	"30.752"	"0.434"	"12.272"
"1925"	"0"	"0"	"0"	"0"	"22.109"	"120.275"	"197.666"	"112.846"	"40.148"	"0.114"	"73.954"	"0.533"
"1926"	"24.6"	"0.639"	"15.024"	"5.157"	"6.43"	"19.167"	"218.318"	"383.376"	"255.088"	"0.114"	"16.136"	"0"
"1927"	"0"	"2.822"	"0.415"	"0"	"2.587"	"50.666"	"417.583"	"325.003"	"134.277"	"19.277"	"45.024"	"11.578"
"1928"	"0.465"	"5.475"	"0.016"	"0"	"0.088"	"35.673"	"238.703"	"209.668"	"158.411"	"54.955"	"44.464"	"16.682"
"1929"	"1.148"	"2.742"	"0"	"8.901"	"0.8"	"122.842"	"274.531"	"186.431"	"36.72"	"6.58"	"0.242"	"5.622"
"1930"	"5.833"	"0.051"	"0"	"0.8"	"17.411"	"138.886"	"241.083"	"138.778"	"165.116"	"13.584"	"2.245"	"0"
"1931"	"0"	"0.166"	"0"	"0"	"1.336"	"82.334"	"211.335"	"508"	"167.18"	"76.571"	"2.245"	"0.291"
"1932"	"0"	"3.28"	"6.512"	"0.745"	"0.535"	"59.558"	"280.456"	"366.333"	"152.231"	"7"	"0.242"	"0"
"1933"	"0"	"2.374"	"4.24"	"4.887"	"19.003"	"206.658"	"153.555"	"475.883"	"302.129"	"4.891"	"10.498"	"7.768"
"1934"	"2.671"	"0"	"5.234"	"0"	"0"	"204.708"	"270.908"	"496.453"	"171.01"	"0.999"	"69.861"	"1.316"
"1935"	"5.556"	"0.273"	"0"	"7.505"	"1.264"	"34.712"	"344.874"	"110.416"	"208.024"	"31.27"	"0.242"	"0.203"
"1936"	"0"	"1.732"	"26.084"	"0.667"	"19.005"	"183.548"	"107.702"	"107.079"	"174.103"	"0.114"	"71.434"	"0.498"
"1937"	"0"	"3.353"	"0"	"0.005"	"0.258"	"61.904"	"335.414"	"19.275"	"287.878"	"10.576"	"1.214"	"3.361"
"1938"	"0.274"	"0"	"3.3"	"0.067"	"32.362"	"284.56"	"332.701"	"139.748"	"139.107"	"20.289"	"0.546"	"0"
"1939"	"0.275"	"1.608"	"14.631"	"0.217"	"0"	"28.915"	"202.753"	"280.182"	"102.308"	"2.108"	"7.315"	"3.494"
"1940"	"1.994"	"3.948"	"18.017"	"2.326"	"16.648"	"110.795"	"254.013"	"236.533"	"56.402"	"17.523"	"20.699"	"0.338"
"1941"	"4.411"	"8.543"	"0.8"	"0.564"	"2.076"	"8.08"	"311.459"	"190.499"	"114.202"	"3.106"	"0.242"	"0.708"
"1942"	"3.579"	"3.129"	"0"	"3.451"	"9.383"	"54.638"	"368.483"	"383.051"	"101.811"	"0.114"	"0.242"	"7.429"
"1943"	"1.123"	"0"	"0"	"4.853"	"5.912"	"80.88"	"407.024"	"112.115"	"290.921"	"11.568"	"0.242"	"0"
"1944"	"7.401"	"0.682"	"21.884"	"0.216"	"0.7"	"78.23"	"399.27"	"448.004"	"125.859"	"12.53"	"0.242"	"0"
"1945"	"6.832"	"0"	"0"	"0.362"	"8.933"	"63.646"	"363.567"	"327.11"	"186.041"	"0.751"	"0.242"	"0"
"1946"	"0"	"1.973"	"0"	"0.672"	"5.942"	"200.636"	"186.506"	"299.658"	"78.685"	"0.187"	"87.31"	"6.139"
"1947"	"0.913"	"0.646"	"0.653"	"1.173"	"0.18"	"17.414"	"178.149"	"332.62"	"332.227"	"29.009"	"0.242"	"5.579"
"1948"	"12.522"	"1.474"	"0.018"	"1.924"	"9.07"	"90.975"	"438.422"	"192.445"	"72.729"	"4.166"	"48.061"	"0"
"1949"	"2.587"	"0.244"	"0"	"0"	"8.13"	"78.205"	"329.694"	"202.489"	"174.014"	"23.806"	"0.242"	"0"
"1950"	"0.407"	"0"	"2.22"	"0"	"2.75"	"12.674"	"367.475"	"70.923"	"272.161"	"2.108"	"1.021"	"3.812"
"1951"	"0.087"	"0"	"3.823"	"6.978"	"4.833"	"78.674"	"154.821"	"218.82"	"60.926"	"36.457"	"67.996"	"0"
"1952"	"0"	"1.229"	"0.698"	"0.462"	"2.433"	"72.841"	"339.365"	"203.942"	"56.943"	"0.852"	"0.242"	"1.967"
"1953"	"1.905"	"0"	"0"	"1.108"	"1.142"	"75.152"	"241.179"	"294.859"	"124.33"	"8.458"	"0.242"	"0"
"1954"	"6.552"	"1.179"	"2.405"	"0"	"0.309"	"45.619"	"295.636"	"214.093"	"438.035"	"19.332"	"23.888"	"0"
"1955"	"0.571"	"0"	"0"	"0.178"	"2.445"	"89.318"	"106.244"	"396.266"	"328.809"	"35.884"	"0.242"	"3.612"
"1956"	"7.653"	"0"	"7.727"	"4.029"	"1.566"	"129.171"	"433.375"	"228.565"	"105.589"	"40.944"	"30.022"	"0.817"
"1957"	"3.489"	"0"	"12.179"	"4.249"	"7.726"	"90.641"	"208.794"	"253.192"	"66.736"	"3.367"	"20.795"	"0.316"
"1958"	"0.105"	"0.024"	"0.744"	"0.89"	"14.793"	"64.8"	"263.649"	"231.15"	"337.773"	"27.265"	"116.318"	"3.76"
"1959"	"4.909"	"0.111"	"0"	"2.558"	"5.601"	"90.112"	"326.014"	"230.644"	"370.405"	"42.212"	"60.91"	"0"
"1960"	"7.45"	"0"	"0.722"	"0"	"9.333"	"163.427"	"200.671"	"190.41"	"52.289"	"18.789"	"0.242"	"0.592"
"1961"	"4.581"	"4.654"	"0"	"2.594"	"10.574"	"88.621"	"249.164"	"176.887"	"309.547"	"53.93"	"1.214"	"3.933"
"1962"	"0.295"	"0"	"22.65"	"4.325"	"8.399"	"37.023"	"311.386"	"93.565"	"226.632"	"0.114"	"36.634"	"14.885"
"1963"	"0.161"	"1.902"	"1.594"	"0"	"1.481"	"76.149"	"178.986"	"246.564"	"136.279"	"26.431"	"65.274"	"0.454"
"1964"	"0"	"0"	"0.23"	"0"	"7.062"	"101.446"	"272.163"	"352.971"	"105.216"	"8.211"	"0.242"	"3.76"
