
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.95"	"3.72"	"5.42"	"6.56"	"7.32"	"6.68"	"5.06"	"4.16"	"4.58"	"4.88"	"3.7"	"3.1"
"1902"	"3.21"	"4"	"5.64"	"6.78"	"7.25"	"6.52"	"5.05"	"4.32"	"4.46"	"4.7"	"3.61"	"2.94"
"1903"	"3.09"	"3.77"	"5.1"	"6.4"	"7.14"	"6.65"	"5.04"	"4.17"	"4.47"	"4.68"	"3.47"	"2.89"
"1904"	"3.08"	"3.9"	"5.21"	"6.73"	"7.23"	"6.39"	"4.83"	"4.16"	"4.55"	"4.72"	"3.65"	"3"
"1905"	"2.96"	"3.43"	"5.05"	"6.3"	"7.47"	"6.57"	"4.92"	"4.26"	"4.6"	"4.77"	"3.78"	"3.03"
"1906"	"2.94"	"3.67"	"5.2"	"6.54"	"7.37"	"6.4"	"4.87"	"4.21"	"4.42"	"4.66"	"3.7"	"3.02"
"1907"	"3.17"	"3.81"	"5.19"	"6.4"	"6.99"	"6.52"	"5.17"	"4.05"	"4.44"	"4.75"	"3.71"	"2.89"
"1908"	"3.06"	"3.84"	"5.18"	"6.66"	"7.17"	"6.49"	"4.73"	"4.04"	"4.42"	"4.6"	"3.6"	"2.89"
"1909"	"3.06"	"3.84"	"5.43"	"6.4"	"7.08"	"6.38"	"4.79"	"4.05"	"4.37"	"4.6"	"3.65"	"2.9"
"1910"	"3.04"	"3.9"	"5.31"	"6.41"	"7.13"	"6.25"	"4.76"	"4.13"	"4.45"	"4.52"	"3.47"	"2.95"
"1911"	"3.18"	"3.9"	"5.09"	"6.51"	"7.34"	"6.32"	"5.07"	"4.26"	"4.45"	"4.77"	"3.61"	"3.08"
"1912"	"3.17"	"4.08"	"5.27"	"6.64"	"7.31"	"6.63"	"4.92"	"4.12"	"4.4"	"4.68"	"3.55"	"2.94"
"1913"	"3.08"	"3.9"	"5.09"	"6.73"	"7.07"	"6.33"	"4.87"	"4.12"	"4.49"	"4.81"	"3.68"	"3"
"1914"	"3.26"	"3.86"	"5.24"	"6.61"	"7.37"	"6.36"	"4.85"	"4.16"	"4.55"	"4.72"	"3.73"	"2.94"
"1915"	"3.08"	"3.77"	"5.38"	"6.52"	"7.35"	"6.68"	"5.13"	"4.27"	"4.73"	"4.85"	"3.71"	"3.04"
"1916"	"3.17"	"3.78"	"5.58"	"6.72"	"7.21"	"6.25"	"5.03"	"4.16"	"4.53"	"4.57"	"3.48"	"2.9"
"1917"	"3.16"	"3.92"	"5.29"	"6.28"	"6.87"	"6.21"	"4.75"	"4.11"	"4.38"	"4.48"	"3.47"	"2.94"
"1918"	"2.95"	"3.96"	"5.29"	"6.31"	"7.27"	"6.33"	"5.03"	"4.25"	"4.49"	"4.76"	"3.74"	"2.92"
"1919"	"3.15"	"3.87"	"5.37"	"6.49"	"7.19"	"6.45"	"4.84"	"4.14"	"4.44"	"4.62"	"3.68"	"2.94"
"1920"	"3.12"	"3.83"	"5.41"	"6.5"	"6.79"	"6.26"	"4.77"	"4.12"	"4.62"	"4.82"	"3.72"	"3.02"
"1921"	"3.15"	"3.9"	"5.61"	"6.82"	"7.31"	"6.52"	"5.11"	"4.15"	"4.41"	"4.67"	"3.63"	"3.1"
"1922"	"3.02"	"4.07"	"5.44"	"6.69"	"7.21"	"6.42"	"4.89"	"4.15"	"4.44"	"4.62"	"3.6"	"2.93"
"1923"	"3.11"	"3.81"	"5.43"	"6.61"	"7.1"	"6.63"	"4.9"	"4.05"	"4.48"	"4.61"	"3.6"	"3.04"
"1924"	"3.06"	"3.96"	"5.57"	"6.71"	"7.01"	"6.54"	"4.94"	"4.18"	"4.42"	"4.51"	"3.48"	"2.96"
"1925"	"2.88"	"3.7"	"5.43"	"6.86"	"7.12"	"6.19"	"4.77"	"4.25"	"4.65"	"4.91"	"3.7"	"3.02"
"1926"	"3.16"	"4.16"	"5.3"	"6.2"	"7.07"	"6.74"	"4.95"	"4.16"	"4.44"	"4.63"	"3.47"	"2.92"
"1927"	"2.95"	"3.74"	"5.15"	"6.47"	"7.08"	"6.47"	"4.83"	"4.04"	"4.44"	"4.63"	"3.42"	"2.99"
"1928"	"3.05"	"3.92"	"5.37"	"6.55"	"7.23"	"6.43"	"4.87"	"4.14"	"4.42"	"4.68"	"3.66"	"2.9"
"1929"	"2.99"	"3.78"	"5.54"	"6.63"	"7.25"	"6.42"	"4.82"	"4.1"	"4.51"	"4.66"	"3.72"	"2.89"
"1930"	"3.06"	"3.82"	"5.41"	"6.49"	"7.17"	"6.46"	"4.77"	"4.12"	"4.65"	"4.82"	"3.59"	"3.03"
"1931"	"3.22"	"3.79"	"5.28"	"6.75"	"7.26"	"6.67"	"4.95"	"4.16"	"4.45"	"4.59"	"3.6"	"3.01"
"1932"	"3.3"	"3.84"	"5.35"	"6.48"	"7.16"	"6.48"	"4.9"	"4.15"	"4.56"	"4.79"	"3.56"	"3.02"
"1933"	"3.04"	"3.93"	"5.34"	"6.42"	"6.93"	"6.3"	"4.86"	"4.05"	"4.4"	"4.59"	"3.62"	"2.97"
"1934"	"2.92"	"4.03"	"5.24"	"6.59"	"7.14"	"6.46"	"4.81"	"4.11"	"4.38"	"4.56"	"3.59"	"3.03"
"1935"	"2.89"	"3.91"	"5.28"	"6.19"	"7.21"	"6.55"	"4.81"	"4.1"	"4.43"	"4.58"	"3.66"	"2.99"
"1936"	"2.98"	"3.92"	"5.25"	"6.44"	"7.38"	"6.2"	"4.85"	"4.16"	"4.46"	"4.7"	"3.65"	"2.93"
"1937"	"3"	"3.98"	"5.15"	"6.47"	"7.19"	"6.53"	"4.78"	"4.16"	"4.49"	"4.62"	"3.71"	"2.89"
"1938"	"3.09"	"3.74"	"5.54"	"6.67"	"7.26"	"6.09"	"4.82"	"4.19"	"4.61"	"4.78"	"3.55"	"3"
"1939"	"3.17"	"3.93"	"5.05"	"6.36"	"7.13"	"6.36"	"4.89"	"4.31"	"4.48"	"4.77"	"3.64"	"3.03"
"1940"	"3.15"	"3.92"	"5.1"	"6.43"	"7.28"	"6.44"	"4.9"	"4.1"	"4.45"	"4.72"	"3.67"	"2.94"
"1941"	"3.03"	"3.98"	"5.53"	"6.76"	"7.26"	"6.52"	"4.9"	"4.19"	"4.59"	"4.92"	"3.7"	"3.12"
"1942"	"2.96"	"3.95"	"5.49"	"6.8"	"7.23"	"6.62"	"4.74"	"4.05"	"4.4"	"4.66"	"3.64"	"2.87"
"1943"	"3.06"	"3.9"	"5.44"	"6.5"	"7.3"	"6.32"	"4.77"	"4.05"	"4.43"	"4.62"	"3.7"	"3.03"
"1944"	"3.04"	"3.82"	"5.24"	"6.44"	"7.2"	"6.31"	"4.73"	"4.04"	"4.45"	"4.53"	"3.64"	"3.06"
"1945"	"2.89"	"3.82"	"5.41"	"6.41"	"7.07"	"6.45"	"4.74"	"4.16"	"4.4"	"4.57"	"3.56"	"2.84"
"1946"	"3.08"	"4.05"	"5.27"	"6.79"	"7.16"	"6.36"	"4.81"	"4.04"	"4.43"	"4.72"	"3.46"	"2.97"
"1947"	"2.96"	"3.88"	"5.43"	"6.57"	"7.27"	"6.56"	"4.91"	"4.21"	"4.37"	"4.51"	"3.66"	"3.01"
"1948"	"3.03"	"3.81"	"5.34"	"6.76"	"7.41"	"6.52"	"4.93"	"4.14"	"4.45"	"4.77"	"3.61"	"2.99"
"1949"	"3.27"	"3.93"	"5.43"	"6.79"	"7.42"	"6.45"	"4.9"	"4.22"	"4.55"	"4.72"	"3.56"	"2.93"
"1950"	"3.17"	"3.67"	"5.26"	"6.44"	"7.21"	"6.48"	"4.79"	"4.13"	"4.44"	"4.64"	"3.51"	"2.86"
"1951"	"2.98"	"3.81"	"5.33"	"6.34"	"7.15"	"6.34"	"5.05"	"4.18"	"4.71"	"5.01"	"3.81"	"2.97"
"1952"	"3.2"	"4.08"	"5.36"	"6.78"	"7.41"	"6.33"	"4.81"	"4.04"	"4.54"	"4.82"	"3.66"	"3.03"
"1953"	"3.04"	"4.15"	"5.63"	"6.63"	"7.22"	"6.49"	"4.93"	"4.14"	"4.51"	"4.67"	"3.64"	"3.16"
"1954"	"3.06"	"4.06"	"5.41"	"6.67"	"7.39"	"6.56"	"4.9"	"4.18"	"4.37"	"4.47"	"3.66"	"2.97"
"1955"	"3.09"	"3.93"	"5.61"	"6.34"	"7.13"	"6.42"	"4.96"	"4.15"	"4.42"	"4.52"	"3.5"	"2.99"
"1956"	"3.1"	"3.88"	"5.44"	"6.51"	"7.32"	"6.33"	"4.7"	"4.06"	"4.45"	"4.46"	"3.51"	"3.01"
"1957"	"3.02"	"3.74"	"5.17"	"6.47"	"7.03"	"6.52"	"4.9"	"4.14"	"4.46"	"4.73"	"3.85"	"3.04"
"1958"	"3.24"	"3.97"	"5.49"	"6.82"	"7.28"	"6.56"	"4.79"	"4.25"	"4.37"	"4.58"	"3.71"	"3.09"
"1959"	"3.08"	"3.88"	"5.54"	"6.63"	"7.2"	"6.46"	"4.78"	"4.06"	"4.4"	"4.65"	"3.65"	"3.06"
"1960"	"3.01"	"4.12"	"5.26"	"6.43"	"7.09"	"6.45"	"4.92"	"4.04"	"4.55"	"4.62"	"3.6"	"3.02"
"1961"	"2.99"	"3.66"	"5.39"	"6.47"	"7.12"	"6.37"	"4.76"	"4.18"	"4.34"	"4.5"	"3.65"	"2.88"
"1962"	"2.96"	"3.98"	"5.41"	"6.52"	"7.04"	"6.32"	"4.76"	"4.05"	"4.21"	"4.44"	"3.58"	"3.02"
