
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.841"	"6.321"	"7.701"	"10.012"	"16.452"	"26.801"	"29.341"	"26.051"	"24.405"	"13.853"	"9.385"	"8.535"
"1902"	"7.924"	"7.314"	"8.683"	"10.598"	"16.347"	"24.95"	"28.518"	"28.201"	"23.95"	"12.605"	"8.818"	"7.762"
"1903"	"7.453"	"6.988"	"6.855"	"9.164"	"15.521"	"26.937"	"29.181"	"26.023"	"24.115"	"12.031"	"8.304"	"7.68"
"1904"	"7.453"	"7.388"	"7.19"	"10.1"	"15.91"	"24.703"	"27.188"	"26.238"	"24.029"	"12.633"	"8.686"	"8.292"
"1905"	"6.768"	"5.362"	"6.544"	"8.675"	"17.393"	"25.31"	"27.688"	"27.788"	"24.89"	"13.231"	"9.717"	"8.292"
"1906"	"6.764"	"6.402"	"7.065"	"9.699"	"17.356"	"24.611"	"27.325"	"27.152"	"23.083"	"12.499"	"9.428"	"8.295"
"1907"	"7.823"	"6.857"	"7.192"	"9.186"	"14.955"	"24.97"	"30.786"	"26.03"	"23.929"	"13.161"	"9.393"	"7.663"
"1908"	"7.438"	"7.132"	"7.217"	"9.928"	"15.91"	"25.214"	"26.005"	"26.027"	"23.786"	"12.066"	"8.712"	"7.674"
"1909"	"7.351"	"7.328"	"8.185"	"9.084"	"15.323"	"24.641"	"26.434"	"25.683"	"22.815"	"11.774"	"8.805"	"7.732"
"1910"	"7.449"	"7.153"	"7.701"	"9.137"	"15.91"	"24.428"	"26.239"	"26.027"	"23.9"	"11.867"	"8.111"	"7.87"
"1911"	"7.79"	"7.14"	"6.704"	"9.561"	"16.435"	"24.475"	"29.446"	"26.784"	"23.884"	"12.675"	"8.609"	"8.335"
"1912"	"7.875"	"8.044"	"7.383"	"10.089"	"16.418"	"27.009"	"27.287"	"26.055"	"23.924"	"12.715"	"8.621"	"8.219"
"1913"	"7.343"	"7.472"	"6.667"	"10.204"	"15.891"	"24.166"	"27.194"	"26.513"	"24.173"	"13.286"	"9.367"	"8.292"
"1914"	"7.987"	"7.251"	"7.251"	"9.845"	"17.123"	"24.703"	"27.314"	"26.109"	"23.895"	"12.715"	"9.393"	"7.79"
"1915"	"7.453"	"6.793"	"7.59"	"9.928"	"17.074"	"27.856"	"30.138"	"27.345"	"26.396"	"13.571"	"9.415"	"8.292"
"1916"	"7.804"	"6.854"	"8.513"	"9.974"	"15.877"	"23.471"	"28.836"	"26.051"	"23.895"	"11.773"	"8.285"	"7.691"
"1917"	"7.432"	"7.657"	"7.452"	"8.548"	"14.523"	"23.216"	"25.896"	"26.093"	"23.909"	"11.051"	"8.044"	"7.88"
"1918"	"6.775"	"7.475"	"7.601"	"8.983"	"15.992"	"24.618"	"28.993"	"27.69"	"23.953"	"13.045"	"9.367"	"7.735"
"1919"	"7.352"	"6.956"	"7.771"	"9.534"	"15.91"	"24.839"	"27.236"	"26.042"	"23.887"	"12.141"	"8.952"	"7.746"
"1920"	"7.449"	"7.249"	"7.778"	"9.633"	"13.894"	"23.86"	"27.13"	"26.314"	"25.51"	"13.44"	"9.375"	"8.292"
"1921"	"7.453"	"7.231"	"8.783"	"10.83"	"16.662"	"25.097"	"29.478"	"26.055"	"23.63"	"12.468"	"8.821"	"8.481"
"1922"	"7.432"	"7.963"	"7.708"	"10.089"	"15.895"	"24.659"	"27.37"	"26.029"	"23.892"	"12.675"	"8.992"	"7.824"
"1923"	"7.449"	"7.11"	"7.701"	"10.089"	"15.906"	"26.41"	"27.296"	"26.034"	"23.908"	"11.68"	"8.678"	"8.261"
"1924"	"7.436"	"7.394"	"8.493"	"10.02"	"14.95"	"26.171"	"27.418"	"26.023"	"23.821"	"11.792"	"8.169"	"8.083"
"1925"	"6.32"	"6.46"	"8.119"	"10.864"	"15.826"	"22.506"	"26.891"	"27.666"	"25.135"	"13.603"	"8.755"	"8.046"
"1926"	"7.453"	"8.552"	"7.221"	"8.506"	"15.375"	"27.814"	"27.853"	"26.055"	"23.895"	"11.68"	"7.963"	"7.58"
"1927"	"6.549"	"6.695"	"7.215"	"9.327"	"15.899"	"25.009"	"27.325"	"26.043"	"23.895"	"12.649"	"8.146"	"8.292"
"1928"	"7.403"	"7.492"	"7.701"	"10.02"	"16.465"	"24.703"	"27.345"	"26.19"	"23.886"	"12.652"	"9.379"	"7.681"
"1929"	"6.937"	"6.848"	"8.48"	"10.009"	"15.934"	"24.693"	"27.256"	"26.055"	"23.897"	"12.663"	"9.364"	"7.571"
"1930"	"7.453"	"7.238"	"7.708"	"9.591"	"15.899"	"24.682"	"25.647"	"26.12"	"25.469"	"13.452"	"8.644"	"8.244"
"1931"	"7.937"	"6.899"	"7.441"	"10.374"	"15.899"	"26.315"	"28.977"	"26.407"	"23.896"	"11.806"	"8.74"	"8.292"
"1932"	"8.492"	"6.827"	"7.355"	"9.193"	"15.91"	"24.929"	"27.322"	"26.075"	"24.23"	"12.605"	"8.679"	"8.292"
"1933"	"6.957"	"7.7"	"7.771"	"9.262"	"14.776"	"24.651"	"27.303"	"25.933"	"23.373"	"12.029"	"9.172"	"8.372"
"1934"	"6.447"	"7.753"	"7.196"	"10.068"	"15.91"	"24.645"	"27.308"	"26.12"	"23.873"	"11.704"	"8.681"	"8.292"
"1935"	"6.285"	"7.414"	"7.282"	"8.477"	"15.91"	"25.716"	"27.202"	"26.025"	"23.97"	"12.168"	"9.025"	"8.165"
"1936"	"6.766"	"7.698"	"7.251"	"9.289"	"17.288"	"23.219"	"27.305"	"26.023"	"23.963"	"12.675"	"9.33"	"7.687"
"1937"	"6.781"	"7.64"	"7.192"	"9.024"	"15.86"	"24.941"	"27.228"	"26.11"	"23.833"	"12.344"	"9.415"	"7.691"
"1938"	"7.765"	"6.808"	"8.489"	"10.167"	"16.477"	"22.199"	"27.395"	"26.318"	"25.636"	"12.995"	"8.3"	"8.292"
"1939"	"7.889"	"7.556"	"6.643"	"9.183"	"16.192"	"24.671"	"27.481"	"28.119"	"24.013"	"13.17"	"9.25"	"8.447"
"1940"	"7.766"	"7.698"	"6.558"	"9.295"	"16.534"	"24.699"	"27.626"	"26.055"	"23.911"	"13.149"	"9.284"	"7.758"
"1941"	"7.453"	"7.766"	"8.287"	"10.306"	"16.5"	"24.614"	"27.326"	"26.757"	"23.944"	"13.957"	"9.364"	"8.421"
"1942"	"6.999"	"7.503"	"8.141"	"10.778"	"15.983"	"26.198"	"26.11"	"26.055"	"22.757"	"12.715"	"9.056"	"7.691"
"1943"	"7.461"	"7.311"	"7.802"	"9.55"	"16.512"	"24.649"	"26.309"	"26.075"	"23.962"	"12.321"	"9.387"	"8.442"
"1944"	"7.421"	"7.175"	"7.152"	"9.185"	"16.087"	"24.64"	"26.165"	"26.097"	"23.895"	"11.773"	"9.396"	"8.397"
"1945"	"6.264"	"6.907"	"7.701"	"9.308"	"15.91"	"24.654"	"25.908"	"26.193"	"23.861"	"11.763"	"8.731"	"7.265"
"1946"	"7.421"	"8.026"	"7.28"	"10.845"	"15.91"	"24.599"	"27.333"	"24.983"	"23.9"	"12.682"	"8.387"	"8.288"
"1947"	"6.809"	"7.343"	"7.986"	"10.162"	"16.686"	"26.23"	"28.326"	"27.594"	"22.756"	"11.792"	"9.415"	"8.292"
"1948"	"7.453"	"7.053"	"7.802"	"10.371"	"17.094"	"25.173"	"27.296"	"26.123"	"23.81"	"12.732"	"8.881"	"8.247"
"1949"	"7.883"	"7.383"	"7.701"	"10.762"	"16.968"	"24.845"	"27.325"	"26.256"	"25.298"	"12.583"	"8.616"	"7.671"
"1950"	"7.568"	"6.394"	"7.19"	"9.579"	"15.895"	"24.788"	"26.469"	"26.1"	"23.895"	"11.98"	"8.117"	"7.599"
"1951"	"6.768"	"6.957"	"7.701"	"8.641"	"15.91"	"24.64"	"29.402"	"26.091"	"25.298"	"14.536"	"9.924"	"8.244"
"1952"	"7.785"	"8.044"	"7.719"	"10.566"	"17.036"	"24.613"	"27.343"	"26.071"	"23.91"	"12.633"	"9.028"	"8.292"
"1953"	"7.135"	"8.666"	"9.031"	"10.171"	"15.958"	"24.988"	"27.233"	"26.033"	"23.941"	"12.652"	"9.158"	"8.849"
"1954"	"6.993"	"7.914"	"7.701"	"10.173"	"17.15"	"25.312"	"27.256"	"27.497"	"22.731"	"11.063"	"9.043"	"8.288"
"1955"	"7.371"	"7.702"	"8.474"	"8.645"	"15.895"	"24.881"	"28.26"	"26.075"	"23.884"	"11.734"	"8.107"	"8.292"
"1956"	"7.453"	"7.427"	"7.701"	"10.154"	"16.605"	"24.21"	"24.724"	"26.1"	"23.949"	"11.174"	"8.243"	"8.28"
"1957"	"7.245"	"6.907"	"7.17"	"9.331"	"15.038"	"24.691"	"27.318"	"26.897"	"23.977"	"12.633"	"9.799"	"8.347"
"1958"	"8.035"	"7.545"	"8.051"	"10.751"	"15.951"	"26.244"	"27.351"	"27.615"	"22.505"	"11.954"	"9.393"	"8.323"
"1959"	"7.453"	"7.487"	"8.436"	"10.084"	"15.841"	"24.98"	"26.426"	"26.075"	"23.189"	"12.246"	"9.396"	"8.292"
"1960"	"7.162"	"8.078"	"7.217"	"9.342"	"15.925"	"24.967"	"27.269"	"26.037"	"24.137"	"12.318"	"8.668"	"8.314"
"1961"	"7.109"	"6.454"	"8.368"	"9.731"	"15.91"	"24.703"	"27.252"	"26.023"	"22.688"	"11.599"	"9.076"	"7.565"
"1962"	"6.784"	"7.666"	"7.701"	"10.089"	"15.877"	"24.649"	"27.308"	"26.071"	"22.415"	"11.066"	"8.945"	"8.272"
"1963"	"7.116"	"8.638"	"7.701"	"10.033"	"15.751"	"24.672"	"28.608"	"26.034"	"23.857"	"13.029"	"10.07"	"8.292"
"1964"	"6.914"	"7.311"	"8.513"	"10.751"	"15.869"	"23.24"	"27.217"	"26.109"	"23.941"	"12.32"	"8.661"	"8.225"
"1965"	"8.433"	"7.667"	"7.593"	"9.279"	"16.097"	"25.556"	"27.288"	"27.706"	"23.884"	"13.515"	"10.002"	"8.22"
"1966"	"7.635"	"9.164"	"7.701"	"9.604"	"15.665"	"24.554"	"28.787"	"26.075"	"23.903"	"13.247"	"9.749"	"8.169"
"1967"	"6.816"	"8.08"	"7.156"	"9.157"	"15.317"	"23.662"	"27.308"	"25.024"	"21.935"	"12.663"	"9.415"	"8.365"
"1968"	"7.255"	"6.782"	"7.906"	"9.616"	"15.057"	"26.093"	"27.426"	"26.046"	"24.552"	"12.715"	"9.393"	"8.292"
"1969"	"7.453"	"7.744"	"8.964"	"10.084"	"15.891"	"24.738"	"27.385"	"26.075"	"24.083"	"13.468"	"10.104"	"8.055"
"1970"	"7.694"	"7.751"	"7.701"	"10.816"	"17.117"	"23.412"	"27.251"	"26.037"	"22.649"	"12.697"	"8.731"	"8.199"
"1971"	"7.147"	"7.542"	"7.701"	"10.828"	"14.859"	"21.972"	"25.815"	"26.051"	"23.918"	"11.792"	"8.922"	"7.872"
"1972"	"7.38"	"6.268"	"7.845"	"9.207"	"15.925"	"24.694"	"27.925"	"26.746"	"23.933"	"12.969"	"9.378"	"8.292"
"1973"	"7.081"	"7.653"	"7.752"	"11.073"	"16.998"	"24.818"	"26.105"	"26.023"	"23.258"	"12.132"	"8.756"	"7.725"
"1974"	"6.784"	"6.805"	"8.504"	"10.269"	"15.899"	"24.689"	"27.285"	"27.136"	"25.427"	"12.613"	"9.016"	"7.624"
"1975"	"6.755"	"7.134"	"6.715"	"9.669"	"16.457"	"24.475"	"25.924"	"26.075"	"22.533"	"12.715"	"8.228"	"8.292"
"1976"	"7.453"	"7.306"	"7.748"	"9.673"	"15.895"	"23.327"	"27.243"	"25.635"	"22.888"	"12.693"	"9.994"	"8.292"
"1977"	"7.443"	"7.17"	"8.771"	"10.326"	"15.636"	"24.572"	"25.909"	"26.023"	"22.765"	"13.281"	"9.95"	"9.143"
"1978"	"7.273"	"6.97"	"6.752"	"10.036"	"17.046"	"23.29"	"25.681"	"25.885"	"23.879"	"12.655"	"10.074"	"7.826"
"1979"	"7.59"	"6.865"	"7.229"	"10.009"	"14.518"	"25.026"	"27.131"	"26.116"	"25.189"	"13.496"	"10.071"	"8.403"
"1980"	"7.453"	"7.999"	"7.748"	"9.911"	"16.866"	"24.387"	"27.325"	"25.763"	"23.996"	"13.618"	"9.756"	"7.829"
"1981"	"7.228"	"7.938"	"7.701"	"10.52"	"15.75"	"26.02"	"26.996"	"26.037"	"24.335"	"12.613"	"8.626"	"7.94"
"1982"	"7.371"	"7.04"	"6.706"	"9.284"	"13.951"	"25.027"	"28.739"	"26.051"	"23.9"	"13.543"	"9.393"	"8.809"
"1983"	"7.445"	"6.857"	"7.316"	"8.624"	"15.464"	"24.921"	"27.341"	"26.04"	"23.895"	"11.813"	"8.067"	"8.292"
"1984"	"6.784"	"6.116"	"8.535"	"10.531"	"17.52"	"24.672"	"27.318"	"24.735"	"22.611"	"12.072"	"9.068"	"8.3"
"1985"	"7.453"	"7.56"	"8.932"	"10.1"	"16.604"	"24.75"	"27.237"	"26.051"	"23.933"	"11.599"	"9.415"	"8.769"
"1986"	"7.453"	"7.381"	"7.728"	"10.353"	"15.864"	"24.64"	"26.879"	"26.12"	"25.509"	"13.148"	"9.776"	"7.336"
"1987"	"7.491"	"8.037"	"8.121"	"10.272"	"15.128"	"25.595"	"29.359"	"29.026"	"26.974"	"13.751"	"9.922"	"8.347"
"1988"	"7.887"	"8.341"	"8.084"	"10.675"	"17.329"	"24.706"	"27.301"	"26.123"	"25.423"	"12.682"	"9.415"	"8.323"
"1989"	"7.085"	"7.556"	"7.752"	"10.02"	"15.975"	"24.17"	"27.233"	"26.091"	"24.035"	"12.652"	"10.042"	"8.292"
"1990"	"8.593"	"7.556"	"7.133"	"10.057"	"15.457"	"23.946"	"26.947"	"26.367"	"23.892"	"12.59"	"9.415"	"8.292"
"1991"	"7.212"	"7.667"	"7.968"	"9.577"	"15.851"	"26.215"	"27.461"	"26.051"	"23.911"	"12.403"	"9.466"	"8.79"
"1992"	"7.808"	"6.978"	"7.433"	"9.703"	"15.91"	"27.592"	"28.977"	"26.033"	"22.809"	"12.675"	"9.415"	"8.81"
"1993"	"7.819"	"7.942"	"7.219"	"9.486"	"17.093"	"24.651"	"27.325"	"27.441"	"23.311"	"13.487"	"9.749"	"8.778"
"1994"	"7.896"	"7.556"	"8.445"	"9.533"	"17.086"	"24.555"	"25.795"	"26.123"	"23.601"	"12.161"	"9.384"	"7.829"
"1995"	"7.011"	"7.722"	"7.311"	"10.001"	"16.306"	"28.366"	"27.298"	"26.519"	"24.06"	"13.435"	"9.396"	"8.386"
"1996"	"8.014"	"7.969"	"8.584"	"10.088"	"16.134"	"24.995"	"27.256"	"26.015"	"23.825"	"12.752"	"9.09"	"8.238"
"1997"	"7.237"	"7.411"	"7.701"	"9.059"	"14.847"	"24.106"	"27.309"	"26.031"	"23.884"	"11.72"	"9.729"	"7.905"
"1998"	"7.403"	"7.343"	"7.422"	"10.438"	"17.084"	"26.072"	"27.159"	"28.49"	"24.487"	"13.297"	"9.393"	"8.446"
"1999"	"7.453"	"7.67"	"7.965"	"11.073"	"15.91"	"24.19"	"27.292"	"26.23"	"24.414"	"12.682"	"9.726"	"8.295"
"2000"	"7.789"	"6.905"	"7.708"	"10.949"	"16.169"	"24.529"	"27.314"	"27.248"	"23.921"	"13.526"	"10.21"	"8.898"
"2001"	"7.371"	"7.962"	"7.802"	"10.073"	"15.91"	"21.902"	"25.965"	"26.206"	"25.805"	"13.643"	"10.031"	"8.522"
"2002"	"7.449"	"7.767"	"8.092"	"10.74"	"17.015"	"24.826"	"29.053"	"26.467"	"24.318"	"13.562"	"10.071"	"8.981"
