
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"13.288"	"15.678"	"23.763"	"28.745"	"33.767"	"36.598"	"33.808"	"31.302"	"31.301"	"29.228"	"21.535"	"17.045"
"1902"	"16.145"	"18.482"	"25.644"	"30.271"	"34.161"	"34.12"	"33.102"	"32.481"	"30.497"	"27.263"	"21.046"	"15.516"
"1903"	"14.5"	"16.824"	"21.242"	"27.502"	"33.247"	"37.053"	"33.6"	"31.168"	"31.385"	"27.689"	"19.951"	"15.088"
"1904"	"13.987"	"17.834"	"22.207"	"30.232"	"34.125"	"34.975"	"32.304"	"30.878"	"30.684"	"27.511"	"20.826"	"16.093"
"1905"	"12.706"	"12.573"	"19.657"	"27.156"	"35.756"	"35.578"	"33.681"	"32.524"	"31.763"	"28.077"	"22.536"	"16.156"
"1906"	"13.151"	"14.98"	"21.162"	"28.378"	"35.652"	"34.547"	"33.522"	"31.623"	"30.264"	"28.011"	"22.408"	"17.214"
"1907"	"16.975"	"15.671"	"20.873"	"27.23"	"32.073"	"34.795"	"34.382"	"29.953"	"30.337"	"27.437"	"21.465"	"15.192"
"1908"	"14.925"	"17.906"	"22.682"	"29.753"	"33.643"	"35.464"	"31.011"	"29.037"	"29.458"	"26.568"	"20.129"	"15.29"
"1909"	"13.696"	"16.381"	"23.051"	"27.733"	"33.078"	"34.623"	"30.52"	"29.79"	"28.897"	"27.184"	"22.13"	"14.842"
"1910"	"14.144"	"17.778"	"22.998"	"27.562"	"34.207"	"34.749"	"31.158"	"29.803"	"30.38"	"26.337"	"19.912"	"15.613"
"1911"	"15.588"	"18.243"	"20.957"	"28.726"	"34.968"	"34.77"	"34.289"	"32.624"	"30.671"	"27.827"	"18.555"	"15.703"
"1912"	"15.47"	"17.122"	"22.268"	"29.22"	"34.229"	"36.527"	"32.629"	"30.325"	"29.79"	"27.357"	"19.629"	"15.825"
"1913"	"15.537"	"17.069"	"20.69"	"30.144"	"32.592"	"33.485"	"31.206"	"31.034"	"31.115"	"28.164"	"20.64"	"15.388"
"1914"	"16.66"	"16.141"	"21.882"	"28.782"	"34.865"	"34.195"	"31.23"	"30.819"	"30.444"	"26.185"	"21.296"	"14.766"
"1915"	"14.368"	"15.736"	"23.282"	"29.004"	"35.744"	"35.914"	"34.308"	"32.117"	"32.363"	"28.549"	"20.933"	"16.461"
"1916"	"15.897"	"16.113"	"25.69"	"29.962"	"32.853"	"34.053"	"32.431"	"30.052"	"29.864"	"25.786"	"18.616"	"15.011"
"1917"	"15.271"	"18.258"	"22.794"	"26.18"	"30.158"	"33.86"	"30.967"	"29.047"	"28.301"	"25.173"	"18.734"	"16.106"
"1918"	"13.849"	"18.092"	"22.454"	"26.403"	"35.333"	"34.393"	"33.756"	"31.834"	"30.56"	"27.601"	"20.762"	"14.871"
"1919"	"14.34"	"16.695"	"23.227"	"28.003"	"32.992"	"36.512"	"32.415"	"30.186"	"29.566"	"27.083"	"19.756"	"14.954"
"1920"	"14.366"	"16.7"	"23.031"	"27.997"	"29.933"	"32.364"	"31.604"	"30.345"	"31.94"	"28.53"	"21.832"	"16.026"
"1921"	"15.355"	"18.192"	"26.186"	"31.871"	"35.25"	"36.12"	"33.594"	"30.279"	"30.168"	"26.569"	"21.024"	"17.539"
"1922"	"14.082"	"18.516"	"23.848"	"29.795"	"33.482"	"34.325"	"32.992"	"30.658"	"29.676"	"26.402"	"20.49"	"15.81"
"1923"	"14.496"	"16.593"	"23.974"	"29.836"	"32.559"	"35.849"	"32.259"	"29.362"	"30.267"	"26.694"	"19.979"	"15.507"
