
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"16.471"	"16.16"	"16.238"	"15.872"	"14.838"	"12.491"	"9.57"	"8.875"	"11.151"	"16.184"	"17.601"	"17.236"
"1902"	"16.471"	"16.16"	"16.238"	"15.872"	"14.838"	"12.491"	"9.57"	"8.875"	"11.151"	"16.184"	"17.601"	"17.236"
"1903"	"16.471"	"16.16"	"16.238"	"15.872"	"14.838"	"12.491"	"9.57"	"9"	"11.151"	"16.184"	"17.601"	"17.236"
"1904"	"16.471"	"16.16"	"16.238"	"15.872"	"14.838"	"12.491"	"9.57"	"8.875"	"11.151"	"16.184"	"17.601"	"17.236"
"1905"	"16.471"	"16.16"	"16.238"	"15.872"	"14.838"	"12.491"	"9.57"	"8.875"	"11.151"	"16.184"	"17.601"	"17.236"
"1906"	"16.471"	"16.16"	"16.238"	"15.872"	"14.838"	"12.491"	"9.57"	"8.875"	"11.151"	"16.184"	"17.601"	"17.236"
"1907"	"16.471"	"16.16"	"16.238"	"15.872"	"14.838"	"12.491"	"9.57"	"8.875"	"11.151"	"15.872"	"17.601"	"17.236"
"1908"	"16.471"	"16.16"	"16.252"	"15.872"	"14.838"	"12.491"	"9.57"	"8.875"	"11.318"	"16.184"	"17.601"	"17.236"
"1909"	"16.471"	"16.16"	"16.238"	"15.872"	"14.838"	"12.491"	"9.57"	"8.875"	"11.151"	"16.184"	"17.601"	"17.236"
"1910"	"16.471"	"16.16"	"16.238"	"15.872"	"14.838"	"12.491"	"9.57"	"8.875"	"11.151"	"16.184"	"17.601"	"17.236"
"1911"	"16.471"	"16.16"	"16.238"	"15.872"	"14.838"	"12.491"	"9.57"	"8.875"	"11.151"	"16.184"	"17.601"	"17.236"
"1912"	"16.471"	"16.16"	"16.238"	"15.872"	"14.838"	"12.491"	"9.57"	"8.875"	"11.151"	"16.184"	"17.601"	"17.212"
"1913"	"16.471"	"16.16"	"16.238"	"15.872"	"14.838"	"12.491"	"9.57"	"8.875"	"11.151"	"16.184"	"17.601"	"17.236"
"1914"	"16.471"	"16.16"	"16.238"	"15.872"	"14.838"	"12.491"	"9.57"	"8.875"	"11.151"	"16.184"	"17.013"	"17.236"
"1915"	"16.471"	"16.16"	"16.238"	"15.799"	"14.838"	"12.491"	"9.57"	"8.875"	"11.151"	"16.184"	"17.601"	"17.236"
"1916"	"16.471"	"16.16"	"16.339"	"15.872"	"14.838"	"12.491"	"10.186"	"8.875"	"11.151"	"16.184"	"17.601"	"17.236"
"1917"	"16.471"	"16.16"	"16.238"	"15.872"	"14.838"	"12.491"	"9.57"	"8.875"	"11.151"	"16.184"	"17.601"	"17.236"
"1918"	"16.471"	"16.16"	"16.238"	"15.872"	"14.838"	"12.491"	"9.57"	"8.875"	"11.151"	"16.184"	"17.601"	"17.236"
"1919"	"17.051"	"16.16"	"16.238"	"15.872"	"14.838"	"12.491"	"9.57"	"8.875"	"11.151"	"16.184"	"17.601"	"17.437"
"1920"	"16.417"	"16.084"	"16.312"	"15.652"	"14.838"	"12.491"	"9.57"	"8.907"	"11.135"	"16.184"	"17.601"	"17.236"
