
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"8.0689"	"2.707"	"0.0002"	"0.2163"	"0.0803"	"0"	"0"	"0"	"0"	"0"	"0"	"1.2015"
"1902"	"0.3206"	"0"	"0"	"0"	"0"	"0.0559"	"0"	"0"	"0"	"0"	"0"	"4.1165"
"1903"	"3.6042"	"1.0467"	"0.1439"	"0.3471"	"0.0819"	"0"	"0"	"0"	"0"	"0.0013"	"0.0668"	"5.4629"
"1904"	"6.5736"	"0.0041"	"0.075"	"0"	"0.0004"	"0"	"0.0131"	"0"	"0"	"0.0044"	"0.0064"	"3.1939"
"1905"	"8.8227"	"3.7442"	"0.1974"	"0.362"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.6616"
"1906"	"7.7443"	"2.717"	"0.1578"	"0.2037"	"0"	"0.0076"	"0"	"0"	"0.0001"	"0"	"0"	"0.2504"
"1907"	"0"	"2.1984"	"0.1417"	"0.3398"	"0.2399"	"0"	"0"	"0.0245"	"0.0035"	"0.0053"	"0"	"5.1277"
"1908"	"4.1078"	"0.1458"	"0.0724"	"0"	"0.0148"	"0"	"0.0541"	"0.151"	"0.0748"	"0.1539"	"0.0537"	"5.5267"
"1909"	"6.8862"	"1.9073"	"0.0262"	"0.3298"	"0.0973"	"0.0166"	"0.0842"	"0.0517"	"0.269"	"0.0547"	"0"	"6.204"
"1910"	"5.9135"	"0.1881"	"0.0398"	"0.3159"	"0"	"0"	"0.0462"	"0.0556"	"0"	"0.2284"	"0.0704"	"4.7946"
"1911"	"2.8054"	"0"	"0.1645"	"0.1613"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1023"	"3.9997"
"1912"	"2.2263"	"0.1394"	"0.0888"	"0.0597"	"0"	"0"	"0"	"0.004"	"0.0235"	"0"	"0.0754"	"4.4449"
"1913"	"1.5459"	"0.8693"	"0.1672"	"0"	"0.1581"	"0.1394"	"0.0351"	"0"	"0"	"0"	"0.0201"	"4.2346"
"1914"	"0.353"	"1.9312"	"0.1068"	"0.1174"	"0"	"0.0127"	"0.0458"	"0"	"0"	"0.2592"	"0"	"6.0424"
"1915"	"4.3287"	"2.3533"	"0.0025"	"0.0945"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0156"	"2.4929"
"1916"	"1.1237"	"1.8797"	"0"	"0"	"0.137"	"0.0457"	"0"	"0.0139"	"0.0312"	"0.1911"	"0.1021"	"5.279"
"1917"	"3.2014"	"0"	"0.0456"	"0.4661"	"0.3665"	"0.1027"	"0.0784"	"0.1137"	"0.316"	"0.4763"	"0.0947"	"3.9021"
"1918"	"6.1587"	"0.089"	"0.0754"	"0.4117"	"0"	"0.0065"	"0"	"0"	"0"	"0"	"0.0109"	"6.0627"
"1919"	"5.5316"	"1.5099"	"0.0161"	"0.2371"	"0.0553"	"0"	"0"	"0.0236"	"0.0317"	"0.0115"	"0.0436"	"5.6432"
"1920"	"3.6951"	"1.2424"	"0.0114"	"0.2297"	"0.3685"	"0.2767"	"0.0118"	"0.0059"	"0"	"0"	"0"	"3.3129"
"1921"	"2.2047"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0103"	"0"	"0.1046"	"0.0116"	"0.0564"
"1922"	"5.3614"	"0"	"0"	"0"	"0.0069"	"0"	"0"	"0"	"0.0724"	"0.1735"	"0.0213"	"3.8201"
"1923"	"3.9636"	"1.5527"	"0"	"0.0082"	"0.1327"	"0"	"0"	"0.1081"	"0"	"0.128"	"0.0623"	"4.0616"
"1924"	"5.884"	"0.8127"	"0"	"0"	"0.3372"	"0"	"0"	"0"	"0.2691"	"0.034"	"0.053"	"2.7471"
"1925"	"7.4929"	"2.6038"	"0"	"0"	"0.0249"	"0.2987"	"0.1056"	"0"	"0"	"0"	"0.0476"	"3.4208"
"1926"	"3.072"	"0"	"0.0966"	"0.4498"	"0.2744"	"0"	"0"	"0.0408"	"0.1207"	"0.1179"	"0.0964"	"5.1667"
"1927"	"8.0776"	"2.4498"	"0.111"	"0.2494"	"0.1758"	"0"	"0.0322"	"0.0862"	"0.0531"	"0.0056"	"0.0491"	"1.8684"
"1928"	"5.3554"	"0"	"0.0061"	"0.0608"	"0"	"0.0011"	"0"	"0"	"0.062"	"0"	"0"	"6.0725"
"1929"	"5.3973"	"1.7818"	"0"	"0"	"0.0006"	"0"	"0.0335"	"0.0525"	"0"	"0.0629"	"0"	"7.5784"
"1930"	"6.4505"	"0.6527"	"0.0046"	"0.2655"	"0.0773"	"0.114"	"0.1125"	"0.0041"	"0"	"0.0007"	"0.0657"	"4.5647"
"1931"	"1.8423"	"3.1253"	"0.0728"	"0"	"0.0439"	"0"	"0.0019"	"0"	"0.068"	"0.1852"	"0.0253"	"1.6633"
"1932"	"0"	"0.5289"	"0"	"0.0411"	"0.0875"	"0"	"0"	"0.0754"	"0"	"0.0006"	"0.041"	"3.2647"
"1933"	"8.5239"	"0.1729"	"0.0463"	"0.3686"	"0.2813"	"0.011"	"0.0405"	"0.1843"	"0.256"	"0.1466"	"0.0173"	"1.4405"
