
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"21.545"	"23.771"	"31.884"	"36.701"	"41.193"	"42.843"	"38.593"	"35.754"	"36.898"	"37.325"	"30.354"	"25.684"
"1902"	"24.396"	"26.595"	"33.78"	"38.214"	"41.585"	"40.365"	"37.89"	"36.943"	"36.086"	"35.378"	"29.867"	"24.165"
"1903"	"22.755"	"24.938"	"29.381"	"35.465"	"40.668"	"43.296"	"38.389"	"35.685"	"36.98"	"35.805"	"28.772"	"23.726"
"1904"	"22.243"	"25.94"	"30.343"	"38.168"	"41.548"	"41.222"	"37.092"	"35.313"	"36.28"	"35.626"	"29.644"	"24.717"
"1905"	"20.961"	"20.671"	"27.794"	"35.104"	"43.194"	"41.824"	"38.47"	"36.986"	"37.36"	"36.189"	"31.356"	"24.81"
"1906"	"21.408"	"23.08"	"29.301"	"36.338"	"43.09"	"40.791"	"38.309"	"36.085"	"35.862"	"36.124"	"31.23"	"25.868"
"1907"	"25.213"	"23.786"	"29.009"	"35.177"	"39.504"	"41.041"	"39.172"	"34.401"	"35.934"	"35.392"	"30.284"	"23.812"
"1908"	"23.181"	"26.02"	"30.833"	"37.696"	"41.075"	"41.709"	"35.8"	"33.488"	"35.143"	"34.667"	"28.951"	"23.927"
"1909"	"21.935"	"24.475"	"31.19"	"35.683"	"40.504"	"40.868"	"35.308"	"34.236"	"34.493"	"35.299"	"30.95"	"23.497"
"1910"	"22.378"	"25.892"	"31.137"	"35.525"	"41.631"	"40.995"	"35.945"	"34.25"	"35.978"	"34.427"	"28.726"	"24.256"
"1911"	"23.844"	"26.357"	"29.095"	"36.671"	"42.409"	"41.017"	"39.081"	"37.073"	"36.271"	"35.919"	"27.368"	"24.324"
"1912"	"23.727"	"25.23"	"30.407"	"37.175"	"41.666"	"42.772"	"37.416"	"34.787"	"35.389"	"35.445"	"28.443"	"24.454"
"1913"	"23.794"	"25.18"	"28.826"	"38.081"	"40.012"	"39.732"	"35.994"	"35.48"	"36.704"	"36.276"	"29.455"	"24.043"
"1914"	"24.902"	"24.256"	"30.018"	"36.729"	"42.308"	"40.439"	"36.011"	"35.267"	"36.043"	"34.293"	"29.835"	"23.405"
"1915"	"22.623"	"23.849"	"31.422"	"36.922"	"43.174"	"42.159"	"39.094"	"36.579"	"37.958"	"36.646"	"29.753"	"25.118"
"1916"	"24.139"	"24.21"	"33.878"	"37.92"	"40.285"	"40.296"	"37.539"	"34.486"	"35.461"	"33.901"	"27.43"	"23.647"
