
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.067"	"7.599"	"15.635"	"20.817"	"26.34"	"30.351"	"29.026"	"26.88"	"25.735"	"21.143"	"12.734"	"8.441"
"1902"	"7.919"	"10.429"	"17.536"	"22.341"	"26.747"	"27.874"	"28.313"	"28.066"	"24.938"	"19.196"	"12.262"	"6.929"
"1903"	"6.28"	"8.749"	"13.124"	"19.562"	"25.835"	"30.807"	"28.823"	"26.68"	"25.807"	"19.621"	"11.146"	"6.483"
"1904"	"5.77"	"9.781"	"14.087"	"22.289"	"26.703"	"28.731"	"27.525"	"26.441"	"25.129"	"19.43"	"12.038"	"7.473"
"1905"	"4.486"	"4.499"	"11.533"	"19.225"	"28.343"	"29.335"	"28.898"	"28.107"	"26.199"	"20"	"13.747"	"7.547"
"1906"	"4.935"	"6.908"	"13.05"	"20.435"	"28.255"	"28.301"	"28.743"	"27.182"	"24.688"	"19.941"	"13.622"	"8.619"
"1907"	"8.735"	"7.604"	"12.767"	"19.287"	"24.653"	"28.549"	"29.603"	"25.52"	"24.761"	"19.512"	"12.669"	"6.575"
"1908"	"6.702"	"9.858"	"14.568"	"21.825"	"26.237"	"29.22"	"26.226"	"24.597"	"23.811"	"18.484"	"11.339"	"6.691"
"1909"	"5.45"	"8.315"	"14.952"	"19.796"	"25.665"	"28.375"	"25.739"	"25.346"	"23.345"	"19.116"	"13.348"	"6.254"
"1910"	"5.904"	"9.711"	"14.893"	"19.625"	"26.786"	"28.503"	"26.37"	"25.367"	"24.816"	"18.244"	"11.107"	"7.018"
"1911"	"7.362"	"10.173"	"12.837"	"20.796"	"27.544"	"28.525"	"29.512"	"28.199"	"25.108"	"19.734"	"9.764"	"7.075"
"1912"	"7.242"	"9.065"	"14.155"	"21.29"	"26.822"	"30.282"	"27.848"	"25.898"	"24.227"	"19.263"	"10.836"	"7.205"
"1913"	"7.32"	"9.006"	"12.586"	"22.199"	"25.177"	"27.237"	"26.421"	"26.591"	"25.555"	"20.095"	"11.84"	"6.785"
"1914"	"8.421"	"8.089"	"13.784"	"20.835"	"27.447"	"27.95"	"26.44"	"26.38"	"24.893"	"18.098"	"12.811"	"6.141"
"1915"	"6.148"	"7.69"	"15.169"	"21.098"	"28.328"	"29.668"	"29.525"	"27.686"	"26.797"	"20.466"	"12.133"	"7.864"
"1916"	"7.664"	"8.047"	"17.523"	"22.006"	"25.419"	"27.806"	"27.348"	"25.61"	"24.313"	"17.718"	"9.824"	"6.39"
"1917"	"7.036"	"10.205"	"14.678"	"18.232"	"22.732"	"27.614"	"26.181"	"24.59"	"22.709"	"17.1"	"9.945"	"7.498"
"1918"	"5.622"	"10.041"	"14.354"	"18.473"	"27.927"	"28.147"	"28.974"	"27.403"	"25.006"	"19.534"	"11.968"	"6.274"
"1919"	"5.827"	"8.623"	"15.107"	"20.048"	"25.571"	"30.268"	"27.634"	"25.745"	"24.006"	"19.009"	"10.967"	"6.265"
"1920"	"6.151"	"8.67"	"14.896"	"20.188"	"22.521"	"26.118"	"26.814"	"25.892"	"26.396"	"20.455"	"13.052"	"7.409"
"1921"	"7.131"	"10.125"	"18.136"	"23.929"	"27.852"	"29.875"	"28.811"	"25.836"	"24.614"	"18.42"	"12.225"	"8.915"
"1922"	"5.853"	"10.464"	"15.744"	"21.867"	"26.069"	"28.079"	"28.206"	"26.227"	"24.127"	"18.145"	"11.692"	"7.176"
"1923"	"6.268"	"8.537"	"15.868"	"21.905"	"25.131"	"29.604"	"27.483"	"24.931"	"24.704"	"18.623"	"11.183"	"6.885"
"1924"	"5.509"	"9.477"	"16.699"	"21.667"	"23.239"	"29.751"	"28.78"	"26.206"	"23.067"	"18.386"	"11.09"	"7.516"
"1925"	"4.982"	"7.185"	"16.361"	"23.976"	"25.962"	"26.216"	"25.872"	"27.049"	"26.321"	"20.103"	"10.797"	"7.219"
"1926"	"7.04"	"11.697"	"13.856"	"18.475"	"23.8"	"29.696"	"28.213"	"25.654"	"23.56"	"18.407"	"9.583"	"6.494"
