
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.76"	"5.42"	"6.77"	"8.16"	"8.87"	"8.6"	"7.27"	"6.54"	"6.83"	"7.28"	"6.17"	"5.08"
"1902"	"4.92"	"5.6"	"6.91"	"8.25"	"9"	"8.56"	"7.14"	"6.54"	"6.89"	"7.19"	"6.13"	"5.02"
"1903"	"4.81"	"5.58"	"6.65"	"8.02"	"8.79"	"8.6"	"7.27"	"6.54"	"6.86"	"7.28"	"6.1"	"4.98"
"1904"	"4.76"	"5.6"	"6.67"	"8.17"	"8.96"	"8.6"	"7.19"	"6.47"	"6.84"	"7.21"	"6.09"	"5.09"
"1905"	"4.79"	"5.21"	"6.44"	"7.87"	"8.9"	"8.65"	"7.2"	"6.54"	"6.9"	"7.22"	"6.22"	"5.11"
"1906"	"4.78"	"5.4"	"6.6"	"8"	"8.97"	"8.61"	"7.19"	"6.55"	"6.81"	"7.2"	"6.19"	"5.09"
"1907"	"5.05"	"5.55"	"6.61"	"8.02"	"8.82"	"8.48"	"7.27"	"6.52"	"6.8"	"7.13"	"6.15"	"4.99"
"1908"	"4.82"	"5.6"	"6.75"	"8.18"	"8.92"	"8.67"	"7.19"	"6.4"	"6.8"	"7.15"	"6.06"	"5"
"1909"	"4.78"	"5.48"	"6.75"	"8.1"	"8.87"	"8.64"	"7.14"	"6.46"	"6.77"	"7.13"	"6.22"	"5"
"1910"	"4.76"	"5.59"	"6.79"	"8.06"	"8.91"	"8.64"	"7.15"	"6.42"	"6.82"	"7.17"	"6.05"	"4.98"
"1911"	"4.87"	"5.7"	"6.63"	"8.05"	"8.95"	"8.56"	"7.2"	"6.59"	"6.88"	"7.28"	"5.99"	"4.95"
"1912"	"4.88"	"5.58"	"6.7"	"8.15"	"8.89"	"8.65"	"7.28"	"6.5"	"6.81"	"7.23"	"6.05"	"4.99"
"1913"	"4.89"	"5.62"	"6.57"	"8.18"	"8.96"	"8.55"	"7.11"	"6.45"	"6.84"	"7.24"	"6.12"	"4.95"
"1914"	"4.98"	"5.56"	"6.65"	"8.09"	"8.97"	"8.65"	"7.14"	"6.45"	"6.89"	"7.15"	"6.06"	"4.98"
"1915"	"4.81"	"5.43"	"6.75"	"8.06"	"8.98"	"8.65"	"7.23"	"6.55"	"6.91"	"7.3"	"6.15"	"5.06"
"1916"	"4.93"	"5.44"	"6.87"	"8.3"	"8.95"	"8.53"	"7.38"	"6.47"	"6.82"	"7.17"	"5.97"	"4.92"
"1917"	"4.83"	"5.67"	"6.84"	"8.07"	"8.74"	"8.52"	"7.17"	"6.45"	"6.78"	"7.11"	"5.93"	"5.02"
"1918"	"4.76"	"5.6"	"6.79"	"7.95"	"8.92"	"8.6"	"7.21"	"6.56"	"6.88"	"7.22"	"6.14"	"4.95"
"1919"	"4.85"	"5.52"	"6.79"	"8.15"	"8.83"	"8.62"	"7.24"	"6.5"	"6.8"	"7.22"	"6.09"	"4.98"
"1920"	"4.78"	"5.51"	"6.78"	"8.17"	"8.79"	"8.42"	"7.09"	"6.41"	"6.82"	"7.28"	"6.2"	"5.04"
"1921"	"4.86"	"5.57"	"6.86"	"8.33"	"9.01"	"8.66"	"7.33"	"6.51"	"6.82"	"7.22"	"6.09"	"5.15"
"1922"	"4.79"	"5.6"	"6.8"	"8.22"	"8.94"	"8.55"	"7.19"	"6.54"	"6.82"	"7.22"	"6.09"	"5.02"
"1923"	"4.83"	"5.48"	"6.78"	"8.23"	"8.89"	"8.58"	"7.22"	"6.41"	"6.8"	"7.2"	"6.09"	"5.02"
"1924"	"4.78"	"5.53"	"6.86"	"8.31"	"8.77"	"8.49"	"7.28"	"6.57"	"6.78"	"7.21"	"6.05"	"5.07"
"1925"	"4.77"	"5.38"	"6.74"	"8.36"	"9.09"	"8.54"	"7.02"	"6.44"	"6.9"	"7.3"	"6.09"	"5.02"
"1926"	"4.82"	"5.77"	"6.81"	"8.01"	"8.73"	"8.53"	"7.24"	"6.53"	"6.79"	"7.23"	"5.97"	"4.96"
"1927"	"4.74"	"5.38"	"6.67"	"8.11"	"8.86"	"8.58"	"7.16"	"6.46"	"6.76"	"7.18"	"6.09"	"5.08"
"1928"	"4.79"	"5.6"	"6.79"	"8.12"	"8.96"	"8.62"	"7.15"	"6.5"	"6.8"	"7.17"	"6.2"	"4.95"
"1929"	"4.79"	"5.4"	"6.86"	"8.26"	"8.95"	"8.65"	"7.14"	"6.41"	"6.82"	"7.21"	"6.19"	"4.93"
"1930"	"4.74"	"5.52"	"6.85"	"8.13"	"8.91"	"8.57"	"7.04"	"6.38"	"6.81"	"7.23"	"6.07"	"4.95"
"1931"	"4.95"	"5.28"	"6.65"	"8.32"	"8.99"	"8.79"	"7.23"	"6.51"	"6.89"	"7.03"	"6.2"	"5.1"
"1932"	"5.05"	"5.7"	"6.88"	"8.36"	"8.95"	"8.68"	"7.3"	"6.41"	"6.98"	"7.45"	"6.28"	"5.08"
"1933"	"4.76"	"5.54"	"6.85"	"8.07"	"8.68"	"8.55"	"7.15"	"6.27"	"6.65"	"7.17"	"6.15"	"5.16"
"1934"	"4.65"	"5.85"	"6.75"	"8.33"	"8.95"	"8.6"	"7.17"	"6.44"	"6.95"	"7.43"	"6.13"	"5.1"
"1935"	"4.66"	"5.42"	"6.94"	"7.86"	"8.92"	"8.97"	"7.29"	"6.54"	"6.92"	"7.29"	"6.19"	"5.08"
"1936"	"4.84"	"5.69"	"6.74"	"8.18"	"9.09"	"8.5"	"7.14"	"6.47"	"6.82"	"7.32"	"6.2"	"4.91"
"1937"	"4.88"	"5.51"	"6.71"	"8.06"	"8.93"	"8.83"	"7.14"	"6.58"	"7.02"	"7.24"	"6.14"	"4.93"
"1938"	"4.67"	"5.39"	"6.84"	"8.33"	"9.05"	"8.46"	"7.26"	"6.58"	"7.03"	"7.51"	"6.16"	"5.1"
"1939"	"4.89"	"5.57"	"6.52"	"8.06"	"9.15"	"8.52"	"7.14"	"6.61"	"7.01"	"7.38"	"6.29"	"5.18"
"1940"	"4.89"	"5.56"	"6.7"	"8.12"	"8.96"	"8.62"	"7.26"	"6.49"	"6.91"	"7.31"	"6.31"	"5.15"
"1941"	"4.75"	"5.67"	"7"	"8.51"	"9.08"	"8.48"	"7.2"	"6.59"	"6.88"	"7.36"	"6.37"	"5.24"
"1942"	"4.73"	"5.52"	"6.98"	"8.4"	"8.96"	"8.83"	"7.18"	"6.46"	"6.75"	"7.16"	"6.32"	"5.02"
"1943"	"4.57"	"5.75"	"7.03"	"8.22"	"8.93"	"8.68"	"7.32"	"6.41"	"6.88"	"7.38"	"6.28"	"5.24"
"1944"	"4.81"	"5.46"	"6.69"	"8.18"	"9.11"	"8.82"	"7.33"	"6.4"	"6.9"	"7.29"	"6.28"	"5.14"
"1945"	"4.66"	"5.58"	"6.95"	"8.09"	"9.01"	"8.81"	"7.14"	"6.49"	"6.81"	"7.16"	"6.33"	"5.02"
"1946"	"4.88"	"5.83"	"6.84"	"8.46"	"9.04"	"8.68"	"7.28"	"6.47"	"6.95"	"7.2"	"6.29"	"5"
"1947"	"4.77"	"5.65"	"7.02"	"8.48"	"9.15"	"8.83"	"7.49"	"6.59"	"6.83"	"7.18"	"6.21"	"5.1"
"1948"	"4.8"	"5.48"	"6.6"	"8.19"	"9.14"	"8.73"	"7.35"	"6.35"	"6.89"	"7.28"	"6.19"	"4.93"
"1949"	"4.94"	"5.57"	"6.75"	"8.4"	"9.12"	"8.74"	"7.15"	"6.43"	"7.04"	"7.35"	"6.19"	"4.96"
"1950"	"4.83"	"5.42"	"6.61"	"8.17"	"8.95"	"8.68"	"7.14"	"6.41"	"6.76"	"7.2"	"6.22"	"4.98"
"1951"	"4.75"	"5.58"	"6.74"	"8.01"	"8.85"	"8.6"	"7.37"	"6.53"	"6.93"	"7.37"	"6.28"	"5.13"
"1952"	"4.84"	"5.7"	"6.64"	"8.27"	"9.13"	"8.73"	"7.14"	"6.38"	"6.91"	"7.6"	"6.28"	"5.06"
"1953"	"4.68"	"5.69"	"7.13"	"8.25"	"8.93"	"8.62"	"7.14"	"6.34"	"6.79"	"7.28"	"6.08"	"5.24"
"1954"	"4.73"	"5.38"	"6.77"	"8.24"	"9.05"	"8.66"	"7.16"	"6.34"	"6.89"	"7.21"	"6.08"	"5.09"
"1955"	"4.64"	"5.68"	"6.92"	"8.26"	"8.7"	"8.57"	"7.15"	"6.39"	"6.73"	"6.98"	"6.11"	"4.99"
"1956"	"4.68"	"5.69"	"6.63"	"8.03"	"9.06"	"8.56"	"7.13"	"6.3"	"6.89"	"6.82"	"6.04"	"4.98"
"1957"	"4.64"	"5.52"	"6.61"	"8.01"	"8.73"	"8.57"	"7.2"	"6.25"	"6.89"	"7.2"	"6.12"	"4.92"
"1958"	"4.89"	"5.66"	"6.79"	"8.37"	"9"	"8.76"	"7.05"	"6.55"	"6.66"	"7.03"	"6.04"	"5.06"
"1959"	"4.74"	"5.42"	"6.93"	"8.24"	"8.84"	"8.64"	"7.12"	"6.39"	"6.63"	"7.06"	"6.02"	"5.07"
"1960"	"4.78"	"5.91"	"6.72"	"8.03"	"8.99"	"8.64"	"7.14"	"6.4"	"6.94"	"7.29"	"6.19"	"5.05"
"1961"	"4.82"	"5.22"	"6.7"	"8.04"	"8.68"	"8.62"	"6.88"	"6.29"	"6.56"	"7.02"	"5.88"	"4.89"
"1962"	"4.72"	"5.44"	"6.84"	"8.08"	"8.9"	"8.71"	"7.09"	"6.47"	"6.58"	"7.11"	"5.93"	"4.89"
"1963"	"4.95"	"5.84"	"6.77"	"7.91"	"8.75"	"8.52"	"7.38"	"6.47"	"6.74"	"7.18"	"5.98"	"5.21"
"1964"	"4.61"	"5.38"	"6.87"	"8.25"	"8.91"	"8.49"	"6.85"	"6.46"	"6.57"	"7.22"	"6.16"	"4.83"
"1965"	"4.89"	"5.63"	"6.79"	"7.82"	"8.63"	"8.57"	"7.11"	"6.46"	"6.84"	"7.13"	"6.29"	"5.04"
"1966"	"5.02"	"5.77"	"6.86"	"8"	"9.15"	"8.64"	"7.43"	"6.59"	"6.81"	"7.26"	"6.18"	"5.2"
"1967"	"4.78"	"5.92"	"6.68"	"8.04"	"9.01"	"8.75"	"7.26"	"6.33"	"6.92"	"7.09"	"6.06"	"4.83"
"1968"	"4.66"	"5.3"	"6.87"	"8.29"	"8.84"	"8.57"	"7.28"	"6.56"	"7.48"	"7.28"	"6.24"	"5.04"
"1969"	"4.9"	"5.56"	"7.29"	"8.23"	"8.84"	"8.61"	"7.21"	"6.63"	"6.8"	"7.21"	"6.15"	"5.28"
"1970"	"4.89"	"5.62"	"6.59"	"8.42"	"9.18"	"8.71"	"7.46"	"6.53"	"6.73"	"7.42"	"6.32"	"5.21"
"1971"	"4.84"	"5.74"	"6.86"	"8.39"	"8.91"	"8.34"	"6.89"	"6.45"	"7.15"	"7.21"	"6.15"	"5.35"
"1972"	"4.96"	"5.3"	"6.85"	"8.16"	"8.9"	"8.74"	"7.47"	"6.66"	"6.88"	"7.07"	"6.12"	"4.91"
"1973"	"4.58"	"5.69"	"6.73"	"8.56"	"9.12"	"8.64"	"7.29"	"6.36"	"6.74"	"7.14"	"6.29"	"4.88"
"1974"	"4.76"	"5.35"	"6.86"	"8.43"	"9.19"	"8.6"	"7.16"	"6.66"	"7.18"	"7.28"	"6.27"	"4.89"
"1975"	"4.66"	"5.45"	"6.69"	"8.16"	"9.12"	"8.58"	"7.21"	"6.43"	"6.41"	"7.16"	"6.16"	"5.16"
"1976"	"4.87"	"5.48"	"6.63"	"8.16"	"9"	"8.43"	"7.2"	"6.33"	"6.67"	"7.29"	"6.15"	"5.09"
"1977"	"4.71"	"5.75"	"7.44"	"8.14"	"8.83"	"8.41"	"6.8"	"6.45"	"6.53"	"7.1"	"6.15"	"5.2"
"1978"	"4.89"	"5.41"	"6.42"	"8.17"	"9.38"	"8.97"	"6.84"	"6.19"	"6.6"	"7.26"	"5.85"	"5.14"
"1979"	"4.78"	"5.46"	"6.35"	"8.21"	"8.69"	"8.58"	"7.15"	"6.73"	"6.89"	"7.06"	"5.89"	"5.05"
"1980"	"4.73"	"5.67"	"6.54"	"8.32"	"9"	"8.54"	"7.05"	"6.42"	"6.73"	"7.13"	"6.16"	"5.03"
"1981"	"4.75"	"5.71"	"6.72"	"8.36"	"8.9"	"8.68"	"7.17"	"6.43"	"6.85"	"7.35"	"5.93"	"5.03"
"1982"	"4.83"	"5.42"	"6.48"	"8.06"	"8.71"	"8.48"	"7.26"	"6.39"	"6.91"	"7.17"	"5.96"	"5.01"
"1983"	"4.75"	"5.48"	"6.75"	"7.86"	"8.61"	"8.34"	"7.25"	"6.47"	"6.81"	"7.1"	"6.1"	"5.03"
"1984"	"4.78"	"5.25"	"6.82"	"8.15"	"9.03"	"8.68"	"7.19"	"6.5"	"6.77"	"7.15"	"5.98"	"4.83"
"1985"	"4.73"	"5.88"	"6.8"	"8.24"	"8.98"	"8.55"	"7.2"	"6.32"	"6.83"	"7.01"	"6.09"	"5.09"
"1986"	"4.88"	"5.55"	"6.72"	"8.16"	"8.9"	"8.6"	"7.16"	"6.36"	"6.73"	"7.2"	"6.18"	"4.92"
"1987"	"4.96"	"5.73"	"6.76"	"8.22"	"8.65"	"8.47"	"6.87"	"6.55"	"6.85"	"7.11"	"6.37"	"5.02"
