
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.894"	"1.736"	"2.105"	"0.088"	"14.237"	"10.101"	"105.579"	"92.003"	"0.436"	"0.344"	"0"	"1.805"
"1902"	"0"	"0"	"0.404"	"1.574"	"3.819"	"59.935"	"62.764"	"59.809"	"36.147"	"2.168"	"0"	"0"
"1903"	"2.452"	"0"	"0.541"	"0"	"5.804"	"6.784"	"153.637"	"80.709"	"59.005"	"1.209"	"0"	"3.627"
"1904"	"4.945"	"0.644"	"24.329"	"1.635"	"8.983"	"28.856"	"41.807"	"55.881"	"73.457"	"2.726"	"11.771"	"13.182"
"1905"	"14.674"	"6.608"	"1.984"	"7.189"	"0.372"	"9.549"	"35.551"	"1.042"	"42.814"	"0.094"	"0"	"1.937"
"1906"	"0"	"75.787"	"13.309"	"0.039"	"0.77"	"33.1"	"69.781"	"98.428"	"74.117"	"0"	"0"	"16.772"
"1907"	"2.192"	"18.055"	"3.285"	"26.257"	"6.153"	"14.966"	"125.136"	"128.29"	"0.436"	"0"	"0"	"0"
"1908"	"11.677"	"1.819"	"0"	"20.918"	"5.113"	"11.122"	"250.153"	"246.453"	"75.023"	"0"	"0.529"	"0.082"
"1909"	"4.829"	"6.872"	"0"	"50.571"	"9.293"	"69.648"	"230.831"	"153.561"	"117.437"	"0.026"	"0"	"13.438"
"1910"	"3.631"	"1.839"	"0.233"	"11.137"	"0.309"	"37.6"	"75.249"	"221.348"	"31.099"	"3.485"	"0"	"0.029"
"1911"	"8.219"	"0"	"38.286"	"4.687"	"0.499"	"32.521"	"14.809"	"27.962"	"41.9"	"6.268"	"12.727"	"0"
"1912"	"5.797"	"2.875"	"0.917"	"14.097"	"5.393"	"28.149"	"76.748"	"107.196"	"31.707"	"7.467"	"4.117"	"0.097"
"1913"	"0.132"	"10.323"	"3.507"	"5.301"	"19.224"	"59.146"	"46.538"	"21.79"	"20.428"	"0"	"5.543"	"3.084"
"1914"	"9.093"	"3.537"	"1.036"	"13.698"	"7.138"	"58.499"	"167.833"	"50.316"	"76.865"	"1.869"	"7.682"	"0.209"
"1915"	"9.25"	"31.541"	"17.431"	"9.297"	"0.222"	"11.244"	"43.848"	"29.889"	"15.902"	"22.13"	"0"	"0.053"
"1916"	"0.578"	"5.584"	"1.009"	"22.116"	"36.283"	"49.11"	"156.635"	"182.186"	"68.785"	"18.093"	"0"	"0"
"1917"	"5.024"	"5.483"	"1.582"	"54.233"	"72.068"	"50.319"	"97.296"	"215.546"	"170.375"	"13.521"	"0"	"8.922"
"1918"	"1.213"	"0"	"4.314"	"3.621"	"1.003"	"8.08"	"6.027"	"56.134"	"5.453"	"0"	"0.029"	"5.407"
"1919"	"19.775"	"3.888"	"0.786"	"38.669"	"11.078"	"0.354"	"59.785"	"203.197"	"131.086"	"0"	"4.632"	"3.285"
"1920"	"1.834"	"2.809"	"2.855"	"34.844"	"23.249"	"113.803"	"165.197"	"34.18"	"0.554"	"0"	"0"	"0"
"1921"	"2.548"	"0"	"0"	"2.442"	"0.234"	"10.919"	"209.625"	"146.598"	"54.986"	"1.253"	"0"	"1.891"
"1922"	"2.778"	"0.855"	"0.508"	"10.627"	"3.645"	"15.07"	"127.836"	"32.332"	"83.349"	"4.864"	"0"	"8.225"
"1923"	"5.324"	"12.35"	"0.913"	"2.174"	"21.161"	"23.237"	"161.319"	"128.909"	"6.239"	"0.925"	"0"	"18.89"
"1924"	"16.784"	"4.511"	"1.274"	"3.052"	"12.323"	"15.407"	"56.98"	"91.169"	"98.727"	"3.388"	"0.611"	"23.711"
"1925"	"0.624"	"0"	"0"	"0"	"9.436"	"82.505"	"101.08"	"22.046"	"6.971"	"0.105"	"10.838"	"0"
"1926"	"4.74"	"0"	"13.732"	"5.949"	"15.342"	"1.001"	"156.022"	"148.428"	"48.255"	"0"	"0.864"	"9.061"
"1927"	"0"	"14.817"	"2.803"	"1.226"	"16.977"	"14.616"	"135.19"	"108.655"	"11.423"	"6.573"	"0"	"16.935"
"1928"	"2.344"	"6.919"	"2.406"	"8.864"	"3.433"	"13.551"	"87.238"	"159.752"	"36.968"	"5.156"	"6.639"	"1.912"
"1929"	"1.47"	"0"	"0"	"10.278"	"17.084"	"9.123"	"175.703"	"56.433"	"6.736"	"0.052"	"0"	"20.251"
