
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.57"	"3.31"	"5.06"	"6.53"	"7.62"	"7.63"	"6.26"	"5.38"	"5.31"	"5.07"	"3.6"	"2.75"
"1902"	"2.78"	"3.59"	"5.26"	"6.74"	"7.68"	"7.29"	"6.18"	"5.51"	"5.22"	"4.87"	"3.54"	"2.64"
"1903"	"2.65"	"3.44"	"4.77"	"6.36"	"7.55"	"7.67"	"6.24"	"5.42"	"5.32"	"4.91"	"3.45"	"2.6"
"1904"	"2.61"	"3.52"	"4.89"	"6.74"	"7.68"	"7.41"	"6.07"	"5.32"	"5.24"	"4.9"	"3.53"	"2.68"
"1905"	"2.5"	"2.99"	"4.56"	"6.31"	"7.93"	"7.46"	"6.25"	"5.52"	"5.36"	"4.95"	"3.67"	"2.69"
"1906"	"2.55"	"3.24"	"4.74"	"6.48"	"7.9"	"7.33"	"6.22"	"5.43"	"5.2"	"4.95"	"3.66"	"2.76"
"1907"	"2.86"	"3.32"	"4.71"	"6.32"	"7.38"	"7.38"	"6.32"	"5.22"	"5.22"	"4.83"	"3.59"	"2.61"
"1908"	"2.68"	"3.53"	"4.93"	"6.66"	"7.61"	"7.46"	"5.91"	"5.14"	"5.16"	"4.82"	"3.46"	"2.62"
"1909"	"2.59"	"3.37"	"4.97"	"6.4"	"7.51"	"7.35"	"5.83"	"5.21"	"5.06"	"4.84"	"3.65"	"2.58"
"1910"	"2.63"	"3.51"	"4.97"	"6.38"	"7.68"	"7.37"	"5.94"	"5.21"	"5.19"	"4.76"	"3.45"	"2.64"
"1911"	"2.74"	"3.55"	"4.73"	"6.53"	"7.8"	"7.37"	"6.32"	"5.54"	"5.25"	"4.93"	"3.32"	"2.65"
"1912"	"2.74"	"3.44"	"4.87"	"6.59"	"7.69"	"7.61"	"6.11"	"5.28"	"5.16"	"4.88"	"3.43"	"2.66"
"1913"	"2.74"	"3.45"	"4.69"	"6.72"	"7.47"	"7.17"	"5.95"	"5.36"	"5.31"	"4.97"	"3.49"	"2.63"
"1914"	"2.82"	"3.37"	"4.83"	"6.54"	"7.78"	"7.29"	"5.94"	"5.33"	"5.22"	"4.76"	"3.5"	"2.58"
"1915"	"2.64"	"3.32"	"5"	"6.56"	"7.92"	"7.52"	"6.32"	"5.47"	"5.43"	"5.01"	"3.53"	"2.7"
"1916"	"2.77"	"3.37"	"5.29"	"6.69"	"7.5"	"7.29"	"6.28"	"5.24"	"5.15"	"4.7"	"3.31"	"2.6"
"1917"	"2.72"	"3.56"	"4.94"	"6.17"	"7.1"	"7.25"	"5.92"	"5.13"	"5"	"4.65"	"3.33"	"2.68"
"1918"	"2.6"	"3.55"	"4.9"	"6.21"	"7.85"	"7.3"	"6.25"	"5.43"	"5.23"	"4.9"	"3.52"	"2.59"
"1919"	"2.67"	"3.42"	"4.98"	"6.43"	"7.5"	"7.63"	"6.09"	"5.25"	"5.15"	"4.84"	"3.45"	"2.6"
"1920"	"2.64"	"3.42"	"4.97"	"6.38"	"7.07"	"7.02"	"5.99"	"5.3"	"5.39"	"5.01"	"3.62"	"2.69"
"1921"	"2.74"	"3.57"	"5.33"	"7"	"7.84"	"7.54"	"6.25"	"5.26"	"5.18"	"4.83"	"3.54"	"2.8"
"1922"	"2.63"	"3.6"	"5.06"	"6.67"	"7.6"	"7.3"	"6.16"	"5.31"	"5.13"	"4.83"	"3.49"	"2.66"
"1923"	"2.66"	"3.41"	"5.07"	"6.68"	"7.46"	"7.52"	"6.08"	"5.17"	"5.19"	"4.82"	"3.45"	"2.63"
"1924"	"2.6"	"3.48"	"5.18"	"6.66"	"7.17"	"7.52"	"6.23"	"5.31"	"5.03"	"4.87"	"3.45"	"2.69"
"1925"	"2.54"	"3.27"	"5.14"	"6.97"	"7.56"	"7.02"	"5.88"	"5.41"	"5.4"	"4.97"	"3.44"	"2.66"
"1926"	"2.72"	"3.71"	"4.83"	"6.22"	"7.25"	"7.51"	"6.16"	"5.24"	"5.1"	"4.81"	"3.31"	"2.61"
"1927"	"2.53"	"3.25"	"4.83"	"6.45"	"7.45"	"7.36"	"5.99"	"5.21"	"5.12"	"4.87"	"3.5"	"2.71"
"1928"	"2.63"	"3.55"	"5.01"	"6.55"	"7.78"	"7.38"	"6.11"	"5.35"	"5.15"	"4.9"	"3.6"	"2.57"
"1929"	"2.63"	"3.37"	"5.26"	"6.66"	"7.62"	"7.39"	"5.91"	"5.21"	"5.26"	"4.84"	"3.58"	"2.52"
"1930"	"2.59"	"3.46"	"5.04"	"6.41"	"7.47"	"7.16"	"5.83"	"5.24"	"5.25"	"4.85"	"3.41"	"2.62"
"1931"	"2.71"	"3.13"	"4.83"	"6.69"	"7.51"	"7.33"	"5.98"	"5.31"	"5.13"	"4.74"	"3.47"	"2.71"
"1932"	"2.89"	"3.47"	"5.09"	"6.63"	"7.52"	"7.53"	"6.04"	"5.2"	"5.29"	"4.83"	"3.46"	"2.64"
"1933"	"2.56"	"3.46"	"4.92"	"6.32"	"7.3"	"7.29"	"5.96"	"5.07"	"5.07"	"4.76"	"3.47"	"2.71"
"1934"	"2.46"	"3.69"	"4.83"	"6.55"	"7.47"	"7.3"	"6.04"	"5.22"	"5.26"	"4.82"	"3.51"	"2.75"
"1935"	"2.49"	"3.49"	"4.99"	"6.15"	"7.6"	"7.47"	"5.96"	"5.27"	"5.13"	"4.75"	"3.56"	"2.65"
"1936"	"2.56"	"3.62"	"4.82"	"6.54"	"7.95"	"7.1"	"5.95"	"5.19"	"5.17"	"4.93"	"3.47"	"2.66"
"1937"	"2.65"	"3.5"	"4.74"	"6.36"	"7.66"	"7.48"	"5.93"	"5.44"	"5.22"	"4.67"	"3.41"	"2.49"
"1938"	"2.57"	"3.31"	"5.12"	"6.67"	"7.86"	"7.19"	"6.12"	"5.4"	"5.34"	"4.97"	"3.38"	"2.63"
"1939"	"2.72"	"3.54"	"4.64"	"6.29"	"7.78"	"7.14"	"6.08"	"5.47"	"5.34"	"4.96"	"3.53"	"2.74"
"1940"	"2.74"	"3.49"	"4.82"	"6.39"	"7.73"	"7.31"	"6.11"	"5.23"	"5.14"	"4.93"	"3.64"	"2.69"
"1941"	"2.6"	"3.61"	"5.33"	"7.01"	"7.76"	"7.16"	"6.11"	"5.4"	"5.25"	"5.1"	"3.57"	"2.75"
"1942"	"2.59"	"3.55"	"5.17"	"6.88"	"7.63"	"7.45"	"5.93"	"5.16"	"5"	"4.81"	"3.61"	"2.58"
"1943"	"2.6"	"3.48"	"5.09"	"6.4"	"7.56"	"7.27"	"6.07"	"5.17"	"5.26"	"4.84"	"3.59"	"2.78"
"1944"	"2.61"	"3.43"	"4.83"	"6.56"	"7.73"	"7.35"	"6.16"	"5.22"	"5.12"	"4.68"	"3.6"	"2.66"
"1945"	"2.46"	"3.37"	"5.05"	"6.36"	"7.58"	"7.31"	"5.88"	"5.31"	"5.13"	"4.78"	"3.51"	"2.53"
"1946"	"2.69"	"3.61"	"4.9"	"7.01"	"7.74"	"7.53"	"6.07"	"5.29"	"5.2"	"4.96"	"3.45"	"2.55"
"1947"	"2.56"	"3.48"	"5.16"	"6.76"	"7.81"	"7.63"	"6.27"	"5.39"	"5.12"	"4.75"	"3.67"	"2.66"
"1948"	"2.65"	"3.44"	"4.93"	"6.79"	"7.87"	"7.49"	"6.13"	"5.22"	"5.3"	"4.99"	"3.38"	"2.65"
"1949"	"2.77"	"3.45"	"5.04"	"6.85"	"7.99"	"7.31"	"5.96"	"5.22"	"5.49"	"4.74"	"3.32"	"2.58"
"1950"	"2.74"	"3.18"	"4.82"	"6.4"	"7.72"	"7.45"	"5.94"	"5.16"	"5.12"	"4.76"	"3.36"	"2.48"
"1951"	"2.61"	"3.37"	"4.92"	"6.27"	"7.54"	"7.3"	"6.28"	"5.34"	"5.29"	"5.15"	"3.64"	"2.72"
"1952"	"2.7"	"3.62"	"4.97"	"6.86"	"7.84"	"7.37"	"6.1"	"5.18"	"5.21"	"5"	"3.47"	"2.62"
"1953"	"2.64"	"3.72"	"5.37"	"6.61"	"7.68"	"7.45"	"6.06"	"5.14"	"5.18"	"4.82"	"3.47"	"2.9"
"1954"	"2.6"	"3.59"	"4.97"	"6.65"	"7.82"	"7.44"	"5.96"	"5.17"	"5.33"	"4.76"	"3.53"	"2.68"
"1955"	"2.63"	"3.56"	"5.2"	"6.29"	"7.34"	"7.41"	"6.01"	"5.26"	"5.12"	"4.71"	"3.44"	"2.71"
"1956"	"2.6"	"3.47"	"4.95"	"6.56"	"7.95"	"7.33"	"5.94"	"5.15"	"5.28"	"4.62"	"3.39"	"2.71"
"1957"	"2.58"	"3.31"	"4.91"	"6.33"	"7.26"	"7.27"	"6.05"	"5.08"	"5.12"	"4.86"	"3.61"	"2.66"
"1958"	"2.78"	"3.48"	"5.14"	"6.93"	"7.54"	"7.5"	"6.02"	"5.42"	"5.07"	"4.8"	"3.51"	"2.8"
"1959"	"2.61"	"3.37"	"5.14"	"6.65"	"7.49"	"7.42"	"5.99"	"5.22"	"5.17"	"4.99"	"3.51"	"2.67"
"1960"	"2.62"	"3.68"	"4.89"	"6.31"	"7.52"	"7.4"	"5.99"	"5.28"	"5.32"	"4.83"	"3.45"	"2.67"
"1961"	"2.69"	"3.23"	"5"	"6.37"	"7.39"	"7.28"	"5.73"	"5.18"	"5.06"	"4.66"	"3.33"	"2.51"
"1962"	"2.55"	"3.47"	"5.12"	"6.66"	"7.52"	"7.35"	"6"	"5.3"	"4.97"	"4.63"	"3.41"	"2.57"
"1963"	"2.71"	"3.74"	"4.95"	"6.42"	"7.42"	"7.38"	"6.33"	"5.31"	"5.17"	"4.99"	"3.6"	"2.75"
"1964"	"2.45"	"3.36"	"5.24"	"6.73"	"7.39"	"7.2"	"5.73"	"5.32"	"5.16"	"4.78"	"3.4"	"2.56"
"1965"	"2.83"	"3.49"	"4.92"	"6.23"	"7.27"	"7.32"	"5.94"	"5.22"	"5.17"	"4.97"	"3.71"	"2.58"
