
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.618"	"7.121"	"8.16"	"9.476"	"14.448"	"24.956"	"29.335"	"28.831"	"24.644"	"13.915"	"8.504"	"8.513"
"1902"	"7.713"	"7.872"	"9.598"	"9.835"	"14.315"	"22.374"	"29.057"	"30.857"	"23.117"	"12.201"	"8.476"	"7.492"
"1903"	"7.209"	"7.684"	"7.169"	"8.578"	"13.769"	"25.417"	"29.279"	"28.291"	"24.697"	"12.615"	"7.84"	"7.306"
"1904"	"6.928"	"7.675"	"7.599"	"9.552"	"13.898"	"22.651"	"27.771"	"28.879"	"24.097"	"12.201"	"8.51"	"7.909"
"1905"	"6.165"	"5.48"	"6.402"	"8.369"	"16.026"	"22.866"	"28.864"	"30.007"	"24.787"	"13.166"	"9.132"	"7.909"
"1906"	"6.613"	"6.563"	"6.922"	"8.964"	"15.853"	"22.298"	"29.558"	"29.106"	"23.164"	"12.782"	"8.796"	"8.216"
"1907"	"8.201"	"6.928"	"7.094"	"8.639"	"13"	"22.927"	"30.735"	"27.691"	"24.471"	"12.201"	"8.509"	"7.267"
"1908"	"7.417"	"7.711"	"8.05"	"9.684"	"13.898"	"23.841"	"26.288"	"25.986"	"22.863"	"11.948"	"7.826"	"7.63"
"1909"	"6.664"	"7.194"	"8.228"	"8.764"	"13.226"	"22.369"	"25.423"	"27.372"	"21.883"	"12.175"	"9.026"	"7.208"
"1910"	"7.211"	"7.642"	"8.16"	"8.734"	"13.871"	"22.421"	"26.646"	"27.643"	"23.293"	"12.068"	"7.634"	"7.52"
"1911"	"7.374"	"7.75"	"6.942"	"9.54"	"14.823"	"22.257"	"30.576"	"31.071"	"24.054"	"12.655"	"7.118"	"7.909"
"1912"	"7.702"	"7.622"	"7.979"	"9.726"	"14.481"	"24.939"	"28.012"	"27.559"	"23.191"	"12.201"	"7.823"	"7.884"
"1913"	"7.305"	"7.594"	"6.891"	"9.699"	"13.423"	"21.099"	"27.016"	"27.86"	"24.136"	"13.177"	"8.458"	"7.83"
"1914"	"7.919"	"7.281"	"7.588"	"8.992"	"15.191"	"22.439"	"27.01"	"27.529"	"23.129"	"11.516"	"8.492"	"7.233"
"1915"	"6.95"	"6.594"	"8.149"	"9.594"	"15.566"	"23.296"	"30.509"	"30.288"	"27.022"	"13.187"	"8.469"	"7.909"
"1916"	"7.643"	"7.137"	"9.253"	"9.725"	"13.65"	"22.275"	"27.184"	"27.523"	"23.158"	"11.918"	"7.212"	"7.348"
