
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.1946"	"0.8916"	"0.9371"	"0.0878"	"1.8074"	"1.2723"	"5.9028"	"4.4917"	"0.4355"	"0.3347"	"0"	"0.7286"
"1902"	"0"	"0"	"0.402"	"0.9566"	"1.1177"	"3.0799"	"4.2683"	"4.3346"	"2.7192"	"0.9999"	"0"	"0"
"1903"	"1.0306"	"0"	"0.5131"	"0"	"1.5122"	"1.1421"	"6.5171"	"5.1106"	"3.4705"	"0.8264"	"0"	"0.9989"
"1904"	"1.1087"	"0.5183"	"1.7276"	"0.9669"	"1.4072"	"2.3189"	"2.8615"	"3.8556"	"3.2676"	"0.9999"	"0.9999"	"0.9999"
"1905"	"1.5791"	"1.0307"	"1.0294"	"1.0181"	"0.372"	"1.2696"	"3.3681"	"0.9537"	"3.4422"	"0.0944"	"0"	"0.9972"
"1906"	"0"	"2.3916"	"1.4315"	"0.0392"	"0.7535"	"2.2764"	"4.6423"	"4.8756"	"4.1651"	"0"	"0"	"0.9999"
"1907"	"1.014"	"1.3565"	"1.0294"	"1.6416"	"1.0008"	"1.5567"	"4.2139"	"6.2543"	"0.4355"	"0"	"0"	"0"
"1908"	"1.3985"	"0.9104"	"0"	"1.3179"	"1.0055"	"1.5267"	"8.4753"	"8.2111"	"3.4545"	"0"	"0.4069"	"0.0827"
"1909"	"1.0329"	"1.0414"	"0"	"1.9798"	"1.1391"	"3.3806"	"8.2533"	"5.6735"	"4.8692"	"0.0271"	"0"	"0.9999"
"1910"	"1.0414"	"0.9541"	"0.2342"	"1.0715"	"0.3093"	"2.8837"	"4.5691"	"7.5615"	"1.9962"	"0.9999"	"0"	"0.029"
"1911"	"1.385"	"0"	"2.2869"	"1.0181"	"0.473"	"2.2126"	"2.2152"	"2.0247"	"3.1873"	"0.9999"	"0.9999"	"0"
"1912"	"1.3461"	"0.9478"	"0.842"	"1.4158"	"1.0042"	"1.9686"	"4.9535"	"6.0243"	"1.9624"	"0.9999"	"0.7755"	"0.0982"
"1913"	"0.1333"	"1.209"	"1.0342"	"1.0181"	"2.1447"	"2.9416"	"4.1975"	"3.3674"	"2.1853"	"0"	"0.9999"	"0.9998"
"1914"	"1.338"	"1.0114"	"0.9426"	"1.2395"	"1.3954"	"3.2104"	"6.1316"	"3.7715"	"3.8405"	"0.9084"	"0.9999"	"0.2089"
"1915"	"1.2549"	"1.9178"	"1.8734"	"1.2664"	"0.2227"	"1.5385"	"3.5049"	"2.6986"	"1.9528"	"0.9999"	"0"	"0.0539"
"1916"	"0.5791"	"1.0452"	"0.928"	"1.2983"	"2.5059"	"2.8905"	"5.7903"	"7.279"	"3.5059"	"0.9999"	"0"	"0"
"1917"	"1.0476"	"1.0035"	"0.9303"	"2.2238"	"3.2516"	"4.0602"	"6.0402"	"8.2774"	"5.6144"	"0.9999"	"0"	"0.9999"
"1918"	"0.9315"	"0"	"1.0484"	"1.0817"	"0.8503"	"1.6068"	"1.2622"	"3.8501"	"1.018"	"0"	"0.029"	"0.9999"
"1919"	"1.6584"	"1.0105"	"0.6576"	"1.3387"	"1.3973"	"0.3536"	"4.9718"	"6.0775"	"2.5987"	"0"	"0.9999"	"0.9998"
"1920"	"1.0128"	"1.0114"	"0.9569"	"1.7636"	"2.2018"	"3.8961"	"6.1183"	"3.4539"	"0.5544"	"0"	"0"	"0"
"1921"	"0.9718"	"0"	"0"	"1.0177"	"0.2341"	"1.4146"	"8.0117"	"5.1477"	"3.2426"	"0.8291"	"0"	"0.9972"
"1922"	"1.033"	"0.8552"	"0.5091"	"1.0547"	"1.0008"	"1.8675"	"5.2677"	"3.0588"	"4.2826"	"0.9999"	"0"	"0.9999"
"1923"	"1.1666"	"1.2385"	"0.8946"	"0.9776"	"1.9465"	"1.4535"	"6.1576"	"6.0636"	"1.117"	"0.8135"	"0"	"0.9999"
"1924"	"1.7356"	"1.0114"	"0.9852"	"1.0168"	"1.583"	"1.3866"	"4.9958"	"4.6444"	"4.0706"	"0.9828"	"0.5693"	"0.9999"
"1925"	"0.5663"	"0"	"0"	"0"	"1.2023"	"3.954"	"5.6951"	"3.3041"	"1.0101"	"0.1059"	"0.9999"	"0"
"1926"	"1.0329"	"0"	"1.5521"	"1.0266"	"1.7422"	"0.7833"	"6.1699"	"6.6655"	"2.9413"	"0"	"0.6826"	"0.9999"
"1927"	"0"	"1.2984"	"0.9226"	"0.8986"	"1.5698"	"1.5916"	"6.5996"	"6.86"	"1.8977"	"0.9999"	"0"	"0.9999"
"1928"	"1.007"	"1.0191"	"1.0133"	"1.1443"	"1.0008"	"1.5795"	"5.4156"	"6.5297"	"2.7106"	"0.9999"	"0.9999"	"0.8991"
