
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"14.485"	"17.258"	"24.75"	"29.479"	"34.272"	"36.478"	"32.786"	"29.067"	"30.129"	"29.025"	"22.719"	"18.711"
"1902"	"17.702"	"20.113"	"26.885"	"30.872"	"34.472"	"34.239"	"30.924"	"30.494"	"29.055"	"27.034"	"21.826"	"17.052"
"1903"	"16.654"	"18.168"	"22.81"	"28.386"	"33.476"	"36.736"	"32.464"	"29.132"	"29.69"	"26.777"	"20.84"	"16.565"
"1904"	"16.241"	"19.212"	"23.541"	"30.669"	"33.843"	"34.362"	"29.432"	"27.842"	"28.677"	"26.992"	"21.418"	"17.429"
"1905"	"14.65"	"13.793"	"21.034"	"27.658"	"35.467"	"36.074"	"32.005"	"29.879"	"30.937"	"28.145"	"23.898"	"17.947"
"1906"	"15.372"	"16.685"	"22.808"	"29.203"	"36.035"	"34.112"	"30.86"	"30.027"	"28.799"	"27.624"	"22.991"	"18.366"
"1907"	"18.313"	"17.094"	"22.23"	"27.943"	"32.386"	"35.19"	"33.333"	"28.329"	"29.448"	"27.58"	"22.583"	"16.414"
"1908"	"16.033"	"18.635"	"23.614"	"30.548"	"33.98"	"35.255"	"29.043"	"27.741"	"28.804"	"26.613"	"21.418"	"16.846"
"1909"	"15.729"	"17.979"	"24.428"	"28.045"	"32.926"	"33.596"	"28.934"	"28.215"	"28.265"	"27.198"	"23.094"	"16.441"
"1910"	"15.595"	"19.054"	"24.306"	"28.497"	"34.379"	"33.764"	"30.439"	"28.927"	"29.241"	"25.764"	"20.782"	"17.214"
"1911"	"18.016"	"19.253"	"22.293"	"29.672"	"35.631"	"34.561"	"32.793"	"30.724"	"28.575"	"27.486"	"20.311"	"17.464"
"1912"	"17.202"	"20.074"	"23.189"	"30.172"	"34.536"	"36.392"	"31.149"	"28.836"	"28.161"	"26.992"	"20.782"	"17.059"
"1913"	"16.903"	"18.598"	"22.092"	"30.861"	"32.651"	"32.777"	"30.086"	"30.195"	"30.638"	"28.632"	"21.857"	"17.19"
"1914"	"18.699"	"18.319"	"23.548"	"30.328"	"35.298"	"33.972"	"30.373"	"29.138"	"29.523"	"26.662"	"22.693"	"16.461"
"1915"	"15.911"	"16.868"	"23.826"	"29.348"	"35.816"	"35.543"	"33.199"	"30.114"	"31.46"	"28.911"	"21.904"	"18.306"
"1916"	"17.244"	"17.633"	"26.395"	"30.823"	"33.979"	"33.114"	"31.079"	"28.134"	"28.678"	"25.656"	"19.623"	"16.155"
"1917"	"17.147"	"18.678"	"23.555"	"26.761"	"30.537"	"32.928"	"28.984"	"27.848"	"27.624"	"24.961"	"18.94"	"17.208"
"1918"	"15.158"	"19.386"	"24.016"	"27.606"	"35.673"	"34.358"	"33.084"	"30.498"	"29.728"	"27.781"	"21.973"	"16.162"
"1919"	"16.436"	"17.702"	"24.541"	"28.869"	"33.176"	"35.856"	"30.148"	"28.127"	"28.5"	"26.697"	"21.174"	"16.455"
"1920"	"15.938"	"18.036"	"24.367"	"29.068"	"30.426"	"32.054"	"29.078"	"29.078"	"30.938"	"28.415"	"23.016"	"17.589"
"1921"	"17.138"	"19.41"	"26.906"	"32.098"	"35.647"	"35.924"	"32.976"	"28.787"	"28.276"	"26.374"	"21.774"	"19.207"
"1922"	"15.944"	"20.268"	"25.038"	"30.303"	"33.997"	"33.689"	"30.84"	"28.503"	"28.413"	"26.432"	"21.366"	"16.921"
"1923"	"16.206"	"18.248"	"25.081"	"30.348"	"33.241"	"36.403"	"31.187"	"28.138"	"29.19"	"26.464"	"21.215"	"17.221"
"1924"	"15.216"	"18.474"	"25.65"	"30.327"	"31.687"	"35.684"	"31.003"	"28.349"	"27.641"	"25.548"	"20.465"	"16.978"
"1925"	"14.165"	"16.408"	"24.32"	"31.541"	"33.228"	"30.861"	"28.6"	"30.195"	"30.681"	"28.082"	"20.994"	"17.059"
"1926"	"16.759"	"20.711"	"23.05"	"26.867"	"32.138"	"36.127"	"31.518"	"28.738"	"27.931"	"26.098"	"19.534"	"16.201"
"1927"	"14.23"	"16.543"	"22.772"	"28.958"	"33.238"	"35.002"	"30.445"	"28.158"	"28.379"	"27.302"	"20.628"	"18.153"
"1928"	"15.848"	"19.212"	"24.903"	"29.499"	"35.489"	"34.903"	"31.067"	"30.3"	"29.752"	"27.707"	"22.467"	"16.576"
"1929"	"15.811"	"17.242"	"26.297"	"30.384"	"34.384"	"34.627"	"29.97"	"28.42"	"29.927"	"27.325"	"22.46"	"16.182"
