
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1902"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1903"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1904"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1905"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1906"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1907"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.71"	"15.858"	"15.617"
"1908"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1909"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1910"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1911"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1912"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1913"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1914"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.759"	"15.617"
"1915"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1916"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.858"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1917"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1918"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1919"	"15.268"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.63"
"1920"	"15.082"	"15.229"	"15.958"	"15.421"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1921"	"15.082"	"15.229"	"15.858"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.753"	"15.858"	"15.617"
"1922"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.853"	"15.858"	"15.617"
"1923"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1924"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.738"	"15.858"	"15.617"
"1925"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1926"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1927"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1928"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.516"
"1929"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1930"	"15.082"	"15.13"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1931"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1932"	"15.082"	"15.229"	"15.965"	"15.428"	"14.408"	"12"	"8.593"	"7.414"	"10.129"	"14.731"	"15.858"	"15.617"
"1933"	"15.396"	"15.13"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.851"	"15.617"
"1934"	"15.082"	"15.251"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1935"	"15.082"	"15.229"	"15.958"	"15.428"	"14.422"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1936"	"15.082"	"15.65"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.738"	"15.858"	"15.617"
"1937"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.535"	"10.129"	"14.731"	"15.858"	"15.824"
"1938"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.586"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1939"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1940"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1941"	"15.082"	"15.229"	"15.965"	"15.393"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1942"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1943"	"15.082"	"15.229"	"15.958"	"15.428"	"14.387"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1944"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.793"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1945"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1946"	"15.109"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1947"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12.1"	"8.593"	"7.514"	"10.129"	"14.753"	"15.858"	"15.617"
"1948"	"15.082"	"15.236"	"15.958"	"15.407"	"14.408"	"12"	"8.593"	"7.414"	"10.129"	"14.731"	"15.858"	"15.617"
"1949"	"15.082"	"15.229"	"15.958"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.302"	"14.731"	"15.858"	"15.617"
"1950"	"15.082"	"15.229"	"15.958"	"15.435"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1951"	"15.449"	"15.229"	"15.864"	"15.428"	"14.408"	"12"	"8.593"	"7.514"	"10.129"	"14.731"	"15.858"	"15.617"
"1952"	"14.882"	"15.229"	"15.958"	"15.428"	"14.609"	"12.007"	"8.593"	"7.514"	"10.129"	"15.544"	"15.759"	"15.617"
