
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.5003"	"0.959"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1902"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.958"
"1903"	"0.0274"	"0.4911"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.7294"
"1904"	"1.404"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.0738"
"1905"	"4.4608"	"1.5755"	"0.0101"	"0.0101"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0101"
"1906"	"2.9817"	"0.9705"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"1907"	"0"	"0.9587"	"0"	"0.0101"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.6542"
"1908"	"1.1236"	"0.1163"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.8399"
"1909"	"2.6704"	"0.5063"	"0"	"0.0021"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.8587"
"1910"	"2.101"	"0.0215"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.2336"
"1911"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.6798"
"1912"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.4747"
"1913"	"0"	"0.1063"	"0.0021"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.2531"
"1914"	"0"	"0.4017"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.7296"
"1915"	"0.5717"	"0.953"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.2272"
"1916"	"0"	"0.5629"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0101"	"3.5892"
"1917"	"0"	"0.1434"	"0"	"0.0101"	"0"	"0"	"0"	"0"	"0"	"0.0101"	"0.0101"	"1.3364"
"1918"	"2.7965"	"0"	"0"	"0.0101"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.2757"
"1919"	"0.974"	"0.6193"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2.756"
"1920"	"0.2133"	"0.4449"	"0"	"0"	"0.0007"	"0"	"0"	"0"	"0"	"0"	"0"	"0.5733"
