
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.042"	"24.843"	"32.73"	"37.193"	"41.478"	"42.477"	"37.087"	"32.816"	"35.237"	"36.398"	"30.677"	"26.569"
"1902"	"25.268"	"27.757"	"34.863"	"38.599"	"41.679"	"40.245"	"35.224"	"34.294"	"34.163"	"34.407"	"29.786"	"24.91"
"1903"	"24.219"	"25.805"	"30.789"	"36.115"	"40.684"	"42.742"	"36.763"	"32.911"	"34.798"	"34.136"	"28.798"	"24.424"
"1904"	"23.805"	"26.857"	"31.52"	"38.389"	"41.052"	"40.369"	"33.725"	"31.642"	"33.785"	"34.364"	"29.375"	"25.287"
"1905"	"22.21"	"21.436"	"29.012"	"35.393"	"42.676"	"42.082"	"36.298"	"33.679"	"36.044"	"35.519"	"31.856"	"25.807"
"1906"	"22.93"	"24.329"	"30.788"	"36.923"	"43.242"	"40.118"	"35.159"	"33.827"	"33.907"	"34.996"	"30.95"	"26.225"
"1907"	"25.877"	"24.739"	"30.207"	"35.657"	"39.593"	"41.197"	"37.634"	"32.128"	"34.556"	"34.94"	"30.542"	"24.258"
"1908"	"23.598"	"26.277"	"31.592"	"38.283"	"41.187"	"41.262"	"33.343"	"31.542"	"33.911"	"33.985"	"29.376"	"24.703"
"1909"	"23.294"	"25.624"	"32.408"	"35.759"	"40.135"	"39.601"	"33.235"	"32.014"	"33.372"	"34.572"	"31.053"	"24.286"
"1910"	"23.161"	"26.698"	"32.285"	"36.231"	"41.587"	"39.764"	"34.739"	"32.708"	"34.348"	"33.123"	"28.74"	"25.072"
"1911"	"25.58"	"26.897"	"30.272"	"37.393"	"42.839"	"40.569"	"37.093"	"34.503"	"33.682"	"34.86"	"28.269"	"25.322"
"1912"	"24.759"	"27.718"	"31.168"	"37.893"	"41.743"	"42.392"	"35.45"	"32.636"	"33.268"	"34.364"	"28.739"	"24.918"
"1913"	"24.468"	"26.237"	"30.071"	"38.569"	"39.858"	"38.785"	"34.387"	"33.995"	"35.746"	"36.005"	"29.816"	"25.048"
"1914"	"26.265"	"25.957"	"31.527"	"38.043"	"42.506"	"39.979"	"34.673"	"32.911"	"34.63"	"34.034"	"30.594"	"24.306"
"1915"	"23.475"	"24.512"	"31.806"	"37.083"	"43.023"	"41.543"	"37.499"	"33.855"	"36.566"	"36.285"	"29.862"	"26.165"
"1916"	"24.802"	"25.276"	"34.376"	"38.531"	"41.187"	"39.121"	"35.536"	"31.934"	"33.786"	"33.03"	"27.58"	"24.006"
"1917"	"24.705"	"26.316"	"31.534"	"34.482"	"37.745"	"38.935"	"33.284"	"31.649"	"32.732"	"32.335"	"26.898"	"25.065"
"1918"	"22.723"	"27.028"	"31.996"	"35.341"	"42.88"	"40.358"	"37.385"	"34.298"	"34.836"	"35.138"	"29.932"	"24.021"
"1919"	"24.08"	"25.287"	"32.52"	"36.577"	"40.384"	"41.863"	"34.442"	"31.928"	"33.608"	"34.071"	"29.132"	"24.321"
"1920"	"23.502"	"25.68"	"32.346"	"36.784"	"37.633"	"38.062"	"33.377"	"32.87"	"36.046"	"35.788"	"30.974"	"25.449"
"1921"	"24.702"	"27.053"	"34.884"	"39.833"	"42.854"	"41.931"	"37.275"	"32.587"	"33.384"	"33.753"	"29.732"	"27.065"
"1922"	"23.503"	"27.912"	"33.016"	"38.011"	"41.205"	"39.696"	"35.139"	"32.244"	"33.522"	"33.854"	"29.325"	"24.779"
"1923"	"23.771"	"25.891"	"33.061"	"38.085"	"40.45"	"42.409"	"35.487"	"31.937"	"34.297"	"33.837"	"29.174"	"25.079"
"1924"	"22.781"	"26.118"	"33.629"	"38.056"	"38.894"	"41.689"	"35.298"	"32.149"	"32.749"	"32.926"	"28.423"	"24.836"
"1925"	"21.73"	"24.053"	"32.299"	"39.275"	"40.436"	"36.868"	"32.901"	"33.996"	"35.789"	"35.455"	"28.951"	"24.918"
"1926"	"24.32"	"28.355"	"31.031"	"34.594"	"39.345"	"42.133"	"35.811"	"32.538"	"33.038"	"33.47"	"27.491"	"24.059"
"1927"	"21.796"	"24.187"	"30.752"	"36.673"	"40.444"	"41.009"	"34.745"	"31.958"	"33.487"	"34.661"	"28.587"	"26.012"
"1928"	"23.4"	"26.857"	"32.882"	"37.214"	"42.698"	"40.903"	"35.368"	"34.102"	"34.861"	"35.079"	"30.426"	"24.336"
"1929"	"23.376"	"24.885"	"34.275"	"38.099"	"41.59"	"40.633"	"34.27"	"32.221"	"35.035"	"34.684"	"30.417"	"24.042"
"1930"	"23.395"	"26.088"	"33.02"	"36.891"	"40.664"	"39.631"	"33.241"	"32.506"	"35.538"	"35.104"	"29.08"	"24.965"
