
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.939"	"9.614"	"16.774"	"21.765"	"27.07"	"30.478"	"28.493"	"25.301"	"25.109"	"21.651"	"14.819"	"10.932"
"1902"	"10.172"	"12.474"	"18.908"	"23.172"	"27.27"	"28.239"	"26.631"	"26.779"	"24.013"	"19.661"	"13.925"	"9.294"
"1903"	"9.137"	"10.524"	"14.831"	"20.686"	"26.268"	"30.736"	"28.17"	"25.396"	"24.669"	"19.405"	"12.941"	"8.808"
"1904"	"8.723"	"11.57"	"15.562"	"22.961"	"26.643"	"28.369"	"25.132"	"24.121"	"23.655"	"19.618"	"13.518"	"9.657"
"1905"	"7.107"	"6.207"	"13.056"	"19.965"	"28.268"	"30.082"	"27.705"	"26.157"	"25.843"	"20.788"	"15.946"	"10.19"
"1906"	"7.833"	"9.1"	"14.83"	"21.494"	"28.832"	"28.112"	"26.567"	"26.305"	"23.728"	"20.251"	"15.091"	"10.601"
"1907"	"10.788"	"9.509"	"14.25"	"20.229"	"25.185"	"29.197"	"29.041"	"24.607"	"24.427"	"20.223"	"14.684"	"8.642"
"1908"	"8.503"	"11.049"	"15.636"	"22.856"	"26.778"	"29.256"	"24.75"	"24.027"	"23.782"	"19.24"	"13.519"	"9.081"
"1909"	"8.191"	"10.395"	"16.45"	"20.33"	"25.727"	"27.595"	"24.641"	"24.5"	"23.243"	"19.825"	"15.195"	"8.669"
"1910"	"8.057"	"11.46"	"16.327"	"20.804"	"27.18"	"27.764"	"26.145"	"25.194"	"24.219"	"18.392"	"12.882"	"9.455"
"1911"	"10.492"	"11.61"	"14.313"	"21.965"	"28.431"	"28.568"	"28.5"	"26.982"	"23.533"	"20.114"	"12.412"	"9.706"
"1912"	"9.678"	"12.487"	"15.21"	"22.465"	"27.333"	"30.392"	"26.856"	"25.122"	"23.14"	"19.618"	"12.882"	"9.294"
"1913"	"9.386"	"11.006"	"14.113"	"23.141"	"25.443"	"26.785"	"25.793"	"26.48"	"25.616"	"21.273"	"13.957"	"9.431"
"1914"	"11.176"	"10.674"	"15.569"	"22.614"	"28.098"	"27.98"	"26.08"	"25.397"	"24.502"	"19.289"	"14.834"	"8.689"
"1915"	"8.393"	"9.275"	"15.848"	"21.655"	"28.615"	"29.536"	"28.906"	"26.342"	"26.418"	"21.553"	"14.003"	"10.549"
"1916"	"9.713"	"10.047"	"18.418"	"23.104"	"26.778"	"27.114"	"26.627"	"24.406"	"23.656"	"18.299"	"11.723"	"8.389"
"1917"	"9.623"	"11.086"	"15.576"	"19.054"	"23.33"	"26.935"	"24.691"	"24.135"	"22.602"	"17.589"	"11.038"	"9.448"
"1918"	"7.615"	"11.792"	"16.037"	"19.913"	"28.472"	"28.358"	"28.792"	"26.784"	"24.706"	"20.407"	"14.074"	"8.397"
"1919"	"8.799"	"10.058"	"16.561"	"21.149"	"25.976"	"29.855"	"25.849"	"24.413"	"23.428"	"19.324"	"13.274"	"8.691"
"1920"	"8.42"	"10.444"	"16.389"	"21.362"	"23.217"	"26.055"	"24.784"	"25.357"	"25.844"	"21.044"	"15.115"	"9.831"
"1921"	"9.621"	"11.817"	"18.944"	"24.383"	"28.446"	"29.924"	"28.682"	"25.072"	"23.256"	"19"	"13.873"	"11.442"
"1922"	"8.406"	"12.624"	"17.059"	"22.583"	"26.797"	"27.695"	"26.547"	"24.73"	"23.393"	"18.982"	"13.468"	"9.163"
