
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.84"	"5.58"	"6.9"	"8.12"	"8.71"	"8.25"	"6.75"	"5.79"	"6.31"	"6.97"	"6.11"	"5.18"
"1902"	"5.02"	"5.79"	"7.05"	"8.26"	"8.83"	"8.25"	"6.57"	"5.82"	"6.38"	"6.89"	"6.04"	"5.08"
"1903"	"4.95"	"5.74"	"6.82"	"8.04"	"8.65"	"8.26"	"6.74"	"5.79"	"6.37"	"6.93"	"5.99"	"5.04"
"1904"	"4.9"	"5.79"	"6.84"	"8.16"	"8.8"	"8.27"	"6.59"	"5.68"	"6.29"	"6.89"	"6.01"	"5.14"
"1905"	"4.93"	"5.39"	"6.62"	"7.9"	"8.71"	"8.3"	"6.68"	"5.77"	"6.4"	"6.94"	"6.16"	"5.22"
"1906"	"4.93"	"5.59"	"6.77"	"8.01"	"8.83"	"8.29"	"6.58"	"5.8"	"6.34"	"6.89"	"6.09"	"5.16"
"1907"	"5.1"	"5.7"	"6.77"	"8.04"	"8.64"	"8.13"	"6.75"	"5.79"	"6.31"	"6.88"	"6.11"	"5.08"
"1908"	"4.89"	"5.73"	"6.85"	"8.16"	"8.78"	"8.32"	"6.58"	"5.66"	"6.3"	"6.87"	"6.02"	"5.09"
"1909"	"4.9"	"5.65"	"6.94"	"8.09"	"8.71"	"8.24"	"6.52"	"5.71"	"6.29"	"6.84"	"6.13"	"5.11"
"1910"	"4.85"	"5.74"	"6.95"	"8.06"	"8.78"	"8.24"	"6.58"	"5.74"	"6.37"	"6.84"	"5.94"	"5.05"
"1911"	"5.01"	"5.85"	"6.8"	"8.04"	"8.83"	"8.23"	"6.64"	"5.89"	"6.35"	"6.94"	"5.98"	"5.07"
"1912"	"4.95"	"5.85"	"6.87"	"8.12"	"8.74"	"8.3"	"6.69"	"5.79"	"6.3"	"6.89"	"5.99"	"5.06"
"1913"	"4.95"	"5.78"	"6.73"	"8.16"	"8.82"	"8.16"	"6.5"	"5.73"	"6.38"	"6.98"	"6.08"	"5.06"
"1914"	"5.07"	"5.78"	"6.82"	"8.11"	"8.85"	"8.27"	"6.59"	"5.75"	"6.37"	"6.86"	"6.07"	"5.08"
"1915"	"4.92"	"5.59"	"6.85"	"8.05"	"8.81"	"8.27"	"6.71"	"5.8"	"6.41"	"7.03"	"6.07"	"5.15"
"1916"	"5.04"	"5.62"	"6.96"	"8.25"	"8.84"	"8.19"	"6.73"	"5.74"	"6.32"	"6.87"	"5.91"	"4.97"
"1917"	"4.95"	"5.77"	"6.93"	"8.06"	"8.59"	"8.15"	"6.52"	"5.71"	"6.31"	"6.82"	"5.83"	"5.07"
"1918"	"4.82"	"5.74"	"6.96"	"7.98"	"8.77"	"8.22"	"6.66"	"5.86"	"6.38"	"6.94"	"6.1"	"5.05"
"1919"	"4.94"	"5.65"	"6.91"	"8.14"	"8.68"	"8.29"	"6.64"	"5.72"	"6.32"	"6.89"	"6.03"	"5.06"
"1920"	"4.89"	"5.67"	"6.91"	"8.2"	"8.67"	"8.09"	"6.46"	"5.67"	"6.37"	"6.98"	"6.12"	"5.13"
"1921"	"4.96"	"5.72"	"7.01"	"8.28"	"8.85"	"8.29"	"6.76"	"5.83"	"6.31"	"6.85"	"5.98"	"5.23"
"1922"	"4.91"	"5.81"	"6.97"	"8.18"	"8.82"	"8.22"	"6.61"	"5.76"	"6.31"	"6.88"	"6.01"	"5.08"
"1923"	"4.92"	"5.67"	"6.93"	"8.21"	"8.71"	"8.27"	"6.7"	"5.74"	"6.32"	"6.89"	"6.02"	"5.13"
"1924"	"4.87"	"5.66"	"6.96"	"8.27"	"8.67"	"8.21"	"6.67"	"5.77"	"6.3"	"6.82"	"5.94"	"5.11"
"1925"	"4.82"	"5.53"	"6.82"	"8.26"	"8.93"	"8.13"	"6.38"	"5.71"	"6.4"	"6.98"	"6.03"	"5.09"
