
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"10.206"	"4.751"	"1.565"	"0.199"	"6.217"	"21.634"	"184.256"	"170.77"	"8.062"	"6.058"	"0"	"8.201"
"1902"	"1.039"	"0"	"0.261"	"0.447"	"0.737"	"69.672"	"222.597"	"125.587"	"79.924"	"1.959"	"2.985"	"0.39"
"1903"	"1.378"	"0.913"	"0.663"	"0"	"8.97"	"3.564"	"269.857"	"234.626"	"104.608"	"7.241"	"0"	"0"
"1904"	"2.038"	"2.456"	"14.834"	"0"	"13.899"	"69.819"	"263.798"	"204.963"	"54.119"	"7.502"	"11.512"	"9.1"
"1905"	"7.962"	"13.793"	"1.964"	"5.168"	"2.319"	"24.171"	"132.537"	"11.746"	"66.287"	"0"	"0"	"0.729"
"1906"	"0.235"	"33.926"	"3.201"	"0"	"1.129"	"104.015"	"184.966"	"90.819"	"155.804"	"0.013"	"0"	"17.666"
"1907"	"5.435"	"40.516"	"1.384"	"20.365"	"9.191"	"14.311"	"99.027"	"345.825"	"1.223"	"0"	"0.205"	"0"
"1908"	"15.885"	"0.181"	"0"	"0.933"	"7.448"	"32.346"	"561.82"	"371.713"	"186.501"	"2.799"	"2.517"	"0.729"
"1909"	"16.754"	"1.741"	"0"	"19.991"	"16.513"	"55.677"	"419.494"	"101.975"	"188.02"	"0.014"	"0"	"10.85"
"1910"	"4.793"	"1.929"	"0.187"	"7.313"	"1.984"	"87.681"	"147.887"	"203.846"	"69.725"	"9.747"	"0.332"	"0"
"1911"	"8.737"	"0"	"7.826"	"0"	"0.043"	"34.5"	"32.078"	"53.474"	"186.88"	"0.767"	"56.144"	"4.416"
"1912"	"7.702"	"1.206"	"0.752"	"1.477"	"1.351"	"44.063"	"251.124"	"256.64"	"107.199"	"12.838"	"26.673"	"1.46"
"1913"	"0"	"18.528"	"1.671"	"0.049"	"21.172"	"62.768"	"116.68"	"58.591"	"49.195"	"0"	"0"	"4.199"
"1914"	"0"	"5.529"	"0"	"7.524"	"16.84"	"100.389"	"295.648"	"143.386"	"127.689"	"6.016"	"15.979"	"0.284"
"1915"	"6.961"	"13.683"	"22.536"	"2.429"	"3.806"	"40.84"	"134.466"	"93.19"	"33.571"	"29.102"	"0.02"	"0.277"
"1916"	"0"	"5.393"	"0"	"0.82"	"17.009"	"58.826"	"226.099"	"354.808"	"135.898"	"9.761"	"1.001"	"0"
"1917"	"1.366"	"14.362"	"1.528"	"19.707"	"58.025"	"137.198"	"397.359"	"402.208"	"236.359"	"32.27"	"0"	"14.999"
