
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.63"	"3.45"	"5.21"	"6.58"	"7.58"	"7.42"	"5.79"	"4.73"	"5"	"4.94"	"3.62"	"2.88"
"1902"	"2.89"	"3.74"	"5.47"	"6.77"	"7.6"	"7.1"	"5.57"	"4.87"	"4.89"	"4.72"	"3.54"	"2.74"
"1903"	"2.82"	"3.54"	"4.97"	"6.43"	"7.46"	"7.45"	"5.74"	"4.73"	"4.96"	"4.69"	"3.47"	"2.69"
"1904"	"2.77"	"3.64"	"5.06"	"6.75"	"7.5"	"7.12"	"5.41"	"4.62"	"4.86"	"4.72"	"3.51"	"2.76"
"1905"	"2.65"	"3.1"	"4.75"	"6.32"	"7.74"	"7.35"	"5.71"	"4.82"	"5.11"	"4.83"	"3.75"	"2.81"
"1906"	"2.72"	"3.39"	"4.97"	"6.54"	"7.83"	"7.1"	"5.56"	"4.83"	"4.88"	"4.78"	"3.65"	"2.84"
"1907"	"2.94"	"3.43"	"4.89"	"6.36"	"7.31"	"7.25"	"5.84"	"4.66"	"4.94"	"4.77"	"3.62"	"2.68"
"1908"	"2.75"	"3.58"	"5.08"	"6.72"	"7.55"	"7.26"	"5.35"	"4.6"	"4.86"	"4.67"	"3.51"	"2.72"
"1909"	"2.74"	"3.52"	"5.16"	"6.38"	"7.39"	"7.02"	"5.35"	"4.65"	"4.81"	"4.73"	"3.65"	"2.68"
"1910"	"2.73"	"3.63"	"5.16"	"6.44"	"7.6"	"7.04"	"5.5"	"4.72"	"4.9"	"4.58"	"3.46"	"2.74"
"1911"	"2.92"	"3.64"	"4.91"	"6.6"	"7.77"	"7.15"	"5.79"	"4.91"	"4.85"	"4.77"	"3.4"	"2.76"
"1912"	"2.86"	"3.72"	"5.02"	"6.67"	"7.61"	"7.41"	"5.59"	"4.71"	"4.8"	"4.72"	"3.46"	"2.73"
"1913"	"2.84"	"3.59"	"4.88"	"6.76"	"7.34"	"6.91"	"5.47"	"4.85"	"5.06"	"4.89"	"3.54"	"2.74"
"1914"	"2.99"	"3.56"	"5.06"	"6.7"	"7.73"	"7.07"	"5.5"	"4.73"	"4.95"	"4.67"	"3.61"	"2.69"
"1915"	"2.75"	"3.4"	"5.09"	"6.55"	"7.8"	"7.28"	"5.83"	"4.85"	"5.14"	"4.91"	"3.56"	"2.84"
"1916"	"2.86"	"3.49"	"5.41"	"6.75"	"7.53"	"6.97"	"5.69"	"4.65"	"4.85"	"4.57"	"3.35"	"2.66"
"1917"	"2.85"	"3.59"	"5.06"	"6.2"	"7.03"	"6.94"	"5.35"	"4.61"	"4.74"	"4.5"	"3.28"	"2.74"
"1918"	"2.69"	"3.65"	"5.12"	"6.31"	"7.77"	"7.13"	"5.82"	"4.88"	"4.96"	"4.8"	"3.56"	"2.66"
"1919"	"2.83"	"3.49"	"5.18"	"6.48"	"7.42"	"7.34"	"5.48"	"4.64"	"4.84"	"4.67"	"3.49"	"2.68"
"1920"	"2.75"	"3.53"	"5.16"	"6.52"	"7.02"	"6.82"	"5.35"	"4.74"	"5.11"	"4.86"	"3.64"	"2.78"
"1921"	"2.86"	"3.65"	"5.46"	"6.94"	"7.78"	"7.33"	"5.81"	"4.71"	"4.82"	"4.65"	"3.54"	"2.9"
"1922"	"2.75"	"3.76"	"5.25"	"6.7"	"7.54"	"7.03"	"5.56"	"4.67"	"4.83"	"4.67"	"3.5"	"2.72"
"1923"	"2.77"	"3.55"	"5.25"	"6.7"	"7.42"	"7.4"	"5.6"	"4.64"	"4.89"	"4.66"	"3.49"	"2.74"
"1924"	"2.7"	"3.56"	"5.32"	"6.7"	"7.2"	"7.3"	"5.57"	"4.66"	"4.75"	"4.57"	"3.42"	"2.73"
"1925"	"2.61"	"3.35"	"5.16"	"6.86"	"7.42"	"6.65"	"5.3"	"4.86"	"5.06"	"4.82"	"3.48"	"2.73"
"1926"	"2.84"	"3.79"	"5"	"6.2"	"7.28"	"7.37"	"5.63"	"4.71"	"4.8"	"4.61"	"3.35"	"2.67"
"1927"	"2.61"	"3.38"	"4.97"	"6.49"	"7.43"	"7.22"	"5.51"	"4.64"	"4.83"	"4.74"	"3.44"	"2.83"
"1928"	"2.75"	"3.64"	"5.22"	"6.58"	"7.74"	"7.2"	"5.58"	"4.86"	"4.97"	"4.78"	"3.61"	"2.68"
"1929"	"2.74"	"3.46"	"5.4"	"6.71"	"7.6"	"7.15"	"5.46"	"4.66"	"4.98"	"4.75"	"3.61"	"2.67"
"1930"	"2.74"	"3.55"	"5.24"	"6.53"	"7.46"	"7.04"	"5.35"	"4.7"	"5.05"	"4.8"	"3.49"	"2.73"
"1931"	"2.91"	"3.41"	"5.07"	"6.81"	"7.58"	"7.29"	"5.59"	"4.73"	"4.88"	"4.63"	"3.51"	"2.83"
"1932"	"3.02"	"3.55"	"5.2"	"6.53"	"7.46"	"7.31"	"5.57"	"4.6"	"4.98"	"4.75"	"3.45"	"2.76"
"1933"	"2.67"	"3.61"	"5.16"	"6.38"	"7.13"	"7.01"	"5.43"	"4.6"	"4.79"	"4.58"	"3.51"	"2.76"
"1934"	"2.68"	"3.71"	"5.03"	"6.56"	"7.43"	"7.01"	"5.48"	"4.63"	"4.88"	"4.54"	"3.45"	"2.81"
"1935"	"2.62"	"3.62"	"5.13"	"6.24"	"7.55"	"7.26"	"5.48"	"4.69"	"4.85"	"4.58"	"3.54"	"2.74"
"1936"	"2.67"	"3.65"	"5.07"	"6.54"	"7.81"	"6.95"	"5.46"	"4.69"	"4.88"	"4.68"	"3.54"	"2.74"
"1937"	"2.7"	"3.68"	"4.95"	"6.49"	"7.59"	"7.28"	"5.45"	"4.82"	"4.92"	"4.66"	"3.59"	"2.68"
"1938"	"2.73"	"3.46"	"5.35"	"6.73"	"7.85"	"6.87"	"5.62"	"4.82"	"5.08"	"4.83"	"3.45"	"2.76"
"1939"	"2.89"	"3.64"	"4.83"	"6.39"	"7.67"	"7"	"5.56"	"4.97"	"4.98"	"4.86"	"3.51"	"2.82"
"1940"	"2.84"	"3.55"	"4.93"	"6.46"	"7.67"	"7.16"	"5.62"	"4.66"	"4.85"	"4.76"	"3.64"	"2.74"
"1941"	"2.71"	"3.7"	"5.41"	"6.9"	"7.67"	"7.05"	"5.73"	"4.86"	"4.97"	"5.01"	"3.62"	"2.89"
"1942"	"2.69"	"3.7"	"5.33"	"6.88"	"7.69"	"7.3"	"5.39"	"4.59"	"4.79"	"4.66"	"3.6"	"2.68"
"1943"	"2.84"	"3.58"	"5.28"	"6.46"	"7.62"	"7.04"	"5.45"	"4.59"	"4.86"	"4.66"	"3.58"	"2.85"
"1944"	"2.73"	"3.59"	"5.04"	"6.49"	"7.68"	"7.02"	"5.49"	"4.72"	"4.9"	"4.59"	"3.54"	"2.86"
"1945"	"2.59"	"3.52"	"5.27"	"6.49"	"7.5"	"7.19"	"5.46"	"4.74"	"4.83"	"4.6"	"3.5"	"2.63"
"1946"	"2.84"	"3.79"	"5.12"	"6.94"	"7.61"	"7.12"	"5.51"	"4.66"	"4.82"	"4.75"	"3.49"	"2.77"
"1947"	"2.69"	"3.66"	"5.31"	"6.76"	"7.66"	"7.39"	"5.72"	"4.76"	"4.81"	"4.55"	"3.62"	"2.79"
"1948"	"2.76"	"3.52"	"5.08"	"6.82"	"7.81"	"7.34"	"5.56"	"4.66"	"4.89"	"4.81"	"3.5"	"2.8"
