
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.2685"	"1.1005"	"1.0708"	"0.1985"	"1.0439"	"2.1324"	"8.8598"	"8.7321"	"1.0007"	"1.0332"	"0"	"1.0459"
"1902"	"0.8142"	"0"	"0.2603"	"0.4473"	"0.6195"	"4.2126"	"8.8688"	"7.0097"	"3.8832"	"0.8783"	"0.8886"	"0.3904"
"1903"	"1.0529"	"0.8931"	"0.6628"	"0"	"1.273"	"1.0034"	"9.3992"	"9.6424"	"3.9959"	"1.0332"	"0"	"0"
"1904"	"1.0529"	"1.1005"	"1.2638"	"0"	"1.3479"	"3.731"	"9.6515"	"7.9452"	"3.4196"	"1.0332"	"1.0223"	"1.1205"
"1905"	"1.2804"	"1.4027"	"1.1258"	"1.1298"	"0.951"	"2.0422"	"8.0172"	"2.4306"	"3.6364"	"0"	"0"	"0.7298"
"1906"	"0.2348"	"1.7014"	"1.2329"	"0"	"0.9798"	"4.3052"	"8.4125"	"6.5237"	"5.5901"	"0.0135"	"0"	"1.0459"
"1907"	"1.0562"	"1.6184"	"1.0622"	"1.5847"	"1.113"	"1.6466"	"6.6544"	"11.8587"	"0.972"	"0"	"0.2053"	"0"
"1908"	"1.2893"	"0.1572"	"0"	"0.9331"	"1.0057"	"2.5732"	"14.6613"	"11.603"	"4.5822"	"1.0332"	"1.0176"	"0.7298"
"1909"	"1.0529"	"1.0876"	"0"	"1.5037"	"1.2808"	"3.6542"	"12.6626"	"6.7096"	"5.0974"	"0.0135"	"0"	"1.2425"
"1910"	"1.0571"	"1.0938"	"0.1877"	"1.1298"	"0.831"	"4.3772"	"7.5971"	"9.018"	"3.9522"	"1.0443"	"0.3317"	"0"
"1911"	"1.3123"	"0"	"1.3602"	"0"	"0.0422"	"2.9939"	"4.3477"	"5.5783"	"5.6723"	"0.4481"	"1.143"	"1.0459"
"1912"	"1.2949"	"0.8978"	"0.7168"	"1.1889"	"0.9798"	"2.6247"	"10.089"	"9.8177"	"4.374"	"1.0345"	"1.114"	"1.0324"
"1913"	"0"	"1.775"	"1.0097"	"0.049"	"1.7013"	"3.7576"	"6.6972"	"5.1164"	"3.1479"	"0"	"0"	"1.089"
"1914"	"0"	"1.1005"	"0"	"1.2916"	"1.471"	"4.5465"	"11.379"	"7.6101"	"5.1239"	"1.0332"	"1.0176"	"0.2842"
"1915"	"1.0689"	"1.6747"	"1.7432"	"1.3934"	"1"	"2.7512"	"7.6914"	"5.8179"	"2.9676"	"1.7818"	"0.0202"	"0.2775"
"1916"	"0"	"1.4294"	"0"	"0.8202"	"1.3229"	"4.0185"	"9.6617"	"12.1468"	"4.6849"	"1.2124"	"0.7548"	"0"
"1917"	"1.0462"	"1.127"	"1.1214"	"1.4566"	"2.6874"	"5.0113"	"11.5112"	"12.3309"	"6.6651"	"1.9857"	"0"	"1.0459"
