
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"14.008"	"17.047"	"24.461"	"29.614"	"34.367"	"36.832"	"32.561"	"28.701"	"29.838"	"28.78"	"21.959"	"17.177"
"1902"	"17.051"	"19.364"	"26.736"	"30.905"	"34.649"	"34.77"	"30.277"	"30.194"	"28.551"	"26.884"	"20.923"	"15.557"
"1903"	"15.85"	"17.547"	"23.338"	"28.629"	"33.208"	"36.843"	"32.46"	"28.776"	"29.211"	"26.004"	"20.051"	"15.161"
"1904"	"15.459"	"18.362"	"23.71"	"30.987"	"33.657"	"34.936"	"28.766"	"27.685"	"28.436"	"26.685"	"20.582"	"16.261"
"1905"	"14.131"	"13.651"	"21.163"	"27.695"	"35.143"	"36.817"	"31.253"	"29.607"	"30.611"	"27.784"	"22.967"	"16.755"
"1906"	"14.924"	"16.573"	"22.372"	"29.908"	"36.303"	"34.217"	"30.277"	"29.322"	"27.96"	"26.873"	"22.036"	"16.862"
"1907"	"17.147"	"16.687"	"21.871"	"27.915"	"32.534"	"35.54"	"33.324"	"28.299"	"29.782"	"27.566"	"21.739"	"14.985"
"1908"	"14.883"	"18.286"	"23.537"	"30.923"	"34.034"	"35.923"	"28.875"	"27.889"	"28.541"	"26.212"	"20.763"	"15.284"
"1909"	"15.157"	"17.381"	"24.654"	"27.906"	"32.97"	"33.337"	"28.956"	"28.361"	"28.233"	"26.849"	"22.532"	"15.347"
"1910"	"14.773"	"18.46"	"24.178"	"29.1"	"34.421"	"33.702"	"30.325"	"29.076"	"28.723"	"25.284"	"20.231"	"15.956"
"1911"	"17.359"	"18.566"	"22.24"	"29.797"	"35.65"	"35.188"	"32.162"	"29.881"	"27.96"	"27.376"	"19.658"	"15.906"
"1912"	"16.355"	"19.297"	"23.361"	"30.105"	"34.819"	"36.745"	"31.176"	"28.964"	"27.687"	"26.699"	"20.149"	"15.842"
"1913"	"16.033"	"18.16"	"22.16"	"31.281"	"32.558"	"33.127"	"30.728"	"30.247"	"30.701"	"28.47"	"21.345"	"16.32"
"1914"	"17.551"	"18.359"	"23.738"	"30.77"	"34.717"	"34.19"	"30.157"	"28.871"	"29.432"	"26.391"	"22.157"	"15.46"
"1915"	"15.462"	"16.274"	"23.66"	"29.505"	"35.995"	"35.757"	"32.785"	"29.881"	"30.934"	"28.668"	"21.458"	"16.885"
