
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.209"	"17.577"	"28.618"	"23.973"	"27.577"	"48.71"	"66.59"	"66.102"	"46.157"	"20.061"	"12.216"	"16.352"
"1902"	"22.238"	"17.577"	"28.632"	"23.973"	"27.577"	"48.617"	"66.675"	"65.93"	"46.099"	"20.061"	"12.216"	"16.352"
"1903"	"22.238"	"17.577"	"28.632"	"23.973"	"27.503"	"48.71"	"66.675"	"66.33"	"46.157"	"19.66"	"12.216"	"16.352"
"1904"	"22.209"	"17.577"	"28.632"	"23.973"	"27.577"	"48.71"	"66.175"	"66.224"	"46.157"	"20.061"	"12.216"	"16.352"
"1905"	"22.238"	"17.577"	"28.632"	"23.973"	"27.577"	"48.71"	"66.675"	"66.33"	"46.157"	"20.061"	"12.216"	"16.352"
"1906"	"22.238"	"17.577"	"28.56"	"23.973"	"27.577"	"48.71"	"66.675"	"66.33"	"46.157"	"19.576"	"12.216"	"16.352"
"1907"	"22.238"	"17.577"	"28.632"	"23.973"	"27.577"	"48.71"	"66.675"	"66.33"	"46.157"	"20.685"	"12.912"	"16.453"
"1908"	"22.238"	"17.577"	"28.632"	"23.959"	"27.577"	"48.709"	"66.675"	"66.091"	"46.157"	"20.061"	"12.216"	"16.352"
"1909"	"22.07"	"17.577"	"28.632"	"23.973"	"27.189"	"48.792"	"66.675"	"66.03"	"45.751"	"20.061"	"12.216"	"16.352"
"1910"	"22.238"	"17.577"	"28.632"	"23.973"	"27.577"	"48.71"	"66.698"	"66.091"	"46.157"	"20.061"	"12.216"	"16.352"
"1911"	"22.238"	"17.577"	"28.632"	"23.973"	"27.577"	"48.71"	"66.675"	"66.301"	"46.157"	"20.061"	"12.025"	"16.352"
"1912"	"22.238"	"17.577"	"28.459"	"23.649"	"27.577"	"48.71"	"66.07"	"66.129"	"45.751"	"19.828"	"11.829"	"16.352"
"1913"	"22.238"	"17.577"	"28.632"	"23.973"	"27.138"	"48.594"	"66.345"	"66.33"	"45.766"	"20.061"	"12.216"	"16.352"
"1914"	"22.093"	"17.577"	"28.551"	"23.973"	"27.248"	"48.424"	"65.826"	"66.301"	"45.478"	"19.576"	"12.231"	"16.352"
"1915"	"22.238"	"17.664"	"28.217"	"23.973"	"26.793"	"48.055"	"66.203"	"65.788"	"45.556"	"19.561"	"11.753"	"16.352"
"1916"	"22.238"	"17.577"	"28.632"	"23.973"	"27.577"	"48.71"	"66.016"	"66.33"	"46.157"	"19.732"	"12.216"	"16.352"
"1917"	"21.952"	"17.098"	"28.56"	"23.19"	"26.948"	"48.041"	"65.903"	"65.829"	"45.751"	"20.061"	"11.967"	"16.352"
"1918"	"22.238"	"17.577"	"28.632"	"23.973"	"26.974"	"48.531"	"66.117"	"66.001"	"45.292"	"19.475"	"12.216"	"16.377"
"1919"	"22.238"	"17.548"	"28.632"	"23.492"	"27.577"	"48.71"	"66.675"	"65.915"	"45.478"	"19.06"	"11.352"	"16.221"
"1920"	"22.363"	"17.577"	"28.632"	"23.973"	"27.577"	"48.739"	"66.608"	"65.301"	"46.157"	"19.064"	"12.216"	"16.352"
"1921"	"22.238"	"17.577"	"28.632"	"23.973"	"27.577"	"48.518"	"65.808"	"65.638"	"46.157"	"19.26"	"11.838"	"16.352"
"1922"	"22.238"	"17.577"	"28.632"	"23.973"	"27.577"	"48.71"	"66.675"	"66.016"	"46.157"	"20.061"	"12.202"	"16.352"
"1923"	"22.238"	"17.577"	"28.632"	"23.973"	"27.577"	"49.193"	"66.599"	"66.33"	"46.157"	"19.46"	"11.343"	"15.363"
"1924"	"21.465"	"16.999"	"28.632"	"23.841"	"27.577"	"48.71"	"66.675"	"66.33"	"46.157"	"19.348"	"11.852"	"16.352"
"1925"	"22.238"	"16.713"	"27.835"	"23.477"	"26.654"	"48.432"	"66.179"	"65.411"	"45.192"	"20.061"	"11.325"	"15.25"
"1926"	"21.86"	"17.577"	"28.521"	"24.536"	"27.189"	"48.71"	"66.675"	"66.33"	"46.157"	"19.552"	"12.216"	"16.352"
"1927"	"22.32"	"17.577"	"28.317"	"23.973"	"27.577"	"48.807"	"66.675"	"66.33"	"46.157"	"20.061"	"12.216"	"16.352"
"1928"	"22.238"	"17.577"	"28.632"	"23.973"	"27.577"	"48.71"	"66.675"	"66.33"	"46.157"	"20.061"	"12.216"	"16.188"
"1929"	"21.761"	"17.577"	"28.145"	"22.976"	"27.16"	"48.71"	"66.976"	"65.737"	"46.157"	"19.561"	"12.216"	"16.953"
"1930"	"21.846"	"17.577"	"27.831"	"23.973"	"27.08"	"49.019"	"66.805"	"66.134"	"46.581"	"20.161"	"11.253"	"16.352"
"1931"	"17.868"	"19.045"	"22.53"	"14.765"	"21.06"	"34.661"	"62.249"	"63.821"	"43.464"	"22.45"	"2.441"	"10.03"
"1932"	"17.83"	"10.574"	"23.707"	"15.46"	"21.334"	"42.225"	"63.053"	"64.375"	"37.656"	"9.636"	"0"	"12.314"
"1933"	"19.11"	"14.354"	"22.892"	"22.471"	"29.999"	"46.043"	"65.071"	"69.229"	"49.223"	"17.091"	"4.221"	"11.919"
"1934"	"19.865"	"8.854"	"26.976"	"13.973"	"21.352"	"44.001"	"65.134"	"65.334"	"39.044"	"4.324"	"8.88"	"16.591"
"1935"	"22.066"	"21.865"	"22.677"	"25.101"	"19.634"	"27.654"	"61.403"	"64.535"	"40.027"	"10.741"	"5.943"	"13.112"
"1936"	"13.628"	"17.312"	"24.814"	"16.809"	"23.471"	"52.112"	"65.189"	"63.836"	"43.091"	"17.397"	"7.585"	"20.21"
"1937"	"17.004"	"21.916"	"24.634"	"19.813"	"23.421"	"39.592"	"65.016"	"63.469"	"39.085"	"13.609"	"7.523"	"13.105"
"1938"	"23.439"	"17.908"	"23.177"	"15.534"	"24.707"	"52.321"	"58.314"	"62.465"	"37.005"	"10.391"	"8.098"	"8.025"
"1939"	"15.858"	"19.725"	"29.782"	"16.589"	"18.253"	"50.272"	"62.763"	"60.609"	"39.246"	"13.682"	"0.069"	"10.647"
"1940"	"21.897"	"19.95"	"29.027"	"18.702"	"23.255"	"47.355"	"62.665"	"64.537"	"38.885"	"9.012"	"4.163"	"11.222"
"1941"	"21.386"	"11.165"	"21.91"	"14.573"	"26.432"	"52.111"	"62.575"	"62.84"	"42.69"	"16.479"	"0.018"	"10.752"
"1942"	"22.686"	"18.098"	"20.972"	"17.966"	"26.059"	"38.426"	"67.972"	"65.002"	"44.599"	"14.036"	"5.063"	"14.766"
"1943"	"27.934"	"6.806"	"19.41"	"17.759"	"22.338"	"42.887"	"65.189"	"64.037"	"42.007"	"8.009"	"0"	"10.619"
"1944"	"21.41"	"19.724"	"27.371"	"20.107"	"18.158"	"37.055"	"65.154"	"66.463"	"41.927"	"7.839"	"2.06"	"10.088"
"1945"	"22.064"	"6.665"	"20.239"	"22.594"	"19.66"	"37.849"	"63.964"	"64.559"	"46.467"	"19.285"	"0.185"	"9.86"
"1946"	"15.76"	"8.259"	"19.122"	"15.395"	"27.611"	"47.677"	"64.139"	"65.237"	"38.767"	"19.346"	"0.402"	"12.678"
"1947"	"17.064"	"9.413"	"19.558"	"10.715"	"16.939"	"41.229"	"54.412"	"64.8"	"44.975"	"15.434"	"7.515"	"13.653"
"1948"	"21.704"	"18.505"	"29.338"	"17.9"	"20.513"	"43.891"	"61.168"	"67.458"	"41.691"	"19.598"	"5.179"	"17.454"
"1949"	"19.649"	"16.211"	"26.367"	"15.095"	"24.823"	"42.252"	"65.189"	"63.94"	"41.954"	"13.17"	"0"	"10.724"
"1950"	"23.563"	"13.179"	"28.138"	"14.148"	"23.811"	"51.403"	"67.791"	"65.533"	"45.985"	"18.547"	"1.759"	"7.673"
"1951"	"21.395"	"9.425"	"26.37"	"22.721"	"26.091"	"45.983"	"61.039"	"65.002"	"37.527"	"13.715"	"10.187"	"13.674"
"1952"	"19.019"	"17.304"	"37.857"	"23.339"	"29.83"	"46.431"	"67.791"	"67.924"	"41.962"	"5.084"	"0"	"12.064"
"1953"	"30.132"	"15.105"	"21.063"	"19.712"	"29.044"	"49.952"	"71.471"	"68.753"	"46.668"	"14.061"	"4.754"	"14.235"
"1954"	"30.799"	"32.971"	"27.333"	"18.209"	"24.309"	"49.769"	"63.823"	"63.656"	"51.037"	"19.926"	"7.383"	"14.028"
"1955"	"32.996"	"16.519"	"28.123"	"19.174"	"28.347"	"49.458"	"67.066"	"70.053"	"52.238"	"34.257"	"9.751"	"18.441"
"1956"	"28.546"	"10.341"	"30.394"	"22.564"	"32.465"	"59.728"	"69.693"	"67.631"	"46.659"	"35.638"	"12.239"	"19.323"
"1957"	"34.186"	"15.925"	"37.257"	"25.859"	"27.027"	"44.165"	"67.837"	"65.2"	"43.178"	"17.069"	"11.233"	"20.74"
"1958"	"23.412"	"17.304"	"26.841"	"25.225"	"26.071"	"40.785"	"71.139"	"67.171"	"54.462"	"28.665"	"15.32"	"22.08"
"1959"	"29.307"	"20.152"	"23.288"	"23.568"	"29.217"	"50.739"	"70.289"	"68.803"	"51.704"	"30.733"	"13.25"	"13.164"
"1960"	"20.848"	"5.862"	"36.008"	"22.594"	"23.098"	"45.954"	"67.971"	"69.284"	"45.554"	"21.429"	"6.249"	"14.577"
"1961"	"27.706"	"24.87"	"29.003"	"22.546"	"29.454"	"50.825"	"70.093"	"68.877"	"52.798"	"28.535"	"19.519"	"17.644"
"1962"	"20.299"	"24.194"	"31.693"	"25.163"	"24.862"	"43.548"	"65.7"	"65.312"	"50.949"	"16.158"	"8.675"	"18.44"
"1963"	"14.995"	"8.987"	"27.191"	"26.117"	"28.007"	"47.606"	"62.923"	"67.254"	"43.366"	"19.166"	"21.072"	"14.838"
"1964"	"18.931"	"15.434"	"23.422"	"24.224"	"25.53"	"46.143"	"68.988"	"66.508"	"62.431"	"18.097"	"3.727"	"17.225"
"1965"	"22.874"	"16.687"	"27.23"	"31.402"	"27.538"	"44.068"	"65.712"	"62.506"	"42.066"	"21.085"	"8.769"	"11.497"
"1966"	"18.263"	"16.502"	"21.703"	"20.933"	"23.272"	"50.206"	"60.997"	"66.097"	"39.374"	"13.429"	"20.699"	"10.1"
"1967"	"16.083"	"5.489"	"37.089"	"25.082"	"25.197"	"46.252"	"67.825"	"68.803"	"47.166"	"13.895"	"13.012"	"33.212"
"1968"	"31.257"	"18.885"	"27.039"	"20.511"	"23.723"	"48.492"	"65.998"	"64.973"	"36.908"	"15.122"	"4.363"	"14.335"
