
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"14.897"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1902"	"14.897"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1903"	"14.897"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1904"	"14.897"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1905"	"14.897"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1906"	"14.897"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1907"	"14.897"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1908"	"14.897"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1909"	"14.897"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1910"	"14.897"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1911"	"14.897"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1912"	"14.897"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1913"	"14.897"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1914"	"14.897"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1915"	"14.897"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1916"	"14.897"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.51"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1917"	"14.897"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1918"	"14.897"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1919"	"14.912"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1920"	"14.897"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1921"	"14.897"	"15.328"	"16.115"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.399"	"15.874"	"15.402"
"1922"	"14.897"	"15.328"	"16.214"	"15.783"	"14.683"	"12"	"8.496"	"7.388"	"9.797"	"14.471"	"15.874"	"15.402"
