
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.0583"	"1.4271"	"0.1095"	"0.2753"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0103"	"0.0792"
"1902"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0004"	"0.0049"	"0.1251"	"2.4423"
"1903"	"0.6067"	"0.8227"	"0.394"	"0.3879"	"0.004"	"0"	"0"	"0"	"0"	"0.1297"	"0.3923"	"2.9336"
"1904"	"1.4025"	"0.0419"	"0.2034"	"0"	"0.0037"	"0"	"0.0103"	"0.0077"	"0.0029"	"0.0695"	"0.2565"	"1.3297"
"1905"	"4.4984"	"2.3792"	"0.7779"	"0.5983"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.6249"
"1906"	"2.5145"	"1.4812"	"0.6022"	"0.1325"	"0"	"0"	"0"	"0"	"0.0033"	"0"	"0"	"0"
"1907"	"0"	"1.4553"	"0.6384"	"0.5684"	"0.0183"	"0"	"0"	"0.0018"	"0"	"0"	"0.0098"	"3.475"
"1908"	"1.6633"	"0.239"	"0.2477"	"0"	"0"	"0"	"0.0062"	"0.0044"	"0"	"0.2137"	"0.2244"	"3.5514"
"1909"	"2.5672"	"0.9245"	"0"	"0.5446"	"0.0066"	"0.0077"	"0.0095"	"0.0029"	"0.004"	"0.0505"	"0"	"3.055"
"1910"	"2.0356"	"0.3472"	"0.0708"	"0.3498"	"0"	"0.0037"	"0"	"0"	"0"	"0.489"	"0.3512"	"1.92"
"1911"	"0"	"0.0158"	"0.5565"	"0.1681"	"0"	"0"	"0"	"0"	"0.0062"	"0"	"0.4216"	"2.4708"
"1912"	"0.0201"	"0"	"0.3279"	"0.0527"	"0"	"0"	"0"	"0"	"0.0055"	"0.0032"	"0.3698"	"1.9902"
"1913"	"0.7219"	"0.2118"	"0.6037"	"0"	"0.018"	"0.0132"	"0"	"0"	"0"	"0"	"0.1278"	"1.4467"
"1914"	"0"	"0.3454"	"0.236"	"0.0007"	"0"	"0"	"0"	"0"	"0"	"0.196"	"0"	"2.626"
"1915"	"0.6842"	"1.5089"	"0.2672"	"0.1662"	"0"	"0"	"0"	"0"	"0"	"0"	"0.1096"	"0.9056"
"1916"	"0.0676"	"0.7904"	"0"	"0"	"0"	"0.011"	"0"	"0.0022"	"0"	"0.3982"	"0.5393"	"4.4621"
"1917"	"0.1993"	"0.4457"	"0.2687"	"0.6833"	"0.033"	"0.0066"	"0.0066"	"0.0044"	"0.0114"	"0.532"	"0.6407"	"1.1572"
"1918"	"3.2362"	"0.1749"	"0.2117"	"0.5161"	"0"	"0.0026"	"0"	"0"	"0"	"0"	"0.028"	"3.4548"
"1919"	"1.3689"	"1.3551"	"0.0047"	"0.286"	"0.0084"	"0"	"0.0044"	"0"	"0.0007"	"0.1511"	"0.267"	"3.0633"
"1920"	"1.5995"	"0.7747"	"0.0206"	"0.1831"	"0.0323"	"0.0026"	"0.0077"	"0"	"0"	"0"	"0"	"0.2398"
"1921"	"0"	"0.0112"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0081"	"0.245"	"0.1533"	"0"
"1922"	"1.6046"	"0"	"0"	"0"	"0"	"0.0007"	"0"	"0.0066"	"0.0066"	"0.2458"	"0.2221"	"2.786"
"1923"	"0.665"	"0.8794"	"0.0029"	"0"	"0.0029"	"0"	"0"	"0.0077"	"0"	"0.2888"	"0.2264"	"1.6716"
"1924"	"3.0368"	"0.5279"	"0"	"0"	"0.0213"	"0"	"0"	"0"	"0.0055"	"0.3385"	"0.4315"	"1.9436"
"1925"	"4.8027"	"1.751"	"0.1746"	"0"	"0.0106"	"0.0241"	"0.0158"	"0"	"0"	"0"	"0.4213"	"2.5073"
"1926"	"0.8293"	"0"	"0.4291"	"0.685"	"0.0227"	"0"	"0"	"0"	"0.0088"	"0.4081"	"0.644"	"3.8837"
