
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"6.594"	"9.362"	"16.362"	"21.723"	"27.003"	"30.831"	"28.36"	"25.014"	"24.923"	"21.594"	"14.058"	"9.485"
"1902"	"9.635"	"11.737"	"18.636"	"23.023"	"27.343"	"28.771"	"26.077"	"26.507"	"23.651"	"19.697"	"13.022"	"7.87"
"1903"	"8.377"	"9.862"	"15.237"	"20.738"	"25.844"	"30.843"	"28.261"	"25.085"	"24.311"	"18.817"	"12.149"	"7.456"
"1904"	"8.046"	"10.735"	"15.61"	"23.096"	"26.351"	"28.936"	"24.566"	"23.989"	"23.522"	"19.497"	"12.68"	"8.565"
"1905"	"6.716"	"5.965"	"13.062"	"19.815"	"27.837"	"30.816"	"27.043"	"25.92"	"25.712"	"20.598"	"15.067"	"9.04"
"1906"	"7.508"	"8.875"	"14.273"	"22.031"	"28.94"	"28.217"	"26.062"	"25.634"	"23.049"	"19.685"	"14.134"	"9.165"
"1907"	"9.733"	"9.046"	"13.772"	"20.022"	"25.156"	"29.541"	"29.123"	"24.608"	"24.881"	"20.378"	"13.837"	"7.298"
"1908"	"7.401"	"10.659"	"15.437"	"23.032"	"26.671"	"29.923"	"24.675"	"24.197"	"23.627"	"19.011"	"12.862"	"7.588"
"1909"	"7.744"	"9.755"	"16.554"	"20.022"	"25.593"	"27.337"	"24.756"	"24.674"	"23.333"	"19.66"	"14.63"	"7.651"
"1910"	"7.3"	"10.774"	"16.064"	"21.209"	"27.116"	"27.701"	"26.111"	"25.389"	"23.823"	"18.083"	"12.33"	"8.268"
"1911"	"9.944"	"10.878"	"14.141"	"21.919"	"28.345"	"29.188"	"27.961"	"26.195"	"23.049"	"20.188"	"11.756"	"8.22"
"1912"	"8.939"	"11.654"	"15.259"	"22.209"	"27.457"	"30.745"	"26.961"	"25.276"	"22.791"	"19.511"	"12.249"	"8.147"
"1913"	"8.619"	"10.517"	"14.059"	"23.405"	"25.195"	"27.127"	"26.528"	"26.559"	"25.801"	"21.283"	"13.442"	"8.624"
