
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"4.77"	"5.57"	"6.91"	"8.21"	"8.75"	"8.19"	"6.68"	"5.68"	"6.13"	"6.86"	"6.09"	"5.06"
"1902"	"4.92"	"5.72"	"7.06"	"8.33"	"8.85"	"8.19"	"6.47"	"5.72"	"6.18"	"6.78"	"6.03"	"4.97"
"1903"	"4.85"	"5.67"	"6.86"	"8.16"	"8.7"	"8.17"	"6.66"	"5.69"	"6.2"	"6.79"	"5.97"	"4.91"
"1904"	"4.79"	"5.71"	"6.85"	"8.27"	"8.81"	"8.21"	"6.48"	"5.57"	"6.12"	"6.78"	"5.98"	"5.04"
"1905"	"4.83"	"5.39"	"6.66"	"7.99"	"8.71"	"8.25"	"6.6"	"5.64"	"6.23"	"6.82"	"6.12"	"5.11"
"1906"	"4.84"	"5.6"	"6.76"	"8.11"	"8.9"	"8.22"	"6.48"	"5.69"	"6.13"	"6.74"	"6.05"	"5.04"
"1907"	"4.97"	"5.67"	"6.78"	"8.1"	"8.67"	"8.06"	"6.68"	"5.68"	"6.15"	"6.81"	"6.08"	"4.97"
"1908"	"4.75"	"5.68"	"6.85"	"8.25"	"8.8"	"8.26"	"6.51"	"5.57"	"6.13"	"6.75"	"6"	"4.96"
"1909"	"4.8"	"5.6"	"6.99"	"8.16"	"8.78"	"8.13"	"6.42"	"5.61"	"6.13"	"6.72"	"6.11"	"4.99"
"1910"	"4.76"	"5.69"	"6.94"	"8.17"	"8.83"	"8.14"	"6.48"	"5.65"	"6.19"	"6.72"	"5.94"	"4.93"
"1911"	"4.92"	"5.79"	"6.8"	"8.13"	"8.85"	"8.19"	"6.59"	"5.77"	"6.13"	"6.82"	"5.96"	"4.94"
"1912"	"4.85"	"5.79"	"6.9"	"8.2"	"8.78"	"8.24"	"6.61"	"5.71"	"6.13"	"6.78"	"5.97"	"4.96"
"1913"	"4.85"	"5.72"	"6.75"	"8.27"	"8.84"	"8.05"	"6.46"	"5.65"	"6.23"	"6.89"	"6.06"	"4.98"
"1914"	"4.95"	"5.75"	"6.86"	"8.23"	"8.89"	"8.18"	"6.51"	"5.62"	"6.2"	"6.76"	"6.08"	"4.98"
"1915"	"4.85"	"5.56"	"6.85"	"8.13"	"8.84"	"8.21"	"6.62"	"5.71"	"6.23"	"6.91"	"6.08"	"5.04"
"1916"	"4.91"	"5.61"	"7"	"8.36"	"8.91"	"8.09"	"6.55"	"5.64"	"6.17"	"6.78"	"5.9"	"4.88"
"1917"	"4.85"	"5.72"	"6.96"	"8.16"	"8.64"	"8.06"	"6.45"	"5.62"	"6.15"	"6.74"	"5.81"	"4.95"
"1918"	"4.74"	"5.68"	"6.94"	"8.07"	"8.83"	"8.14"	"6.6"	"5.78"	"6.25"	"6.84"	"6.08"	"4.94"
"1919"	"4.85"	"5.6"	"6.93"	"8.23"	"8.73"	"8.24"	"6.53"	"5.6"	"6.15"	"6.78"	"6.01"	"4.95"
"1920"	"4.82"	"5.65"	"6.93"	"8.3"	"8.74"	"8.07"	"6.41"	"5.59"	"6.18"	"6.88"	"6.12"	"5.06"
"1921"	"4.88"	"5.71"	"7.01"	"8.36"	"8.93"	"8.21"	"6.69"	"5.76"	"6.13"	"6.74"	"5.97"	"5.12"
"1922"	"4.83"	"5.74"	"7"	"8.28"	"8.88"	"8.17"	"6.53"	"5.65"	"6.12"	"6.75"	"5.99"	"4.98"
"1923"	"4.83"	"5.64"	"6.92"	"8.28"	"8.74"	"8.21"	"6.66"	"5.63"	"6.15"	"6.75"	"5.99"	"5.04"
"1924"	"4.77"	"5.61"	"6.97"	"8.36"	"8.69"	"8.19"	"6.58"	"5.65"	"6.15"	"6.72"	"5.95"	"5"
"1925"	"4.72"	"5.5"	"6.82"	"8.34"	"8.96"	"8.06"	"6.31"	"5.61"	"6.24"	"6.86"	"6.02"	"4.98"
"1926"	"4.81"	"5.82"	"6.94"	"8.06"	"8.61"	"8.16"	"6.61"	"5.69"	"6.15"	"6.77"	"5.87"	"4.91"
"1927"	"4.7"	"5.52"	"6.79"	"8.16"	"8.76"	"8.17"	"6.54"	"5.62"	"6.13"	"6.79"	"5.91"	"5.02"
"1928"	"4.8"	"5.68"	"6.93"	"8.18"	"8.84"	"8.2"	"6.48"	"5.69"	"6.22"	"6.81"	"6.1"	"5.01"
"1929"	"4.84"	"5.52"	"6.95"	"8.3"	"8.87"	"8.21"	"6.53"	"5.58"	"6.18"	"6.82"	"6.08"	"4.97"
"1930"	"4.81"	"5.62"	"7"	"8.24"	"8.81"	"8.19"	"6.46"	"5.57"	"6.16"	"6.85"	"6.03"	"4.97"
"1931"	"5.05"	"5.6"	"6.93"	"8.43"	"8.94"	"8.43"	"6.67"	"5.75"	"6.25"	"6.67"	"6.13"	"5.08"
"1932"	"5.11"	"5.82"	"7.04"	"8.38"	"8.82"	"8.27"	"6.69"	"5.62"	"6.32"	"7"	"6.2"	"5.08"
"1933"	"4.76"	"5.71"	"7.08"	"8.23"	"8.65"	"8.13"	"6.52"	"5.56"	"6.06"	"6.75"	"6.11"	"5.11"
"1934"	"4.76"	"5.91"	"6.87"	"8.37"	"8.91"	"8.2"	"6.52"	"5.63"	"6.32"	"6.97"	"5.95"	"5.06"
"1935"	"4.72"	"5.59"	"7.08"	"8.05"	"8.82"	"8.58"	"6.65"	"5.66"	"6.27"	"6.88"	"6.12"	"5.1"
"1936"	"4.86"	"5.7"	"6.98"	"8.26"	"8.97"	"8.12"	"6.46"	"5.66"	"6.2"	"6.79"	"6.11"	"4.95"
"1937"	"4.84"	"5.65"	"6.93"	"8.19"	"8.81"	"8.36"	"6.54"	"5.73"	"6.34"	"6.88"	"6.16"	"5.02"
"1938"	"4.77"	"5.51"	"7.05"	"8.42"	"9.02"	"8.06"	"6.6"	"5.7"	"6.37"	"7.05"	"6.05"	"5.09"
"1939"	"4.99"	"5.73"	"6.77"	"8.19"	"8.99"	"8.14"	"6.48"	"5.81"	"6.31"	"6.92"	"6.25"	"5.11"
"1940"	"4.85"	"5.64"	"6.84"	"8.19"	"8.84"	"8.21"	"6.67"	"5.7"	"6.27"	"6.94"	"6.24"	"5.13"
"1941"	"4.77"	"5.79"	"7.13"	"8.48"	"8.95"	"8.08"	"6.63"	"5.78"	"6.24"	"6.97"	"6.32"	"5.27"
"1942"	"4.72"	"5.66"	"7.14"	"8.43"	"8.89"	"8.46"	"6.51"	"5.64"	"6.13"	"6.82"	"6.21"	"5"
"1943"	"4.75"	"5.89"	"7.17"	"8.3"	"8.88"	"8.25"	"6.54"	"5.65"	"6.22"	"6.95"	"6.26"	"5.22"
"1944"	"4.84"	"5.64"	"6.86"	"8.18"	"9"	"8.37"	"6.53"	"5.63"	"6.28"	"6.94"	"6.19"	"5.26"
"1945"	"4.73"	"5.78"	"7.13"	"8.23"	"8.9"	"8.37"	"6.58"	"5.7"	"6.17"	"6.73"	"6.25"	"5.02"
"1946"	"4.91"	"5.99"	"7.06"	"8.45"	"8.9"	"8.2"	"6.55"	"5.64"	"6.29"	"6.82"	"6.24"	"5.14"
"1947"	"4.82"	"5.83"	"7.17"	"8.52"	"9.02"	"8.36"	"6.77"	"5.73"	"6.22"	"6.74"	"6.11"	"5.11"
"1948"	"4.85"	"5.65"	"6.79"	"8.31"	"8.99"	"8.33"	"6.69"	"5.61"	"6.21"	"6.82"	"6.11"	"4.97"
"1949"	"4.97"	"5.79"	"6.99"	"8.42"	"8.92"	"8.36"	"6.59"	"5.69"	"6.29"	"6.91"	"6.19"	"5.04"
"1950"	"4.89"	"5.73"	"6.85"	"8.31"	"8.87"	"8.19"	"6.54"	"5.66"	"6.15"	"6.79"	"6.19"	"5.1"
"1951"	"4.83"	"5.79"	"6.96"	"8.13"	"8.76"	"8.17"	"6.69"	"5.73"	"6.24"	"6.95"	"6.22"	"5.1"
"1952"	"4.92"	"5.87"	"6.76"	"8.28"	"8.95"	"8.25"	"6.48"	"5.54"	"6.24"	"7.18"	"6.25"	"5.19"
"1953"	"4.6"	"5.72"	"7.23"	"8.34"	"8.86"	"8.23"	"6.49"	"5.48"	"6.14"	"6.89"	"6.06"	"5.22"
"1954"	"4.61"	"5.45"	"6.98"	"8.36"	"8.88"	"8.23"	"6.62"	"5.51"	"6.11"	"6.64"	"6.11"	"5.07"
"1955"	"4.63"	"5.71"	"7.08"	"8.29"	"8.74"	"8.17"	"6.49"	"5.57"	"6.08"	"6.47"	"5.98"	"4.99"
"1956"	"4.7"	"5.79"	"6.84"	"8.16"	"8.83"	"8.03"	"6.55"	"5.56"	"6.13"	"6.39"	"5.9"	"4.98"
"1957"	"4.61"	"5.62"	"6.63"	"8.11"	"8.78"	"8.25"	"6.43"	"5.49"	"6.18"	"6.77"	"6.14"	"4.97"
"1958"	"4.92"	"5.76"	"7.04"	"8.32"	"8.88"	"8.38"	"6.54"	"5.62"	"5.98"	"6.56"	"5.91"	"5.02"
"1959"	"4.72"	"5.62"	"7.11"	"8.3"	"8.7"	"8.28"	"6.45"	"5.56"	"6.16"	"6.56"	"6.01"	"5.25"
"1960"	"4.83"	"6.07"	"6.86"	"8.18"	"8.97"	"8.33"	"6.55"	"5.55"	"6.18"	"6.72"	"6.05"	"5.1"
"1961"	"4.77"	"5.34"	"6.72"	"8.18"	"8.58"	"8.25"	"6.29"	"5.43"	"5.93"	"6.36"	"5.69"	"4.85"
"1962"	"4.69"	"5.52"	"6.88"	"8.13"	"8.76"	"8.24"	"6.49"	"5.73"	"5.89"	"6.68"	"5.91"	"4.96"
"1963"	"5.06"	"6.07"	"6.96"	"8"	"8.73"	"8.12"	"6.64"	"5.52"	"6"	"6.65"	"5.85"	"5.24"
"1964"	"4.7"	"5.61"	"7.12"	"8.28"	"8.76"	"8.18"	"6.2"	"5.63"	"5.73"	"6.89"	"6.11"	"4.86"
"1965"	"5"	"5.66"	"6.92"	"7.92"	"8.36"	"8.18"	"6.52"	"5.69"	"6.24"	"6.65"	"6.11"	"5.13"
"1966"	"5.05"	"6"	"7.14"	"8.15"	"9.13"	"8.18"	"6.95"	"5.68"	"6.25"	"7.01"	"6.03"	"5.26"
"1967"	"4.94"	"6.27"	"6.85"	"8.16"	"8.95"	"8.47"	"6.71"	"5.45"	"6.19"	"6.9"	"6.05"	"4.81"
"1968"	"4.68"	"5.59"	"7.09"	"8.33"	"8.89"	"8.34"	"6.57"	"5.58"	"6.77"	"6.88"	"6.25"	"5.11"
"1969"	"4.95"	"5.73"	"7.54"	"8.33"	"8.73"	"8.32"	"6.77"	"5.71"	"5.92"	"6.86"	"6.2"	"5.33"
"1970"	"4.89"	"5.65"	"6.73"	"8.6"	"8.96"	"8.14"	"6.88"	"5.82"	"6.07"	"6.97"	"6.23"	"5.35"
"1971"	"4.85"	"5.85"	"6.99"	"8.42"	"8.73"	"7.73"	"6.13"	"5.68"	"6.41"	"6.63"	"6.06"	"5.3"
"1972"	"4.94"	"5.49"	"7.12"	"8.25"	"9.06"	"8.42"	"7.17"	"5.88"	"6.09"	"6.6"	"5.96"	"4.99"
"1973"	"4.61"	"5.83"	"6.94"	"8.63"	"9.09"	"8.37"	"6.65"	"5.56"	"6.08"	"6.64"	"6.21"	"4.93"
"1974"	"4.87"	"5.61"	"7.02"	"8.53"	"9.42"	"8.22"	"6.54"	"5.79"	"6.65"	"6.8"	"6.19"	"4.94"
"1975"	"4.68"	"5.61"	"6.72"	"8.34"	"9.13"	"8.2"	"6.53"	"5.75"	"5.69"	"6.66"	"6.09"	"5.2"
"1976"	"4.86"	"5.67"	"6.83"	"8.3"	"9.04"	"7.96"	"6.48"	"5.51"	"6.24"	"7.01"	"6.03"	"5.12"
"1977"	"4.68"	"5.78"	"7.46"	"8.21"	"8.66"	"7.82"	"6.17"	"5.52"	"5.87"	"6.71"	"6.02"	"5.05"
"1978"	"4.9"	"5.49"	"6.62"	"8.21"	"9.3"	"8.44"	"6.28"	"5.4"	"5.82"	"6.8"	"5.83"	"5.09"
"1979"	"4.82"	"5.47"	"6.46"	"8.3"	"8.67"	"8.25"	"6.32"	"6"	"6.37"	"6.83"	"5.86"	"4.99"
"1980"	"4.75"	"5.79"	"6.79"	"8.45"	"8.93"	"7.93"	"6.07"	"5.51"	"6.03"	"6.73"	"6.11"	"5.05"
"1981"	"4.68"	"5.79"	"6.88"	"8.37"	"8.65"	"8.19"	"6.31"	"5.56"	"6.19"	"7"	"5.85"	"5.01"
"1982"	"4.79"	"5.59"	"6.7"	"8.13"	"8.48"	"8.03"	"6.64"	"5.55"	"6.37"	"6.77"	"6.06"	"5.01"
"1983"	"4.77"	"5.59"	"6.91"	"7.91"	"8.54"	"7.79"	"6.62"	"5.7"	"6.08"	"6.67"	"5.97"	"5.03"
"1984"	"4.85"	"5.45"	"6.99"	"8.13"	"8.96"	"8.24"	"6.54"	"5.67"	"6.13"	"6.84"	"5.97"	"4.91"
"1985"	"4.74"	"5.99"	"6.98"	"8.34"	"8.87"	"8.07"	"6.41"	"5.55"	"6.1"	"6.59"	"5.95"	"5.1"
"1986"	"4.87"	"5.7"	"6.9"	"8.25"	"8.8"	"8.18"	"6.5"	"5.58"	"6.23"	"6.77"	"6.11"	"5.04"
"1987"	"5"	"5.83"	"6.98"	"8.33"	"8.49"	"8.11"	"6.32"	"5.76"	"6.38"	"6.78"	"6.33"	"4.99"
"1988"	"4.82"	"5.85"	"6.92"	"8.26"	"9.01"	"8.21"	"6.29"	"5.46"	"5.98"	"6.79"	"6.01"	"5.11"
"1989"	"4.69"	"5.47"	"6.86"	"8.13"	"8.66"	"7.94"	"6.61"	"5.62"	"6.18"	"6.75"	"5.94"	"4.92"
"1990"	"4.92"	"5.71"	"6.78"	"8.18"	"8.64"	"7.99"	"6.32"	"5.58"	"5.92"	"6.6"	"6.03"	"4.97"
"1991"	"4.8"	"5.72"	"6.98"	"8.18"	"8.78"	"8.16"	"6.62"	"5.69"	"6.17"	"6.76"	"5.98"	"5.05"
"1992"	"4.86"	"5.65"	"6.92"	"8.24"	"8.74"	"8.19"	"6.59"	"5.68"	"6.13"	"6.72"	"5.99"	"5.09"
"1993"	"4.85"	"5.83"	"6.85"	"8.14"	"8.85"	"8.2"	"6.49"	"5.75"	"6.13"	"6.71"	"6.09"	"5.05"
"1994"	"4.96"	"5.7"	"7.05"	"8.18"	"8.8"	"8.24"	"6.47"	"5.62"	"6.13"	"6.72"	"6"	"5.1"
"1995"	"4.79"	"5.72"	"6.85"	"8.16"	"8.8"	"8.24"	"6.6"	"5.64"	"6.11"	"6.75"	"5.99"	"5"
"1996"	"5.09"	"5.68"	"6.92"	"8.35"	"8.71"	"8.09"	"6.53"	"5.39"	"6.2"	"6.7"	"6.12"	"5.05"
"1997"	"4.8"	"5.69"	"6.77"	"8.24"	"8.73"	"8.16"	"6.59"	"5.83"	"6.17"	"6.55"	"5.89"	"4.49"
"1998"	"4.74"	"5.72"	"6.86"	"8.16"	"8.86"	"8.22"	"6.55"	"5.57"	"6.02"	"6.63"	"6.04"	"5.03"
"1999"	"4.74"	"5.63"	"7.13"	"8.49"	"8.79"	"8.23"	"6.46"	"5.91"	"5.83"	"6.65"	"6.1"	"5.09"
"2000"	"4.92"	"5.59"	"6.88"	"8.22"	"8.92"	"8.01"	"6.31"	"5.73"	"6.23"	"6.71"	"6.03"	"5.39"
"2001"	"4.83"	"5.74"	"7"	"8.19"	"8.8"	"7.94"	"6.26"	"5.86"	"6.33"	"6.65"	"6"	"4.98"
"2002"	"4.84"	"5.61"	"7.03"	"8.24"	"8.81"	"8.18"	"6.71"	"5.67"	"6.13"	"6.73"	"5.93"	"4.82"
