
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"20.717"	"6.048"	"2.858"	"0.452"	"7.285"	"21.724"	"172.489"	"265.723"	"17.181"	"10.316"	"0"	"5.014"
"1902"	"3.495"	"0.065"	"0"	"0.59"	"0.605"	"45.699"	"341.354"	"150.896"	"108.961"	"4.798"	"6.518"	"0.721"
"1903"	"3.151"	"1.199"	"3.402"	"0"	"4.461"	"5.353"	"219.675"	"297.216"	"63.888"	"19.668"	"0"	"0"
"1904"	"4.542"	"1.951"	"10.46"	"0"	"15.024"	"64.055"	"373.716"	"355.162"	"39.476"	"3.944"	"14.369"	"6.864"
"1905"	"12.26"	"12.492"	"4.658"	"0.726"	"3.529"	"18.915"	"199.421"	"27.326"	"95.137"	"0.036"	"0"	"0.87"
"1906"	"0.49"	"11.87"	"7.948"	"0"	"0.709"	"122.761"	"206.436"	"131.798"	"188.017"	"0.212"	"0"	"6.888"
"1907"	"10.678"	"31.243"	"2.55"	"19.953"	"8.292"	"18.946"	"121.869"	"438.962"	"2.572"	"0.036"	"0.415"	"0"
"1908"	"18.398"	"0"	"0.515"	"1.283"	"6.908"	"36.453"	"576.125"	"398.765"	"57.663"	"5.187"	"0.448"	"0.866"
"1909"	"17.914"	"2.144"	"0"	"7.821"	"17.503"	"52.283"	"437.727"	"185.643"	"125.611"	"0.036"	"0"	"10.028"
"1910"	"6.995"	"1.648"	"0"	"2.816"	"3.264"	"55.452"	"189.543"	"259.387"	"120.683"	"16.252"	"0.772"	"0"
"1911"	"15.546"	"0"	"5.728"	"0"	"0"	"27.967"	"58.023"	"106.86"	"230.352"	"0.591"	"62.563"	"5.299"
"1912"	"16.678"	"1.346"	"4.396"	"0.636"	"0.626"	"19.503"	"284.657"	"261.701"	"140.329"	"2.381"	"15.743"	"1.781"
"1913"	"0"	"22.923"	"0.455"	"0"	"18.006"	"56.261"	"162.411"	"63.68"	"47.522"	"0.036"	"0"	"2.847"
"1914"	"0"	"2.577"	"1.307"	"7.117"	"22.765"	"83.517"	"434.234"	"170.558"	"184.969"	"9.103"	"3.21"	"0.537"
"1915"	"8.902"	"13.52"	"21.299"	"2.715"	"5.285"	"45.284"	"199.437"	"162.127"	"55.121"	"32.057"	"0.068"	"0.495"
"1916"	"0"	"6.58"	"0"	"1.027"	"7.113"	"62.968"	"329.687"	"364.31"	"114.598"	"12.223"	"1.879"	"0"
"1917"	"1.377"	"6.725"	"6.422"	"14.958"	"39.093"	"45.424"	"455.052"	"348.367"	"252.803"	"39.557"	"0"	"3.521"
"1918"	"12.109"	"0.029"	"2.653"	"0"	"10.894"	"26.138"	"85.732"	"168.768"	"48.881"	"0.036"	"2.677"	"0.029"
"1919"	"19.874"	"0"	"0.912"	"8.781"	"3.81"	"31.274"	"283.985"	"440.499"	"65.715"	"6.886"	"9.215"	"4.464"
"1920"	"6.411"	"11.146"	"3.342"	"0"	"9.095"	"81.994"	"340.87"	"82.385"	"63.699"	"0.036"	"0"	"0"
"1921"	"20.442"	"0.05"	"0"	"0.464"	"0"	"42.494"	"150.881"	"141.057"	"258.461"	"0.036"	"0"	"0"
"1922"	"10.909"	"1.141"	"0.306"	"1.424"	"0.108"	"58.618"	"258.634"	"212.299"	"204.571"	"1.298"	"3.681"	"22.577"
"1923"	"0.448"	"6.59"	"0.808"	"0.883"	"2.285"	"2.502"	"258.75"	"286.341"	"205.259"	"2.808"	"0.029"	"4.236"
"1924"	"9.925"	"6.99"	"0"	"0"	"5.991"	"14.216"	"207.17"	"252.348"	"256.528"	"13.337"	"1.592"	"18.811"
"1925"	"0"	"0"	"0"	"0"	"22.967"	"131.445"	"574.242"	"98.12"	"28.999"	"0.587"	"59.396"	"0.026"
"1926"	"18.321"	"3.923"	"18.577"	"7.162"	"23.757"	"21.855"	"258.145"	"368.101"	"132.027"	"0.375"	"1.685"	"0"
"1927"	"0"	"12.745"	"0.956"	"1.681"	"4.903"	"23.208"	"277.196"	"347.551"	"94.218"	"7.423"	"37.326"	"9.406"
"1928"	"3.288"	"20.157"	"0.282"	"0.13"	"2.341"	"22.393"	"255.808"	"121.494"	"85.116"	"53.904"	"17.344"	"24.337"
"1929"	"1.668"	"3.728"	"0"	"7.862"	"0.105"	"55.526"	"192.683"	"113.064"	"18.342"	"4.755"	"0"	"11.068"
"1930"	"7.225"	"4.028"	"0"	"0.896"	"8.658"	"102.256"	"467.414"	"211.921"	"50.089"	"18.176"	"0.272"	"0"
"1931"	"0.029"	"2.962"	"0"	"0.464"	"1.541"	"28.503"	"197.198"	"287.695"	"224.019"	"49.654"	"1.312"	"0"
"1932"	"0"	"4.034"	"7.966"	"2.571"	"1.241"	"24.367"	"190.303"	"333.577"	"165.804"	"1.367"	"0"	"0"
