
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"2.6"	"3.46"	"5.22"	"6.67"	"7.65"	"7.46"	"5.73"	"4.66"	"4.91"	"4.86"	"3.56"	"2.74"
"1902"	"2.83"	"3.68"	"5.5"	"6.85"	"7.7"	"7.17"	"5.48"	"4.79"	"4.76"	"4.67"	"3.48"	"2.62"
"1903"	"2.74"	"3.49"	"5.09"	"6.54"	"7.5"	"7.46"	"5.72"	"4.66"	"4.83"	"4.57"	"3.4"	"2.59"
"1904"	"2.71"	"3.56"	"5.12"	"6.86"	"7.55"	"7.2"	"5.29"	"4.56"	"4.75"	"4.64"	"3.46"	"2.67"
"1905"	"2.6"	"3.12"	"4.83"	"6.39"	"7.77"	"7.46"	"5.56"	"4.75"	"4.97"	"4.76"	"3.66"	"2.71"
"1906"	"2.66"	"3.41"	"4.97"	"6.71"	"7.94"	"7.11"	"5.47"	"4.72"	"4.72"	"4.66"	"3.58"	"2.71"
"1907"	"2.84"	"3.42"	"4.9"	"6.44"	"7.4"	"7.27"	"5.82"	"4.62"	"4.9"	"4.73"	"3.55"	"2.56"
"1908"	"2.67"	"3.56"	"5.11"	"6.85"	"7.63"	"7.34"	"5.3"	"4.58"	"4.77"	"4.59"	"3.48"	"2.6"
"1909"	"2.69"	"3.48"	"5.24"	"6.44"	"7.48"	"6.97"	"5.31"	"4.62"	"4.73"	"4.67"	"3.62"	"2.6"
"1910"	"2.65"	"3.58"	"5.18"	"6.6"	"7.67"	"7.04"	"5.46"	"4.7"	"4.78"	"4.49"	"3.41"	"2.64"
"1911"	"2.86"	"3.6"	"4.96"	"6.69"	"7.85"	"7.25"	"5.67"	"4.78"	"4.72"	"4.71"	"3.36"	"2.63"
"1912"	"2.77"	"3.68"	"5.1"	"6.75"	"7.73"	"7.46"	"5.57"	"4.68"	"4.68"	"4.64"	"3.4"	"2.63"
"1913"	"2.75"	"3.55"	"4.93"	"6.9"	"7.41"	"6.95"	"5.52"	"4.81"	"4.99"	"4.82"	"3.52"	"2.67"
"1914"	"2.87"	"3.56"	"5.12"	"6.83"	"7.72"	"7.11"	"5.45"	"4.67"	"4.86"	"4.6"	"3.6"	"2.61"
"1915"	"2.71"	"3.35"	"5.12"	"6.66"	"7.91"	"7.32"	"5.75"	"4.78"	"5.01"	"4.85"	"3.53"	"2.71"
"1916"	"2.79"	"3.52"	"5.48"	"6.94"	"7.67"	"6.97"	"5.54"	"4.62"	"4.78"	"4.54"	"3.32"	"2.56"
"1917"	"2.76"	"3.56"	"5.11"	"6.32"	"7.1"	"6.99"	"5.33"	"4.59"	"4.69"	"4.47"	"3.24"	"2.64"
"1918"	"2.63"	"3.56"	"5.13"	"6.45"	"7.88"	"7.16"	"5.8"	"4.87"	"4.93"	"4.73"	"3.53"	"2.58"
"1919"	"2.73"	"3.47"	"5.24"	"6.62"	"7.55"	"7.39"	"5.34"	"4.59"	"4.78"	"4.6"	"3.47"	"2.61"
"1920"	"2.72"	"3.54"	"5.22"	"6.68"	"7.21"	"7.01"	"5.32"	"4.71"	"5"	"4.85"	"3.63"	"2.71"
"1921"	"2.8"	"3.65"	"5.51"	"7.09"	"7.96"	"7.33"	"5.77"	"4.65"	"4.69"	"4.6"	"3.49"	"2.8"
"1922"	"2.71"	"3.7"	"5.34"	"6.84"	"7.69"	"7.11"	"5.47"	"4.59"	"4.71"	"4.61"	"3.48"	"2.63"
"1923"	"2.71"	"3.5"	"5.24"	"6.81"	"7.55"	"7.54"	"5.57"	"4.58"	"4.78"	"4.56"	"3.48"	"2.64"
"1924"	"2.63"	"3.53"	"5.35"	"6.81"	"7.33"	"7.41"	"5.47"	"4.64"	"4.73"	"4.51"	"3.41"	"2.64"
"1925"	"2.56"	"3.34"	"5.18"	"6.97"	"7.5"	"6.71"	"5.23"	"4.78"	"4.94"	"4.72"	"3.44"	"2.63"
"1926"	"2.75"	"3.73"	"5.02"	"6.28"	"7.37"	"7.43"	"5.55"	"4.65"	"4.69"	"4.5"	"3.28"	"2.54"
"1927"	"2.55"	"3.36"	"4.98"	"6.59"	"7.5"	"7.21"	"5.45"	"4.59"	"4.74"	"4.63"	"3.39"	"2.71"
"1928"	"2.69"	"3.56"	"5.21"	"6.67"	"7.81"	"7.2"	"5.51"	"4.82"	"4.91"	"4.72"	"3.58"	"2.63"
