
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.7588"	"1.1249"	"1.4251"	"0.4516"	"1.0102"	"2.1307"	"9.6763"	"12.1199"	"2.0174"	"1.0998"	"0"	"1.2026"
"1902"	"1.0549"	"0.0649"	"0"	"0.5464"	"0.6051"	"3.7866"	"12.1387"	"8.7385"	"5.0152"	"1.092"	"2.8684"	"0.7008"
"1903"	"1.0549"	"1.0338"	"1.1968"	"0"	"1.0326"	"1.1777"	"9.8915"	"12.2023"	"4.8765"	"1.7494"	"0"	"0"
"1904"	"1.0549"	"1.0646"	"1.5897"	"0"	"1.3391"	"3.9964"	"12.3859"	"12.0271"	"3.5329"	"1.3196"	"1.5106"	"1.9555"
"1905"	"1.4507"	"1.5218"	"1.5725"	"0.6152"	"1.0001"	"2.1136"	"9.1491"	"5.2251"	"4.6896"	"0.0361"	"0"	"0.8485"
"1906"	"0.4906"	"1.5772"	"1.7667"	"0"	"0.708"	"5.3076"	"9.985"	"8.4064"	"6.76"	"0.2115"	"0"	"1.2288"
"1907"	"1.0549"	"2.3162"	"1.2316"	"1.8749"	"1.0959"	"2.0445"	"7.5128"	"14.1991"	"1.0015"	"0.0361"	"0.4151"	"0"
"1908"	"1.5521"	"0"	"0.5067"	"1.1893"	"1.0001"	"2.8074"	"16.3434"	"14.142"	"4.0033"	"1.0686"	"0.4486"	"0.8448"
"1909"	"1.0606"	"1.0646"	"0"	"1.6992"	"1.5452"	"4.4299"	"14.1546"	"8.5395"	"5.5808"	"0.0361"	"0"	"2.3104"
"1910"	"1.0836"	"1.0627"	"0"	"1.2457"	"1.0001"	"4.2248"	"9.0043"	"11.1626"	"5.348"	"1.5729"	"0.6947"	"0"
"1911"	"1.7222"	"0"	"2.0145"	"0"	"0"	"2.9904"	"5.4763"	"7.9428"	"7.3967"	"0.5917"	"3.0399"	"1.3314"
"1912"	"1.6227"	"1.0352"	"1.4069"	"0.6353"	"0.6251"	"2.4425"	"11.6453"	"11.5875"	"5.4776"	"0.9498"	"2.9321"	"1.2026"
"1913"	"0"	"2.2151"	"0.4546"	"0"	"1.8903"	"3.9176"	"8.207"	"6.016"	"2.7304"	"0.0361"	"0"	"1.4542"
"1914"	"0"	"1.0646"	"0.9713"	"1.6442"	"1.7933"	"4.6055"	"13.7684"	"9.1003"	"6.0725"	"1.0974"	"1.0034"	"0.5373"
"1915"	"1.0549"	"1.776"	"2.9765"	"1.7052"	"1.0001"	"3.2495"	"9.3539"	"8.679"	"3.9387"	"2.4869"	"0.0676"	"0.4955"
"1916"	"0"	"1.4599"	"0"	"0.9542"	"1.0001"	"4.3904"	"11.8464"	"14.1875"	"5.1943"	"1.7533"	"1.2835"	"0"
"1917"	"1.0512"	"1.31"	"1.7152"	"1.5613"	"2.5978"	"4.4709"	"13.7867"	"14.0554"	"7.4786"	"2.7227"	"0"	"1.2026"
"1918"	"1.0707"	"0.0288"	"1.1968"	"0"	"1.0778"	"3.573"	"5.9744"	"8.9997"	"2.6659"	"0.0361"	"1.8666"	"0.0288"
"1919"	"2.3005"	"0"	"0.8901"	"1.2457"	"1.0001"	"2.4917"	"11.578"	"13.7599"	"3.7677"	"1.0745"	"1.556"	"1.181"
"1920"	"1.0549"	"1.2935"	"1.448"	"0"	"1.4887"	"5.1082"	"12.996"	"6.4658"	"3.3817"	"0.0361"	"0"	"0"
"1921"	"1.4314"	"0.0505"	"0"	"0.4635"	"0"	"3.3132"	"8.621"	"8.543"	"6.9136"	"0.0361"	"0"	"0"
"1922"	"1.4874"	"1.0358"	"0.3052"	"1.2414"	"0.1081"	"3.8172"	"10.9824"	"10.4882"	"6.8175"	"1.0427"	"1.7541"	"1.828"
"1923"	"0.4439"	"1.5634"	"0.7886"	"0.8698"	"1.0001"	"1.0001"	"11.0951"	"12.015"	"5.9708"	"1.0686"	"0.0288"	"1.6033"
