
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"18.122"	"19.725"	"27.087"	"30.936"	"34.078"	"33.791"	"30.351"	"27.911"	"28.819"	"28.901"	"24.309"	"21.583"
"1902"	"20.737"	"22.55"	"28.572"	"32.096"	"33.788"	"32.785"	"30.541"	"29.323"	"28.309"	"27.985"	"23.331"	"19.959"
"1903"	"19.448"	"20.293"	"24.681"	"29.598"	"33.284"	"33.556"	"30.248"	"28.316"	"28.388"	"27.536"	"21.659"	"19.369"
"1904"	"19.632"	"21.484"	"25.3"	"31.533"	"33.687"	"31.916"	"28.661"	"28.143"	"28.637"	"28.067"	"23.448"	"20.604"
"1905"	"18.242"	"17.737"	"24.206"	"29.012"	"35.024"	"32.778"	"29.028"	"28.836"	"28.813"	"28.245"	"24.675"	"20.393"
"1906"	"17.911"	"19.615"	"25.293"	"30.464"	"34.303"	"31.712"	"29.129"	"28.241"	"27.595"	"27.436"	"24.17"	"20.669"
"1907"	"20.39"	"21.001"	"25.585"	"29.788"	"32.275"	"32.566"	"31.075"	"26.83"	"27.73"	"27.993"	"24.493"	"19.355"
"1908"	"19.092"	"20.89"	"24.999"	"31.329"	"33.188"	"32.508"	"27.95"	"27.152"	"27.74"	"27.376"	"23.112"	"19.301"
"1909"	"19.063"	"21.136"	"26.906"	"29.823"	"32.908"	"31.846"	"28.27"	"27.161"	"27.166"	"26.852"	"23.294"	"19.696"
"1910"	"19.233"	"21.529"	"26.206"	"29.955"	"32.987"	"31.387"	"28.084"	"27.748"	"28.108"	"26.346"	"21.762"	"19.997"
"1911"	"20.453"	"21.317"	"24.583"	"30.032"	"34.1"	"31.208"	"29.972"	"28.257"	"27.832"	"28.02"	"23.122"	"21.522"
"1912"	"20.521"	"23.041"	"25.909"	"31.208"	"34.1"	"33.576"	"29.358"	"27.555"	"27.629"	"27.552"	"22.556"	"19.894"
"1913"	"19.378"	"21.551"	"24.392"	"31.555"	"32.865"	"31.616"	"28.871"	"27.346"	"28.077"	"28.388"	"23.906"	"20.397"
"1914"	"21.134"	"21.161"	"25.506"	"30.747"	"34.5"	"31.808"	"28.871"	"28.043"	"28.732"	"27.978"	"24.994"	"19.797"
"1915"	"19.455"	"20.425"	"26.786"	"30.367"	"34.109"	"33.996"	"30.682"	"28.722"	"29.834"	"28.854"	"24.355"	"20.792"
"1916"	"20.315"	"20.434"	"28.008"	"31.565"	"33.819"	"30.988"	"30.048"	"27.942"	"28.552"	"26.975"	"21.991"	"19.676"
"1917"	"20.422"	"21.593"	"26.172"	"29.231"	"31.676"	"30.936"	"28.06"	"27.651"	"27.463"	"26.276"	"22.137"	"19.896"
"1918"	"18.201"	"21.95"	"26.11"	"29.246"	"33.785"	"31.453"	"30.082"	"28.432"	"28.143"	"27.992"	"24.913"	"19.7"
"1919"	"19.851"	"21.325"	"26.724"	"30.338"	"33.585"	"32.002"	"28.664"	"27.627"	"27.953"	"27.253"	"24.226"	"20"
"1920"	"20.023"	"21.029"	"26.971"	"30.446"	"31.254"	"31.309"	"28.245"	"27.551"	"29.232"	"28.602"	"24.505"	"20.444"
"1921"	"20.146"	"21.515"	"28.218"	"32.344"	"34.013"	"32.648"	"30.481"	"27.957"	"27.521"	"27.367"	"23.254"	"21.525"
"1922"	"18.922"	"22.973"	"27.018"	"31.623"	"33.594"	"32.22"	"29.053"	"27.842"	"27.742"	"27.178"	"23.247"	"19.469"
"1923"	"19.923"	"20.639"	"27.186"	"30.834"	"32.888"	"33.507"	"29.16"	"27.156"	"28.508"	"26.893"	"22.812"	"21.045"
"1924"	"19.553"	"22.157"	"28.382"	"31.74"	"32.786"	"33.079"	"29.616"	"28.232"	"27.762"	"26.356"	"21.783"	"20.29"
"1925"	"17.41"	"19.835"	"27.176"	"32.619"	"33.07"	"31.025"	"28.374"	"28.719"	"29.12"	"29.415"	"24.38"	"20.757"
"1926"	"20.319"	"23.74"	"26.506"	"28.821"	"32.933"	"34.323"	"29.76"	"28.119"	"27.863"	"27.33"	"22.09"	"19.69"
"1927"	"18.153"	"20.301"	"25.302"	"30.068"	"32.783"	"32.309"	"28.359"	"26.955"	"27.931"	"27.278"	"21.453"	"20.589"
"1928"	"19.323"	"21.53"	"26.488"	"30.6"	"33.488"	"31.951"	"28.715"	"27.531"	"27.651"	"27.294"	"23.701"	"19.388"
"1929"	"18.512"	"20.528"	"27.773"	"31.207"	"33.877"	"32.012"	"28.738"	"27.152"	"28.168"	"27.253"	"24.568"	"19.132"
"1930"	"19.43"	"20.685"	"26.821"	"30.317"	"33.488"	"32.444"	"27.834"	"27.342"	"29.202"	"28.593"	"22.758"	"20.792"
"1931"	"20.934"	"20.668"	"25.896"	"31.819"	"33.798"	"33.769"	"29.754"	"28.017"	"28.007"	"26.858"	"23.259"	"20.603"
