
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"11.129"	"9.879"	"21.301"	"19.099"	"20.459"	"42.134"	"72.889"	"72.629"	"49.303"	"16.724"	"10"	"9.103"
"1902"	"11.129"	"9.879"	"21.301"	"19.099"	"20.459"	"42.753"	"72.586"	"72.629"	"49.303"	"16.724"	"10"	"9.103"
"1903"	"11.129"	"9.879"	"21.301"	"19.099"	"20.459"	"42.134"	"72.586"	"72.629"	"49.303"	"16.724"	"10"	"9.103"
"1904"	"11.129"	"9.879"	"21.301"	"19.099"	"20.459"	"42.134"	"73.014"	"72.629"	"49.303"	"16.724"	"10"	"9.103"
"1905"	"11.129"	"9.879"	"21.301"	"19.099"	"20.459"	"42.134"	"72.586"	"72.629"	"49.303"	"16.724"	"10"	"9.103"
"1906"	"11.129"	"9.879"	"21.301"	"19.099"	"20.459"	"42.134"	"72.586"	"72.629"	"49.303"	"16.724"	"10"	"9.103"
"1907"	"11.129"	"9.879"	"21.301"	"19.099"	"20.459"	"42.134"	"72.614"	"72.629"	"49.303"	"16.918"	"10.115"	"9.103"
"1908"	"11.129"	"9.879"	"21.301"	"19.099"	"20.459"	"42.134"	"72.586"	"72.629"	"49.303"	"16.724"	"10"	"9.103"
"1909"	"11.129"	"9.879"	"21.301"	"19.099"	"20.459"	"42.068"	"72.586"	"72.629"	"49.303"	"16.724"	"10"	"9.103"
"1910"	"11.129"	"9.879"	"21.301"	"19.099"	"20.762"	"42.134"	"73.114"	"72.629"	"49.303"	"16.724"	"10"	"9.103"
"1911"	"11.129"	"9.879"	"21.301"	"19.099"	"20.459"	"42.134"	"72.586"	"72.629"	"49.303"	"16.724"	"10"	"9.103"
"1912"	"11.129"	"9.879"	"21.301"	"19.099"	"20.459"	"42.134"	"72.498"	"72.629"	"49.18"	"16.724"	"10"	"9.103"
"1913"	"11.129"	"9.879"	"21.301"	"19.099"	"20.473"	"41.977"	"73.296"	"72.629"	"49.303"	"16.724"	"10"	"9.103"
"1914"	"11.129"	"9.879"	"21.301"	"19.099"	"20.459"	"41.842"	"72.933"	"72.629"	"49.124"	"16.724"	"10"	"9.103"
"1915"	"11.129"	"9.879"	"21.188"	"19.099"	"20.28"	"42.134"	"72.586"	"72.137"	"49.303"	"16.724"	"10"	"9.103"
"1916"	"11.129"	"9.879"	"21.301"	"19.099"	"20.459"	"42.134"	"72.586"	"72.629"	"49.303"	"16.724"	"10"	"9.103"
"1917"	"11.129"	"9.879"	"21.301"	"19.663"	"20.07"	"41.838"	"72.22"	"72.629"	"49.303"	"16.724"	"10"	"9.103"
"1918"	"11.129"	"9.879"	"21.301"	"19.099"	"20.459"	"42.852"	"73.014"	"72.629"	"49.303"	"16.724"	"10"	"9.103"
"1919"	"11.129"	"9.879"	"21.301"	"19.099"	"20.459"	"42.134"	"72.586"	"72.629"	"49.254"	"16.544"	"9.536"	"9.103"
"1920"	"11.129"	"9.879"	"21.301"	"19.099"	"20.459"	"42.134"	"72.586"	"72.342"	"49.303"	"16.724"	"10"	"9.103"
"1921"	"11.129"	"9.879"	"21.301"	"19.099"	"20.459"	"42.134"	"72.524"	"72.629"	"49.303"	"16.724"	"10"	"9.103"
"1922"	"11.129"	"9.879"	"21.301"	"19.099"	"20.459"	"42.134"	"72.586"	"72.629"	"49.303"	"16.724"	"10"	"9.103"
"1923"	"11.129"	"9.879"	"21.301"	"19.099"	"20.459"	"42.134"	"73.176"	"72.629"	"49.303"	"16.724"	"9.445"	"9.103"
