
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"16.338"	"16.809"	"16.827"	"15.882"	"14.754"	"11.282"	"7.769"	"6.871"	"9.446"	"14.641"	"15.946"	"16.192"
"1902"	"16.338"	"16.809"	"16.827"	"15.882"	"14.754"	"11.282"	"7.769"	"6.871"	"9.446"	"14.641"	"15.946"	"16.192"
"1903"	"16.338"	"16.809"	"16.827"	"15.882"	"14.754"	"11.282"	"7.769"	"6.871"	"9.446"	"14.641"	"15.946"	"16.192"
"1904"	"16.338"	"16.809"	"16.827"	"15.882"	"14.754"	"11.282"	"7.769"	"6.871"	"9.446"	"14.641"	"15.946"	"16.192"
"1905"	"16.338"	"16.809"	"16.827"	"15.882"	"14.754"	"11.282"	"7.769"	"6.871"	"9.446"	"14.641"	"15.946"	"16.192"
"1906"	"16.338"	"16.809"	"16.827"	"15.882"	"14.754"	"11.282"	"7.769"	"6.871"	"9.446"	"14.641"	"15.946"	"16.192"
"1907"	"16.338"	"16.809"	"16.827"	"15.882"	"14.754"	"11.282"	"7.769"	"6.871"	"9.446"	"14.641"	"15.946"	"16.192"
"1908"	"16.338"	"16.809"	"16.827"	"15.882"	"14.754"	"11.282"	"7.769"	"6.871"	"9.446"	"14.641"	"15.946"	"16.192"
"1909"	"16.338"	"16.809"	"16.827"	"15.882"	"14.754"	"11.282"	"7.769"	"6.871"	"9.446"	"14.641"	"15.946"	"16.192"
"1910"	"16.338"	"16.809"	"16.827"	"15.882"	"14.754"	"11.282"	"7.769"	"6.871"	"9.446"	"14.641"	"15.946"	"16.192"
"1911"	"16.338"	"16.809"	"16.827"	"15.882"	"14.754"	"11.282"	"7.769"	"6.871"	"9.446"	"14.641"	"15.946"	"16.192"
"1912"	"16.338"	"16.809"	"16.827"	"15.882"	"14.754"	"11.282"	"7.769"	"6.871"	"9.446"	"14.641"	"15.946"	"16.192"
"1913"	"16.338"	"16.809"	"16.827"	"15.882"	"14.754"	"11.282"	"7.769"	"6.871"	"9.446"	"14.641"	"15.946"	"16.192"
"1914"	"16.338"	"16.809"	"16.827"	"15.882"	"14.754"	"11.282"	"7.769"	"6.871"	"9.446"	"14.641"	"15.764"	"16.192"
"1915"	"16.338"	"16.809"	"16.827"	"15.882"	"14.754"	"11.282"	"7.769"	"6.871"	"9.446"	"14.641"	"15.946"	"16.192"
