
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"26.336"	"28.144"	"35.5"	"38.852"	"41.461"	"39.481"	"34.241"	"31.389"	"33.587"	"36.26"	"32.29"	"29.696"
"1902"	"28.951"	"30.974"	"36.986"	"40.076"	"41.168"	"38.476"	"34.446"	"32.714"	"33.078"	"35.291"	"31.307"	"28.072"
"1903"	"27.661"	"28.717"	"33.096"	"37.576"	"40.657"	"39.245"	"34.126"	"31.795"	"33.156"	"34.903"	"29.636"	"27.483"
"1904"	"27.846"	"29.907"	"33.712"	"39.511"	"41.06"	"37.605"	"32.565"	"31.62"	"33.404"	"35.435"	"31.428"	"28.717"
"1905"	"26.455"	"26.162"	"32.619"	"36.988"	"42.396"	"38.469"	"32.932"	"32.253"	"33.579"	"35.604"	"32.652"	"28.508"
"1906"	"26.125"	"28.034"	"33.706"	"38.382"	"41.673"	"37.402"	"33.033"	"31.72"	"32.364"	"34.718"	"32.149"	"28.782"
"1907"	"28.604"	"29.423"	"33.997"	"37.767"	"39.648"	"38.256"	"34.979"	"30.308"	"32.498"	"35.299"	"32.472"	"27.469"
"1908"	"27.304"	"29.313"	"33.412"	"39.307"	"40.56"	"38.198"	"31.852"	"30.63"	"32.508"	"34.745"	"31.09"	"27.413"
"1909"	"27.277"	"29.559"	"35.32"	"37.803"	"40.29"	"37.537"	"32.175"	"30.638"	"31.935"	"34.22"	"31.272"	"27.81"
"1910"	"27.444"	"29.952"	"34.62"	"37.864"	"40.369"	"37.076"	"31.978"	"31.226"	"32.875"	"33.714"	"29.739"	"28.11"
"1911"	"28.667"	"29.74"	"32.998"	"38.011"	"41.482"	"36.898"	"33.873"	"31.734"	"32.602"	"35.328"	"31.1"	"29.636"
"1912"	"28.735"	"31.465"	"34.324"	"39.186"	"41.482"	"39.255"	"33.26"	"31.034"	"32.4"	"34.921"	"30.535"	"28.007"
"1913"	"27.59"	"29.974"	"32.806"	"39.533"	"40.237"	"37.305"	"32.77"	"30.823"	"32.781"	"35.758"	"31.873"	"28.511"
"1914"	"29.347"	"29.584"	"33.92"	"38.717"	"41.872"	"37.499"	"32.771"	"31.521"	"33.502"	"35.284"	"32.882"	"27.91"
"1915"	"27.668"	"28.849"	"35.2"	"38.347"	"41.491"	"39.688"	"34.561"	"32.201"	"34.602"	"36.187"	"32.325"	"28.904"
"1916"	"28.53"	"28.859"	"36.421"	"39.533"	"41.191"	"36.677"	"33.951"	"31.42"	"33.256"	"34.247"	"29.968"	"27.789"
"1917"	"28.635"	"30.013"	"34.585"	"37.208"	"39.057"	"36.626"	"31.953"	"31.13"	"32.231"	"33.643"	"30.115"	"28.011"
"1918"	"26.414"	"30.374"	"34.524"	"37.224"	"41.165"	"37.142"	"33.985"	"31.911"	"32.911"	"35.299"	"32.89"	"27.814"
"1919"	"28.164"	"29.749"	"35.137"	"38.317"	"40.966"	"37.692"	"32.568"	"31.106"	"32.72"	"34.62"	"32.194"	"28.113"
"1920"	"28.236"	"29.452"	"35.385"	"38.364"	"38.627"	"36.998"	"32.15"	"31.03"	"34"	"35.971"	"32.484"	"28.558"
"1921"	"28.361"	"29.939"	"36.633"	"40.318"	"41.395"	"38.327"	"34.382"	"31.435"	"32.228"	"34.712"	"31.229"	"29.639"
