
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.69"	"6.37"	"7.51"	"8.53"	"8.96"	"7.95"	"6.1"	"5.31"	"6.04"	"7.11"	"6.44"	"5.79"
"1902"	"5.82"	"6.58"	"7.63"	"8.63"	"9.01"	"7.87"	"6.05"	"5.4"	"6.07"	"7.07"	"6.41"	"5.71"
"1903"	"5.76"	"6.51"	"7.43"	"8.44"	"8.91"	"7.9"	"6.08"	"5.36"	"6.05"	"7.1"	"6.31"	"5.64"
"1904"	"5.73"	"6.56"	"7.44"	"8.53"	"9.02"	"7.9"	"5.97"	"5.3"	"6.05"	"7.09"	"6.4"	"5.77"
"1905"	"5.75"	"6.29"	"7.35"	"8.36"	"8.96"	"7.96"	"6"	"5.32"	"6.07"	"7.07"	"6.46"	"5.8"
"1906"	"5.7"	"6.41"	"7.42"	"8.45"	"9.02"	"7.89"	"5.99"	"5.35"	"6.04"	"7.02"	"6.41"	"5.74"
"1907"	"5.83"	"6.53"	"7.49"	"8.49"	"8.89"	"7.81"	"6.13"	"5.33"	"5.98"	"7.03"	"6.47"	"5.72"
"1908"	"5.71"	"6.52"	"7.41"	"8.53"	"8.97"	"7.92"	"5.97"	"5.27"	"6"	"7.05"	"6.4"	"5.67"
"1909"	"5.7"	"6.48"	"7.57"	"8.51"	"8.94"	"7.88"	"5.98"	"5.28"	"5.99"	"7"	"6.38"	"5.7"
"1910"	"5.71"	"6.53"	"7.55"	"8.49"	"8.95"	"7.87"	"5.92"	"5.28"	"6.05"	"7.05"	"6.27"	"5.65"
"1911"	"5.8"	"6.59"	"7.43"	"8.43"	"9.01"	"7.84"	"6"	"5.35"	"6.02"	"7.07"	"6.36"	"5.76"
"1912"	"5.79"	"6.66"	"7.53"	"8.51"	"8.97"	"7.96"	"6.07"	"5.31"	"6.01"	"7.06"	"6.36"	"5.68"
"1913"	"5.72"	"6.59"	"7.39"	"8.53"	"8.99"	"7.85"	"5.98"	"5.28"	"5.99"	"7.08"	"6.43"	"5.7"
"1914"	"5.85"	"6.58"	"7.47"	"8.46"	"9.02"	"7.91"	"5.96"	"5.3"	"6.05"	"7.05"	"6.46"	"5.74"
"1915"	"5.76"	"6.46"	"7.54"	"8.5"	"8.94"	"7.92"	"6.1"	"5.36"	"6.08"	"7.13"	"6.46"	"5.76"
"1916"	"5.84"	"6.45"	"7.56"	"8.6"	"9.05"	"7.82"	"6.02"	"5.31"	"6.07"	"7.07"	"6.31"	"5.63"
"1917"	"5.78"	"6.57"	"7.56"	"8.47"	"8.91"	"7.81"	"5.93"	"5.29"	"6.04"	"7.02"	"6.29"	"5.7"
"1918"	"5.63"	"6.53"	"7.56"	"8.43"	"8.97"	"7.83"	"6"	"5.36"	"6.04"	"7.03"	"6.49"	"5.72"
"1919"	"5.78"	"6.52"	"7.56"	"8.51"	"8.98"	"7.9"	"5.99"	"5.3"	"6.04"	"7.02"	"6.44"	"5.72"
"1920"	"5.77"	"6.51"	"7.56"	"8.57"	"8.91"	"7.81"	"5.96"	"5.25"	"6.04"	"7.09"	"6.46"	"5.75"
"1921"	"5.78"	"6.51"	"7.59"	"8.64"	"9.03"	"7.88"	"6.08"	"5.36"	"6.02"	"7.04"	"6.34"	"5.81"
"1922"	"5.71"	"6.59"	"7.58"	"8.58"	"9"	"7.89"	"6.01"	"5.31"	"6.04"	"7.04"	"6.4"	"5.66"
"1923"	"5.77"	"6.48"	"7.55"	"8.57"	"8.92"	"7.93"	"6.06"	"5.27"	"6.05"	"7.07"	"6.32"	"5.75"
"1924"	"5.73"	"6.52"	"7.62"	"8.64"	"8.95"	"7.88"	"6.05"	"5.35"	"6.05"	"7.04"	"6.26"	"5.75"
"1925"	"5.64"	"6.36"	"7.48"	"8.63"	"9.04"	"7.84"	"5.92"	"5.31"	"6.05"	"7.14"	"6.48"	"5.76"
"1926"	"5.75"	"6.69"	"7.64"	"8.45"	"8.84"	"7.94"	"6.08"	"5.35"	"6.04"	"7.07"	"6.32"	"5.7"
"1927"	"5.68"	"6.46"	"7.46"	"8.48"	"8.94"	"7.89"	"5.99"	"5.26"	"6.01"	"7.09"	"6.26"	"5.69"
"1928"	"5.74"	"6.54"	"7.55"	"8.53"	"8.98"	"7.88"	"6"	"5.3"	"6.01"	"7.02"	"6.41"	"5.7"
"1929"	"5.69"	"6.41"	"7.56"	"8.57"	"9.01"	"7.9"	"6.01"	"5.27"	"6.03"	"7.01"	"6.46"	"5.69"
"1930"	"5.72"	"6.48"	"7.55"	"8.51"	"8.96"	"7.93"	"5.96"	"5.22"	"6.04"	"7.14"	"6.38"	"5.71"
"1931"	"5.88"	"6.42"	"7.48"	"8.64"	"9.04"	"8.12"	"6.16"	"5.38"	"6.12"	"7"	"6.49"	"5.72"
"1932"	"5.91"	"6.59"	"7.51"	"8.49"	"9.03"	"7.93"	"6.07"	"5.23"	"6.08"	"7.26"	"6.56"	"5.8"
"1933"	"5.74"	"6.51"	"7.59"	"8.5"	"8.83"	"7.84"	"5.99"	"5.2"	"5.93"	"7.04"	"6.46"	"5.82"
"1934"	"5.63"	"6.66"	"7.51"	"8.64"	"9.03"	"7.95"	"5.98"	"5.3"	"6.05"	"7.19"	"6.39"	"5.81"
"1935"	"5.62"	"6.44"	"7.59"	"8.31"	"8.95"	"8.29"	"6.07"	"5.31"	"6.09"	"7.09"	"6.45"	"5.79"
"1936"	"5.74"	"6.51"	"7.55"	"8.47"	"9.02"	"7.8"	"5.96"	"5.34"	"6.08"	"7.05"	"6.43"	"5.7"
"1937"	"5.68"	"6.48"	"7.48"	"8.53"	"8.95"	"8.09"	"5.98"	"5.3"	"6.08"	"7.07"	"6.48"	"5.71"
"1938"	"5.73"	"6.4"	"7.57"	"8.69"	"9.03"	"7.77"	"6.03"	"5.31"	"6.13"	"7.22"	"6.41"	"5.78"
