
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"0.474"	"0"	"0.117"	"0.279"	"68.244"	"88.663"	"354.345"	"167.016"	"10.568"	"31.803"	"0.194"	"0.692"
"1902"	"0.72"	"0"	"0"	"0.021"	"20.952"	"33.457"	"174.26"	"257.638"	"211.424"	"3.382"	"13.535"	"0.863"
"1903"	"0.007"	"0"	"0"	"0"	"37.203"	"11.813"	"529.236"	"203.777"	"193.772"	"0.355"	"0.194"	"0"
"1904"	"0.109"	"1.917"	"3.819"	"0"	"8.659"	"68.447"	"210.231"	"77.785"	"69.624"	"12.59"	"0.194"	"1.432"
"1905"	"0.242"	"0.199"	"3.625"	"0.581"	"2.11"	"35.9"	"521.2"	"17.91"	"151.054"	"0"	"0.218"	"0"
"1906"	"0"	"3.042"	"0"	"0"	"0.007"	"150.231"	"558.943"	"287.176"	"211.353"	"0.153"	"0.194"	"2.723"
"1907"	"1.709"	"1.994"	"0"	"2.709"	"0.242"	"42.205"	"322.876"	"477.057"	"6.251"	"0"	"0.899"	"0"
"1908"	"12.109"	"0.049"	"0.502"	"0.095"	"0.007"	"122.94"	"549.954"	"587.542"	"72.81"	"0"	"1.162"	"0"
"1909"	"1.412"	"0.117"	"0.001"	"17.651"	"1.143"	"99.536"	"355.808"	"291.665"	"218.912"	"0.011"	"0.194"	"3.332"
"1910"	"21.664"	"0"	"0"	"28.081"	"7.183"	"254.015"	"229.556"	"444.471"	"43.104"	"18.96"	"2.842"	"0"
"1911"	"26.524"	"0"	"12.051"	"0"	"0.007"	"187.14"	"92.26"	"63.03"	"69.513"	"0.021"	"29.585"	"0"
"1912"	"0"	"0.02"	"0"	"0.088"	"0.234"	"64.622"	"421.212"	"298.582"	"50.038"	"30.646"	"33.565"	"0"
"1913"	"0"	"0"	"0.001"	"0"	"5.866"	"152.398"	"521.701"	"200.614"	"120.732"	"0"	"3.278"	"0.825"
"1914"	"0"	"0.929"	"0"	"0.235"	"27.3"	"170.722"	"401.978"	"139.163"	"172.918"	"9.56"	"9.372"	"0.534"
"1915"	"2.452"	"1.55"	"8.856"	"1.266"	"2.237"	"70.581"	"133.187"	"77.985"	"50.685"	"56.934"	"0.365"	"0.567"
"1916"	"0"	"0.049"	"0"	"0"	"15.79"	"191.53"	"150.602"	"456.78"	"195.36"	"12.043"	"5.008"	"0"
"1917"	"0"	"3.302"	"0"	"1.578"	"52.84"	"130.728"	"271.373"	"329.285"	"385.727"	"35.94"	"0.194"	"2.044"
"1918"	"0"	"0"	"0.242"	"0"	"33.921"	"96.332"	"73.026"	"314.952"	"16.839"	"0"	"7.007"	"0"
