
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"8.04"	"7.953"	"10.388"	"13.831"	"20.381"	"29.271"	"31.018"	"27.852"	"26.564"	"14.628"	"11.491"	"9.867"
"1902"	"9.113"	"8.877"	"11.166"	"14.701"	"20.254"	"27.899"	"31.03"	"29.649"	"26.192"	"14.091"	"10.782"	"9.274"
"1903"	"8.615"	"8.59"	"9.102"	"12.821"	"20.051"	"29.171"	"31.055"	"27.958"	"26.21"	"13.518"	"9.963"	"8.989"
"1904"	"8.615"	"8.768"	"9.775"	"14.018"	"20.072"	"27.521"	"29.194"	"27.914"	"26.474"	"14.115"	"10.518"	"9.7"
"1905"	"8.016"	"7.165"	"9.276"	"12.577"	"21.476"	"27.722"	"29.358"	"29.508"	"26.535"	"14.326"	"11.604"	"9.7"
"1906"	"8.016"	"8.101"	"9.4"	"13.476"	"21.255"	"27.344"	"29.256"	"28.142"	"26.098"	"13.844"	"11.593"	"9.7"
"1907"	"8.904"	"8.59"	"9.796"	"13.217"	"19.255"	"27.877"	"32.177"	"27.95"	"26.192"	"14.561"	"11.501"	"9.024"
"1908"	"8.615"	"8.752"	"9.703"	"13.76"	"20.097"	"27.595"	"28.535"	"27.848"	"25.824"	"13.593"	"10.605"	"8.989"
"1909"	"8.55"	"8.986"	"10.784"	"13.096"	"19.683"	"27.344"	"29.256"	"27.847"	"25.054"	"13.027"	"10.745"	"9.134"
"1910"	"8.615"	"8.678"	"10.388"	"13.149"	"20.072"	"27.239"	"28.677"	"27.862"	"26.192"	"13.14"	"9.92"	"9.405"
"1911"	"9.221"	"8.678"	"9.251"	"12.969"	"20.212"	"27.485"	"30.214"	"27.852"	"26.261"	"14.115"	"10.72"	"9.91"
"1912"	"9.033"	"9.856"	"9.913"	"13.932"	"20.451"	"29.2"	"29.169"	"27.852"	"26.279"	"14.14"	"10.7"	"9.655"
"1913"	"8.58"	"9.087"	"9.175"	"13.857"	"20.173"	"27.448"	"29.265"	"27.933"	"26.192"	"14.462"	"11.498"	"9.696"
"1914"	"9.225"	"8.89"	"9.713"	"13.766"	"21.344"	"27.524"	"29.269"	"27.848"	"26.286"	"14.14"	"11.501"	"9.33"
"1915"	"8.639"	"8.59"	"10.363"	"13.75"	"20.706"	"30.438"	"31.256"	"28.91"	"27.614"	"14.905"	"11.501"	"9.7"
"1916"	"8.99"	"8.665"	"11.036"	"13.757"	"20.072"	"26.59"	"30.463"	"27.859"	"26.279"	"13.339"	"10.126"	"9.024"
"1917"	"8.615"	"9.28"	"10.302"	"12.597"	"19.059"	"26.031"	"28.638"	"27.722"	"26.192"	"12.467"	"10.213"	"8.989"
"1918"	"8.019"	"9.152"	"10.225"	"12.491"	"20.076"	"27.427"	"30.844"	"29.004"	"26.192"	"14.338"	"11.501"	"9.196"
"1919"	"8.615"	"8.6"	"10.388"	"13.289"	"20.163"	"27.521"	"29.368"	"27.848"	"26.048"	"13.692"	"11.128"	"9.309"
"1920"	"8.615"	"8.681"	"10.388"	"13.632"	"18.409"	"26.55"	"29.265"	"27.888"	"27.092"	"14.462"	"11.501"	"9.542"
"1921"	"8.639"	"8.678"	"11.202"	"14.907"	"20.51"	"27.953"	"31.37"	"27.848"	"25.701"	"13.809"	"10.693"	"9.799"
"1922"	"8.615"	"9.643"	"10.388"	"13.935"	"20.072"	"27.358"	"29.195"	"27.862"	"26.237"	"14.115"	"10.869"	"9.085"
"1923"	"8.615"	"8.591"	"10.388"	"13.934"	"20.072"	"28.69"	"29.358"	"27.95"	"26.192"	"12.949"	"10.539"	"9.625"
"1924"	"8.615"	"9.087"	"11.266"	"13.928"	"19.592"	"29.116"	"29.986"	"27.95"	"26.192"	"13.137"	"9.954"	"9.675"
"1925"	"7.582"	"8.017"	"10.693"	"14.921"	"20.173"	"25.755"	"29.256"	"29.128"	"26.838"	"14.989"	"10.928"	"9.7"
"1926"	"8.615"	"10.287"	"9.998"	"12.199"	"19.708"	"30.313"	"29.29"	"27.849"	"26.199"	"12.938"	"10.136"	"8.899"
"1927"	"8.001"	"8.665"	"9.775"	"13.167"	"20.086"	"27.546"	"29.293"	"27.925"	"26.286"	"13.942"	"9.91"	"9.7"
"1928"	"8.615"	"8.976"	"10.388"	"13.831"	"20.459"	"27.524"	"29.194"	"27.848"	"26.192"	"14.115"	"11.062"	"8.989"
"1929"	"8.015"	"8.551"	"10.996"	"13.856"	"20.076"	"27.521"	"29.355"	"27.848"	"26.082"	"14.115"	"11.501"	"8.82"
"1930"	"8.711"	"8.756"	"10.388"	"13.57"	"20.076"	"27.45"	"27.678"	"27.848"	"27.28"	"14.551"	"10.504"	"9.7"
"1931"	"9.211"	"8.662"	"9.979"	"14.122"	"20.173"	"29.022"	"30.599"	"27.873"	"26.192"	"13.066"	"10.772"	"9.7"
"1932"	"9.569"	"8.302"	"9.883"	"13.135"	"20.163"	"27.521"	"29.256"	"27.848"	"26.199"	"14.115"	"10.683"	"9.7"
"1933"	"8.318"	"9.64"	"10.388"	"13.345"	"19.051"	"27.445"	"29.265"	"27.939"	"26.149"	"13.618"	"11.44"	"9.783"
"1934"	"7.636"	"9.536"	"9.922"	"13.922"	"20.097"	"27.524"	"29.368"	"27.848"	"26.192"	"13.397"	"10.639"	"9.703"
"1935"	"7.683"	"9.052"	"9.786"	"12.498"	"20.176"	"28.302"	"29.256"	"27.848"	"25.869"	"13.793"	"10.782"	"9.675"
"1936"	"7.939"	"9.659"	"10.021"	"13.022"	"21.174"	"26.081"	"29.255"	"27.95"	"26.192"	"14.115"	"11.501"	"8.989"
"1937"	"8.002"	"9.579"	"9.814"	"12.818"	"20.076"	"27.513"	"29.196"	"27.863"	"26.261"	"13.708"	"11.501"	"9.024"
"1938"	"8.933"	"8.619"	"11.078"	"13.935"	"20.466"	"25.145"	"29.255"	"27.862"	"26.83"	"13.921"	"10.118"	"9.7"
"1939"	"8.927"	"9.355"	"9.311"	"12.847"	"20.097"	"27.521"	"29.265"	"29.312"	"26.192"	"14.265"	"11.187"	"9.743"
"1940"	"8.829"	"9.532"	"9.157"	"13.034"	"20.563"	"27.521"	"29.293"	"27.848"	"26.192"	"14.254"	"10.883"	"9.164"
"1941"	"8.615"	"9.64"	"10.679"	"14.097"	"20.563"	"27.42"	"29.293"	"27.939"	"26.192"	"14.758"	"11.501"	"9.961"
"1942"	"8.357"	"9.268"	"10.679"	"14.833"	"20.173"	"28.691"	"28.151"	"27.848"	"25.103"	"14.14"	"10.795"	"9.098"
"1943"	"8.615"	"9.054"	"10.412"	"13.629"	"20.721"	"27.229"	"27.83"	"27.848"	"26.192"	"13.53"	"11.501"	"9.748"
"1944"	"8.615"	"8.927"	"9.713"	"12.844"	"20.173"	"27.419"	"28.05"	"27.862"	"26.217"	"13.397"	"11.501"	"9.7"
"1945"	"7.61"	"8.665"	"10.388"	"13.156"	"20.173"	"27.521"	"27.69"	"27.849"	"26.298"	"13.147"	"10.679"	"8.555"
"1946"	"8.615"	"9.769"	"10.099"	"14.568"	"20.097"	"26.997"	"29.269"	"26.406"	"26.298"	"14.115"	"10.116"	"9.608"
"1947"	"8.196"	"9.064"	"10.509"	"14.021"	"20.596"	"28.542"	"29.406"	"29.488"	"25.191"	"13.137"	"11.357"	"9.7"
"1948"	"8.639"	"8.656"	"10.484"	"14.122"	"21.384"	"27.524"	"29.908"	"27.884"	"26.148"	"14.14"	"11.111"	"9.479"
"1949"	"9.128"	"8.955"	"10.388"	"14.774"	"20.999"	"27.435"	"29.194"	"27.925"	"26.614"	"13.942"	"10.514"	"8.899"
"1950"	"8.649"	"8.052"	"9.717"	"13.629"	"20.072"	"27.521"	"27.901"	"27.925"	"26.193"	"13.42"	"10.019"	"9.063"
"1951"	"8.001"	"8.765"	"10.388"	"12.481"	"20.173"	"27.358"	"31.026"	"27.848"	"27.633"	"15.705"	"11.984"	"9.492"
"1952"	"9.103"	"9.852"	"10.388"	"14.122"	"21.243"	"27.52"	"29.293"	"27.848"	"26.188"	"14.115"	"10.703"	"9.72"
"1953"	"8.493"	"10.466"	"11.777"	"13.922"	"20.163"	"27.46"	"29.342"	"27.925"	"26.192"	"14.115"	"10.819"	"9.992"
"1954"	"8.101"	"9.88"	"10.388"	"14.021"	"20.906"	"27.549"	"29.265"	"28.886"	"24.721"	"12.256"	"10.833"	"9.48"
"1955"	"8.615"	"9.744"	"11.263"	"12.457"	"20.076"	"27.45"	"30.959"	"27.848"	"26.28"	"13.175"	"9.752"	"9.578"
"1956"	"8.639"	"9.166"	"10.388"	"13.935"	"20.666"	"27.419"	"26.998"	"27.748"	"26.286"	"12.588"	"10.204"	"9.618"
"1957"	"8.415"	"8.665"	"9.675"	"13.36"	"19.195"	"27.469"	"29.365"	"28.142"	"26.192"	"14.115"	"12.102"	"9.91"
"1958"	"9.225"	"9.365"	"10.588"	"14.846"	"20.076"	"29.084"	"29.289"	"29.717"	"25.248"	"13.157"	"11.501"	"9.703"
"1959"	"8.639"	"9.264"	"10.943"	"14.021"	"20.098"	"27.514"	"27.734"	"27.848"	"24.897"	"13.397"	"11.501"	"9.7"
"1960"	"8.303"	"9.941"	"9.775"	"13.081"	"20.173"	"27.446"	"29.355"	"27.95"	"26.286"	"13.818"	"10.737"	"9.92"
"1961"	"8.483"	"8.44"	"11.202"	"13.595"	"20.173"	"27.514"	"29.355"	"27.95"	"24.705"	"13.177"	"11.21"	"8.989"
"1962"	"8.016"	"9.57"	"10.388"	"13.932"	"20.076"	"27.449"	"29.365"	"27.862"	"25.046"	"12.548"	"11.05"	"9.635"
"1963"	"8.603"	"10.535"	"10.388"	"14.021"	"20.076"	"27.524"	"29.725"	"27.95"	"25.735"	"13.949"	"11.89"	"9.7"
"1964"	"7.911"	"8.951"	"11.263"	"14.751"	"20.148"	"26.419"	"29.368"	"27.848"	"26.192"	"13.572"	"10.601"	"9.621"
"1965"	"9.68"	"9.469"	"10.388"	"13.347"	"20.173"	"28.119"	"29.28"	"29.489"	"26.192"	"14.624"	"11.918"	"9.521"
"1966"	"9.092"	"10.735"	"10.388"	"13.353"	"20.047"	"27.521"	"30.409"	"27.848"	"26.193"	"14.497"	"11.846"	"9.675"
"1967"	"8.246"	"9.852"	"10.088"	"13.039"	"19.862"	"26.182"	"29.358"	"26.668"	"25.071"	"14.115"	"11.501"	"9.934"
"1968"	"8.576"	"8.665"	"10.412"	"13.611"	"19.466"	"28.928"	"29.994"	"27.95"	"27.474"	"14.14"	"11.501"	"9.7"
"1969"	"8.639"	"9.676"	"11.667"	"14.021"	"20.163"	"27.521"	"29.279"	"27.848"	"26.199"	"14.551"	"12.228"	"9.614"
"1970"	"8.901"	"9.74"	"10.388"	"14.836"	"21.486"	"26.163"	"29.13"	"27.925"	"25.11"	"14.14"	"10.7"	"9.314"
"1971"	"8.45"	"9.252"	"10.388"	"14.911"	"19.739"	"25.222"	"28.421"	"27.848"	"26.193"	"13.212"	"10.629"	"9.189"
"1972"	"8.615"	"7.982"	"10.59"	"13.252"	"20.097"	"27.566"	"29.289"	"28.906"	"26.192"	"14.24"	"11.501"	"9.7"
"1973"	"8.311"	"9.454"	"10.388"	"14.835"	"21.373"	"27.524"	"28.116"	"27.925"	"24.843"	"13.835"	"10.82"	"9.034"
"1974"	"8.127"	"8.497"	"11.288"	"14.021"	"20.101"	"27.524"	"29.293"	"29.5"	"27.805"	"14.115"	"10.625"	"9.002"
"1975"	"8.015"	"8.965"	"9.401"	"13.243"	"20.462"	"27.455"	"28.196"	"27.848"	"25.093"	"14.14"	"10.289"	"9.7"
"1976"	"8.701"	"9.068"	"10.388"	"13.457"	"20.059"	"26.267"	"29.365"	"27.858"	"25.055"	"14.14"	"12.634"	"9.7"
"1977"	"8.615"	"8.965"	"11.807"	"14.122"	"20.148"	"27.524"	"28.191"	"27.924"	"25.328"	"14.883"	"12.385"	"10.843"
"1978"	"8.48"	"8.766"	"9.324"	"14.247"	"20.873"	"26.448"	"28.076"	"27.863"	"26.045"	"14.115"	"12.292"	"9.098"
"1979"	"8.746"	"8.652"	"9.995"	"14.021"	"19.268"	"28.418"	"29.256"	"27.867"	"27.64"	"14.637"	"12.189"	"9.7"
"1980"	"8.615"	"9.879"	"10.388"	"13.76"	"21.492"	"26.832"	"29.355"	"27.847"	"26.167"	"14.932"	"12.02"	"9.213"
"1981"	"8.515"	"9.762"	"10.388"	"14.121"	"20.173"	"29.022"	"29.269"	"27.852"	"26.46"	"14.115"	"10.605"	"9.109"
"1982"	"8.615"	"9.075"	"9.401"	"13.345"	"18.298"	"27.506"	"30.159"	"27.859"	"26.192"	"14.906"	"11.501"	"10.396"
"1983"	"8.615"	"8.59"	"9.901"	"12.464"	"19.883"	"27.61"	"29.293"	"27.862"	"26.305"	"13.14"	"10.06"	"9.679"
"1984"	"7.914"	"7.986"	"11.441"	"14.676"	"21.077"	"27.524"	"29.256"	"27.092"	"24.964"	"13.461"	"11.294"	"9.7"
"1985"	"8.615"	"9.479"	"11.651"	"14.031"	"20.462"	"27.521"	"29.289"	"27.848"	"26.254"	"13.376"	"11.501"	"10.144"
"1986"	"8.639"	"9.265"	"10.388"	"14.197"	"20.173"	"27.459"	"29.228"	"27.925"	"27.473"	"14.57"	"12.079"	"8.675"
"1987"	"8.928"	"9.807"	"10.693"	"14.021"	"19.658"	"27.614"	"31.068"	"31.002"	"29.018"	"15.553"	"12.29"	"9.939"
"1988"	"9.293"	"10.219"	"10.779"	"14.907"	"21.575"	"27.524"	"29.256"	"27.874"	"27.795"	"14.14"	"11.501"	"9.853"
"1989"	"8.415"	"9.366"	"10.388"	"14.021"	"20.076"	"27.419"	"29.368"	"27.852"	"26.192"	"14.115"	"12.224"	"9.7"
"1990"	"10.023"	"9.454"	"9.688"	"13.922"	"19.756"	"27.474"	"29.218"	"27.874"	"26.299"	"14.091"	"11.491"	"9.7"
"1991"	"8.48"	"9.287"	"10.474"	"13.541"	"19.637"	"29.016"	"29.269"	"27.859"	"26.188"	"13.671"	"11.505"	"10.086"
"1992"	"8.904"	"8.692"	"10.124"	"13.567"	"20.101"	"30.416"	"30.831"	"27.924"	"25.032"	"14.115"	"11.501"	"10.267"
"1993"	"9.078"	"9.854"	"10.073"	"13.607"	"21.075"	"27.607"	"29.355"	"29.253"	"26.055"	"14.969"	"12.116"	"10.164"
"1994"	"9.225"	"9.366"	"11.327"	"13.606"	"21.354"	"27.004"	"28.223"	"27.884"	"26.254"	"13.828"	"11.501"	"9.387"
"1995"	"8.217"	"9.57"	"10.008"	"13.935"	"20.226"	"30.682"	"29.194"	"28.04"	"26.265"	"14.98"	"11.501"	"9.729"
"1996"	"9.132"	"9.979"	"11.193"	"14.031"	"20.03"	"27.908"	"29.355"	"27.858"	"26.254"	"14.14"	"11.146"	"9.7"
"1997"	"8.58"	"8.98"	"10.388"	"13.099"	"19.535"	"27.294"	"29.269"	"27.925"	"26.167"	"13.047"	"12.002"	"9.671"
"1998"	"8.615"	"9.1"	"10.2"	"14.733"	"21.548"	"28.812"	"29.192"	"29.804"	"26.318"	"14.86"	"11.501"	"9.777"
"1999"	"8.639"	"9.775"	"10.412"	"14.854"	"20.072"	"27.296"	"29.195"	"27.863"	"26.355"	"14.115"	"11.718"	"9.7"
"2000"	"9.11"	"8.59"	"10.388"	"14.792"	"19.764"	"27.419"	"29.256"	"29.113"	"26.217"	"14.919"	"12.012"	"10.3"
"2001"	"8.615"	"9.798"	"10.412"	"13.932"	"20.159"	"25.125"	"27.715"	"27.862"	"27.806"	"14.905"	"11.9"	"9.773"
"2002"	"8.615"	"9.701"	"10.51"	"14.733"	"21.197"	"27.521"	"30.403"	"27.848"	"26.458"	"14.919"	"12.04"	"10.374"
